doc_idx,c5_id,sent_idx,original_sentence,input,mentions,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
1725,19940118004159I,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",dayton,"Dayton, Ohio",Q34739," Dayton () is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2017 U.S. census estimate put the city population at 140,371, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati.  Ohio's borders are within of roughly 60 percent of the country's population and manufacturing infrastructure, making the Dayton area a logistical centroid for manufacturers, suppliers, and shippers. Dayton also hosts significant research and development in fields like industrial, aeronautical, and astronautical engineering that have led to many technological innovations. Much of this innovation is due in part to Wright-Patterson Air Force Base and its place in the community. With the decline of heavy manufacturing, Dayton's businesses have diversified into a service economy that includes insurance and legal sectors as well as healthcare and government sectors.  Along with defense and aerospace, healthcare accounts for much of the Dayton area's economy. Hospitals in the Greater Dayton area have an estimated combined employment of nearly 32,000 and a yearly economic impact of $6.8 billion. It is estimated that Premier Health Partners, a hospital network, contributes more than $2 billion a year to the region through operating, employment, and capital expenditures. In 2011, Dayton was rated the #3 city in the nation by HealthGrades for excellence in healthcare. Many hospitals in the Dayton","Dayton, Ohio",Q34739," Dayton () is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2017 U.S. census estimate put the city population at 140,371, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati.  Ohio's borders are within of roughly 60 percent of the country's population and manufacturing infrastructure, making the Dayton area a logistical centroid for manufacturers, suppliers, and shippers. Dayton also hosts significant research and development in fields like industrial, aeronautical, and astronautical engineering that have led to many technological innovations. Much of this innovation is due in part to Wright-Patterson Air Force Base and its place in the community. With the decline of heavy manufacturing, Dayton's businesses have diversified into a service economy that includes insurance and legal sectors as well as healthcare and government sectors.  Along with defense and aerospace, healthcare accounts for much of the Dayton area's economy. Hospitals in the Greater Dayton area have an estimated combined employment of nearly 32,000 and a yearly economic impact of $6.8 billion. It is estimated that Premier Health Partners, a hospital network, contributes more than $2 billion a year to the region through operating, employment, and capital expenditures. In 2011, Dayton was rated the #3 city in the nation by HealthGrades for excellence in healthcare. Many hospitals in the Dayton"
1725,19940118004159I,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",oh,Ohio,Q1397," Ohio is a Midwestern state in the Great Lakes region of the United States. Of the fifty states, it is the 34th largest by area, the seventh most populous, and the tenth most densely populated. The state's capital and largest city is Columbus.  The state takes its name from the Ohio River, whose name in turn originated from the Seneca word "" ohiːyo""', meaning ""good river"", ""great river"" or ""large creek"". Partitioned from the Northwest Territory, Ohio was the 17th state admitted to the Union on March 1, 1803, and the first under the Northwest Ordinance. Ohio is historically known as the ""Buckeye State"" after its Ohio buckeye trees, and Ohioans are also known as ""Buckeyes"".  Ohio rose from the wilderness of Ohio Country west of Appalachia in colonial times through the Northwest Indian Wars as part of the Northwest Territory in the early frontier, to become the first non-colonial ""free"" state admitted to the union, to an industrial powerhouse in the 20th century before transmogrifying to a more information and service based economy in the 21st.  The government of Ohio is composed of the executive branch, led by the Governor; the legislative branch, which comprises the bicameral Ohio General Assembly; and the judicial branch, led by the state Supreme Court. Ohio occupies 16 seats in the United States House of Representatives. Ohio is known for its status as both a swing state and a bellwether in national elections. Six Presidents of the United States have been elected who had Ohio as",Ohio,Q1397," Ohio is a Midwestern state in the Great Lakes region of the United States. Of the fifty states, it is the 34th largest by area, the seventh most populous, and the tenth most densely populated. The state's capital and largest city is Columbus.  The state takes its name from the Ohio River, whose name in turn originated from the Seneca word "" ohiːyo""', meaning ""good river"", ""great river"" or ""large creek"". Partitioned from the Northwest Territory, Ohio was the 17th state admitted to the Union on March 1, 1803, and the first under the Northwest Ordinance. Ohio is historically known as the ""Buckeye State"" after its Ohio buckeye trees, and Ohioans are also known as ""Buckeyes"".  Ohio rose from the wilderness of Ohio Country west of Appalachia in colonial times through the Northwest Indian Wars as part of the Northwest Territory in the early frontier, to become the first non-colonial ""free"" state admitted to the union, to an industrial powerhouse in the 20th century before transmogrifying to a more information and service based economy in the 21st.  The government of Ohio is composed of the executive branch, led by the Governor; the legislative branch, which comprises the bicameral Ohio General Assembly; and the judicial branch, led by the state Supreme Court. Ohio occupies 16 seats in the United States House of Representatives. Ohio is known for its status as both a swing state and a bellwether in national elections. Six Presidents of the United States have been elected who had Ohio as"
1728,19940412011509I,0,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,aircraft popped open on descent.,open,2017 European Diving Championships – Men's 3 metre synchro springboard,Q30322576, ,Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. "
1732,19940305003689A,0,CFI FEATHERED LEFT PROP INSTEAD THROTTLE FOR DEMO ENGINE OUT. UNABLE RAISE GEAR DUE PUMP ON SAME. WONT FLY DIRTY.  ,cfi feathered left prop instead throttle for demo engine out.,cfi,Calculated Ignition Index,Q5018870," The Calculated Ignition Index (CII) is an index of the ignition quality of residual fuel oil.  The running of all internal combustion engines is dependent on the ignition quality of the fuel. For spark-ignition engines the fuel has an octane rating. For diesel engines it depends on the type of fuel, for distillate fuels the cetane numbers are used. Cetane numbers are tested using a special test engine and the existing engine was not made for residual fuels. For residual fuel oil two other empirical indexes are used CII and Calculated Carbon Aromaticity Index (CCAI). Both CII and CCAI are calculated from the density and kinematic viscosity of the fuel. ",Iodotrifluoroethylene,Q11395726, Iodotrifluoroethylene (CFI) is a haloalkene.  
1732,19940305003689A,2,CFI FEATHERED LEFT PROP INSTEAD THROTTLE FOR DEMO ENGINE OUT. UNABLE RAISE GEAR DUE PUMP ON SAME. WONT FLY DIRTY.  ,wont fly dirty.,wont,Wint,Q15854815, WINT or Wint may refer to:        ,Dunt,Q5315751,
1733,19940209001909I,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative: airman/air agency competence: prior to departure of flight 381, from neward, new jersey, the aircraft wa",neward,"Newfield, New Jersey",Q931145," Newfield is a borough in Gloucester County, New Jersey, United States. As of the 2010 United States Census, the borough's population was 1,553, reflecting a decline of 63 (-3.9%) from the 1,616 counted in the 2000 Census, which had in turn increased by 24 (+1.5%) from the 1,592 counted in the 1990 Census.  Newfield was formed as a borough by an act of the New Jersey Legislature on March 8, 1924, from portions of Franklin Township, based on the results of a referendum held on April 1, 1924. In the weeks before the legislature approved the formation of the borough, a group of 240 residents traveled to Trenton by train to lobby on behalf of the creation of an independent municipality. The borough's name derives from its status as a new-field development. ",New Jersey,Q1408," New Jersey is a state in the Mid-Atlantic region of the United States. It is a peninsula, bordered on the north and east by the state of New York; on the east, southeast, and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by the Delaware Bay and Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous, with 9 million residents as of 2017, making it the most densely populated of the 50 U.S. states with its biggest city being Newark. New Jersey lies completely within the combined statistical areas of New York City and Philadelphia. New Jersey was the second-wealthiest U.S. state by median household income as of 2017.  New Jersey was inhabited by Native Americans for more than 2,800 years, with historical tribes such as the Lenape along the coast. In the early 17th century, the Dutch and the Swedes founded the first European settlements in the state. The English later seized control of the region, naming it the Province of New Jersey after the largest of the Channel Islands, Jersey, and granting it as a colony to Sir George Carteret and John Berkeley, 1st Baron Berkeley of Stratton. New Jersey was the site of several important battles during the American Revolutionary War in the 18th century.  In the 19th century, factories in the cities Camden, Paterson, Newark, Trenton, Jersey City, and Elizabeth (known as the ""Big Six""), helped to drive the Industrial Revolution. New Jersey's geographic location"
1733,19940209001909I,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative: airman/air agency competence: prior to departure of flight 381, from neward, new jersey, the aircraft wa",new jersey,New Jersey,Q1408," New Jersey is a state in the Mid-Atlantic region of the United States. It is a peninsula, bordered on the north and east by the state of New York; on the east, southeast, and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by the Delaware Bay and Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous, with 9 million residents as of 2017, making it the most densely populated of the 50 U.S. states with its biggest city being Newark. New Jersey lies completely within the combined statistical areas of New York City and Philadelphia. New Jersey was the second-wealthiest U.S. state by median household income as of 2017.  New Jersey was inhabited by Native Americans for more than 2,800 years, with historical tribes such as the Lenape along the coast. In the early 17th century, the Dutch and the Swedes founded the first European settlements in the state. The English later seized control of the region, naming it the Province of New Jersey after the largest of the Channel Islands, Jersey, and granting it as a colony to Sir George Carteret and John Berkeley, 1st Baron Berkeley of Stratton. New Jersey was the site of several important battles during the American Revolutionary War in the 18th century.  In the 19th century, factories in the cities Camden, Paterson, Newark, Trenton, Jersey City, and Elizabeth (known as the ""Big Six""), helped to drive the Industrial Revolution. New Jersey's geographic location",New Jersey,Q1408," New Jersey is a state in the Mid-Atlantic region of the United States. It is a peninsula, bordered on the north and east by the state of New York; on the east, southeast, and south by the Atlantic Ocean; on the west by the Delaware River and Pennsylvania; and on the southwest by the Delaware Bay and Delaware. New Jersey is the fourth-smallest state by area but the 11th-most populous, with 9 million residents as of 2017, making it the most densely populated of the 50 U.S. states with its biggest city being Newark. New Jersey lies completely within the combined statistical areas of New York City and Philadelphia. New Jersey was the second-wealthiest U.S. state by median household income as of 2017.  New Jersey was inhabited by Native Americans for more than 2,800 years, with historical tribes such as the Lenape along the coast. In the early 17th century, the Dutch and the Swedes founded the first European settlements in the state. The English later seized control of the region, naming it the Province of New Jersey after the largest of the Channel Islands, Jersey, and granting it as a colony to Sir George Carteret and John Berkeley, 1st Baron Berkeley of Stratton. New Jersey was the site of several important battles during the American Revolutionary War in the 18th century.  In the 19th century, factories in the cities Camden, Paterson, Newark, Trenton, Jersey City, and Elizabeth (known as the ""Big Six""), helped to drive the Industrial Revolution. New Jersey's geographic location"
1734,19940209004429I,0,"NARRATIVE: N814AA TOOK OFF ON RUNWAY 1L AT KMCI. JUST AFTER LANDING GEAR WAS RETRACTED A LOUD ""BANG"" WAS HEARD BY B",narrative: n814aa took off on runway 1l at kmci.,kmci,KMCI-TV,Q14704374," KMCI-TV, virtual channel 38 (UHF digital channel 25), is an independent television station licensed to Lawrence, Kansas, United States and serving the Kansas City metropolitan area. The station is owned by the E. W. Scripps Company, as part of a duopoly with Kansas City, Missouri-licensed NBC affiliate KSHB-TV (channel 41). The two stations share studios on Oak Street in Kansas City, Missouri, and transmitter facilities at the Blue River Greenway in the city's Hillcrest section. On cable, KMCI is available on Charter Spectrum and Consolidated Communications channel 8, Comcast Xfinity channel 2 in Kansas and channel 5 in Missouri, and AT&T U-verse and Google Fiber channel 38. There is a high definition feed provided on Spectrum digital channel 1230, Xfinity channel 807, Consolidated channel 632 and U-verse channel 1038. ",KMCI-TV,Q14704374," KMCI-TV, virtual channel 38 (UHF digital channel 25), is an independent television station licensed to Lawrence, Kansas, United States and serving the Kansas City metropolitan area. The station is owned by the E. W. Scripps Company, as part of a duopoly with Kansas City, Missouri-licensed NBC affiliate KSHB-TV (channel 41). The two stations share studios on Oak Street in Kansas City, Missouri, and transmitter facilities at the Blue River Greenway in the city's Hillcrest section. On cable, KMCI is available on Charter Spectrum and Consolidated Communications channel 8, Comcast Xfinity channel 2 in Kansas and channel 5 in Missouri, and AT&T U-verse and Google Fiber channel 38. There is a high definition feed provided on Spectrum digital channel 1230, Xfinity channel 807, Consolidated channel 632 and U-verse channel 1038. "
1736,19940411010619A,2,DEPARTED WITH INOPERATIVE COMPASS. BECAME LOST. LANDED IN OPEN FIELD. TRIED TO DEPART BUT STRUCK TREES ON CLIMBOUT.,landed in open field.,open,Open terrain,Q7096432," Open terrain, open country or open ground is terrain which is mostly flat and free of obstructions such as trees and buildings. Examples include farmland, grassland and specially cleared areas such as an airport.  Such terrain is significant in military manoeuvre and tactics as the lack of obstacles makes movement easy and engagements are possible at long range. Such terrain is preferred to close terrain for offensive action as rapid movement makes decisive battles possible.  Wind loading tends to be high in open country as there are few obstacles providing a windbreak. This affects the design of tall structures such electricity pylons and windmills.  ",Open-field system,Q2142845," The open-field system was the prevalent agricultural system in much of Europe during the Middle Ages and lasted into the 20th century in parts of western Europe, Russia, Iran and Turkey. Under the open-field system, each manor or village had two or three large fields, usually several hundred acres each, which were divided into many narrow strips of land. The strips or selions were cultivated by individuals or peasant families, often called tenants or serfs. The holdings of a manor also included woodland and pasture areas for common usage and fields belonging to the lord of the manor and the church. The farmers customarily lived in individual houses in a nucleated village with a much larger manor house and church nearby. The open-field system necessitated co-operation among the inhabitants of the manor.  The Lord of the Manor, his officials, and a Manorial court administered the manor and exercised jurisdiction over the peasantry. The Lord levied rents and required the peasantry to work on his personal lands, called a demesne.  In medieval times, little land was owned outright. Instead, generally the lord had rights given to him by the king and the tenant rented land from the lord. Lords demanded rents and labour from the tenants, but the tenants had firm user rights to cropland and common land and those rights were passed down from generation to generation. A medieval lord could not evict a tenant nor hire labour to replace him without legal cause. Most tenants likewise were not free without penalty to"
1738,19940313004879A,1,CHECK OUT NEW AIRMAN SHUT DOWN AND FEATHERED LEFT ENGING FOR ENGINE LANDING. HYDRO PUMP LEFT ENGINE. CRASHED.      ,hydro pump left engine.,hydro,Hydropower,Q170196," Hydropower or water power (from , ""water"") is power derived from the energy of falling water or fast running water, which may be harnessed for useful purposes. Since ancient times, hydropower from many kinds of watermills has been used as a renewable energy source for irrigation and the operation of various mechanical devices, such as gristmills, sawmills, textile mills, trip hammers, dock cranes, domestic lifts, and ore mills. A trompe, which produces compressed air from falling water, is sometimes used to power other machinery at a distance.  In the late 19th century, hydropower became a source for generating electricity. Cragside in Northumberland was the first house powered by hydroelectricity in 1878 and the first commercial hydroelectric power plant was built at Niagara Falls in 1879. In 1881, street lamps in the city of Niagara Falls were powered by hydropower.  Since the early 20th century, the term has been used almost exclusively in conjunction with the modern development of hydroelectric power. International institutions such as the World Bank view hydropower as a means for economic development without adding substantial amounts of carbon to the atmosphere, but dams can have significant negative social and environmental impacts. ",Hydropower,Q170196," Hydropower or water power (from , ""water"") is power derived from the energy of falling water or fast running water, which may be harnessed for useful purposes. Since ancient times, hydropower from many kinds of watermills has been used as a renewable energy source for irrigation and the operation of various mechanical devices, such as gristmills, sawmills, textile mills, trip hammers, dock cranes, domestic lifts, and ore mills. A trompe, which produces compressed air from falling water, is sometimes used to power other machinery at a distance.  In the late 19th century, hydropower became a source for generating electricity. Cragside in Northumberland was the first house powered by hydroelectricity in 1878 and the first commercial hydroelectric power plant was built at Niagara Falls in 1879. In 1881, street lamps in the city of Niagara Falls were powered by hydropower.  Since the early 20th century, the term has been used almost exclusively in conjunction with the modern development of hydroelectric power. International institutions such as the World Bank view hydropower as a means for economic development without adding substantial amounts of carbon to the atmosphere, but dams can have significant negative social and environmental impacts. "
1743,19940311010119I,0,"NARRATIVE: N8011Z, AC-206, PILOTED BY EDGAR C. MC GEE, A PRIVATE PILOT HOLDING CERTIFICATE #248744006, DEPARTED RUN","narrative: n8011z, ac-206, piloted by edgar c. mc gee, a private pilot holding certificate #248744006, departed run",edgar,Edgar Culbertson,Q5337195," Edgar A. ""Ed"" Culbertson was a United States Coast Guard Boatswain's Mate First Class (BM1) who died April 30, 1967 while trying to rescue three teenage brothers during a fierce storm in Duluth, Minnesota. ",Edgar Gott,Q15997484," Edgar Nathaniel Gott (May 2, 1887 – July 17, 1947) was an early American aviation industry executive. A co-founder and first president of The Boeing Company, Gott was a senior executive of several aircraft companies, including Fokker and Consolidated Aircraft. "
1745,19931215047419A,4,POST MAINTENANCE TEST FLIGHT. FLIGHT CONTROL FLUTTER AT 190MPH. SLOWED AND LANDED. FRACTURED SPAR. AILERON BUCKLED.,aileron buckled.,aileron,Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. ",Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. "
1746,19940329008349A,0,ON APPROACH TO OLV ADDED POWER TO LEVEL OFF. ENGINE FAILED RESPOND. STRUCK TREES LANDING. CARB ICE. WATER IN FUEL. ,on approach to olv added power to level off.,olv,Olinger Strip,https://en.wikipedia.org/wiki?curid=15006427," Olinger Strip Airport is a private airport located 3 miles west of Hillsboro in Washington County, Oregon, USA. Located in the unincorporated community of Leisyville, the air strip is a single, long runway with houses running the length of the field on the north of the strip. ",Olomouc,Q81137," Olomouc (, ; locally or ; ; Latin: ""Olomucium"" or ""Iuliomontium""; ; ) is a city in Moravia, in the east of the Czech Republic. Located on the Morava River, the city is the ecclesiastical metropolis and was a historical capital city of Moravia, before having been sacked by the Swedish army during the Thirty Years' War. Today, it is the administrative centre of the Olomouc Region and the sixth largest city in the Czech Republic. The city has about 100,000 residents, and its larger urban zone has a population of about 480,000 people. "
1746,19940329008349A,3,ON APPROACH TO OLV ADDED POWER TO LEVEL OFF. ENGINE FAILED RESPOND. STRUCK TREES LANDING. CARB ICE. WATER IN FUEL. ,carb ice.,carb ice,Water ice,Q7973512, Water ice could refer to:  ,Shaved ice,Q7491078," Shaved ice is a large family of ice-based dessert made of fine shavings of ice or finely crushed ice and sweet condiments or syrups. Usually, the syrup is added after the ice has been frozen and shaved—typically at the point of sale. However, flavoring can also be added before freezing. The dessert is consumed worldwide in various forms and manners. Shaved ice can also be mixed with large quantities of liquid to produce shaved ice drinks.  Many shaved ices are confused with ""Italian ice"". ""Italian ice"", also known as ""water ice"", has the flavoring incorporated into the ice before it is frozen (although some commercial brands are flavored after production). Shaved ice—especially highly commercial shaved ice (such as that found in food chains or from street vendors)—is often flavored after the ice has been frozen and shaved. Snow cones are an example of shaved ice that is flavored after production. "
1750,19940122007719I,0,"NARRATIVE: THE PILOT-IN-COMMAND, A CERTIFIED FLIGHT INSTRUCTOR (CFI) WROTE, ""THE STUDENT PILOT IS A QUALIFIED SOLO ","narrative: the pilot-in-command, a certified flight instructor (cfi) wrote, ""the student pilot is a qualified solo",cfi,Flight instructor,Q379318," A flight instructor is a person who teaches others to fly aircraft. Especially Rotor/Helicopter Flight Instructors. Specific privileges granted to holders of a flight instructor qualification vary from country to country, but very generally, a flight instructor serves to enhance or evaluate the knowledge and skill level of an aviator in pursuit of a higher pilot's license, certificate or rating. ",Corporate Finance Institute,Q46129046," Corporate Finance Institute (CFI) is a financial analyst certification organization that provides online training and education for finance and investment professionals, including courses for financial modelling, valuation, and other corporate finance topics. The organization offers many courses that are aimed to provide students a well-rounded set of skills for modern finance, such as Microsoft Excel, accounting, presentation and visuals, and business strategy. All CFI courses are entirely offered online. CFI is the official provider of the Financial Modeling & Valuation Analyst (FMVA) designation.  The organization was incorporated as a joint venture with MDA Training (MDA), a London-based financial training company founded in 1988 by Professor Walter Reid, who was one of the founding professors of the London Business School (LBS). "
1753,19940228006769A,0,TOW LINE RELEASED BY LINEMAN NOT BY PILOT. BLEW BACK AND CAUGHT GUY WIRE. PULLED LEFT. PILOT RELEASED LINE TO LATE.,tow line released by lineman not by pilot.,tow line,Tow hitch,Q545837," A tow hitch (or tow bar) is a device attached to the chassis of a vehicle for towing, or a towbar to an aircraft nose gear. It can take the form of a tow ball to allow swiveling and articulation of a trailer, or a tow pin, or a tow hook with a trailer loop, often used for large or agricultural vehicles where slack in the pivot pin allows similar movements. Another category is the towing pintle used on military vehicles worldwide. ",Tugboat,Q191826," A tugboat (also called a towboat or simply a tug) is a type of vessel that maneuvers other vessels by pushing or pulling them either by direct contact or by means of a tow line. Tugs typically move vessels that either are restricted in their ability to maneuver on their own, such as ships in a crowded harbor or a narrow canal, or those that cannot move by themselves, such as barges, disabled ships, log rafts, or oil platforms. Tugboats are powerful for their size and strongly built, and some are ocean-going. Some tugboats serve as icebreakers or salvage boats. Early tugboats had steam engines, but today most have diesel engines. Many tugboats have firefighting monitors, allowing them to assist in firefighting, especially in harbors. "
1754,19940111024519I,0,"NARRATIVE: ON JANUARY 1, 1994, CONVAIR 440/580, N5123, OPERATED BY GENERAL MOTORS AIR TRANSPORTATION, PILOTED BY CA","narrative: on january 1, 1994, convair 440/580, n5123, operated by general motors air transportation, piloted by ca",convair,Convair,Q836947," Convair, previously Consolidated Vultee, was an American aircraft manufacturing company that later expanded into rockets and spacecraft. The company was formed in 1943 by the merger of Consolidated Aircraft and Vultee Aircraft. In 1953 it was purchased by General Dynamics, and operated as their Convair Division for most of its corporate history.  Convair is best known for its military aircraft; it produced aircraft such as the Convair B-36 Peacemaker, the F-102 Delta Dagger, the F-106 Delta Dart, and the B-58 Hustler bombers. It also manufactured the first Atlas rockets, including the rockets that were used for the manned orbital flights of Project Mercury. The company's subsequent Atlas-Centaur design continued this success and derivatives of the design remain in use as of 2019.  The company also entered the jet airliner business with its Convair 880 and Convair 990 designs. These were smaller than contemporary aircraft like the Boeing 707 and Douglas DC-8, but somewhat faster than either. This combination of features failed to find a profitable niche and the company exited the airliner design business. However, the manufacturing capability built up for these projects proved very profitable and the company became a major subcontractor for airliner fuselages.  In 1994 most of the company's divisions were sold by General Dynamics to McDonnell Douglas and Lockheed, with the remaining components deactivated in 1996. ",Convair,Q836947," Convair, previously Consolidated Vultee, was an American aircraft manufacturing company that later expanded into rockets and spacecraft. The company was formed in 1943 by the merger of Consolidated Aircraft and Vultee Aircraft. In 1953 it was purchased by General Dynamics, and operated as their Convair Division for most of its corporate history.  Convair is best known for its military aircraft; it produced aircraft such as the Convair B-36 Peacemaker, the F-102 Delta Dagger, the F-106 Delta Dart, and the B-58 Hustler bombers. It also manufactured the first Atlas rockets, including the rockets that were used for the manned orbital flights of Project Mercury. The company's subsequent Atlas-Centaur design continued this success and derivatives of the design remain in use as of 2019.  The company also entered the jet airliner business with its Convair 880 and Convair 990 designs. These were smaller than contemporary aircraft like the Boeing 707 and Douglas DC-8, but somewhat faster than either. This combination of features failed to find a profitable niche and the company exited the airliner design business. However, the manufacturing capability built up for these projects proved very profitable and the company became a major subcontractor for airliner fuselages.  In 1994 most of the company's divisions were sold by General Dynamics to McDonnell Douglas and Lockheed, with the remaining components deactivated in 1996. "
1754,19940111024519I,0,"NARRATIVE: ON JANUARY 1, 1994, CONVAIR 440/580, N5123, OPERATED BY GENERAL MOTORS AIR TRANSPORTATION, PILOTED BY CA","narrative: on january 1, 1994, convair 440/580, n5123, operated by general motors air transportation, piloted by ca",ca,CAE Inc.,Q180922," CAE Inc. (formerly Canadian Aviation Electronics) is a Canadian manufacturer of simulation technologies, modelling technologies and training services to airlines, aircraft manufacturers, healthcare specialists, and defence customers. CAE was founded in 1947, and has manufacturing operations and training facilities in 35 countries. In 2017, the company's annual revenue was CAD $2.705 billion. ",CA Technologies,Q600624," CA Technologies, formerly known as Computer Associates International, Inc. and CA, Inc., is an American multinational corporation headquartered in New York City. Since November 5, 2018, the company has been a subsidiary of Broadcom Inc.  Prior to the Broadcom acquisition, CA was ranked as one of the largest independent software corporations in the world. The company creates systems software and applications software that runs in mainframe, distributed computing, virtual machine, cloud computing environments, mobile devices and the Internet of Things (IoT). The company had been a provider of anti-virus and Internet security commercial software programs for personal computers. Today, it is primarily known for its business-to-business (B2B) software with a product portfolio focused on agile software development, DevOps and computer security software spanning across a wide range of environments such as mainframe, distributed computing, cloud computing and mobile devices. CA Technologies states that its computer software products are used by ""a majority of the Fortune Global 500 companies, government organizations, educational institutions, and thousands of other companies in diverse industries worldwide.""  CA Technologies maintains offices in more than 40 countries and employs approximately 11,300 people. CA holds more than 1,500 patents worldwide, and has more than 900 patent applications pending. It was headquartered on Long Island for most of its history, at first Jericho, NY and Garden City in Nassau County, then Suffolk County for 22 years in Islandia before moving to Manhattan in June 2014. It was once the second-largest software company in the United States.  The company avoided indictment for"
1756,19940318005589A,4,NIGHT APPROACH. LOST LEFT ENGINE DUE FUEL STARVATION. NOT FEATHERED. GEAR DOWN. BELOW VMC. HIT TREES. BAD GAUGES.  ,below vmc.,vmc,VMC,Q403268, VMC may refer to:     ,VMCA,Q7907200, VMCA is an abbreviation for  
1760,19940903036459I,0,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,lost left wheel assembly landing on grass strip.,grass strip,Runway,Q184590," According to the International Civil Aviation Organization (ICAO), a runway is a ""defined rectangular area on a land aerodrome prepared for the landing and takeoff of aircraft"". Runways may be a man-made surface (often asphalt, concrete, or a mixture of both) or a natural surface (grass, dirt, gravel, ice, or salt). Runways, as well as taxiways and ramps, are sometimes referred to as “tarmac,” though very few runways are built using tarmac. ",Runway,Q184590," According to the International Civil Aviation Organization (ICAO), a runway is a ""defined rectangular area on a land aerodrome prepared for the landing and takeoff of aircraft"". Runways may be a man-made surface (often asphalt, concrete, or a mixture of both) or a natural surface (grass, dirt, gravel, ice, or salt). Runways, as well as taxiways and ramps, are sometimes referred to as “tarmac,” though very few runways are built using tarmac. "
