,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
109,19960603016879I,1953,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative : pilot departed olive branch , ms and during climb out the left door popped open .",pilot,PHYS,olive branch
110,19960714025059I,1965,0,NARRATIVE: PILOT WAS SPRAYING A MILLET FIELD. EXPERIENCED POWER LOSS ON LAST PASS. MADE A FORCED LANDING IN A CORN ,narrative : pilot was spraying a millet field .,pilot,PHYS,field
111,19960817029279I,1975,0,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI","narrative : mooney n253tm , a mooney 020m , departed bozeman , montana , gallatin field , and returned for landing immedi",bozeman,PART-WHOLE,montana
112,19961015037589I,1985,0,NARRATIVE: AT APPROX. 1700 CST MR. FRYE TAXIED HIS CHALLENGER II FOR AN INTERSECTION TAKEOFF ON A PRIVATE GRASS STR,1700 cst mr. frye taxied his challenger ii for an intersection takeoff on a private grass str,his,ART,challenger ii
113,19961104034789A,1987,0,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED. (.4)THE NONI","vfr pilot flying into ifr conditions , unable to land due to weather , vectored to tea airport , crashed .",pilot,PHYS,tea airport
114,19961104034789A,1987,0,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED. (.4)THE NONI","vfr pilot flying into ifr conditions , unable to land due to weather , vectored to tea airport , crashed .",pilot,ORG-AFF,vfr
115,19961120040099I,1993,0,"NARRATIVE: DURING A CROSS COUNTRY FLIGHT FROM SIOUX FALLS, SD TO OMAHA, NE THE TOP ENTRANCE DOOR HALF CAME OPEN AT ","narrative : during a cross country flight from sioux falls , sd to omaha , ne the top entrance door half came open at",sioux falls,PART-WHOLE,sd
116,19961222039699A,2000,1,FAILED TO STOW SPOILERS FOR GLIDER TOW. THEY DEPLOYED. GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY.  ,glider pilot cut lose from tow but hit trees short runway .,pilot,ART,glider
117,19970116005549I,2002,0,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","narrative : on january 16 , 1997 , a beech 99 , owned and operated by alpine air of provo , utah , had departed billings ,",provo,PART-WHOLE,utah
118,19970309007699I,2011,0,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector municipal airport,PART-WHOLE,hector
119,19970309007699I,2011,0,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector,PART-WHOLE,mn
120,19970407005459A,2018,0,THE PILOT EXITED THE AIRCRAFT IN ORDER TO ESCORT A DEPLANING PASSENGER. THE STUDENT PILOT RATED PASSENGER WAS LEFT ,the pilot exited the aircraft in order to escort a deplaning passenger .,pilot,ART,aircraft
121,19961030044759I,2020,0,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ","narrative : private pilot , in a single engine cessna , on a vfr flight with one passenger , made an emergency landing",pilot,ART,cessna
122,19970501015019I,2021,0,"NARRATIVE: AIRCRAFT DEPARTED BIRCHWOOD, AK AIRPORT ON A SHORT PLEASURE FLIGHT. THE LEFT MAIN GEAR FAILED TO EXTEND ","narrative : aircraft departed birchwood , ak airport on a short pleasure flight .",birchwood,PART-WHOLE,ak airport
123,19970427014569I,2025,0,"NARRATIVE: ON 04/27/97 AT 6:25 A CESSNA CARAVAN, N303GV, DEPARTED KOTZEBUE, ALASKA WITH THE TAIL STAND ATTACHED.   ","narrative : on 04/27/97 at 6:25 a cessna caravan , n303gv , departed kotzebue , alaska with the tail stand attached .",kotzebue,PART-WHOLE,alaska
124,19970826028809I,2043,0,"NARRATIVE: AFTER DEPARTURE FROM MARLBORO AIRPORT, MARLBORO, NJ UNDER VISUAL METEOROLOGICAL CONDITION (VMC), THE PIL","narrative : after departure from marlboro airport , marlboro , nj under visual meteorological condition ( vmc ) , the pil",marlboro,PART-WHOLE,nj
125,19970826028809I,2043,0,"NARRATIVE: AFTER DEPARTURE FROM MARLBORO AIRPORT, MARLBORO, NJ UNDER VISUAL METEOROLOGICAL CONDITION (VMC), THE PIL","narrative : after departure from marlboro airport , marlboro , nj under visual meteorological condition ( vmc ) , the pil",marlboro airport,PART-WHOLE,marlboro
126,19970908038069A,2051,1,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,pilot failed note ramp person tied skids due high wind .,person,ART,skids
127,19970921027739A,2055,0,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",( .4 ) the pilot was planning to ferry his airplane from a privat,his,ART,airplane
128,19971226042729I,2064,0,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,nr2 engine fire while loading passengers at gate .,passengers,PHYS,gate
129,19970810027479I,2079,0,NARRATIVE: PILOT FUELED AIRCRAFT AND PLACED FUEL SELECTOR ON LEFT TANK. PILOT BOARDED HIS TWO DOGS AND UPON HIS ENT,narrative : pilot fueled aircraft and placed fuel selector on left tank .,pilot,ART,aircraft
130,19980409012039I,2080,0,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,narrative : upon landing aircraft pilot lost control ( unknown reason ) and recovery positioned aircraft perpendicular,pilot,ART,aircraft
131,19980409012039I,2080,0,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,narrative : upon landing aircraft pilot lost control ( unknown reason ) and recovery positioned aircraft perpendicular,pilot,ART,aircraft
132,19970813034319I,2084,0,"NARRATIVE: PILOT REPORTED ENGINE SPUTTERED AND QUIT ON APPROACH TO ANOKA, MN AIRPORT. TRIED RESTARTING WITH NO EFFE","narrative : pilot reported engine sputtered and quit on approach to anoka , mn airport .",airport,PART-WHOLE,anoka
133,19980620030289I,2099,0,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","mr. kadera then attempted to land in a field but was forced to land on highway 93. three miles east of sunmer , iowa",kadera,PHYS,field
134,19980620030289I,2099,0,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","mr. kadera then attempted to land in a field but was forced to land on highway 93. three miles east of sunmer , iowa",sunmer,PART-WHOLE,iowa
135,19980620030289I,2099,0,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","mr. kadera then attempted to land in a field but was forced to land on highway 93. three miles east of sunmer , iowa",kadera,PHYS,sunmer
136,19980702015809A,2103,0,"ACFT CRASHED AFTER TAKEOFF, BLISSFIELD, MI (.19)ON JULY 2, 1998, AT 0800 EASTER DAYLIGHT TIME (EDT), W WICKS FLY BA","acft crashed after takeoff , blissfield , mi ( .19 ) on july 2 , 1998 , at 0800 easter daylight time ( edt ) , w wicks fly ba",blissfield,PART-WHOLE,mi
137,19971008030469I,2104,0,"NARRATIVE: ON OCTOBER 7, 1997 AT APPROXIMATELY 1800 EDT A BEECHCRAFT BE58, N18BZ DEPARTED FROM GAYLORD, MI (GLR) WI","narrative : on october 7 , 1997 at approximately 1800 edt a beechcraft be58 , n18bz departed from gaylord , mi ( glr ) wi",gaylord,PART-WHOLE,mi
138,19980712030299I,2105,0,THE PILOT WAS TAXIING THE AIRCRAFT INTO THE WIND WITH THE CONTROLS TIED BACK WITH THE SEAT BELT. THE AIRCRAFT WENT ,the pilot was taxiing the aircraft into the wind with the controls tied back with the seat belt .,pilot,ART,aircraft
139,19980714024869A,2107,0,(-23)A/C TRIED TO RETURN TO THE AIRPORT AFTER TAKEOFF DUE TO OIL ON THE WINDSHIELDS. INSTALLATION OF THE AIRCRAFT S,( -23 ) a/c tried to return to the airport after takeoff due to oil on the windshields .,a/c,PHYS,airport
140,19980823038089I,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","( -5 ) ifr flight , rexburg , idaho to gunnison , co. , pilot requested diversion to idaho falls ( ida ) after having smoke",rexburg,PART-WHOLE,idaho
141,19980823038089I,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","( -5 ) ifr flight , rexburg , idaho to gunnison , co. , pilot requested diversion to idaho falls ( ida ) after having smoke",pilot,PHYS,idaho falls
142,19981030031049A,2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover , crashed on airport property off rwy .",pilot,PHYS,property
143,19981030031049A,2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover , crashed on airport property off rwy .",property,PART-WHOLE,airport
144,19981003041069I,2133,0,"(-5)AIRCRAFT PARKED ON GRASS BY GROUND CREW. ON DEPARTURE WHILE TAXIING TO THE PAVED TAXIWAY, THE NOSE GEAR FELL IN",( -5 ) aircraft parked on grass by ground crew .,crew,PHYS,grass
145,19981003041069I,2133,0,"(-5)AIRCRAFT PARKED ON GRASS BY GROUND CREW. ON DEPARTURE WHILE TAXIING TO THE PAVED TAXIWAY, THE NOSE GEAR FELL IN",( -5 ) aircraft parked on grass by ground crew .,crew,ART,aircraft
146,19980313008779I,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative : the pilot fueled the aircraft at salinas , ca .",salinas,PART-WHOLE,ca
147,19980313008779I,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative : the pilot fueled the aircraft at salinas , ca .",pilot,PHYS,salinas
148,19980313008779I,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative : the pilot fueled the aircraft at salinas , ca .",pilot,ART,aircraft
149,19981122032029A,2143,0,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( -23 ) mr. hicks was flying from sauk center , mn .",sauk center,PART-WHOLE,mn
150,19981122032029A,2143,0,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( -23 ) mr. hicks was flying from sauk center , mn .",hicks,PHYS,sauk center
151,19981122032029A,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( d39 ) to carroll , ia ( cin ) .",carroll,PART-WHOLE,ia
152,19990130042099A,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","( .4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten",he,ART,airplane
153,19990130042099A,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","( .4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten",airstrip,PHYS,pleasant view
154,19990130042099A,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","( .4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten",friend,ART,airstrip
155,19990415020099I,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa , flight 580 departed runway 32 at lincoln , ne .",lincoln,PART-WHOLE,ne
156,19980617028129I,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17 , 1998 , an as-350-ba helicopter departed lihue airport on the island of kauai , hawaii , the pilot had negl",lihue airport,PART-WHOLE,island
157,19990511020019I,2166,0,AIRCRAFT LANDED GEAR UP ON RUNWAY #1 AT ALBANY INTERNATIONAL AIRPORT. PILOT WAS IN THE PROCESS OF PERFORMING AN EME,aircraft landed gear up on runway # 1 at albany international airport .,runway,PART-WHOLE,albany international airport
158,19990613006919A,2168,0,"ACFT CRASHED INTO A SWAMP UNDER UNKNOWN CIRCUMSTANCES, AND THE PILOT WAS TAKEN TO THE HOSPITAL WITH UNKNOWN INJURIE","acft crashed into a swamp under unknown circumstances , and the pilot was taken to the hospital with unknown injurie",pilot,PHYS,hospital
159,19990526022619I,2171,0,"(-5) ON MAY 26, 1999, AT APPROXIMATELY 7:05 AM MDT MESA AIRLINES FLIGHT 105, A BE-1900D, TAXIED FROM THE MESA RAMP ","( -5 ) on may 26 , 1999 , at approximately 7:05 am mdt mesa airlines flight 105 , a be-1900d , taxied from the mesa ramp",mesa airlines,ART,flight 105
160,19980817031319I,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach ( k15 ) on runway 14 enroute to kansas city , missouri .",kansas city,PART-WHOLE,missouri
161,19990701022969I,2178,0,"(-23) APPROX. 8 MILES NORTH EAST OF BUNTING FIELD (DEPARTURE POINT) AT 800 FEET, THE PILOT EXPERIENCED LIGHT-MODERA","8 miles north east of bunting field ( departure point ) at 800 feet , the pilot experienced light-modera",pilot,PHYS,bunting field
162,19990722047379A,2184,0,"(.4) WAITING ON THE RAMP FOR TAXI INSTRUCTIONS, THE COPILOT BROUGHT TO THE CAPTAIN'S ATTENTION THAT THE GEAR LOCK H","( .4 ) waiting on the ramp for taxi instructions , the copilot brought to the captain 's attention that the gear lock h",copilot,PHYS,ramp
163,19991105036659A,2189,0,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),","( -23 ) mr. karup was providing supervision to a student pilot on a cross country flight from jacksonville , nc ( oaj ) ,",jacksonville,PART-WHOLE,nc
164,19981115045229I,2190,0,(-5) WHILE TAXIING FROM THE HANGER 6 WEST AT THE PURDUE AIRPORT (LAF) THE STUDENT PILOT LOST CONTROL OF THE AIRCRAF,( -5 ) while taxiing from the hanger 6 west at the purdue airport ( laf ) the student pilot lost control of the aircraf,pilot,ART,aircraf
165,19981115045229I,2190,0,(-5) WHILE TAXIING FROM THE HANGER 6 WEST AT THE PURDUE AIRPORT (LAF) THE STUDENT PILOT LOST CONTROL OF THE AIRCRAF,( -5 ) while taxiing from the hanger 6 west at the purdue airport ( laf ) the student pilot lost control of the aircraf,pilot,PHYS,purdue airport
166,19991217045189A,2193,0,"(.4) ON DECEMBER 17, 1999, AT 1024 HOURS PACIFIC STANDARD TIME, A CESSNA 172N, N738UA, OPERATED BY THE PILOT WAS SU","( .4 ) on december 17 , 1999 , at 1024 hours pacific standard time , a cessna 172n , n738ua , operated by the pilot was su",pilot,ART,172n
167,19991210035729I,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",palm springs,PART-WHOLE,ca
168,19991210035729I,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",pilot,PHYS,oceanside
169,19991210035729I,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",pilot,ART,n789sl
170,19990714022959I,2210,0,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,( -23 ) according to the pilot he departed front range airport during the hours of darkness .,he,PHYS,front range airport
171,19990717035079A,2213,1,(.4) THE HELICOPTER LOST ENGINE POWER DURING TAKEOFF DUE TO CONTAMINATED FUEL. THE COMMERCIAL HELICOPTER PILOT STAT,the commercial helicopter pilot stat,pilot,ART,helicopter
172,19990802033029I,2214,0,"(-23) ON AUG. 2, 1999, N711BN, A BE-90, DEPARTED FROM WEST PALM BEACH INT'L WITH PILOT DUANE CRITHFIELD, CERTIFICAT","( -23 ) on aug. 2 , 1999 , n711bn , a be-90 , departed from west palm beach int ' l with pilot duane crithfield , certificat",duane crithfield,PHYS,west palm beach int ' l
173,19990928027529I,2219,1,(-23) OPERATOR EXPERIENCED LOW OIL PRESSURE INDICATION ON CLIMB. OPERATOR RETURNED TO AIRPORT AND MADE A NORMAL LAN,operator returned to airport and made a normal lan,operator,PHYS,airport
174,19950823036769I,2227,1,POSITIONING FLIGHT LOST CABIN DOOR OFF AIRCRAFT. CABIN CREWMAN APPARENTLY FAILED LATCH DOOR. WARNING LIGHT INOP.   ,cabin crewman apparently failed latch door .,crewman,ART,cabin
175,19950921032619A,2229,0,HOPPER FIRE INFLIGHT. PILOT LANDED ON ROAD BETWEEN TREES. SULPHUR DUST A FACTOR. NON COMPLIANCE WITH ADS ON SUBJECT,pilot landed on road between trees .,pilot,PHYS,road
176,19960307003679I,2241,0,"NARRATIVE: AIRCRAFT DEPARTED FORT SMITH, ARKANSAS. DURING GEAR RETRACTION, THE LANDING GEAR CIRCUIT BREAKER POPPED.","narrative : aircraft departed fort smith , arkansas .",fort smith,PART-WHOLE,arkansas
177,19960603025369I,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative : on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",chicago,PART-WHOLE,il
178,19960603025369I,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative : on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",san antonio,PART-WHOLE,tx
179,19961016038619I,2262,0,"NARRATIVE: ON OCTOBER 16, 1996, MR. CARL N. LEWIS, PILOT-IN-COMMAND OF MOONEY, N9266V, TOOK OFF FROM MONTGOMERY AIR","narrative : on october 16 , 1996 , mr. carl n. lewis , pilot-in-command of mooney , n9266v , took off from montgomery air",carl n. lewis,PHYS,montgomery air
180,19970405045919A,2270,0,(.4) THE PILOT FUELED HIS AIRPLANE AND FLEW A CROSS COUNTRY FLIGHT FOR A TOTAL DURATION OF 4 HOURS. AFTER LANDING B,( .4 ) the pilot fueled his airplane and flew a cross country flight for a total duration of 4 hours .,his,ART,airplane
181,19970405045919A,2270,0,(.4) THE PILOT FUELED HIS AIRPLANE AND FLEW A CROSS COUNTRY FLIGHT FOR A TOTAL DURATION OF 4 HOURS. AFTER LANDING B,( .4 ) the pilot fueled his airplane and flew a cross country flight for a total duration of 4 hours .,pilot,ART,airplane
182,19970629018519A,2281,0,DEPARTED ENGINE NOT HEATHY CONTINUED. MORE POWER LOSS. HIT WIRES LDG ON 135. (-23) THE PILOT DEPARTED PAULS VALLEY ,( -23 ) the pilot departed pauls valley,pilot,PHYS,pauls valley
183,19970830044119I,2286,0,NARRATIVE: AIRCRAFT LOST POWER AND LANDED IN CORN FIELD APPROXIMATELY ONE MILE SHORT OF SHANNON AIRPORT. MINOR DAMA,narrative : aircraft lost power and landed in corn field approximately one mile short of shannon airport .,corn field,PHYS,shannon airport
184,19970914032469I,2287,0,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","narrative : ms. lunken departed nashua , nh enroute to altoona , pa. in the vicinity of wilkes-barre , pa she observed",lunken,PHYS,nashua
185,19970914032469I,2287,0,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","narrative : ms. lunken departed nashua , nh enroute to altoona , pa. in the vicinity of wilkes-barre , pa she observed",nashua,PART-WHOLE,nh
186,19970914032469I,2287,0,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","narrative : ms. lunken departed nashua , nh enroute to altoona , pa. in the vicinity of wilkes-barre , pa she observed",lunken,PHYS,altoona
187,19971230039709A,2290,0,"(.4)THE PILOT LANDED AT WATERTOWN, LOADED AND OFF-LOADED CARGO, AND DEPARTED WITHOUT GETTING OUT OF THE AIRPLANE. A","( .4 ) the pilot landed at watertown , loaded and off-loaded cargo , and departed without getting out of the airplane .",pilot,PHYS,watertown
188,19980130003679I,2291,0,"NARRATIVE: ON FEBRUARY 11, 1998, AT APPROXIMATELY 1615 MST, A BIG SKY AIRLINES SA-227, FLIGHT 1204, BEING OPERATED ","narrative : on february 11 , 1998 , at approximately 1615 mst , a big sky airlines sa-227 , flight 1204 , being operated",big sky airlines,ART,sa-227
189,19981001042209A,2311,0,"(.19) ON OCTOBER 1, 1998, AT 1230 CENTRAL DAYLIGHT TIME, A DIAMOND AIRCRAFT INDUSTRIES DA 20-A1 AIRPLANE, N527SS, W","( .19 ) on october 1 , 1998 , at 1230 central daylight time , a diamond aircraft industries da 20-a1 airplane , n527ss , w",diamond aircraft industries,ART,airplane
190,19981008045999A,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","( .4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles",pilot,PHYS,airport
191,19981008045999A,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","( .4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles",pilot,ORG-AFF,airline
192,19990126015169I,2316,0,"ENROUTE TO PICK UP PATIENT AT HOSPITAL, PILOT FELT WHAT HE THOUGHT WAS TURBULENCE FOLLOWED BY A RUSHING AIR NOISE. ","enroute to pick up patient at hospital , pilot felt what he thought was turbulence followed by a rushing air noise .",patient,PHYS,hospital
193,19990506015529I,2321,0,"ON 5/6/99 AT APPROXIMATELY 1608C, DELTA 789 DEPARTED RUNWAY 36 BOUND FOR SAN FRANCISCO, CA. SHORTLY AFTER TAKEOFF T","on 5/6/99 at approximately 1608c , delta 789 departed runway 36 bound for san francisco , ca .",san francisco,PART-WHOLE,ca
194,19990816019439I,2322,0,"(-23)AFTER LANDING, TAXIED ON TAXIWAY PAPA WAS MARCHALLED BY GROUP PERSONNEL INTO THE ATLANTIC FBO RAMP, HIT A RECE","( -23 ) after landing , taxied on taxiway papa was marchalled by group personnel into the atlantic fbo ramp , hit a rece",personnel,PHYS,ramp
195,19990816019439I,2322,0,"(-23)AFTER LANDING, TAXIED ON TAXIWAY PAPA WAS MARCHALLED BY GROUP PERSONNEL INTO THE ATLANTIC FBO RAMP, HIT A RECE","( -23 ) after landing , taxied on taxiway papa was marchalled by group personnel into the atlantic fbo ramp , hit a rece",personnel,ORG-AFF,group
196,19990904035409I,2323,0,(-23) PILOT DEPARTED A PRIVATE RANCH FOR A FOUR (4) MILE ENROUTE TRIP TO ANOTHER RANCH. AFTER TAKEOFF PILOT REALIZE,( -23 ) pilot departed a private ranch for a four ( 4 ) mile enroute trip to another ranch .,pilot,PHYS,ranch
197,19990904035409I,2323,0,(-23) PILOT DEPARTED A PRIVATE RANCH FOR A FOUR (4) MILE ENROUTE TRIP TO ANOTHER RANCH. AFTER TAKEOFF PILOT REALIZE,( -23 ) pilot departed a private ranch for a four ( 4 ) mile enroute trip to another ranch .,pilot,PHYS,ranch
198,19991109047809A,2329,0,"(-23) ON TUESDAY, NOVEMBER 9, 1999 AT 1500 HOURS LOCAL, PILOT T. O'CONNELL ATTEMPTED A TAKE-OFF FROM CANANDAIGUA AI","( -23 ) on tuesday , november 9 , 1999 at 1500 hours local , pilot t. o'connell attempted a take-off from canandaigua ai",t. o'connell,PHYS,canandaigua
199,19991223042329I,2330,0,"(-23)^PRIVACY DATA ^ A PRIVATE PILOT WHILE FLYING N9023Q, A BEECH BE-58-58, ENROUTE AT 12,000 TO KMSN HAD THE FRONT","( -23 ) ^privacy data ^ a private pilot while flying n9023q , a beech be-58-58 , enroute at 12,000 to kmsn had the front",pilot,ART,n9023q
200,20000526035169I,2343,0,"(-23)ON MAY 26, 2000, N4628C DEPARTED RUNWAY 22, CULPEPER, VA (W49) ON A PERSONAL FLIGHT SUBSEQUENT TO MAINTENANCE ","( -23 ) on may 26 , 2000 , n4628c departed runway 22 , culpeper , va ( w49 ) on a personal flight subsequent to maintenance",culpeper,PART-WHOLE,va
201,20000604033149I,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",reading airport,PART-WHOLE,reading
