,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
97,20011019029729I,2427,0,"(-23) PILOT STATEMENT: ON FRIDAY, OCTOBER 19, 2001, AT 6:45 AM, AT LOVE AIRFIELD IN PRESCOTT, ARIZONA, THE PLANE A ","( -23 ) pilot statement : on friday , october 19 , 2001 , at 6:45 am , at love airfield in prescott , arizona , the plane a",love airfield,PART-WHOLE,prescott
98,20010822023659I,2431,0,"(-23) ON A FLIGHT FROM GARDEN VALLEY AIRPORT TO BOISE, IDAHO, THE ENGINE QUIT SUDDENLY. THE PILOT MADE AN ENGINE OU","( -23 ) on a flight from garden valley airport to boise , idaho , the engine quit suddenly .",boise,PART-WHOLE,idaho
99,20011013029489I,2433,0,"(-23) ON OCTOBER 13, 2001, A CESSNA CE-172, N2529L, MADE AN EMERGENCY LANDING ON A FROZEN LAKE NEAR THE VILLAGE OF ","( -23 ) on october 13 , 2001 , a cessna ce-172 , n2529l , made an emergency landing on a frozen lake near the village of",lake,PHYS,village
100,20011111035809I,2439,0,(-23) AFTER TAKE OFF ACFT HAD POWER FAILURE. PILOT FLEW BY TOWER AND CONFIRMED ALL GEAR DOWN. ACFT LANDED AND NOSE ,pilot flew by tower and confirmed all gear down .,pilot,PHYS,tower
101,20020324004129I,2452,0,"(-23) THE PILOT DEPARTED MOWATA AIRPORT IN EUNICE, LOUISIANA AND ARRIVED IN MIDLAND, TEXAS (MAF) WITHOUT ANY KNOWN ","( -23 ) the pilot departed mowata airport in eunice , louisiana and arrived in midland , texas ( maf ) without any known",pilot,PHYS,midland
102,20020815036819I,2453,0,"(-23) AIRCRAFT DEPARTED KN68 WITH PILOT AND THREE PARACHUTE JUMPERS ON AUGUST 15, 2002 AT 0945 HRS. AIRCRAFT CLIMBE","( -23 ) aircraft departed kn68 with pilot and three parachute jumpers on august 15 , 2002 at 0945 hrs .",jumpers,ART,aircraft
103,20020815036819I,2453,0,"(-23) AIRCRAFT DEPARTED KN68 WITH PILOT AND THREE PARACHUTE JUMPERS ON AUGUST 15, 2002 AT 0945 HRS. AIRCRAFT CLIMBE","( -23 ) aircraft departed kn68 with pilot and three parachute jumpers on august 15 , 2002 at 0945 hrs .",pilot,ART,aircraft
104,20020619014309A,2458,0,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","( -23 ) n759ty , ce-182 was en route from hot springs , arkansas to fayetteville , tennessee , when the aircraft engine q",hot springs,PART-WHOLE,arkansas
105,20020619014309A,2458,0,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","( -23 ) n759ty , ce-182 was en route from hot springs , arkansas to fayetteville , tennessee , when the aircraft engine q",fayetteville,PART-WHOLE,tennessee
106,20030208002149I,2481,0,"(-23) ON 02/08/2003 AT APPROXIMATELY 22:30, A LEAR JET OPERATED BY FS AIR, ON A MEDEVAC OPERATION, SLID OFF THE END","( -23 ) on 02/08/2003 at approximately 22:30 , a lear jet operated by fs air , on a medevac operation , slid off the end",fs air,ART,jet
107,20030130003529A,2482,0,"(-23) ON JANUARY 30, 2003, ABOUT 0330 ALASKA STANDARD TIME, A CESSNA 208B AIRPLANE, N1276P, SUSTAINED SUBSTANTIAL D","( -23 ) on january 30 , 2003 , about 0330 alaska standard time , a cessna 208b airplane , n1276p , sustained substantial d",cessna,ART,airplane
108,20030605015579I,2496,0,(-23) MR. CAMPBELL FLEW HIS AIRCRAFT AFTER THE VACUUM PUMP WAS REMOVED FOR REPLACEMENT. THE MECHANIC (IA) WHO REMOV,( -23 ) mr. campbell flew his aircraft after the vacuum pump was removed for replacement .,his,ART,aircraft
109,20030810020329A,2508,0,"(-23) N4975B WHEN LANDING ON RUNWAY 22, AVON PARK, FL, AIRCRAFT RAN INTO APPROX. (1) FOOT OF STANDING WATER ON THE ","( -23 ) n4975b when landing on runway 22 , avon park , fl , aircraft ran into approx .",avon park,PART-WHOLE,fl
110,20030706013569I,2512,0,"(-23) AT ABOUT 5 PM SUNDAY JULY 6, 2003 THE PILOT DEPARTED TRIDENT BASIN NORTHBOUND WITH ONE PASSENGER. AFTER TAKEO","( -23 ) at about 5 pm sunday july 6 , 2003 the pilot departed trident basin northbound with one passenger .",pilot,PHYS,trident basin
111,20031003030279A,2517,0,"(-23) PILOT DEPARTED DANVILLE, IL (KDNV) WITH INOPERATIVE FUEL GAUGES ENROUTE TO MORGANTOWN, WV (MGW). THE AIRCRAFT","( -23 ) pilot departed danville , il ( kdnv ) with inoperative fuel gauges enroute to morgantown , wv ( mgw ) .",pilot,PHYS,danville
112,20031003030279A,2517,0,"(-23) PILOT DEPARTED DANVILLE, IL (KDNV) WITH INOPERATIVE FUEL GAUGES ENROUTE TO MORGANTOWN, WV (MGW). THE AIRCRAFT","( -23 ) pilot departed danville , il ( kdnv ) with inoperative fuel gauges enroute to morgantown , wv ( mgw ) .",danville,PART-WHOLE,il
113,20031003030279A,2517,0,"(-23) PILOT DEPARTED DANVILLE, IL (KDNV) WITH INOPERATIVE FUEL GAUGES ENROUTE TO MORGANTOWN, WV (MGW). THE AIRCRAFT","( -23 ) pilot departed danville , il ( kdnv ) with inoperative fuel gauges enroute to morgantown , wv ( mgw ) .",morgantown,PART-WHOLE,wv
114,20031003030279A,2517,0,"(-23) PILOT DEPARTED DANVILLE, IL (KDNV) WITH INOPERATIVE FUEL GAUGES ENROUTE TO MORGANTOWN, WV (MGW). THE AIRCRAFT","( -23 ) pilot departed danville , il ( kdnv ) with inoperative fuel gauges enroute to morgantown , wv ( mgw ) .",pilot,PHYS,morgantown
115,20031005037479A,2522,0,"(-23) PILOT STATEMENT: ON OCT. 5, 2003 AT APPROXIMATELY 0715Z, MY CESSNA 182H (N1919X) RAN OUT OF FUEL AND CRASHED ","( -23 ) pilot statement : on oct. 5 , 2003 at approximately 0715z , my cessna 182h ( n1919x ) ran out of fuel and crashed",my,ART,cessna 182h
116,20031114036279I,2526,0,"(-23) AFTER LANDING AT RENO, NEVADA ON 11/13/2003 AND BLOWING OUT THE MAIN TIRES DUE TO A WOW SWITCH RIGGING PROBLE","( -23 ) after landing at reno , nevada on 11/13/2003 and blowing out the main tires due to a wow switch rigging proble",reno,PART-WHOLE,nevada
117,20031004024399A,2528,0,"(-23) AMERICAN AIRLINES FLIGHT #847, B-737-823, N972AN, WHILE PARKED AT BOSTON TERMINAL B, GATE 26, WAS STRUCK BY A","( -23 ) american airlines flight # 847 , b-737-823 , n972an , while parked at boston terminal b , gate 26 , was struck by a",american airlines,ART,flight
118,20040322015809I,2537,0,"(-23) PILOT DEPARTED WINNIE, TX AIRPORT WITH TOW BAR ATTACHED TO NOSE GEAR. MINOR DAMAGE TO NOSE GEAR DOORS ON LAND","( -23 ) pilot departed winnie , tx airport with tow bar attached to nose gear .",pilot,PHYS,airport
119,20040428022659A,2551,0,(-23) PILOT DEPARTED FREDERICKSBURG SHANNON AIRPORT (EZF) WITH THE AIRCRAFT TOW BAR ATTACHED. IMMEDIATELY AFTER DEP,( -23 ) pilot departed fredericksburg shannon airport ( ezf ) with the aircraft tow bar attached .,pilot,PHYS,fredericksburg
120,20040821025519I,2563,0,"(-23) ON AUGUST 21, 2004, AT 08:45 EDT, A MOONEY M20J, N202MG, S/N 24-1630 WAS RETURNING FROM A LOCAL FLIGHT, LANDI","( -23 ) on august 21 , 2004 , at 08:45 edt , a mooney m20j , n202mg , s/n 24-1630 was returning from a local flight , landi",mooney,ART,m20j
121,20040823021189A,2565,0,"(-23) THE PILOT DEPARTED DANVILLE, IL ENROUTE TO CRYSTAL LAKE, IL IN CESSNA 182, N92848, ON AUGUST 23, 2004. THE EN","( -23 ) the pilot departed danville , il enroute to crystal lake , il in cessna 182 , n92848 , on august 23 , 2004. the en",pilot,PHYS,danville
122,20040823021189A,2565,0,"(-23) THE PILOT DEPARTED DANVILLE, IL ENROUTE TO CRYSTAL LAKE, IL IN CESSNA 182, N92848, ON AUGUST 23, 2004. THE EN","( -23 ) the pilot departed danville , il enroute to crystal lake , il in cessna 182 , n92848 , on august 23 , 2004. the en",danville,PART-WHOLE,il
123,20041202032849I,2573,0,"(-23) PILOT DEPARTED AURORA MUNICIPAL AIRPORT (2H2), AURORA, MISSOURI, VFR ENROUTE TO AIR PARK SOUTH AIRPORT (2K2),","( -23 ) pilot departed aurora municipal airport ( 2h2 ) , aurora , missouri , vfr enroute to air park south airport ( 2k2 ) ,",aurora,PART-WHOLE,missouri
124,20041202032849I,2573,0,"(-23) PILOT DEPARTED AURORA MUNICIPAL AIRPORT (2H2), AURORA, MISSOURI, VFR ENROUTE TO AIR PARK SOUTH AIRPORT (2K2),","( -23 ) pilot departed aurora municipal airport ( 2h2 ) , aurora , missouri , vfr enroute to air park south airport ( 2k2 ) ,",aurora municipal airport,PART-WHOLE,aurora
125,20041202032849I,2573,0,"(-23) PILOT DEPARTED AURORA MUNICIPAL AIRPORT (2H2), AURORA, MISSOURI, VFR ENROUTE TO AIR PARK SOUTH AIRPORT (2K2),","( -23 ) pilot departed aurora municipal airport ( 2h2 ) , aurora , missouri , vfr enroute to air park south airport ( 2k2 ) ,",pilot,PHYS,aurora municipal airport
126,20041010029579A,2576,0,(-23) THE PILOT OF THE FLOAT EQUIPPED AIRPLANE AND HIS 3 PASSENGERS DEPARTED A FISHING LODGE SHORTLY AFTER DAWN. TH,( -23 ) the pilot of the float equipped airplane and his 3 passengers departed a fishing lodge shortly after dawn .,passengers,PHYS,lodge
127,20041010029579A,2576,0,(-23) THE PILOT OF THE FLOAT EQUIPPED AIRPLANE AND HIS 3 PASSENGERS DEPARTED A FISHING LODGE SHORTLY AFTER DAWN. TH,( -23 ) the pilot of the float equipped airplane and his 3 passengers departed a fishing lodge shortly after dawn .,pilot,ART,airplane
128,20041010029579A,2576,0,(-23) THE PILOT OF THE FLOAT EQUIPPED AIRPLANE AND HIS 3 PASSENGERS DEPARTED A FISHING LODGE SHORTLY AFTER DAWN. TH,( -23 ) the pilot of the float equipped airplane and his 3 passengers departed a fishing lodge shortly after dawn .,pilot,PHYS,lodge
129,20050214001549I,2584,0,"(-23) ON FEBRUARY 14, 2005 ABOUT 1030 ALASKA DAY LIGHT TIME, A CESSNA 207-A AIRPLANE, N6470H, SUSTAINED MINOR DAMAG","( -23 ) on february 14 , 2005 about 1030 alaska day light time , a cessna 207-a airplane , n6470h , sustained minor damag",cessna,ART,airplane
130,20050314006859A,2587,0,"(-23) ^PRIVACY DATA OMITTED^ AIRCRAFT ENROUTE FROM CMH TO OTTAWA, CANADA. AT APPROX 7,500 FT. AIRCRAFT EXPERIENCED ","( -23 ) ^privacy data omitted^ aircraft enroute from cmh to ottawa , canada .",ottawa,PART-WHOLE,canada
131,20050429009279I,2598,0,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,( -23 ) the pilot was taxiing the aircraft to parking following a cargo trip .,pilot,ART,aircraft
132,20060422007479I,2622,0,"(-23) THE PILOT STATED THAT HE TOPPED OFF ALL FUEL TANKS PRIOR TO DEPARTING GALVESTON, TEXAS (GLS). WHILE ENROUTE T","( -23 ) the pilot stated that he topped off all fuel tanks prior to departing galveston , texas ( gls ) .",galveston,PART-WHOLE,texas
133,20060302003989I,2627,0,"(-23) ASH 6351, CRJ 2, RETURNED TO ONTARIO, CA AT 0723PST WITH A NOSE GEAR ISSUE. (THE ""REMOVE BEFORE FLIGHT"" RED S","( -23 ) ash 6351 , crj 2 , returned to ontario , ca at 0723pst with a nose gear issue .",ontario,PART-WHOLE,ca
134,20060922028919I,2640,0,"(-23) AIR TRAN FLIGHT 895, A BOEING 717 AIRCRAFT ON A FLIGHT FROM BOSTON, MA TO CHICAGO, IL DIVERTED TO TO CHAMPAIG","( -23 ) air tran flight 895 , a boeing 717 aircraft on a flight from boston , ma to chicago , il diverted to to champaig",boston,PART-WHOLE,ma
135,20060922028919I,2640,0,"(-23) AIR TRAN FLIGHT 895, A BOEING 717 AIRCRAFT ON A FLIGHT FROM BOSTON, MA TO CHICAGO, IL DIVERTED TO TO CHAMPAIG","( -23 ) air tran flight 895 , a boeing 717 aircraft on a flight from boston , ma to chicago , il diverted to to champaig",chicago,PART-WHOLE,il
136,20060730020309A,2649,0,"(-23) PILOTS DEPARTED OSHKOSH, WI ENROUTE TO AN AIRPORT SOUTH OF GARY, IN. THE PILOTS ELECTED TO FLY OVER LAKE MICH","( -23 ) pilots departed oshkosh , wi enroute to an airport south of gary , in .",pilots,PHYS,oshkosh
137,20060730020309A,2649,0,"(-23) PILOTS DEPARTED OSHKOSH, WI ENROUTE TO AN AIRPORT SOUTH OF GARY, IN. THE PILOTS ELECTED TO FLY OVER LAKE MICH","( -23 ) pilots departed oshkosh , wi enroute to an airport south of gary , in .",gary,PART-WHOLE,in
138,20060730020309A,2649,0,"(-23) PILOTS DEPARTED OSHKOSH, WI ENROUTE TO AN AIRPORT SOUTH OF GARY, IN. THE PILOTS ELECTED TO FLY OVER LAKE MICH","( -23 ) pilots departed oshkosh , wi enroute to an airport south of gary , in .",oshkosh,PART-WHOLE,wi
139,20060620030979A,2652,0,"(-23) ON JUNE 20, 2006, AMERICAN AIRLINES AIRCRAFT, N961TW A DC-9-82, ON A FLIGHT FROM LOS ANGELES, CA (LAX) TO O'H","( -23 ) on june 20 , 2006 , american airlines aircraft , n961tw a dc-9-82 , on a flight from los angeles , ca ( lax ) to o ' h",los angeles,PART-WHOLE,ca
140,20060620030979A,2652,0,"(-23) ON JUNE 20, 2006, AMERICAN AIRLINES AIRCRAFT, N961TW A DC-9-82, ON A FLIGHT FROM LOS ANGELES, CA (LAX) TO O'H","( -23 ) on june 20 , 2006 , american airlines aircraft , n961tw a dc-9-82 , on a flight from los angeles , ca ( lax ) to o ' h",american airlines,ART,aircraft
141,20060626014029A,2661,0,"(-23) ON FINAL APPROACH TO MINONG, WI, THE PILOT DECIDED HE WAS OUT OF POSITION AND INITIATED A GO AROUND. PILOT ST","( -23 ) on final approach to minong , wi , the pilot decided he was out of position and initiated a go around .",minong,PART-WHOLE,wi
142,20070203001149I,2666,0,"(-23) N694T CRASHED ON LANDING IN PADUCAH, KENTUCKY ON 02-03-07. 14:45 LOCAL TIME, PADUCAH TOWER: TOWER CLEARED N69","( -23 ) n694t crashed on landing in paducah , kentucky on 02-03-07 .",paducah,PART-WHOLE,kentucky
143,20070218007209I,2667,0,"(-23) ON FEBRUARY 18, 2007, N7235K, BE-58-P, TOOK OFF FROM ABERDEEN, SD. WHEN THE PILOT RETRACTED THE GEAR, HE HEAR","( -23 ) on february 18 , 2007 , n7235k , be-58-p , took off from aberdeen , sd .",aberdeen,PART-WHOLE,sd
144,20070327004739I,2670,0,"(-23) THE FLIGHT DEPARTED ADDISON, TEXAS ON MARCH 27, 2007 FOR A BUSINESS TRIP TO IDAHO FALLS, IDAHO UNDER 14 CFR P","( -23 ) the flight departed addison , texas on march 27 , 2007 for a business trip to idaho falls , idaho under 14 cfr p",idaho falls,PART-WHOLE,idaho
145,20070327004739I,2670,0,"(-23) THE FLIGHT DEPARTED ADDISON, TEXAS ON MARCH 27, 2007 FOR A BUSINESS TRIP TO IDAHO FALLS, IDAHO UNDER 14 CFR P","( -23 ) the flight departed addison , texas on march 27 , 2007 for a business trip to idaho falls , idaho under 14 cfr p",addison,PART-WHOLE,texas
146,20070428007859A,2673,0,"(-23) PILOT DEPARTED HOLBROOK, AZ TO SHOW LOW, AZ WITH 6 GALLONS OF FUEL ON BOARD. HIS FLIGHT REQUIRED ABOUT 3 TO 3","( -23 ) pilot departed holbrook , az to show low , az with 6 gallons of fuel on board .",holbrook,PART-WHOLE,az
147,20070428007859A,2673,0,"(-23) PILOT DEPARTED HOLBROOK, AZ TO SHOW LOW, AZ WITH 6 GALLONS OF FUEL ON BOARD. HIS FLIGHT REQUIRED ABOUT 3 TO 3","( -23 ) pilot departed holbrook , az to show low , az with 6 gallons of fuel on board .",pilot,PHYS,holbrook
148,20070202001609A,2676,0,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","( -23 ) on a flight from noth platte , ne , to iowa city , ia , ( 487 statute miles ) the aircraft lost power near grinnell",iowa city,PART-WHOLE,ia
149,20070709017229A,2692,0,"(-23) 07/09/07 AIRCRAFT DEPARTED LAKELAND, FL (LAL) AT 800, VFR SOUTHBOUND. NO FLIGHT PLAN FILED. NO FURTHER CONTAC","( -23 ) 07/09/07 aircraft departed lakeland , fl ( lal ) at 800 , vfr southbound .",lakeland,PART-WHOLE,fl
150,20070723013849I,2695,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","( -23 ) during a vfr flight from northwest regional airport , roanoke , tx , to omar n. bradley airport in moberly , mo ,",roanoke,PART-WHOLE,tx
151,20070723013849I,2695,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","( -23 ) during a vfr flight from northwest regional airport , roanoke , tx , to omar n. bradley airport in moberly , mo ,",moberly,PART-WHOLE,mo
152,20070723013849I,2695,0,"(-23) DURING A VFR FLIGHT FROM NORTHWEST REGIONAL AIRPORT, ROANOKE, TX, TO OMAR N. BRADLEY AIRPORT IN MOBERLY, MO, ","( -23 ) during a vfr flight from northwest regional airport , roanoke , tx , to omar n. bradley airport in moberly , mo ,",omar n. bradley airport,PART-WHOLE,moberly
153,20071024830879I,2698,0,(-23) PILOT TAXIED AIRCRAFT WITH GROUND POWER CART STILL ATTACHED. STRUCTURAL DAMAGE FROM EVENT WAS NOMINAL AND WAS,( -23 ) pilot taxied aircraft with ground power cart still attached .,pilot,ART,aircraft
154,20071002825149A,2706,0,"(-23) THE PILOT/OWNER WITH HIS WIFE ON-BOARD INTENDED TO MAKE A FLIGHT FOR PLEASURE FROM THE BOAT TO PAGE, AZ. DURI","( -23 ) the pilot/owner with his wife on-board intended to make a flight for pleasure from the boat to page , az .",pilot/owner,ART,boat
155,20070721825879I,2713,0,(-23) THE PILOT AND PASSENGER MADE A FULL STOP LANDING AT FULTON COUNTY AIRPORT TO REFUEL. AFTER REFUELING THE PILO,( -23 ) the pilot and passenger made a full stop landing at fulton county airport to refuel .,pilot,PHYS,fulton county airport
156,20070721825879I,2713,0,(-23) THE PILOT AND PASSENGER MADE A FULL STOP LANDING AT FULTON COUNTY AIRPORT TO REFUEL. AFTER REFUELING THE PILO,( -23 ) the pilot and passenger made a full stop landing at fulton county airport to refuel .,passenger,PHYS,fulton county airport
157,20080321013069A,2737,0,(-23) THE PILOT ^PRIVACY DATA OMITTED^ DEPARTED MEADOW LAKE AIRPORT. THEN MINUTES INTO THE FLIGHT THE ENGINE QUIT. ,( -23 ) the pilot ^privacy data omitted^ departed meadow lake airport .,pilot,PHYS,meadow lake airport
