id,sample,primary_ent,primary_qid,primary_link,secondary_ent,secondary_qid,secondary_link,tertiary_ent,tertiary_qid,tertiary_link,notes
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,DAMAGED PROP,,,PROP,Q922654,https://www.wikidata.org/wiki/Q922654,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,FUEL CAP,,,CAP,Q2488579,https://www.wikidata.org/wiki/Q2488579,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,RIGHT TANK,,,TANK,Q1047832,https://www.wikidata.org/wiki/Q1047832,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,GAS,Q40858,https://www.wikidata.org/wiki/Q40858,,,,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,CAP,Q2488579,https://www.wikidata.org/wiki/Q2488579,,,,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,FLIGHT,Q15921555,https://www.wikidata.org/wiki/Q15921555,,,,,,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,WING,Q161358,https://www.wikidata.org/wiki/Q161358,,,,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","JULY 13, 2005",Q22663152,https://www.wikidata.org/wiki/Q22663152,,,,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",1535 MST,,,1535,Q55811751,https://www.wikidata.org/wiki/Q55811751,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",,,B36TC,Q29369815,https://www.wikidata.org/wiki/Q29369815,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",RAYTHEON AIRCRAFT CO.,Q10357714,https://www.wikidata.org/wiki/Q10357714,,,,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",BONANZA,Q312540,https://www.wikidata.org/wiki/Q312540,,,,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",N3042V,,,,,,,,,
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",HAVENS LEASING,,,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,TANKS,Q1047832,https://www.wikidata.org/wiki/Q1047832,,,,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,WATER IN FUEL,,,WATER,Q283,https://www.wikidata.org/wiki/Q283,,,,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,FUEL,Q5361665,https://www.wikidata.org/wiki/Q5361665,,,,,,,
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,ROAD,Q34442,https://www.wikidata.org/wiki/Q34442,,,,,,,
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,SOLID ICE IN CARBURETOR BOWL,,,ICE,Q23392,https://www.wikidata.org/wiki/Q23392,,,,
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,CARBURETOR BOWL,,,CARBURETOR,Q165435,https://www.wikidata.org/wiki/Q165435,,,,
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,CLIMBOUT,Q1499786,https://www.wikidata.org/wiki/Q1499786,,,,,,,
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,TOW RELEASE,,,,,,,,,
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,RIGHT AILERON,,,AILERON,Q509379,https://www.wikidata.org/wiki/Q509379,,,,
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,MAINTENANCE,Q1043452,https://www.wikidata.org/wiki/Q1043452,,,,,,,
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,,,,,,,
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,NOSE BLOCK,,,,,,,,,
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,TRAILER TIE DOWN,,,TIE DOWN,Q1277336,https://www.wikidata.org/wiki/Q1277336,,,,
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,TRAILER,Q216146,https://www.wikidata.org/wiki/Q216146,,,,,,,
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,SKID,,,,,,,,,
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,LIFTOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,RUNWAY,Q184590,https://www.wikidata.org/wiki/Q184590,,,,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,SNOW BANK,Q2846052,https://www.wikidata.org/wiki/Q2846052,,,,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,FROST ON AIRFRAME,,,FROST,Q4590598,https://www.wikidata.org/wiki/Q4590598,,,,
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,AIRFRAME,Q222946,https://www.wikidata.org/wiki/Q222946,,,,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,ENGINE POWER FAILURE,,,POWER FAILURE,Q828827,https://www.wikidata.org/wiki/Q828827,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,ENGINE POWER,,,POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,AEROBATICS,Q373557,https://www.wikidata.org/wiki/Q373557,,,,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,FIELD,Q188869,https://www.wikidata.org/wiki/Q188869,,,,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,FUEL TANKS,Q1411232,https://www.wikidata.org/wiki/Q1411232,TANKS,Q1047832,https://www.wikidata.org/wiki/Q1047832,,,,
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.,ABORTED TAKEOFF,,,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.,FRONT BAGGAGE DOOR,,,BAGGAGE DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.,TAXIWAY,Q910386,https://www.wikidata.org/wiki/Q910386,,,,,,,
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,MAG SWITCH,,,,,,,,,
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,ONE,Q199,https://www.wikidata.org/wiki/Q199,,,,,,,
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,ONE MAG,,,,,,,,,
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,FRONT RANGE AIRPORT,Q3275315,https://www.wikidata.org/wiki/Q3275315,AIRPORT,Q1248784,https://www.wikidata.org/wiki/Q1248784,,,,
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,START AND RUN,,,,,,,,,
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.,NOSE GEAR,,,GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,,,,
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.,PIN,,,,,,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR","SIKORSKY S-70A, N160LA",Q122389003,https://www.wikidata.org/wiki/Q122389003,S-70A,Q122389003,https://www.wikidata.org/wiki/Q122389003,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",SIKORSKY S-70A,Q122389003,https://www.wikidata.org/wiki/Q122389003,S-70A,Q122389003,https://www.wikidata.org/wiki/Q122389003,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",SIKORSKY,Q549189,https://www.wikidata.org/wiki/Q549189,,,,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",N160LA,,,,,,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",VIBRATION,Q3695508,https://www.wikidata.org/wiki/Q3695508,,,,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",APU DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,,,,
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR",MAIN ROTOR BLADE,,,ROTOR BLADE,Q106992314,https://www.wikidata.org/wiki/Q106992314,BLADE,Q106992314,https://www.wikidata.org/wiki/Q106992314,
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,CARGO TRIP,,,TRIP,Q778483,https://www.wikidata.org/wiki/Q778483,,,,
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,TAXIWAY,Q910386,https://www.wikidata.org/wiki/Q910386,,,,,,,
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,,,,
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,,,SEATS,Q2207370,https://www.wikidata.org/wiki/Q2207370,,,,
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,,,OXYGEN MASKS,Q1890958,https://www.wikidata.org/wiki/Q1890958,,,,
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,PASSENGERS,Q319604,https://www.wikidata.org/wiki/Q319604,,,,,,,
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,CARGO DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,,,,
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,MR. BOWEN,,,,,,,,,
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,RUNWAY CONDITIONS,,,CONDITIONS,Q813912,https://www.wikidata.org/wiki/Q813912,,,,
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,STEVEN'S VILLAGE,Q661370,https://www.wikidata.org/wiki/Q661370,,,,,,,
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,TIEDOWN CHAINS,Q1277336,https://www.wikidata.org/wiki/Q1277336,CHAINS,Q2397485,https://www.wikidata.org/wiki/Q2397485,,,,
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,RAMP PERSON,,,PERSON,Q5,https://www.wikidata.org/wiki/Q5,,,,
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,SKIDS,,,,,,,,,
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,HIGH WIND,,,WIND,Q8094,https://www.wikidata.org/wiki/Q8094,,,,
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,BAGGAGE CART,Q14277552,https://www.wikidata.org/wiki/Q14277552,CART,Q234668,https://www.wikidata.org/wiki/Q234668,,,,
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,PARKED AIRCRAFT,,,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,BRAKES,Q1534839,https://www.wikidata.org/wiki/Q1534839,,,,,,,
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,CART,Q14277552,https://www.wikidata.org/wiki/Q14277552,,,,,,,
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,GLIDER,Q2165278,https://www.wikidata.org/wiki/Q2165278,,,,,,,
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,NOSE HIGH ATTITUDE,,,ATTITUDE,Q4698572,https://www.wikidata.org/wiki/Q4698572,,,,
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,NOSE,Q1434090,https://www.wikidata.org/wiki/Q1434090,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,HELICOPTER ENGINE POWER CHECKS,,,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,HELICOPTER ENGINE,,,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,HELICOPTER,Q34486,https://www.wikidata.org/wiki/Q34486,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,ONE CREWMEMBER,,,CREWMEMBER,Q5184855,https://www.wikidata.org/wiki/Q5184855,,,,
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,ONE,Q199,https://www.wikidata.org/wiki/Q199,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,TAKEOFF ROLL,Q21026829,https://www.wikidata.org/wiki/Q21026829,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOTS SEAT,,,SEAT,Q2207370,https://www.wikidata.org/wiki/Q2207370,,,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOTS,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",FLAT NOSE STRUT,,,,,,,,,
