doc_idx,sent_idx,original_sentence,input,mention,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
642,0,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",loose cowling on takeoff.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
642,1,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ", cowling came off on returning to land.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
650,1,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. , seat dropped.,seat,Seat,Q2207370," A seat is a place to sit. The term may encompass additional features, such as back, armrest, head restraint but also headquarters in a wider sense. ",Seat,Q2207370," A seat is a place to sit. The term may encompass additional features, such as back, armrest, head restraint but also headquarters in a wider sense. "
651,0,PARACHUTIST WAS UNABLE TO OPEN MAIN CHUTE DUE TO BRIDLE LINE UNDER BREAST STRAP. RESERVE NOT DEPLOYED.             ,parachutist was unable to open main chute due to bridle line under breast strap.,parachutist,Paramotor,Q942549," Paramotor is the generic name for the harness and propulsive portion of a powered paraglider (""PPG""). There are two basic types of paramotors: foot launch and wheel launch.  Foot launch models consist of a frame with harness, fuel tank, engine, and propeller. A hoop with protective netting primarily keeps lines out of the propeller. The unit is worn like a large backpack to which a Paraglider is attached through carabiners.  Wheel launch units either come as complete units with their own motor, or as an add-on to a foot launch paramotor. They usually have 3 (trike) or 4 (quad) wheels, with seats for one or two occupants. These should not be confused with Powered Parachutes which are generally much heavier, more powerful, and have different steering.  The term was first used by Englishman Mike Byrne in 1980 and popularized in France around 1986 when La Mouette began adapting power to the then-new paraglider wings.  Power plants are almost exclusively small two-stroke internal combustion engines, between 80 cc and 350 cc, that burn a mixture of gasoline and oil. These engines are favored for their quick high r.p.m. thrust and low weight, using approximately 3.7 litres (1 US Gal.) of fuel per hour depending on paraglider efficiency, the weight of unit plus pilot, and flying weather conditions. At least one manufacturer is producing a 4-stroke model favored for its strong lower r.p.m. thrust and better fuel efficiency. Electrically powered units also exist, though flight duration is considerably limited on the battery's electrical",Parachuting,Q193210," Parachuting is a method of transiting from a high point to Earth with the aid of gravity, involving the control of speed during the descent with the use of a parachute or parachutes. It may involve more or less free-falling (the skydiving segment) which is a period when the parachute has not yet been deployed and the body gradually accelerates to terminal velocity. "
656,1,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE., found access door slightly open.,open,Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. ",Door,Q36794," A door is a panel that covers an opening in a building, room or vehicle. Doors are usually made of a hard, semi-permeable, and hard-to-break substance (such as wood or metal), but sometimes consisting of a hard frame into which windows or screens have been fitted. Doors are often attached by hinges to a frame. Doors make ingress into or egress from a building, room, or vehicle easier to manage. The panel may be moved in various ways (at angles away from the frame, by sliding on a plane parallel to the frame, by folding in angles on a parallel plane, or by spinning along an axis at the center of the frame) to allow or prevent ingress or egress. In most cases, a door's interior matches its exterior side. But in other cases (e.g., a vehicle door) the two sides are radically different.  Often doors have locking mechanisms to ensure that only some people can open them. Doors can have devices such as knockers or doorbells by which people outside can announce their presence and summon someone either to open the door for them or give permission to open and enter. Apart from providing access into and out of a space, doors can have the secondary functions of ensuring privacy by preventing unwanted attention from outsiders, of separating areas with different functions, of allowing light to pass into and out of a space, of controlling ventilation or air drafts so that interiors may be more effectively heated or cooled, of dampening noise, and"
664,0,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,tow plane released glider after lift off because it would not climb.,tow,Towing,Q332030," Towing is coupling two or more objects together so that they may be pulled by a designated power source or sources. The towing source may be a motorized land vehicle, vessel, animal, or human, the load anything that can be pulled. These may be joined by a chain, rope, bar, hitch, three-point, fifth wheel, coupling, drawbar, integrated platform, or other means of keeping the objects together while in motion.  Towing may be as simple as a tractor pulling a tree stump. The most familiar form is the transport of disabled or otherwise indisposed vehicles by a tow truck or ""wrecker."" Other familiar forms are the tractor-trailer combination, and cargo or leisure vehicles coupled via ball or pintle and gudgeon trailer-hitches to smaller trucks and cars. In the opposite extreme are extremely heavy duty tank recovery vehicles, and enormous ballast tractors involved in heavy hauling towing loads stretching into the millions of pounds.  Necessarily, government and industry standards have been developed for carriers, lighting, and coupling to ensure safety and interoperability of towing equipment.  Historically, barges were hauled along rivers or canals using tow ropes drawn by men or draught animals walking along towpaths on the banks. Later came chain boats. Today, tug boats are used to maneuver larger vessels and barges. Over thousands of years the maritime industry has refined towing to a science.  Aircraft tow one-another as well. Troop and cargo carrying gliders are towed behind powered aircraft, which remains a popular means of getting modern leisure gliders aloft. ",Take-off warning system,Q18387688," A take-off warning system or TOWS is a set of warning signals required on most commercial aircraft, designed to alert the pilots of potentially-dangerous errors in an aircraft's take-off configuration.  There are numerous systems on board an aircraft that must be set in the proper configuration to allow it to take off safely. Prior to every flight, the flight officers use checklists to verify that each of the many systems is operating and has been configured correctly. However, due to the inevitability of human error, even the checklist procedure can lead to failures to properly configure the aircraft.  Several improper configurations can leave an aircraft completely unable to become airborne—these conditions can easily result in fatal hull loss accidents. In order to reduce this, all major nations now mandate something similar to the US requirement that on (nearly) ""all airplanes with a maximum weight more than 6,000 pounds and all jets [...] a takeoff warning system must be installed"". This system must meet the following requirements:  (a) The system must provide to the pilots an aural warning that is automatically activated during the initial portion of the takeoff roll if the airplane is in a configuration that would not allow a safe takeoff. The warning must continue until—  (b) The means used to activate the system must function properly for all authorized takeoff power settings and procedures and throughout the ranges of takeoff weights, altitudes, and temperatures for which certification is requested.  TOWS is designed to sound a warning for"
674,1,LONG GROUND RUN. JET WASH DAMAGED APPROACH LIGHTS AT RUNWAY DEPARTURE END. ENGINE ANTI ICE NOT USED.               , jet wash damaged approach lights at runway departure end.,runway,Runway,Q184590," According to the International Civil Aviation Organization (ICAO), a runway is a ""defined rectangular area on a land aerodrome prepared for the landing and takeoff of aircraft"". Runways may be a man-made surface (often asphalt, concrete, or a mixture of both) or a natural surface (grass, dirt, gravel, ice, or salt). Runways, as well as taxiways and ramps, are sometimes referred to as “tarmac,” though very few runways are built using tarmac. ",Runway,Q184590," According to the International Civil Aviation Organization (ICAO), a runway is a ""defined rectangular area on a land aerodrome prepared for the landing and takeoff of aircraft"". Runways may be a man-made surface (often asphalt, concrete, or a mixture of both) or a natural surface (grass, dirt, gravel, ice, or salt). Runways, as well as taxiways and ramps, are sometimes referred to as “tarmac,” though very few runways are built using tarmac. "
676,1,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        "," carlights directed wrong way, aircraft landed short.",carlights,Landing lights,Q493009," Landing lights are lights, mounted on aircraft, that illuminate the terrain and runway ahead during takeoff and landing. ",Bombsight,Q4093065," A bombsight is a device used by military aircraft to drop bombs accurately. Bombsights, a feature of combat aircraft since World War I, were first found on purpose-designed bomber aircraft and then moved to fighter-bombers and modern tactical aircraft as those aircraft took up the brunt of the bombing role.  A bombsight has to estimate the path the bomb will take after release from the aircraft. The two primary forces during its fall are gravity and air drag, which make the path of the bomb through the air roughly parabolic. There are additional factors such as changes in air density and wind that may be considered, but they are concerns only for bombs that spend a significant portion of a minute falling through the air. Those effects can be minimized by reducing the fall time by low-level bombing or by increasing the speed of the bombs. Those effects are combined in the dive bomber.  However, low-level bombing also increases the danger to the bomber from ground-based defences, and accurate bombing from higher altitudes has always been desired. That has led to a series of increasingly,-sophisticated bombsight designs, dedicated to high-altitude level bombing.  Since their first application prior to World War I, bombsights have gone through several major revisions. The earliest systems were iron sights, which were pre-set to an estimated fall angle. In some cases, they consisted of nothing more than a series of nails hammered into a convenient spar, lines drawn on the aircraft, or visual alignments of certain parts of"
677,1,LOST POWER AT CRUISE ALTITUDE. LANDED ON LAKE. BROKE THROUGH ICE. FOUND RAGS IN CARBURETOR AIR INTAKE BOX.         , landed on lake.,lake,Lake,Q23397," A lake is an area filled with water, localized in a basin, that is surrounded by land, apart from any river or other outlet that serves to feed or drain the lake. Lakes lie on land and are not part of the ocean, and therefore are distinct from lagoons, and are also larger and deeper than ponds, though there are no official or scientific definitions. Lakes can be contrasted with rivers or streams, which are usually flowing. Most lakes are fed and drained by rivers and streams.  Natural lakes are generally found in mountainous areas, rift zones, and areas with ongoing glaciation. Other lakes are found in endorheic basins or along the courses of mature rivers. In some parts of the world there are many lakes because of chaotic drainage patterns left over from the last Ice Age. All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.  Many lakes are artificial and are constructed for industrial or agricultural use, for hydro-electric power generation or domestic water supply, or for aesthetic, recreational purposes, or other activities. ",Lake,Q23397," A lake is an area filled with water, localized in a basin, that is surrounded by land, apart from any river or other outlet that serves to feed or drain the lake. Lakes lie on land and are not part of the ocean, and therefore are distinct from lagoons, and are also larger and deeper than ponds, though there are no official or scientific definitions. Lakes can be contrasted with rivers or streams, which are usually flowing. Most lakes are fed and drained by rivers and streams.  Natural lakes are generally found in mountainous areas, rift zones, and areas with ongoing glaciation. Other lakes are found in endorheic basins or along the courses of mature rivers. In some parts of the world there are many lakes because of chaotic drainage patterns left over from the last Ice Age. All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.  Many lakes are artificial and are constructed for industrial or agricultural use, for hydro-electric power generation or domestic water supply, or for aesthetic, recreational purposes, or other activities. "
683,0,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED.,engine cowling came loose after takeoff.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
683,1,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED., cowling struck windshield.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
683,3,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED., suspect cowling not properly secured.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
685,2,ON TAKEOFF HEARD A NOISE FOLLOWED BY A VIBRATION. RETURNED. FOUND COWLING MISSING. COWLING WAS NOT PROPERLY SECURED, found cowling missing.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
685,3,ON TAKEOFF HEARD A NOISE FOLLOWED BY A VIBRATION. RETURNED. FOUND COWLING MISSING. COWLING WAS NOT PROPERLY SECURED, cowling was not properly secured.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
686,2,ENGINE QUIT ON TAKEOFF. LANDED STRAIGHT AHEAD OFF END OF RUNWAY. FUEL FILTER DRAIN PARTLY OPEN. LEAKING.           , fuel filter drain partly open.,open,Open-channel flow,Q514096," Open-channel flow, a branch of hydraulics and fluid mechanics, is a type of liquid flow within a conduit with a free surface, known as a channel. The other type of flow within a conduit is pipe flow. These two types of flow are similar in many ways but differ in one important respect: the free surface. Open-channel flow has a free surface, whereas pipe flow does not. ",Intake,Q2473660," An intake (also inlet) is an opening or structure through which a fluid is admitted to a space or machine as a consequence of a pressure differential between the outside and the inside. The pressure difference may be generated on the inside by a mechanism, or on the outside by ram pressure or hydrostatic pressure. Flow rate through the intake depends on pressure difference, fluid properties, and intake geometry. An intake can be an outlet at the same time – the intake for a hydro-electric generator turbine may be an outlet for a dam, where the turbine is ""inside"" relative to the dam, and the dam is ""inside"" relative to the river valley below.  An intake or (for aircraft) inlet is an opening on a car or aircraft body capturing air for operation of an internal combustion engine.  The internal combustion engine functions as an air pump during the intake and exhaust strokes, and like the exhaust system on an engine, the intake system must be carefully engineered and tuned to provide the greatest efficiency and power. An ideal intake system should increase the velocity of the air until it travels into the combustion chamber, while minimizing turbulence and restriction of flow.  However, in jet aircraft, particularly supersonic aircraft, a function of the intake is to slow and increase the pressure of the air entering the compressor. "
689,2,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     , faa ramp check showed pitot plugged with mud.,faa,Federal Aviation Administration,Q335357," The Federal Aviation Administration (FAA) is a governmental body of the United States with powers to regulate all aspects of civil aviation in that nation as well as over its surrounding international waters. Its powers include the construction and operation of airports, air traffic management, the certification of personnel and aircraft, and the protection of U.S. assets during the launch or re-entry of commercial space vehicles. Powers over neighboring international waters were delegated to the FAA by authority of the International Civil Aviation Organization.  Created in August 1958, the FAA replaced the former Civil Aeronautics Administration (CAA) and later became an agency within the U.S. Department of Transportation. ",Federal Aviation Administration,Q335357," The Federal Aviation Administration (FAA) is a governmental body of the United States with powers to regulate all aspects of civil aviation in that nation as well as over its surrounding international waters. Its powers include the construction and operation of airports, air traffic management, the certification of personnel and aircraft, and the protection of U.S. assets during the launch or re-entry of commercial space vehicles. Powers over neighboring international waters were delegated to the FAA by authority of the International Civil Aviation Organization.  Created in August 1958, the FAA replaced the former Civil Aeronautics Administration (CAA) and later became an agency within the U.S. Department of Transportation. "
702,0,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,tow rope released glider at 75 feet during takeoff.,tow rope,Tow hitch,Q545837," A tow hitch (or tow bar) is a device attached to the chassis of a vehicle for towing, or a towbar to an aircraft nose gear. It can take the form of a tow ball to allow swiveling and articulation of a trailer, or a tow pin, or a tow hook with a trailer loop, often used for large or agricultural vehicles where slack in the pivot pin allows similar movements. Another category is the towing pintle used on military vehicles worldwide. ",Rope,Q31029," A rope is a group of yarns, plies, fibers or strands that are twisted or braided together into a larger and stronger form. Ropes have tensile strength and so can be used for dragging and lifting. Rope is thicker and stronger than similarly constructed cord, string, and twine. "
705,0,SUPPORT STRAPS CARRIED IN OPEN SLING LOAD BUCKET BLEW INTO TAIL ROTOR DURING DESCENT FOR LANDING. LOST TAIL CONTROL,support straps carried in open sling load bucket blew into tail rotor during descent for landing.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Q60523248," The women's individual accuracy competition at the 2018 Asian Games in Puncak, Bogor Regency, Indonesia was held from 20 August to 23 August at the Gunung Mas.   ",Airlock,Q594958," An airlock is a device which permits the passage of people and objects between a pressure vessel and its surroundings while minimizing the change of pressure in the vessel and loss of air from it. The lock consists of a small chamber with two airtight doors in series which do not open simultaneously.  An airlock may be used for passage between environments of different gases rather than different pressures, to minimize or prevent the gases from mixing.  An airlock may also be used underwater to allow passage between an air environment in a pressure vessel and the water environment outside, in which case the airlock can contain air or water. This is called a floodable airlock or an underwater airlock, and is used to prevent water from entering a submersible vessel or an underwater habitat. "
715,0,AIRCRAFT CRASHED ON FINAL APPROACH AS PILOT WAS RETURNING AFTER COWLING CAME LOOSE AFTER TAKEOFF.                  ,aircraft crashed on final approach as pilot was returning after cowling came loose after takeoff.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
716,2,CIRCUIT BREAKER TRIPPED ON GEAR RETRACTION. MADE PRECAUTIONARY LANDING. TOWBAR HAD BEEN LEFT IN NOSE WHEEL.        , towbar had been left in nose wheel.,towbar,Tow hitch,Q545837," A tow hitch (or tow bar) is a device attached to the chassis of a vehicle for towing, or a towbar to an aircraft nose gear. It can take the form of a tow ball to allow swiveling and articulation of a trailer, or a tow pin, or a tow hook with a trailer loop, often used for large or agricultural vehicles where slack in the pivot pin allows similar movements. Another category is the towing pintle used on military vehicles worldwide. ",Tow hitch,Q545837," A tow hitch (or tow bar) is a device attached to the chassis of a vehicle for towing, or a towbar to an aircraft nose gear. It can take the form of a tow ball to allow swiveling and articulation of a trailer, or a tow pin, or a tow hook with a trailer loop, often used for large or agricultural vehicles where slack in the pivot pin allows similar movements. Another category is the towing pintle used on military vehicles worldwide. "
721,0,LEFT WING BAGGAGE DOOR DAME OPEN ON TAKEOFF ROLL. ABORTED BUT UNABLE TO STOP ON WET SLUSH. RAN OFF END OF RUNWAY.  ,left wing baggage door dame open on takeoff roll.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Q60523248," The women's individual accuracy competition at the 2018 Asian Games in Puncak, Bogor Regency, Indonesia was held from 20 August to 23 August at the Gunung Mas.   ",Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. "
724,2,ENGINE QUIT WHILE APPROACHING AIRPORT. LANDED SHORT IN MUD AND FLIPPED OVER. MUD DAUBERS HAD BLOCKED FUEL VENTS.   , mud daubers had blocked fuel vents.,mud daubers,Mud dauber,Q6931468," Mud dauber (or ""mud wasp"" or ""dirt dauber"") is a name commonly applied to a number of wasps from either the family Sphecidae or Crabronidae that build their nests from mud. Mud daubers belong to different families and are variable in appearance. Most resemble long, slender wasps about in length. The name refers to the nests that are made by the female wasps, which consist of mud molded into place by the wasp's mandibles. Mud daubers are not normally aggressive, but can become belligerent when threatened. Stings are uncommon. ",Mud dauber,Q6931468," Mud dauber (or ""mud wasp"" or ""dirt dauber"") is a name commonly applied to a number of wasps from either the family Sphecidae or Crabronidae that build their nests from mud. Mud daubers belong to different families and are variable in appearance. Most resemble long, slender wasps about in length. The name refers to the nests that are made by the female wasps, which consist of mud molded into place by the wasp's mandibles. Mud daubers are not normally aggressive, but can become belligerent when threatened. Stings are uncommon. "
726,2,LOUD BANG NEAR ENGINE. ABORTED TAKE OFF. NOSE BAGGAGE DOORLOCKED BUT OPEN. BRACKET THAT HOLDS DOOR WAS BROKEN.     , nose baggage doorlocked but open.,open,2012 TEAN International,Q3979477," The 2012 TEAN International was a professional tennis tournament played on clay courts. It was the 17th edition of the tournament which was part of the 2012 ATP Challenger Tour and the 12th edition of the tournament for the 2012 ITF Women's Circuit. It took place in Alphen aan den Rijn, Netherlands between 3 and 9 September 2011.  ",Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. "
733,1,LANDED ON A ROAD DUE TO FUEL EXHAUSTION 30 MINUTES AFTER TAKEOFF. SUSPECT FUEL SUMP FROZE IN OPEN POSITION         , suspect fuel sump froze in open position         .,open,Bobsleigh at the 2014 Winter Olympics,Q24984," Bobsleigh at the 2014 Winter Olympics was held at the Sliding Center Sanki near Krasnaya Polyana, Russia. The three events took place between 16–23 February 2014. ",Open secret,Q3477259," An open secret is a concept or idea that is ""officially"" (""de jure"") secret or restricted in knowledge, but in practice (""de facto"") may be widely known; or it refers to something that is widely known to be true but which none of the people most intimately concerned are willing to categorically acknowledge in public. "
753,0,PILOT FORGOT TO REMOVE AILERON CONTROL LOCK AND COULD NOT CONTROL AIRCRAFT AFTER TAKEOFF.                          ,pilot forgot to remove aileron control lock and could not control aircraft after takeoff.,aileron,Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. ",Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. "
755,0,CFI GAVE ENGINE OUT ON TAKEOFF. STUDENT USED WRONG RUDDER. FAILED CUT POWER CFI FAILED TO ACT. STRUCK DIRT BANK.   ,cfi gave engine out on takeoff.,cfi,CFE Company,Q5010614," The CFE Company is a joint venture established by GE Aviation and the Garrett Engine Division of Allied Signal (now Honeywell Aerospace) in June 1987. The company produces the CFE738, a small turbofan engine used on the Dassault Falcon 2000. ""CFE"" stands for ""Commercial Fan Engines"".     ",Corporate Finance Institute,Q46129046," Corporate Finance Institute (CFI) is a financial analyst certification organization that provides online training and education for finance and investment professionals, including courses for financial modelling, valuation, and other corporate finance topics. The organization offers many courses that are aimed to provide students a well-rounded set of skills for modern finance, such as Microsoft Excel, accounting, presentation and visuals, and business strategy. All CFI courses are entirely offered online. CFI is the official provider of the Financial Modeling & Valuation Analyst (FMVA) designation.  The organization was incorporated as a joint venture with MDA Training (MDA), a London-based financial training company founded in 1988 by Professor Walter Reid, who was one of the founding professors of the London Business School (LBS). "
760,1,UPPER ENGINE COWLING SEPARATED FROM THE AIRCRAFT EN ROUTE. PILOT HAD NEGLECTED TO SECURE COWLING AFTER REPLACING IT, pilot had neglected to secure cowling after replacing it.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
764,0,DURING CLIMBING TURN TO DOWNWIND CANOPY CAME OPEN. BOTH HANDS SEEN TRYING TO CLOSE CANOPY. SPUN IN.                ,during climbing turn to downwind canopy came open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Q60523248," The women's individual accuracy competition at the 2018 Asian Games in Puncak, Bogor Regency, Indonesia was held from 20 August to 23 August at the Gunung Mas.   ",Ski jumping at the 2018 Winter Olympics – Men's large hill team,Q47461175," The men's large hill team ski jumping competition for the 2018 Winter Olympics in Pyeongchang, South Korea, was held on 19 February 2018 at the Alpensia Ski Jumping Stadium. "
775,1,STUDENT PILOT CARRYING PASSENGER ATTEMPTED TAKEOFF WITH FULL FLAPS EXTENDED. ARICRAFT STALLED AFTER LIFT OFF.      , aricraft stalled after lift off.,aricraft,O'Neill Aristocraft II,Q7071906, The Aristocraft II was a six-place homebuilt aircraft designed by Terrence O'Neill. ,Waco Aristocraft,Q7958842," The Waco Model W Aristocraft was an American four-seat monoplane, the last aircraft designed and built by the Waco Aircraft Company. It had an unusual configuration with an engine mounted at the front driving a pusher propeller at the rear. "
776,0,FOLLOWING NR2 HYDRAULIC FAILURE PILOT PULLED FLOATATION T HANDLE INSTEAD OF EMERGENCY GEAR EXTENSION HANDLE.       ,following nr2 hydraulic failure pilot pulled floatation t handle instead of emergency gear extension handle.,nr2,NRSN2,Q18046545," Neurensin-2 is a protein that in humans is encoded by the ""NRSN2"" gene.   ",Testicular receptor 2,Q18032090," The testicular receptor 2 (TR2) also known as NR2C1 (nuclear receptor subfamily 2, group C, member 1) is protein that in humans is encoded by the ""NR2C1"" gene. TR2 is a member of the nuclear receptor family of transcription factors. "
