,c5_id,doc_idx,sent_idx,c119_input,sentence,entities
732,19820912057439I,661,0,"AFTER UNLOADING PASSENGERS, PILOT DEPARTED WITH A STEEL METER BOX ON A FLOAT. BOX FELL AND WENT THROUGH A ROOF.    ","after unloading passengers , pilot departed with a steel meter box on a float .","[13, 13, 'VEH']"
733,19820912057439I,661,1,"AFTER UNLOADING PASSENGERS, PILOT DEPARTED WITH A STEEL METER BOX ON A FLOAT. BOX FELL AND WENT THROUGH A ROOF.    ",box fell and went through a roof .,"[21, 21, 'FAC']"
734,19821117066069I,663,1,"RIGHT ENGINE LOST OIL PRESSURE, SHUT DOWN AND RETURNED. PILOT FAILED TO SECURE TIGHT FITTING OIL CAP ON PREFLIGHT. ",pilot failed to secure tight fitting oil cap on preflight .,"[11, 11, 'PER']"
735,19820905043969A,664,0,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,tow plane released glider after lift off because it would not climb .,"[1, 1, 'VEH']"
736,19820905043969A,664,0,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,tow plane released glider after lift off because it would not climb .,"[3, 3, 'VEH']"
737,19820905043969A,664,0,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,tow plane released glider after lift off because it would not climb .,"[8, 8, 'VEH']"
738,19820905043969A,664,1,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,glider had spoilers extended .,"[13, 13, 'VEH']"
739,19820915054019I,665,1,BAGGAGE DOOR CAME OPEN IN FLIGHT. A FILM CANISTER FELL OUT AND WENT THROUGH A ROOF. DOOR NOT PROPERLY SECURED.     ,a film canister fell out and went through a roof .,"[16, 16, 'FAC']"
740,19821218067539I,666,0,PILOT NOTICED BRIGHT GLOW FROM ENGINE. BELIEVED ON FIRE. SECURED AND LANDED. OIL CAP NOT SECURED.                  ,pilot noticed bright glow from engine .,"[0, 0, 'PER']"
741,19821105060779A,667,0,PILOT FORGOT TO CONNECT ELEVATOR CONTROLS WHEN HE ASSEMBLED GLIDER FOR THE FLIGHT. CRASH OCCURRED DURING TAKEOFF.  ,pilot forgot to connect elevator controls when he assembled glider for the flight .,"[0, 0, 'PER']"
742,19821105060779A,667,0,PILOT FORGOT TO CONNECT ELEVATOR CONTROLS WHEN HE ASSEMBLED GLIDER FOR THE FLIGHT. CRASH OCCURRED DURING TAKEOFF.  ,pilot forgot to connect elevator controls when he assembled glider for the flight .,"[7, 7, 'PER']"
743,19821105060779A,667,0,PILOT FORGOT TO CONNECT ELEVATOR CONTROLS WHEN HE ASSEMBLED GLIDER FOR THE FLIGHT. CRASH OCCURRED DURING TAKEOFF.  ,pilot forgot to connect elevator controls when he assembled glider for the flight .,"[9, 9, 'VEH']"
744,19830120021189I,668,0,TAXING FOR TAKEOFF AIRCRAFT SLID OFF TAXIWAY. PASSENGERS DEPLANED BY PORTABLE STAIRS. TAXIWAY NOT SANDED.          ,taxing for takeoff aircraft slid off taxiway .,"[3, 3, 'VEH']"
745,19830120021189I,668,1,TAXING FOR TAKEOFF AIRCRAFT SLID OFF TAXIWAY. PASSENGERS DEPLANED BY PORTABLE STAIRS. TAXIWAY NOT SANDED.          ,passengers deplaned by portable stairs .,"[8, 8, 'PER']"
746,19830120021189I,668,1,TAXING FOR TAKEOFF AIRCRAFT SLID OFF TAXIWAY. PASSENGERS DEPLANED BY PORTABLE STAIRS. TAXIWAY NOT SANDED.          ,passengers deplaned by portable stairs .,"[12, 12, 'FAC']"
747,19830120021189I,668,2,TAXING FOR TAKEOFF AIRCRAFT SLID OFF TAXIWAY. PASSENGERS DEPLANED BY PORTABLE STAIRS. TAXIWAY NOT SANDED.          ,taxiway not sanded .,"[14, 14, 'FAC']"
748,19830116001029A,670,2,LOST CONTROL ON TAKEOFF. LEFT WHEEL SHEARED ON A SNOW BERM. AIRCRAFT THEN SLID INTO PARKED AIRCRAFT. FROST ON WINGS,aircraft then slid into parked aircraft .,"[13, 13, 'VEH']"
749,19830116001029A,670,2,LOST CONTROL ON TAKEOFF. LEFT WHEEL SHEARED ON A SNOW BERM. AIRCRAFT THEN SLID INTO PARKED AIRCRAFT. FROST ON WINGS,aircraft then slid into parked aircraft .,"[18, 18, 'VEH']"
750,19830217010839I,671,0,PILOT EXPERIENCED AN UNWANTED OPENING OF THE MAIN CARGO DOOR. DOOR WAS NOT LOCKED PROPERLY. WARNING SYSTEM DEFECT. ,pilot experienced an unwanted opening of the main cargo door .,"[0, 0, 'PER']"
751,19830404013119A,672,1,ENGINE QUIT ON CLIMBOUT. CRASHED TWO MILES FROM AIRPORT. FOUND WATER IN FUEL AND FUEL SOURCE AT AIRPORT.           ,crashed two miles from airport .,"[9, 9, 'FAC']"
752,19830404013119A,672,2,ENGINE QUIT ON CLIMBOUT. CRASHED TWO MILES FROM AIRPORT. FOUND WATER IN FUEL AND FUEL SOURCE AT AIRPORT.           ,found water in fuel and fuel source at airport .,"[19, 19, 'FAC']"
753,19830212072579I,673,0,HAD A BANGING NOISE OUTSIDE AIRCRAFT EN ROUTE. ON LANDING FOUND A SEAT BELT WAS PROTRUDING UNDER THE DOOR.         ,had a banging noise outside aircraft en route .,"[5, 5, 'VEH']"
754,19830115003989I,674,2,LONG GROUND RUN. JET WASH DAMAGED APPROACH LIGHTS AT RUNWAY DEPARTURE END. ENGINE ANTI ICE NOT USED.               ,engine anti ice not used .,"[14, 14, 'VEH']"
755,19830324069919A,675,0,PILOT DID NOT CONNECT AILERONS DURING REASSEMBLING FOLDING WINGS. NO AILERON CONTROL DURING TAKEOFF.               ,pilot did not connect ailerons during reassembling folding wings .,"[0, 0, 'PER']"
756,19830506025439A,676,0,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ",pilot was attempting night landing on unlighted strip .,"[0, 0, 'PER']"
757,19830506025439A,676,0,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ",pilot was attempting night landing on unlighted strip .,"[7, 7, 'FAC']"
758,19830506025439A,676,1,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ","carlights directed wrong way , aircraft landed short .","[9, 9, 'PER']"
759,19830506025439A,676,1,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ","carlights directed wrong way , aircraft landed short .","[14, 14, 'VEH']"
760,19830423068089I,677,1,LOST POWER AT CRUISE ALTITUDE. LANDED ON LAKE. BROKE THROUGH ICE. FOUND RAGS IN CARBURETOR AIR INTAKE BOX.         ,landed on lake .,"[8, 8, 'LOC']"
761,19830110002039A,678,1,DEPARTED WITH NOSE GEAR SCISSORS NOT CONNECTED. AIRCRAFT VEERED OFF RUNWAY ON LANDING. NOSE GEAR COLLAPSED.        ,aircraft veered off runway on landing .,"[8, 8, 'VEH']"
762,19830110002039A,678,1,DEPARTED WITH NOSE GEAR SCISSORS NOT CONNECTED. AIRCRAFT VEERED OFF RUNWAY ON LANDING. NOSE GEAR COLLAPSED.        ,aircraft veered off runway on landing .,"[11, 11, 'FAC']"
763,19830120014919I,679,1,LEFT OIL PRESSURE DROPPED. SECURED ENGINE. LANDED AT NEAREST AIRPORT. LOST OIL THRU A UNSECURED OIL CAP.           ,secured engine .,"[6, 6, 'VEH']"
764,19830120014919I,679,2,LEFT OIL PRESSURE DROPPED. SECURED ENGINE. LANDED AT NEAREST AIRPORT. LOST OIL THRU A UNSECURED OIL CAP.           ,landed at nearest airport .,"[11, 11, 'FAC']"
765,19830621033449I,680,0,SMOKE AND FUMES IN COCKPIT AFTER TAKEOFF. RETURNED. RAM AIR INLET COVER NOT REMOVED. CAUSED OVERHEATED PRESSURE AIR,smoke and fumes in cockpit after takeoff .,"[4, 4, 'VEH']"
766,19830607032229I,681,0,AFTER LIFT OFF NOSE WHEEL HIT THE RUNWAY DUE TO EXCESSIVE FORWARD TRIM. IMPACT BROKE NOSEWHEEL FORK. ENGINE DAMAGED,after lift off nose wheel hit the runway due to excessive forward trim .,"[7, 7, 'FAC']"
767,19830607032229I,681,2,AFTER LIFT OFF NOSE WHEEL HIT THE RUNWAY DUE TO EXCESSIVE FORWARD TRIM. IMPACT BROKE NOSEWHEEL FORK. ENGINE DAMAGED,engine damaged .,"[19, 19, 'VEH']"
768,19830618035419I,682,1,TOOK OFF WITH TOW BAR STILL ATTACHED TO NOSE GEAR. TOWER ALERTED PILOT. KEPT GEAR DOWN. RETURNED.                  ,tower alerted pilot .,"[11, 11, 'FAC']"
769,19830618035419I,682,1,TOOK OFF WITH TOW BAR STILL ATTACHED TO NOSE GEAR. TOWER ALERTED PILOT. KEPT GEAR DOWN. RETURNED.                  ,tower alerted pilot .,"[13, 13, 'PER']"
770,19830617038439I,686,1,ENGINE QUIT ON TAKEOFF. LANDED STRAIGHT AHEAD OFF END OF RUNWAY. FUEL FILTER DRAIN PARTLY OPEN. LEAKING.           ,landed straight ahead off end of runway .,"[11, 11, 'FAC']"
771,19830805039289A,687,0,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,pilot aborted takeoff but aircraft ran off the end of runway .,"[0, 0, 'PER']"
772,19830805039289A,687,0,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,pilot aborted takeoff but aircraft ran off the end of runway .,"[4, 4, 'VEH']"
773,19830805039289A,687,0,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,pilot aborted takeoff but aircraft ran off the end of runway .,"[10, 10, 'FAC']"
774,19830805039289A,687,1,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,witness stated trim set full nose down .,"[12, 12, 'PER']"
775,19830803044649I,689,2,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     ,faa ramp check showed pitot plugged with mud .,"[9, 9, 'ORG']"
776,19830617025809A,690,0,DEPARTED LOADING PLATFORM WITH A LOADING HOSE STILL ATTACHED. CAUSED TAIL ROTOR THEN MAIN ROTORS TO STRIKE GROUND. ,departed loading platform with a loading hose still attached .,"[2, 2, 'VEH']"
777,19830725039029A,693,0,AIRCRAFT COLLIDED WITH UNMARKED PILE OF DIRT OFF THE APPROACH END OF RUNWAY DURING NIGHT APPROACH FOR LANDING.     ,aircraft collided with unmarked pile of dirt off the approach end of runway during night approach for landing .,"[0, 0, 'VEH']"
778,19830725039029A,693,0,AIRCRAFT COLLIDED WITH UNMARKED PILE OF DIRT OFF THE APPROACH END OF RUNWAY DURING NIGHT APPROACH FOR LANDING.     ,aircraft collided with unmarked pile of dirt off the approach end of runway during night approach for landing .,"[12, 12, 'FAC']"
779,19830719047649I,694,1,TOOK OFF AFTER AN OIL LEAK WAS CORRECTED. ENGINE SIEZED FOR LACK OF OIL. NO OTHER OIL LEAKS FOUND.                 ,engine siezed for lack of oil .,"[9, 9, 'VEH']"
780,19830702040259I,695,0,RETURNED TO AIRPORT WHEN PILOT NOTICED THAT HE DID NOT MEET MINIMUM FUEL REQUIREMENTS. FAILED TO CHECK FUEL LOAD.  ,returned to airport when pilot noticed that he did not meet minimum fuel requirements .,"[2, 2, 'FAC']"
781,19830702040259I,695,0,RETURNED TO AIRPORT WHEN PILOT NOTICED THAT HE DID NOT MEET MINIMUM FUEL REQUIREMENTS. FAILED TO CHECK FUEL LOAD.  ,returned to airport when pilot noticed that he did not meet minimum fuel requirements .,"[4, 4, 'PER']"
782,19830702040259I,695,0,RETURNED TO AIRPORT WHEN PILOT NOTICED THAT HE DID NOT MEET MINIMUM FUEL REQUIREMENTS. FAILED TO CHECK FUEL LOAD.  ,returned to airport when pilot noticed that he did not meet minimum fuel requirements .,"[7, 7, 'PER']"
783,19830707041439A,697,1,"ENGINE QUIT AT 600 FEET AFTER TAKEOFF. TURNED BACK TO RUNWAY, STRUCK TREES. FUEL SELECTOR IN INTERMEDIATE POSITION.","turned back to runway , struck trees .","[11, 11, 'FAC']"
784,19830528032589I,700,1,RAN OUT FUEL EN ROUTE. LANDED ON A HIGHWAY. LEFT FUEL CAP IMPROPERLY SECURED. FUEL SIPHONED OUT.                   ,landed on a highway .,"[9, 9, 'FAC']"
785,19830720033909A,701,0,AIRCRAFT STALLED AND CRASHED WHEN PILOT RAISED FLAPS DURING GO AROUND DURING TRAINING FLIGHT.                      ,aircraft stalled and crashed when pilot raised flaps during go around during training flight .,"[0, 0, 'VEH']"
786,19830720033909A,701,0,AIRCRAFT STALLED AND CRASHED WHEN PILOT RAISED FLAPS DURING GO AROUND DURING TRAINING FLIGHT.                      ,aircraft stalled and crashed when pilot raised flaps during go around during training flight .,"[5, 5, 'PER']"
787,19830630028079A,702,0,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,tow rope released glider at 75 feet during takeoff .,"[3, 3, 'VEH']"
788,19830630028079A,702,1,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,glider crashed when pilot tried 180 degree turn back to runway .,"[10, 10, 'VEH']"
789,19830630028079A,702,1,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,glider crashed when pilot tried 180 degree turn back to runway .,"[13, 13, 'PER']"
790,19830630028079A,702,1,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,glider crashed when pilot tried 180 degree turn back to runway .,"[20, 20, 'FAC']"
791,19830614046699A,704,0,LOST CONTROL OF AIRCRAFT ON THE TAKEOFF ROLL WHILE TRYING TO CLOSE A WINDOW LEFT OPEN PRIOR TO TAKEOFF.            ,lost control of aircraft on the takeoff roll while trying to close a window left open prior to takeoff .,"[3, 3, 'VEH']"
792,19830730049899I,706,3,FUEL CAP LEFT OFF. RETURNED AFTER TAKEOFF. FORGOT TO LOWER LANDING GEAR. PILOT NOT COOPERATIVE IN THE INVESTIGATION,pilot not cooperative in the investigation .,"[15, 15, 'PER']"
793,19830725076039I,707,0,REFUELED AIRCRAFT WITH WRONG FUEL. CAPTAIN WAS WATCHING. ROUGH ENGINE ON CLIMB OUT. RETURNED.                      ,refueled aircraft with wrong fuel .,"[1, 1, 'VEH']"
794,19830725076039I,707,1,REFUELED AIRCRAFT WITH WRONG FUEL. CAPTAIN WAS WATCHING. ROUGH ENGINE ON CLIMB OUT. RETURNED.                      ,captain was watching .,"[6, 6, 'PER']"
795,19830724035509A,708,1,SLUGGISH PERFORMANCE ON TOW. CUT LOOSE BUT UNABLE TO MAKE AIRPORT. HAD FAILED TO RETRACT SPOILERS FOR TAKEOFF.     ,cut loose but unable to make airport .,"[11, 11, 'FAC']"
796,19830816050659I,711,0,PILOT STATES PASSENGER OPENED BAGGAGE DOOR AND DID NOT CLOSE IT PROPERLY. DOOR CAME OPEN ON TAKEOFF.               ,pilot states passenger opened baggage door and did not close it properly .,"[2, 2, 'PER']"
797,19830819043469A,712,0,PILOTS SEAT SLID BACK ON TAKEOFF. CONTROL WAS LOST. VEERED OFF RUNWAY INTO A POND. SEAT NOT FASTENED PRIOR TAKEOFF.,pilots seat slid back on takeoff .,"[0, 0, 'PER']"
798,19830819043469A,712,2,PILOTS SEAT SLID BACK ON TAKEOFF. CONTROL WAS LOST. VEERED OFF RUNWAY INTO A POND. SEAT NOT FASTENED PRIOR TAKEOFF.,veered off runway into a pond .,"[13, 13, 'FAC']"
799,19830819043469A,712,2,PILOTS SEAT SLID BACK ON TAKEOFF. CONTROL WAS LOST. VEERED OFF RUNWAY INTO A POND. SEAT NOT FASTENED PRIOR TAKEOFF.,veered off runway into a pond .,"[16, 16, 'LOC']"
800,19830825051459I,713,0,SMOKE IN COCKPIT. MADE HARD LANDING DUE TO ANXIETY TO RETURN. DAMAGED PROP AND WING TIP. BIRDS NEST ON CYLINDERS.  ,smoke in cockpit .,"[2, 2, 'VEH']"
801,19831001065549I,714,3,USED SEAT BELT TO HOLD CONTROL STICK BACK. FORGOT TO RELEASE. STALLED ON TAKEOFF. FELL BACK TO RUNWAY.             ,fell back to runway .,"[20, 20, 'FAC']"
802,19831008053479A,715,0,AIRCRAFT CRASHED ON FINAL APPROACH AS PILOT WAS RETURNING AFTER COWLING CAME LOOSE AFTER TAKEOFF.                  ,aircraft crashed on final approach as pilot was returning after cowling came loose after takeoff .,"[0, 0, 'VEH']"
803,19831008053479A,715,0,AIRCRAFT CRASHED ON FINAL APPROACH AS PILOT WAS RETURNING AFTER COWLING CAME LOOSE AFTER TAKEOFF.                  ,aircraft crashed on final approach as pilot was returning after cowling came loose after takeoff .,"[6, 6, 'PER']"
804,19831127058759A,717,0,GROUND CREW PUT SLING ON HOOK INSTEAD OF IN HELICOPTER AS PILOT INDICATED. FOULED TAIL ROTOR. CAUSED A CRASH.      ,ground crew put sling on hook instead of in helicopter as pilot indicated .,"[1, 1, 'PER']"
805,19831127058759A,717,0,GROUND CREW PUT SLING ON HOOK INSTEAD OF IN HELICOPTER AS PILOT INDICATED. FOULED TAIL ROTOR. CAUSED A CRASH.      ,ground crew put sling on hook instead of in helicopter as pilot indicated .,"[9, 9, 'VEH']"
806,19831127058759A,717,0,GROUND CREW PUT SLING ON HOOK INSTEAD OF IN HELICOPTER AS PILOT INDICATED. FOULED TAIL ROTOR. CAUSED A CRASH.      ,ground crew put sling on hook instead of in helicopter as pilot indicated .,"[11, 11, 'PER']"
807,19831011075659A,718,0,LOADED PALLET SHIFTED REARWARD ON TAKEOFF ROLL. AIRCRAFT NOSED UP. FLIGHT WAS ABORTED OFF RUNWAY. LOCKS NOT SECURED,loaded pallet shifted rearward on takeoff roll .,"[1, 1, 'VEH']"
808,19831011075659A,718,1,LOADED PALLET SHIFTED REARWARD ON TAKEOFF ROLL. AIRCRAFT NOSED UP. FLIGHT WAS ABORTED OFF RUNWAY. LOCKS NOT SECURED,aircraft nosed up .,"[8, 8, 'VEH']"
809,19831011075659A,718,2,LOADED PALLET SHIFTED REARWARD ON TAKEOFF ROLL. AIRCRAFT NOSED UP. FLIGHT WAS ABORTED OFF RUNWAY. LOCKS NOT SECURED,flight was aborted off runway .,"[16, 16, 'FAC']"
810,19831001052579A,719,0,LONG LINE CAUGHT ON TREES AS HELICOPTER CLIMBED AFTER TAKEOFF. HAD NEGLECTED RELEASE LINE FOR THE PASSENGER FLIGHT.,long line caught on trees as helicopter climbed after takeoff .,"[6, 6, 'VEH']"
811,19831001052579A,719,1,LONG LINE CAUGHT ON TREES AS HELICOPTER CLIMBED AFTER TAKEOFF. HAD NEGLECTED RELEASE LINE FOR THE PASSENGER FLIGHT.,had neglected release line for the passenger flight .,"[17, 17, 'PER']"
812,19830812044949A,720,1,ENGINE QUIT AT 300 FT ON TAKEOFF. STRUCK A TRACTOR LANDINGON NEARBY AG STRIP. WATER IN BLADDER FUEL TANK WRINKLES. ,struck a tractor landingon nearby ag strip .,"[10, 10, 'VEH']"
813,19830812044949A,720,1,ENGINE QUIT AT 300 FT ON TAKEOFF. STRUCK A TRACTOR LANDINGON NEARBY AG STRIP. WATER IN BLADDER FUEL TANK WRINKLES. ,struck a tractor landingon nearby ag strip .,"[13, 14, 'FAC']"
814,19831111070839I,721,2,LEFT WING BAGGAGE DOOR DAME OPEN ON TAKEOFF ROLL. ABORTED BUT UNABLE TO STOP ON WET SLUSH. RAN OFF END OF RUNWAY.  ,ran off end of runway .,"[23, 23, 'FAC']"
815,19830928057899A,723,0,PILOT FAILED TO COMPLETELY RELEASE PARKING BRAKE PRIOR TO FLIGHT. BRAKES LOCKED ON LANDING. AIRCRAFT NOSED OVER.   ,pilot failed to completely release parking brake prior to flight .,"[0, 0, 'PER']"
816,19830928057899A,723,2,PILOT FAILED TO COMPLETELY RELEASE PARKING BRAKE PRIOR TO FLIGHT. BRAKES LOCKED ON LANDING. AIRCRAFT NOSED OVER.   ,aircraft nosed over .,"[16, 16, 'VEH']"
817,19830816041679A,724,0,ENGINE QUIT WHILE APPROACHING AIRPORT. LANDED SHORT IN MUD AND FLIPPED OVER. MUD DAUBERS HAD BLOCKED FUEL VENTS.   ,engine quit while approaching airport .,"[4, 4, 'FAC']"
818,19830816041679A,724,2,ENGINE QUIT WHILE APPROACHING AIRPORT. LANDED SHORT IN MUD AND FLIPPED OVER. MUD DAUBERS HAD BLOCKED FUEL VENTS.   ,mud daubers had blocked fuel vents .,"[15, 15, 'VEH']"
819,19831019073799A,725,0,AIRCRAFT SETTLED BACK INTO GROUND DURING TAKEOFF. INDICATIONS ARE THAT FLAPS WERE RAISED TOO SOON AFTER LIFTOFF.   ,aircraft settled back into ground during takeoff .,"[0, 0, 'VEH']"
820,19830808062509I,727,0,HIGH ITT AND LOW OIL PRESSURE ON BOTH ENGINES ON APPROACH. FOUND BOTH OIL CAPS IN PLACE BUT NOT LOCKED DOWN.       ,high itt and low oil pressure on both engines on approach .,"[8, 8, 'VEH']"
821,19840207010309I,728,1,PARTIAL POWERPLANT FAILURE. LANDED IN A PASTURE. FOUND EXCESSIVE WATER IN FUEL SYSTEM.                             ,landed in a pasture .,"[7, 7, 'LOC']"
822,19840206059289A,730,0,AIRCRAFT CRASHED WHEN RIGHT ENGINE QUIT DURING TAKEOFF. RIGHT FUEL TANK EMPTY AND SHOWED SIGNS OF CONTAMINATION.   ,aircraft crashed when right engine quit during takeoff .,"[0, 0, 'VEH']"
823,19840130076729A,731,2,ALTITUDE PRESELECT IMPROPERLY SET BEFORE TAKEOFF. LEVELED OFF TOO LOW. DESCENDED SLIGHTLY AND IMPACTED TREES.      ,descended slightly and impacted trees .,"[16, 16, 'PER']"
824,19840118011879I,733,0,LANDED ON A ROAD DUE TO FUEL EXHAUSTION 30 MINUTES AFTER TAKEOFF. SUSPECT FUEL SUMP FROZE IN OPEN POSITION         ,landed on a road due to fuel exhaustion 30 minutes after takeoff .,"[3, 3, 'FAC']"
825,19840113000789A,734,1,LOST BOTH ENGINES ON TAKEOFF DUE TO ICE INGESTION. CREW IGNORED AIRFRAME PRIOR ICING. FAILED TO CHECK ENGINE INLETS,crew ignored airframe prior icing .,"[10, 10, 'PER']"
826,19840113000789A,734,2,LOST BOTH ENGINES ON TAKEOFF DUE TO ICE INGESTION. CREW IGNORED AIRFRAME PRIOR ICING. FAILED TO CHECK ENGINE INLETS,failed to check engine inlets .,"[19, 19, 'VEH']"
827,19831231073549I,735,0,ENGINE MALFUNCTION ON INITIAL CLIMBOUT. FOUND WATER AND FINE DIRT PARTICLES IN STRAINER AND FUSELAGE BELLY DRAIN.  ,engine malfunction on initial climbout .,"[0, 0, 'VEH']"
828,19831231073549I,735,1,ENGINE MALFUNCTION ON INITIAL CLIMBOUT. FOUND WATER AND FINE DIRT PARTICLES IN STRAINER AND FUSELAGE BELLY DRAIN.  ,found water and fine dirt particles in strainer and fuselage belly drain .,"[15, 15, 'VEH']"
829,19840322008519A,736,0,TAXIWAY GAVE WAY ALLOWING WHEEL OF AIRCRAFT TO DROP IN HOLE CAUSING SUBSTANTIAL DAMAGE TO AIRCRAFT.                ,taxiway gave way allowing wheel of aircraft to drop in hole causing substantial damage to aircraft .,"[6, 6, 'VEH']"
830,19840322008519A,736,0,TAXIWAY GAVE WAY ALLOWING WHEEL OF AIRCRAFT TO DROP IN HOLE CAUSING SUBSTANTIAL DAMAGE TO AIRCRAFT.                ,taxiway gave way allowing wheel of aircraft to drop in hole causing substantial damage to aircraft .,"[15, 15, 'VEH']"
831,19840324033049A,739,0,PILOT DID NOT REMOVE REAR SEAT BELT WHICH HELD REAR CONTROL STICK FROM MOVING WHILE AIRCRAFT WAS PARKED.           ,pilot did not remove rear seat belt which held rear control stick from moving while aircraft was parked .,"[0, 0, 'PER']"
832,19840324033049A,739,0,PILOT DID NOT REMOVE REAR SEAT BELT WHICH HELD REAR CONTROL STICK FROM MOVING WHILE AIRCRAFT WAS PARKED.           ,pilot did not remove rear seat belt which held rear control stick from moving while aircraft was parked .,"[15, 15, 'VEH']"
833,19840406014179A,740,0,LOADED NEAR GROSS AND ICE ON AIRFRAME STRUCK TREES OFF DEPARTURE END OF RUNWAY. DARK NIGHT FOG AND SNOW SHOWERS.   ,loaded near gross and ice on airframe struck trees off departure end of runway .,"[13, 13, 'FAC']"
834,19840212003519A,741,0,CRASH OCCURRED DURING PRECAUTIONARY LANDING WHEN PILOT ATTEMPTED TO LAND ON ROAD TO SECURE OIL ACCESS COVER.       ,crash occurred during precautionary landing when pilot attempted to land on road to secure oil access cover .,"[6, 6, 'PER']"
835,19840212003519A,741,0,CRASH OCCURRED DURING PRECAUTIONARY LANDING WHEN PILOT ATTEMPTED TO LAND ON ROAD TO SECURE OIL ACCESS COVER.       ,crash occurred during precautionary landing when pilot attempted to land on road to secure oil access cover .,"[11, 11, 'FAC']"
836,19840107019539I,743,1,CABIN DOOR OPENED. BLEW OFF AS PILOT TRIED TO CLOSE IT. HIS HAND BLEW INTO PROP INJURING A FINGER. DOOR NOT SECURED,blew off as pilot tried to close it .,"[7, 7, 'PER']"
837,19840107019539I,743,2,CABIN DOOR OPENED. BLEW OFF AS PILOT TRIED TO CLOSE IT. HIS HAND BLEW INTO PROP INJURING A FINGER. DOOR NOT SECURED,his hand blew into prop injuring a finger .,"[13, 13, 'PER']"
838,19831223063429A,744,0,AIRCRAFT STALLED AND CRASHED DURING TAKEOFF. SEVERAL WITNESSES NOTICED FROST ON WINGS.                             ,aircraft stalled and crashed during takeoff .,"[0, 0, 'VEH']"
839,19831223063429A,744,1,AIRCRAFT STALLED AND CRASHED DURING TAKEOFF. SEVERAL WITNESSES NOTICED FROST ON WINGS.                             ,several witnesses noticed frost on wings .,"[8, 8, 'PER']"
840,19840401007889A,745,0,PILOT USING FLAPS FOR TAKEOFF HIT WIRES WHEN ADDITIONAL FLAPS WERE APPLIED AND REDUCED PERFORMANCE.                ,pilot using flaps for takeoff hit wires when additional flaps were applied and reduced performance .,"[0, 0, 'PER']"
841,19840224004629A,746,1,"UNABLE TO CLIMB OR SUSTAIN SPEED AFTER TAKEOFF. CRASH LANDED OFF AIRPORT.SNOW, ICE AND SLUSH ON AIRCRAFT AND RUNWAY",crash landed off airport .,"[12, 12, 'FAC']"
842,19840224004629A,746,2,"UNABLE TO CLIMB OR SUSTAIN SPEED AFTER TAKEOFF. CRASH LANDED OFF AIRPORT.SNOW, ICE AND SLUSH ON AIRCRAFT AND RUNWAY","snow , ice and slush on aircraft and runway .","[20, 20, 'VEH']"
