,doc_idx,sent_idx,c5_id,original_sentence,input,head,relation,tail
110,1920,1,19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.",failed release logs and use se procedures .,se procedures,USED-FOR,failed release logs
111,1945,0,19960425012409I,NARRATIVE: AT ROTATION DURING TAKEOFF A VIBRATION WAS FELT AS WELL AS RAPID PRESSURIZATION FLUCTUATIONS. THE LANDIN,narrative : at rotation during takeoff a vibration was felt as well as rapid pressurization fluctuations .,vibration,CONJUNCTION,rapid pressurization fluctuations
112,2068,0,19980109000199A,PILOT DID NOT PERFORM PREFLIGHT CHECK AND FAILED TO REMOVE GUST LOCK FROM FLIGHT CONTROLS. STURCK TREES END OF RUN ,pilot did not perform preflight check and failed to remove gust lock from flight controls .,gust lock,PART-OF,flight controls
113,2087,1,19980427007849A,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,damage pitch links and gear box .,damage pitch links,CONJUNCTION,gear box
114,2092,0,19970906033429I,NARRATIVE: TOTAL ELECTRICAL SYSTEM FAILURE OCCURRED DURING ALTERNATOR COOLING TESTS. PILOT ATTEMPTED TO EXTEND LAND,narrative : total electrical system failure occurred during alternator cooling tests .,alternator cooling tests,FEATURE-OF,total electrical system failure
115,2094,0,19980528020409I,GEAR RETRACTION DUE GEAR SELECTOR IN THE UP POSITION. SETTLED BACK TO RUNWAY AFTER INITIAL LIFT OFF.               ,gear retraction due gear selector in the up position .,gear selector,USED-FOR,gear retraction
116,2146,0,19980421013329A,ACCIDENTLY TURNED OFF FUEL SWITCH INSTEAD OF PARTICLE SEPERATOR ON CLIMBOUT. SWITCHES CLOSE TOGETHER. POOR DESIGN. ,accidently turned off fuel switch instead of particle seperator on climbout .,fuel switch,COMPARE,particle seperator
117,2164,1,19980705015659A,DURING GLIDER TOW AT 150FT AGL THE CANOPY OPENED. RELEASED TOW AND TRIED RETURN. SEPEATED GAR AND TAIL LANDING. (.4,sepeated gar and tail landing .,sepeated gar,CONJUNCTION,tail landing
118,2226,0,19950821032519A,DISTRACTED AND FORGOT TO RAISE GEAR ON AMPHIBIOUS FLOATS FOR WATER LANDING. FLIPPED OVER. (-23) PILOT FORGOT TO RET,distracted and forgot to raise gear on amphibious floats for water landing .,amphibious floats,USED-FOR,water landing
119,2273,1,19970513039769A,ENIGNE QUIT ON LOW LEVEL SEISMIC SURVEY FLIGHT. ROTOR DECAY ON AUTOROTATION. WATER IN FUEL AND AT SOURCE. (-23) DUR,rotor decay on autorotation .,autorotation,FEATURE-OF,rotor decay
120,2316,0,19990126015169I,"ENROUTE TO PICK UP PATIENT AT HOSPITAL, PILOT FELT WHAT HE THOUGHT WAS TURBULENCE FOLLOWED BY A RUSHING AIR NOISE. ","enroute to pick up patient at hospital , pilot felt what he thought was turbulence followed by a rushing air noise .",turbulence,CONJUNCTION,rushing air noise
121,2338,0,20000328040049A,"(.4)PRIOR TO DEPARTURE, THE PILOT RECEIVED A WEATHER BRIEFING, WHICH INCLUDED FORECAST MODERATE ICING AND PILOT REP","( .4 ) prior to departure , the pilot received a weather briefing , which included forecast moderate icing and pilot rep",forecast moderate icing,PART-OF,weather briefing
122,2378,0,20001027030999I,"(-23)ON FRIDAY OCTOBER 27, 2000, A DC-10 WAS BEING MARSHALLED TO A PARKING SPOT BY PERSONNEL OF PATHFINDER, A FREIG","( -23 ) on friday october 27 , 2000 , a dc-10 was being marshalled to a parking spot by personnel of pathfinder , a freig",pathfinder,USED-FOR,dc-10
123,2566,0,20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,( -23 ) fuel contamination in airframe fuel filter as well as in fuel filter and engine driven fuel pump filter .,fuel filter,CONJUNCTION,engine driven fuel pump filter
124,2566,0,20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,( -23 ) fuel contamination in airframe fuel filter as well as in fuel filter and engine driven fuel pump filter .,airframe fuel filter,CONJUNCTION,fuel filter
125,2620,0,20051130032239A,(-23) THE OWNER/PILOT HAD REPLACED THE CABLE AND PULLEY AILERON CONTROL SYSTEM WITH A PUSH-PULL TUBE AND BELLCRANK ,( -23 ) the owner/pilot had replaced the cable and pulley aileron control system with a push-pull tube and bellcrank,push-pull tube,USED-FOR,cable and pulley aileron control system
126,2728,0,20080608836749I,(-23)THE PIC/FAR141CFI WAS GIVING MULTI ENGINE INSTRUCTION TO THE COMMERCIAL PILOT STUDENT. THE CFI OBSERVED THE ST,( -23 ) the pic/far141cfi was giving multi engine instruction to the commercial pilot student .,pic/far141cfi,USED-FOR,multi engine instruction
