,doc_idx,sent_idx,original_sentence,input,head,relation,tail
115,1993,0,"NARRATIVE: DURING A CROSS COUNTRY FLIGHT FROM SIOUX FALLS, SD TO OMAHA, NE THE TOP ENTRANCE DOOR HALF CAME OPEN AT ","narrative: during a cross country flight from sioux falls , sd to omaha , ne the top entrance door half came open at",sioux falls,PART-WHOLE,sd
116,2000,1,FAILED TO STOW SPOILERS FOR GLIDER TOW. THEY DEPLOYED. GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY.  ,glider pilot cut lose from tow but hit trees short runway .,pilot,ART,glider
117,2002,0,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","narrative: on january 16 , 1997 , a beech 99 , owned and operated by alpine air of provo , utah , had departed billings ,",provo,PART-WHOLE,utah
118,2011,0,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector municipal airport,PART-WHOLE,hector
119,2011,0,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector,PART-WHOLE,mn
120,2018,0,THE PILOT EXITED THE AIRCRAFT IN ORDER TO ESCORT A DEPLANING PASSENGER. THE STUDENT PILOT RATED PASSENGER WAS LEFT ,the pilot exited the aircraft in order to escort a deplaning passenger .,pilot,ART,aircraft
121,2020,0,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ","narrative: private pilot , in a single engine cessna , on a vfr flight with one passenger , made an emergency landing",pilot,ART,cessna
122,2021,0,"NARRATIVE: AIRCRAFT DEPARTED BIRCHWOOD, AK AIRPORT ON A SHORT PLEASURE FLIGHT. THE LEFT MAIN GEAR FAILED TO EXTEND ","narrative: aircraft departed birchwood , ak airport on a short pleasure flight .",birchwood,PART-WHOLE,ak airport
123,2025,0,"NARRATIVE: ON 04/27/97 AT 6:25 A CESSNA CARAVAN, N303GV, DEPARTED KOTZEBUE, ALASKA WITH THE TAIL STAND ATTACHED.   ","narrative: on 04/27/97 at 6:25 a cessna caravan , n303gv , departed kotzebue , alaska with the tail stand attached .",kotzebue,PART-WHOLE,alaska
124,2043,0,"NARRATIVE: AFTER DEPARTURE FROM MARLBORO AIRPORT, MARLBORO, NJ UNDER VISUAL METEOROLOGICAL CONDITION (VMC), THE PIL","narrative: after departure from marlboro airport , marlboro , nj under visual meteorological condition ( vmc ) , the pil",marlboro,PART-WHOLE,nj
125,2043,0,"NARRATIVE: AFTER DEPARTURE FROM MARLBORO AIRPORT, MARLBORO, NJ UNDER VISUAL METEOROLOGICAL CONDITION (VMC), THE PIL","narrative: after departure from marlboro airport , marlboro , nj under visual meteorological condition ( vmc ) , the pil",marlboro airport,PART-WHOLE,marlboro
126,2051,1,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,pilot failed note ramp person tied skids due high wind .,person,ART,skids
127,2055,0,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",4 ) the pilot was planning to ferry his airplane from a privat .,his,ART,airplane
128,2055,0,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",4 ) the pilot was planning to ferry his airplane from a privat .,pilot,PHYS,privat
129,2064,0,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,nr2 engine fire while loading passengers at gate .,passengers,PHYS,gate
130,2079,0,NARRATIVE: PILOT FUELED AIRCRAFT AND PLACED FUEL SELECTOR ON LEFT TANK. PILOT BOARDED HIS TWO DOGS AND UPON HIS ENT,narrative: pilot fueled aircraft and placed fuel selector on left tank .,pilot,ART,aircraft
131,2080,0,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,narrative: upon landing aircraft pilot lost control ( unknown reason ) and recovery positioned aircraft perpendicular,pilot,ART,aircraft
132,2080,0,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,narrative: upon landing aircraft pilot lost control ( unknown reason ) and recovery positioned aircraft perpendicular,pilot,ART,aircraft
133,2084,0,"NARRATIVE: PILOT REPORTED ENGINE SPUTTERED AND QUIT ON APPROACH TO ANOKA, MN AIRPORT. TRIED RESTARTING WITH NO EFFE","narrative: pilot reported engine sputtered and quit on approach to anoka , mn airport .",airport,PART-WHOLE,anoka
134,2092,1,NARRATIVE: TOTAL ELECTRICAL SYSTEM FAILURE OCCURRED DURING ALTERNATOR COOLING TESTS. PILOT ATTEMPTED TO EXTEND LAND,pilot attempted to extend land .,pilot,PHYS,land
135,2099,1,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA",kadera then attempted to land in a field but was forced to land on highway 93 .,kadera,PHYS,field
136,2099,2,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","three miles east of sunmer , iowa .",sunmer,PART-WHOLE,iowa
137,2103,0,"ACFT CRASHED AFTER TAKEOFF, BLISSFIELD, MI (.19)ON JULY 2, 1998, AT 0800 EASTER DAYLIGHT TIME (EDT), W WICKS FLY BA","acft crashed after takeoff , blissfield , mi ( .",blissfield,PART-WHOLE,mi
138,2104,0,"NARRATIVE: ON OCTOBER 7, 1997 AT APPROXIMATELY 1800 EDT A BEECHCRAFT BE58, N18BZ DEPARTED FROM GAYLORD, MI (GLR) WI","narrative: on october 7 , 1997 at approximately 1800 edt a beechcraft be58 , n18bz departed from gaylord , mi ( glr ) wi",gaylord,PART-WHOLE,mi
139,2105,0,THE PILOT WAS TAXIING THE AIRCRAFT INTO THE WIND WITH THE CONTROLS TIED BACK WITH THE SEAT BELT. THE AIRCRAFT WENT ,the pilot was taxiing the aircraft into the wind with the controls tied back with the seat belt .,pilot,ART,aircraft
140,2107,0,(-23)A/C TRIED TO RETURN TO THE AIRPORT AFTER TAKEOFF DUE TO OIL ON THE WINDSHIELDS. INSTALLATION OF THE AIRCRAFT S,( -23 ) a/c tried to return to the airport after takeoff due to oil on the windshields .,a/c,PHYS,airport
141,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","( -5 ) ifr flight , rexburg , idaho to gunnison , co .",rexburg,PART-WHOLE,idaho
142,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","( -5 ) ifr flight , rexburg , idaho to gunnison , co .",gunnison,PART-WHOLE,co
143,2114,1,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ",", pilot requested diversion to idaho falls ( ida ) after having smoke .",pilot,PHYS,idaho falls
144,2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover , crashed on airport property off rwy .",pilot,PHYS,property
145,2122,1,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.",", acft swerved to right and pilot could not recover , crashed on airport property off rwy .",property,PART-WHOLE,airport
146,2133,0,"(-5)AIRCRAFT PARKED ON GRASS BY GROUND CREW. ON DEPARTURE WHILE TAXIING TO THE PAVED TAXIWAY, THE NOSE GEAR FELL IN",( -5 ) aircraft parked on grass by ground crew .,crew,PHYS,grass
147,2133,0,"(-5)AIRCRAFT PARKED ON GRASS BY GROUND CREW. ON DEPARTURE WHILE TAXIING TO THE PAVED TAXIWAY, THE NOSE GEAR FELL IN",( -5 ) aircraft parked on grass by ground crew .,crew,ART,aircraft
148,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas , ca .",salinas,PART-WHOLE,ca
149,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas , ca .",pilot,PHYS,salinas
150,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative: the pilot fueled the aircraft at salinas , ca .",pilot,ART,aircraft
151,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","hicks was flying from sauk center , mn .",sauk center,PART-WHOLE,mn
152,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","hicks was flying from sauk center , mn .",hicks,PHYS,sauk center
153,2143,2,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( d39 ) to carroll , ia ( cin ) .",carroll,PART-WHOLE,ia
154,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten .",he,ART,airplane
155,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten .",airstrip,PHYS,pleasant view
156,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten .",friend,ART,airstrip
157,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa , flight 580 departed runway 32 at lincoln , ne .",lincoln,PART-WHOLE,ne
158,2161,0,"ON JUNE 17, 1998, AN AS-350-BA HELICOPTER DEPARTED LIHUE AIRPORT ON THE ISLAND OF KAUAI, HAWAII, THE PILOT HAD NEGL","on june 17 , 1998 , an as-350-ba helicopter departed lihue airport on the island of kauai , hawaii , the pilot had negl",lihue airport,PART-WHOLE,island
159,2166,0,AIRCRAFT LANDED GEAR UP ON RUNWAY #1 AT ALBANY INTERNATIONAL AIRPORT. PILOT WAS IN THE PROCESS OF PERFORMING AN EME,aircraft landed gear up on runway #1 at albany international airport .,runway,PART-WHOLE,albany international airport
160,2168,0,"ACFT CRASHED INTO A SWAMP UNDER UNKNOWN CIRCUMSTANCES, AND THE PILOT WAS TAKEN TO THE HOSPITAL WITH UNKNOWN INJURIE","acft crashed into a swamp under unknown circumstances , and the pilot was taken to the hospital with unknown injurie",pilot,PHYS,hospital
161,2171,0,"(-5) ON MAY 26, 1999, AT APPROXIMATELY 7:05 AM MDT MESA AIRLINES FLIGHT 105, A BE-1900D, TAXIED FROM THE MESA RAMP ","( -5 ) on may 26 , 1999 , at approximately 7:05 am mdt mesa airlines flight 105 , a be-1900d , taxied from the mesa ramp",mesa airlines,ART,flight 105
162,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach ( k15 ) on runway 14 enroute to kansas city , missouri .",kansas city,PART-WHOLE,missouri
163,2178,0,"(-23) APPROX. 8 MILES NORTH EAST OF BUNTING FIELD (DEPARTURE POINT) AT 800 FEET, THE PILOT EXPERIENCED LIGHT-MODERA","8 miles north east of bunting field ( departure point ) at 800 feet , the pilot experienced light-modera .",pilot,PHYS,bunting field
164,2184,0,"(.4) WAITING ON THE RAMP FOR TAXI INSTRUCTIONS, THE COPILOT BROUGHT TO THE CAPTAIN'S ATTENTION THAT THE GEAR LOCK H","4 ) waiting on the ramp for taxi instructions , the copilot brought to the captain 's attention that the gear lock h .",copilot,PHYS,ramp
165,2189,1,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),","karup was providing supervision to a student pilot on a cross country flight from jacksonville , nc ( oaj ) , .",jacksonville,PART-WHOLE,nc
166,2190,0,(-5) WHILE TAXIING FROM THE HANGER 6 WEST AT THE PURDUE AIRPORT (LAF) THE STUDENT PILOT LOST CONTROL OF THE AIRCRAF,( -5 ) while taxiing from the hanger 6 west at the purdue airport ( laf ) the student pilot lost control of the aircraf,pilot,ART,aircraf
167,2190,0,(-5) WHILE TAXIING FROM THE HANGER 6 WEST AT THE PURDUE AIRPORT (LAF) THE STUDENT PILOT LOST CONTROL OF THE AIRCRAF,( -5 ) while taxiing from the hanger 6 west at the purdue airport ( laf ) the student pilot lost control of the aircraf,pilot,PHYS,purdue airport
168,2193,0,"(.4) ON DECEMBER 17, 1999, AT 1024 HOURS PACIFIC STANDARD TIME, A CESSNA 172N, N738UA, OPERATED BY THE PILOT WAS SU","4 ) on december 17 , 1999 , at 1024 hours pacific standard time , a cessna 172n , n738ua , operated by the pilot was su .",pilot,ART,172n
169,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",palm springs,PART-WHOLE,ca
170,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",pilot,PHYS,oceanside
171,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",pilot,ART,n789sl
172,2210,0,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,( -23 ) according to the pilot he departed front range airport during the hours of darkness .,he,PHYS,front range airport
173,2211,1,"(-23) UPON TAKEOFF, THE DOOR IMMEDIATELY AFTER THE AIRCRAFT LEFT THE GROUND. THE PILOT ELECTED TO LAND ON THE REMAI",the pilot elected to land on the remai .,pilot,ART,remai
174,2213,1,(.4) THE HELICOPTER LOST ENGINE POWER DURING TAKEOFF DUE TO CONTAMINATED FUEL. THE COMMERCIAL HELICOPTER PILOT STAT,the commercial helicopter pilot stat .,pilot,ART,helicopter
175,2219,1,(-23) OPERATOR EXPERIENCED LOW OIL PRESSURE INDICATION ON CLIMB. OPERATOR RETURNED TO AIRPORT AND MADE A NORMAL LAN,operator returned to airport and made a normal lan .,operator,PHYS,airport
176,2227,1,POSITIONING FLIGHT LOST CABIN DOOR OFF AIRCRAFT. CABIN CREWMAN APPARENTLY FAILED LATCH DOOR. WARNING LIGHT INOP.   ,cabin crewman apparently failed latch door .,crewman,ART,cabin
177,2229,0,HOPPER FIRE INFLIGHT. PILOT LANDED ON ROAD BETWEEN TREES. SULPHUR DUST A FACTOR. NON COMPLIANCE WITH ADS ON SUBJECT,pilot landed on road between trees .,pilot,PHYS,road
178,2241,0,"NARRATIVE: AIRCRAFT DEPARTED FORT SMITH, ARKANSAS. DURING GEAR RETRACTION, THE LANDING GEAR CIRCUIT BREAKER POPPED.","narrative: aircraft departed fort smith , arkansas .",fort smith,PART-WHOLE,arkansas
179,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative: on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",chicago,PART-WHOLE,il
180,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative: on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",san antonio,PART-WHOLE,tx
181,2270,0,(.4) THE PILOT FUELED HIS AIRPLANE AND FLEW A CROSS COUNTRY FLIGHT FOR A TOTAL DURATION OF 4 HOURS. AFTER LANDING B,4 ) the pilot fueled his airplane and flew a cross country flight for a total duration of 4 hours .,his,ART,airplane
182,2270,0,(.4) THE PILOT FUELED HIS AIRPLANE AND FLEW A CROSS COUNTRY FLIGHT FOR A TOTAL DURATION OF 4 HOURS. AFTER LANDING B,4 ) the pilot fueled his airplane and flew a cross country flight for a total duration of 4 hours .,pilot,ART,airplane
183,2281,0,DEPARTED ENGINE NOT HEATHY CONTINUED. MORE POWER LOSS. HIT WIRES LDG ON 135. (-23) THE PILOT DEPARTED PAULS VALLEY ,( -23 ) the pilot departed pauls valley .,pilot,PHYS,pauls valley
184,2286,0,NARRATIVE: AIRCRAFT LOST POWER AND LANDED IN CORN FIELD APPROXIMATELY ONE MILE SHORT OF SHANNON AIRPORT. MINOR DAMA,narrative: aircraft lost power and landed in corn field approximately one mile short of shannon airport .,corn field,PHYS,shannon airport
185,2287,1,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","lunken departed nashua , nh enroute to altoona , pa .",altoona,PART-WHOLE,pa
186,2287,1,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","lunken departed nashua , nh enroute to altoona , pa .",lunken,PHYS,nashua
187,2287,1,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","lunken departed nashua , nh enroute to altoona , pa .",nashua,PART-WHOLE,nh
188,2287,1,"NARRATIVE: MS. LUNKEN DEPARTED NASHUA, NH ENROUTE TO ALTOONA, PA. IN THE VICINITY OF WILKES-BARRE, PA SHE OBSERVED ","lunken departed nashua , nh enroute to altoona , pa .",lunken,PHYS,altoona
189,2290,0,"(.4)THE PILOT LANDED AT WATERTOWN, LOADED AND OFF-LOADED CARGO, AND DEPARTED WITHOUT GETTING OUT OF THE AIRPLANE. A","4 ) the pilot landed at watertown , loaded and off-loaded cargo , and departed without getting out of the airplane .",pilot,PHYS,watertown
190,2291,0,"NARRATIVE: ON FEBRUARY 11, 1998, AT APPROXIMATELY 1615 MST, A BIG SKY AIRLINES SA-227, FLIGHT 1204, BEING OPERATED ","narrative: on february 11 , 1998 , at approximately 1615 mst , a big sky airlines sa-227 , flight 1204 , being operated",big sky airlines,ART,sa-227
191,2311,0,"(.19) ON OCTOBER 1, 1998, AT 1230 CENTRAL DAYLIGHT TIME, A DIAMOND AIRCRAFT INDUSTRIES DA 20-A1 AIRPLANE, N527SS, W","19 ) on october 1 , 1998 , at 1230 central daylight time , a diamond aircraft industries da 20-a1 airplane , n527ss , w .",diamond aircraft industries,ART,airplane
192,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles .",pilot,PHYS,airport
193,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles .",pilot,ORG-AFF,airline
194,2316,0,"ENROUTE TO PICK UP PATIENT AT HOSPITAL, PILOT FELT WHAT HE THOUGHT WAS TURBULENCE FOLLOWED BY A RUSHING AIR NOISE. ","enroute to pick up patient at hospital , pilot felt what he thought was turbulence followed by a rushing air noise .",patient,PHYS,hospital
195,2321,0,"ON 5/6/99 AT APPROXIMATELY 1608C, DELTA 789 DEPARTED RUNWAY 36 BOUND FOR SAN FRANCISCO, CA. SHORTLY AFTER TAKEOFF T","on 5/6/99 at approximately 1608c , delta 789 departed runway 36 bound for san francisco , ca .",san francisco,PART-WHOLE,ca
196,2322,0,"(-23)AFTER LANDING, TAXIED ON TAXIWAY PAPA WAS MARCHALLED BY GROUP PERSONNEL INTO THE ATLANTIC FBO RAMP, HIT A RECE","( -23 ) after landing , taxied on taxiway papa was marchalled by group personnel into the atlantic fbo ramp , hit a rece",personnel,PHYS,ramp
197,2322,0,"(-23)AFTER LANDING, TAXIED ON TAXIWAY PAPA WAS MARCHALLED BY GROUP PERSONNEL INTO THE ATLANTIC FBO RAMP, HIT A RECE","( -23 ) after landing , taxied on taxiway papa was marchalled by group personnel into the atlantic fbo ramp , hit a rece",personnel,ORG-AFF,group
198,2323,0,(-23) PILOT DEPARTED A PRIVATE RANCH FOR A FOUR (4) MILE ENROUTE TRIP TO ANOTHER RANCH. AFTER TAKEOFF PILOT REALIZE,( -23 ) pilot departed a private ranch for a four ( 4 ) mile enroute trip to another ranch .,pilot,PHYS,ranch
199,2323,0,(-23) PILOT DEPARTED A PRIVATE RANCH FOR A FOUR (4) MILE ENROUTE TRIP TO ANOTHER RANCH. AFTER TAKEOFF PILOT REALIZE,( -23 ) pilot departed a private ranch for a four ( 4 ) mile enroute trip to another ranch .,pilot,PHYS,ranch
200,2330,0,"(-23)^PRIVACY DATA ^ A PRIVATE PILOT WHILE FLYING N9023Q, A BEECH BE-58-58, ENROUTE AT 12,000 TO KMSN HAD THE FRONT","( -23 ) ^privacy data ^ a private pilot while flying n9023q , a beech be-58-58 , enroute at 12 , 000 to kmsn had the front",pilot,ART,n9023q
201,2343,0,"(-23)ON MAY 26, 2000, N4628C DEPARTED RUNWAY 22, CULPEPER, VA (W49) ON A PERSONAL FLIGHT SUBSEQUENT TO MAINTENANCE ","( -23 ) on may 26 , 2000 , n4628c departed runway 22 , culpeper , va ( w49 ) on a personal flight subsequent to maintenance",culpeper,PART-WHOLE,va
202,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",reading airport,PART-WHOLE,reading
203,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",reading,PART-WHOLE,pa
204,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",reading airport,PART-WHOLE,pa
205,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",pilot,ART,aircraft
206,2352,0,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,( -23 ) northwest airlines dc-10 boeing pushed back for repositioning off of gate b-52 struck a continental airlines d,northwest airlines,ART,boeing
207,2356,0,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ","( -23 ) the pilot was on a cross country flight from justin , tx .",justin,PART-WHOLE,tx
208,2356,1,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ","to des moines , iowa .",des moines,PART-WHOLE,iowa
209,2358,0,"(-23) THE PILOT TOOK OFF FROM MERRILL FIELD RUNWAY 24, DURING CLIMB OUT THE ENGINE CEASED TO DEVELOP POWER. THE PIL","( -23 ) the pilot took off from merrill field runway 24 , during climb out the engine ceased to develop power .",pilot,PHYS,runway
210,2362,0,(-23) DELTA AIRLINES BOEING 737 N947WP WAS PARKED AT SPOT 11 ON THE NORTH RAMP WAITING FOR THUNDERSTORMS TO MOVE OU,( -23 ) delta airlines boeing 737 n947wp was parked at spot 11 on the north ramp waiting for thunderstorms to move ou,delta airlines,ART,737
211,2368,0,"(-23)ON JUNE 28, 2000 AT APPROXIMATELY 1140 AM AN INTERNATIONAL AIR HANDLERS BAGGAGE CART #T-2 BECAME UNHITCHED AND","( -23 ) on june 28 , 2000 at approximately 1140 am an international air handlers baggage cart #t-2 became unhitched and",handlers,ART,cart
212,2374,0,"(-23) DURING DEPARTURE FROM A PRIVATE AIRSTRIP AT LUCEDALE, MS. WHILE CLIMBING THROUGH APPROX. 150 FEET AGL., THE A","( -23 ) during departure from a private airstrip at lucedale , ms .",lucedale,PART-WHOLE,ms
213,2374,0,"(-23) DURING DEPARTURE FROM A PRIVATE AIRSTRIP AT LUCEDALE, MS. WHILE CLIMBING THROUGH APPROX. 150 FEET AGL., THE A","( -23 ) during departure from a private airstrip at lucedale , ms .",airstrip,PART-WHOLE,lucedale
214,2378,0,"(-23)ON FRIDAY OCTOBER 27, 2000, A DC-10 WAS BEING MARSHALLED TO A PARKING SPOT BY PERSONNEL OF PATHFINDER, A FREIG","( -23 ) on friday october 27 , 2000 , a dc-10 was being marshalled to a parking spot by personnel of pathfinder , a freig",personnel,ORG-AFF,pathfinder
215,2379,0,"(-23) AIRMAN STATED THAT AFTER HE PREFLIGHTED A/C, HE WENT INTO THE OPS HANGER TO FILE HIS FLIGHT PLAN. WHEN HE RET","( -23 ) airman stated that after he preflighted a/c , he went into the ops hanger to file his flight plan .",he,PHYS,ops hanger
