,doc_idx,sent_idx,original_sentence,input,head,relation,tail
117,2092,0,NARRATIVE: TOTAL ELECTRICAL SYSTEM FAILURE OCCURRED DURING ALTERNATOR COOLING TESTS. PILOT ATTEMPTED TO EXTEND LAND,narrative: total electrical system failure occurred during alternator cooling tests .,alternator cooling tests,FEATURE-OF,total electrical system failure
118,2094,0,GEAR RETRACTION DUE GEAR SELECTOR IN THE UP POSITION. SETTLED BACK TO RUNWAY AFTER INITIAL LIFT OFF.               ,gear retraction due gear selector in the up position .,gear selector,USED-FOR,gear retraction
119,2146,0,ACCIDENTLY TURNED OFF FUEL SWITCH INSTEAD OF PARTICLE SEPERATOR ON CLIMBOUT. SWITCHES CLOSE TOGETHER. POOR DESIGN. ,accidently turned off fuel switch instead of particle seperator on climbout .,fuel switch,COMPARE,particle seperator
120,2164,1,DURING GLIDER TOW AT 150FT AGL THE CANOPY OPENED. RELEASED TOW AND TRIED RETURN. SEPEATED GAR AND TAIL LANDING. (.4,sepeated gar and tail landing .,sepeated gar,CONJUNCTION,tail landing
121,2226,0,DISTRACTED AND FORGOT TO RAISE GEAR ON AMPHIBIOUS FLOATS FOR WATER LANDING. FLIPPED OVER. (-23) PILOT FORGOT TO RET,distracted and forgot to raise gear on amphibious floats for water landing .,amphibious floats,USED-FOR,water landing
122,2273,1,ENIGNE QUIT ON LOW LEVEL SEISMIC SURVEY FLIGHT. ROTOR DECAY ON AUTOROTATION. WATER IN FUEL AND AT SOURCE. (-23) DUR,rotor decay on autorotation .,autorotation,FEATURE-OF,rotor decay
123,2316,0,"ENROUTE TO PICK UP PATIENT AT HOSPITAL, PILOT FELT WHAT HE THOUGHT WAS TURBULENCE FOLLOWED BY A RUSHING AIR NOISE. ","enroute to pick up patient at hospital , pilot felt what he thought was turbulence followed by a rushing air noise .",turbulence,CONJUNCTION,rushing air noise
124,2338,0,"(.4)PRIOR TO DEPARTURE, THE PILOT RECEIVED A WEATHER BRIEFING, WHICH INCLUDED FORECAST MODERATE ICING AND PILOT REP","4 ) prior to departure , the pilot received a weather briefing , which included forecast moderate icing and pilot rep .",forecast moderate icing,PART-OF,weather briefing
125,2378,0,"(-23)ON FRIDAY OCTOBER 27, 2000, A DC-10 WAS BEING MARSHALLED TO A PARKING SPOT BY PERSONNEL OF PATHFINDER, A FREIG","( -23 ) on friday october 27 , 2000 , a dc-10 was being marshalled to a parking spot by personnel of pathfinder , a freig",pathfinder,USED-FOR,dc-10
126,2566,0,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,( -23 ) fuel contamination in airframe fuel filter as well as in fuel filter and engine driven fuel pump filter .,fuel filter,CONJUNCTION,engine driven fuel pump filter
127,2566,0,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,( -23 ) fuel contamination in airframe fuel filter as well as in fuel filter and engine driven fuel pump filter .,airframe fuel filter,CONJUNCTION,fuel filter
128,2620,0,(-23) THE OWNER/PILOT HAD REPLACED THE CABLE AND PULLEY AILERON CONTROL SYSTEM WITH A PUSH-PULL TUBE AND BELLCRANK ,( -23 ) the owner/pilot had replaced the cable and pulley aileron control system with a push-pull tube and bellcrank,push-pull tube,USED-FOR,cable and pulley aileron control system
129,2710,0,(-23) PILOT FAILED TO UNTIE RIGHT SIDE TIE DOWN AND ATTEMPTED TO LIFT OFF. HE ENCOUNTERED DYNAMIC ROLLOVER AND DAMA,he encountered dynamic rollover and dama .,dynamic rollover,CONJUNCTION,dama
130,2728,0,(-23)THE PIC/FAR141CFI WAS GIVING MULTI ENGINE INSTRUCTION TO THE COMMERCIAL PILOT STUDENT. THE CFI OBSERVED THE ST,( -23 ) the pic/far141cfi was giving multi engine instruction to the commercial pilot student .,pic/far141cfi,USED-FOR,multi engine instruction
