IDENT,PROBLEM,ACTION
101744,BAFFLE BUTTON PLUG IS WORN.,REMOVED & REPLACED PLUG W/ NEW.
101745,#3 ROCKER COVER GASKET IS TORN.,REMOVED & REPLACED GASKET W/ NEW.
101746,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101747,FWD BOTTOM ENGINE BAFFLE SEAL HAS HOLES IN IT.,REMOVED & REPLACED BAFFLE.
101748,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101749,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
101750,OIL COOLER LOWER BAFFLE SEAL IS MISSING.,APPLIED HIGH TEMP SILICONE.
101751,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.
101752,L/H ENGINE WILL NOT START.,STARTED L/H ENGINE & PERFORMED MAG DROP & RUN UP PROCED
101753,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101754,#2 INTAKE LEAKING.,REPLACED GASKET.
101755,#1 & 2 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101756,ENG DIED AFTER LANDING.,STARTED A/C USING FLOODED START PROCEDURE. A/C RAN NORM
101757,ENG HAD MOMENTARY OVERSPEED TO 2770 RPM.,"PER LYCOMING , NO FURTHER ACTION REQUIRED AS OVE"
101758,#2 CYL ROCKER COVER SCREW IS MISSING.,INSTALLED NEW SCREW.
101759,#1 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #1 ROCKER BOX COVER GASKET.
101760,INTAKE GASKET CYL #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101761,ROCKER COVER GASKET CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101762,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
101763,#3 INTAKE LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.
101764,R/H BAFFLE SAFETY WIRE BROKEN.,SECURED W/ NEW SAFETY WIRE & SPIRAL WRAP.
101765,L/H BAFFLE BUTTON PLUG IS BROKEN.,INSTALLED NEW PLUG.
101766,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101767,"CYL #1, 3, 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101768,CASE HALVES LEAKING ON BOTTOM FWD PORTION.,"CLEANED ENGINE, RAN A/C, INSPECTED & DETECTED NO LEAKS."
101769,#1 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
101770,L/H I/B BAFFLE SPRING IS BRKOEN.,INSTALLED NEW SPRING.
101771,ROCKER COVER GASKET CYL #2 LEAKING.,DRESSED PROP.
101772,"INTAKE GASKET, CYLINDER #2, LEAKING.",REMOVED & REPLACED INTAKE GASKET.
101773,CYL #4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
101774,#2 & 4 INTAKES ARE LEAKING ON L/H ENGINE.,REPLACED GASKETS ON 2 & 4 INTAKES.
101775,R/H ENG CYL #4 AFT BAFFLE BRACKET CRACKED.,STOP DRILLED CRACK.
101776,R/H ENG CYL #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED CYL #3 INTAKE GASKET.
101777,"L/H ENG, CYL #2 ROCKER COVER LEAKING.",REMOVED & REPLACED L/H ENG CYL #2 ROCKER COVER GASKET.
101778,"L/H ENGINE ROCKER COVER GASKETS, CYL 3, LEAKING.",REMOVED & REPLACED L/H ENG ROCKER COVER GASKET.
101779,R/H ENG CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED R/H ENG CYL #3 ROCKER COVER GASKET.
101780,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101781,PARTICLE SEPERATOR HAS GRASS IN IT.,CLEANED GRASS OUT OF PARTICLE SEPERATOR.
101782,CYL #4 INTAKE IS LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101783,FWD LOWER ENGINE BAFFLE CRACKED.,"REMOVED ENGINE BAFFLE, STOP DRILLED CRACK, FABRICATED P"
101784,R/H ENGINE SIDE BAFFLE CRACKED.,STOP DRILLED CRACK.
101785,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.
101786,FORWARD BAFFLE NEAR ALTERNATOR IS CRACKED.,STOP DRILLED CRACK.
101787,BOTH ENG BAFFLE BUTTONS WORN.,REPLACED & INSTALLED 2 BUTTONS.
101788,ALL ROCKER COVER SCREWS LOOSE & 1 MISSING.,REPLACED MISSING SCREW & TIGHTENED ALL SCREWS.
101789,CYL #4 INTAKE IS LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101790,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",RAN A/C & CYLINDER LEAK & OPS CK'ED GOOD.
101791,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",REMOVED #2 CYL. FOUND #2 EXHAUST VALVE & GUIDE GALLED.
101792,"DURING CRUISE, ENGINE BECAME INCREDIBLY ROUGH. ENGINE CONTIN",COMPLETED INSTALLATION OF #2 CYL. SERVICED ENGINE W/ 8
101793,#3 INTAKE LEAKING.,REPLACED INTAKE GASKET.
101794,BOTH BAFFLE PLUGS WORN.,REMOVED & REPLACED PLUGS.
101795,R/H AFT BAFFLE CRACKED.,"DISCONNECTED OIL PRESSURE LINE, DISPLACED OIL COOLER. F"
101796,ROCKER COVER GASKET CYL #1 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101797,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
101798,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.
101799,SCREW MISSING ON #4 ROCKER COVER.,INSTALLED NEW SCREW.
101800,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
101801,L/H BAFFLE PLUG LOCK TABS MISSING.,INSTALLED NEW BAFFLE PLUG.
101802,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
101803,#2 INTAKE LEAKING.,REPLACED CYL #2 INTAKE GASKET.
101804,R/H FWD ENGINE BAFFLE SEAL LOOSE.,REATTACHED BAFFLE SEAL.
101805,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.
101806,R/H REAR ENGINE BAFFLE SUPPORT BRACKET RIVETS BROKEN.,"LOOSENED OIL COOLER, OIL PRESSURE LINE. RE-RIVETED BAFF"
101807,#2 & 4 INTAKES LEAKING.,REPLACED GASKETS ON #2 & 4 INTAKES.
101808,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKET.
101809,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS.
101810,LOWER L/H FWD BAFFLE SEAL IS LOOSE.,REPAIRED BAFFLE SEAL & SECURED.
101811,"CLIMBING AFTER TAKEOFF, ENGINE CHOKED & BACK FIRED.","PERFORMED ENGINE RUN UP, CK'ED FOR NORMAL OPERATION AT"
101812,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.,"REINSTALLED FLYWHEEL. REINSTALLED, TORQUED & SAFETIED P"
101813,LOWER FRONT ENGINE CASE HALF SEAM IS LEAKING.,REMOVED PROP & FLYWHEEL TO GAIN ACCESS. CLEANED FWD CAS
101814,#4 INTAKE TUBE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101815,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
101816,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,INSTALLED SERVICEABLE GEAR.
101817,LEFT IDLER GEAR HAS SPALLING ON FUEL PUMP CAM.,"INSPECTED, FOUND TO BE SERVICEABLE."
101818,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101819,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
101820,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101821,#2 INTAKE LEAKING.,LEAK CK GOOD.
101822,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101823,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED #1 ROCKER COVER GASKET.
101824,ROCKER COVER GASKETS #3 & 2 ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101825,CYL #4 AFT BAFFLE CRACKED.,"REMOVED & REPLACED AFT BAFFLE, INSTALLED NEW BAFFLE SPR"
101826,L/H ENGINE BAFFLE PLUG DAMAGED.,"REMOVED & REPLACED L/H BAFFLE PLUG, NEW CYL #4 AFT BAFF"
101827,R/H #4 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
101828,"CYL #2, 3, & 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101829,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED CYL #2 INTAKE GASKET.
101830,ROCKER COVER GASKET CYL #4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101831,#1 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101832,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101833,BOLT MISSING FROM #4 CYL HEAD.,INSTALLED NEW SCREW.
101834,BOLT MISSING FROM #4 CYL HEAD.,"INSPECTED, FOUND NO BOLTS MISSING FROM CYL #4 HEAD. FOU"
101835,#2 & 3 INTAKE LEAKING.,REMOVED & REPLACED #2 & 3 INTAKE GASKETS.
101836,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
101837,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101838,#4 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101839,R/H ENG REACHED 2770 RPM ON TAKE OFF.,2770 RPM IS BELOW LYCOMING  OVERSPEED THRESHOLD.
101840,#4 INTAKE GASKET LEAKING.,REPLACED GASKET.
101841,SCREW MISSING ON #2 ROCKER COVER.,REPLACED SCREW.
101842,#3 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101843,#3 & 1 CYL INTAKE GASKETS LEAKING.,REPLACED INTAKE GASKETS.
101844,CRACK IN FWD BAFFLE CENTER.,STOP DRILLED CRACK.
101845,FWD LOWER BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.
101846,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101847,ROCKER COVER GASKETS CYL #1 & 2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101848,FWD L/H ENGINE BAFFLE CRACKED FROM HEAT AIR INTAKE DOWN.,"REMOVED BAFFLE, FABRICATED PATCH OF LIKE MATERIAL. RIVE"
101849,#2 ROCKER COVER GASKET LEAKING.,TIGHTENED ROCKER SCREWS.
101850,ROCKER COVER GASKET FROM CYL #2 LEAKING.,REMOVED & REPLACED GASKET.
101851,OIL COOLER HAS A GAP FROM COWLING & BOX ON BOTTOM.,APPLIED HIGH TEMP SILICONE SEALANT.
101852,EGT CYL #1 CLAMP LOOSE.,TIGHTENED CLAMP & SECURED W/ SAFETY WIRE.
101853,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
101854,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101855,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED ROCKER COVER GASKET.
101856,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
101857,L/H ENGINE BAFFLE SEAL RIVETS LOOSE.,REMOVED RIVETS & REINSTALLED NEW.
101858,R/H REAR ENGINE BAFFLE MOUNTING SCREW MISSING & BRACKET RIVE,REMOVED BAFFLE & REATTACHED BRACKET. REPLACED MISSING S
101859,INTAKE GASKETS #1 & 3 LEAKING.,REMOVED & REPLACED GASKETS.
101860,CYLINDER #4 BAFFLE PLUG TEETH ARE BROKEN.,REMOVED & REPLACED BAFFLE PLUG.
101861,"ROCKER COVER GASKETS ON CYL #3, 4 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101862,#3 INTAKE GASKET IS LEAKING.,REPLACED GASKET.
101863,#1 SIDE BAFFLE CRACKED.,REPAIRED W/ RIVETED PATCH.
101864,#3 & 4 ROCKER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101865,#4 INTAKE TUBE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101866,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.
101867,HARDWARE MISSING ON L/H ENGINE #2 CYLINDER.,INSTALLED NEW HARDWARE.
101868,INTAKES 2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.
101869,MUFFLER HEAT MUFF CRACKED.,STOP DRILLED CRACK & REINSTALLED.
101870,FAILS MIXTURE CK - NO RPM RISE.,ADJUSTED IDLE SPEED & MIXTURE TO SPECS. OPS CK GOOD.
101871,INTAKE GASKETS CYL #2 & 4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101872,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101873,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.
101874,BOTH BAFFLE PLUGS BAD.,REMOVED & REPLACED BAFFLE PLUGS.
101875,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101876,ROCKER COVER GASKET FROM CYL #2 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
101877,#3 INDUCTION TUBE GASKET LEAKING.,REPLACED INTAKE GASKET.
101878,R/H REAR ENGINE BAFFLE MOUNTING SCREW MISSING.,INSTALLED NEW SCREW.
101879,"RAN SMOOTHLY AFTER ENGINE START LEAN PROCEDURE, THEN RAN VER","RAN A/C & FOUND ENGINE RUNNING EXTREMELY ROUGH, INTERMI"
101880,"RAN SMOOTHLY AFTER ENGINE START LEAN PROCEDURE, THEN RAN VER","INSTALLED NEW GASKETS & SEALS, AS WELL AS, #2 CYL VALVE"
101881,"RAN SMOOTHLY AFTER ENGINE START LEAN PROCEDURE, THEN RAN VER","REMOVED INJECTOR NOZZLES, CLEANED & REINSTALLED. PERFOR"
101882,#3 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.
101883,#2 & 3 INTAKE GASKETS LEAKING.,REPLACED GASKETS.
101884,R/H & L/H VALVE COVERS LEAKING.,"INSTALLED ALL NEW VALVE COVERS, BOTH ENGINES."
101885,L/H ENGINE OIL COOLER TO ENGINE LIFTING EYE BRACKET BROKEN.,INSTALLED SERVICEABLE BRACKET.
101886,R/H ENGINE LIFTING EYE BOLT LEAKING OIL.,"REMOVED BOLT, CLEAN & SEALANT APPLIED. REASSEMBLED."
101887,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101888,R/H ENGINE #4 CYL BAFFLE BRACE NEEDS TO BE REMOVED FOR CAN O,INSTALLED NEW BRACE.
101889,R/H ENGINE #4 CYL BAFFLE BRACE NEEDS TO BE REMOVED FOR CAN O,REMOVED BRACE AS SERVICEABLE. PART ON ORDER.
101890,AUTO RELIGHT DEFERRED.,SEE
101891,LEFT ENGINE WOULD NOT START. ATTEMPTED NORMAL & FLOODED.,"PERFORMED NORMAL ENGINE START, NO DISCREPANCY NOTED. L/"
101892,L/H BAFFLE PLUG DAMAGED.,INSTALLED NEW PLUG.
101893,CYL #2 BAFFLE SCREW IS MISSING.,INSTALLED NEW SCREW.
101894,ENGINE HESITATION/ROUGHNESS 30 SEC AFTER TAKEOFF. NO FURTHER,"RAN A/C, DID NOT NOTICE ANY ROUGHNESS OR HESTITATION."
101895,ALL VALVE COVERS LEAKING.,INSTALLED ALL NEW VALVE COVER GASKETS.
101896,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101897,CYL #2 & 3 ROCKER COVERS ARE LEAKING.,INSTALLED NEW ROCKER COVER GASKETS.
101898,#3 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #3 INDUCTION TUBE GASKET.
101899,#2 & 4 INTAKE GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS W/ NEW.
101900,"LEAKING INTAKE GASKET, CYL #2.",REMOVED & REPLACED INTAKE GASKET.
101901,"LEAKING ROCKER COVER GASKET, CYL #4.",REMOVED & REPLACED ROCKER COVER GASKET.
101902,ENGINE RPM OF 2720.,"C/W LYCOMING , LESS THAN 5% REQUIREMENTS. NO FUR"
101903,CYL #3 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.
101904,CRANKSHAFT SEAL APPEARS TO BE LEAKING.,"REMOVED COWL, LEAK CK GOOD. REINSTALLED COWL."
101905,CRANKSHAFT SEAL APPEARS TO BE LEAKING.,REMOVED SAFETY WIRE FROM PROP BOLTS. CLEANED AREA. RAN
101906,CRANKSHAFT SEAL APPEARS TO BE LEAKING.,REMOVED PROP. FOUND CRANKSHAFT SEAL TO BE LEAKING. REMO
101907,CYL #2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101908,"CYL #3 AFT BAFFLE SCREW IS TIGHT, BUT BAFFLE IS LOOSE.","REMOVED OIL FILLER TUBE, REMOVED SCREW. TAPPED HOLE & C"
101909,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED CYL #4 INTAKE GASKET.
101910,"ROCKER COVER GASKETS LEAKING, CYL #2 & 3.",REMOVED & REPLACED ROCKER COVER GASKETS.
101911,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
101912,#2 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101913,ENGINE BAFFLE PLUGS BAD.,INSTALLED NEW BAFFLE PLUGS.
101914,R/H REAR ENGINE BAFFLE MOUNT SCREW LOOSE.,RETIGHTENED SCREW.
101915,L/H BAFFLE TIE BROKEN.,INSTALLED NEW BAFFLE TIE.
101916,"CYL #2, 3 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101917,CENTER AFT ENGINE BAFFLE CRACKED.,"REMOVED BAFFLE, DRILLED OUT RIVETS & REMOVED CRACKED PO"
101918,#4 INTAKE GASKET LEAKING.,REPLACED GASKET.
101919,#2 INTAKE GASKET IS LEAKING.,REPLACED GASKET.
101920,#2 CYL COMPERSSION READING LOW.,"STAKED INTAKE VALVE, COMPRESSION NOW 76/80."
101921,"#1, 2 & 4 INTAKES LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
101922,#4 INTAKE GASKET LEAKING.,REPLACED GASKET.
101923,#2 & 4 CYL ROCKER COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.
101924,L/H BAFFLE PLUG HOLE IS ELONGATED.,INSTALLED BAFFLE PLUG DOUBLER.
101925,CYL #2 INTAKE GASKET IS LEAKING.,INSTALLED NEW GASKET ON #2 INTAKE FLANGE.
101926,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101927,#2 & 4 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.
101928,#2 CYL INTAKE LEAKS.,REPLACED GASKET.
101929,#1 CYL HAS LOW COMPRESSION.,LEAK CK GOOD.
101930,#1 CYL HAS LOW COMPRESSION.,SERVICED W/ MINERAL OIL.
101931,"INTAKE 2, 3 & 4 LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
101932,ENGINE BAFFLE PLUGS DAMAGED.,REMOVED & REPLACED BOTH ENGINE BAFFLE PLUGS.
101933,#1 CYL HAS LOW COMPRESSION.,BORESCOPED ENGINE & FOUND EXHAUST VALVE BURNED.
101934,#1 CYL HAS LOW COMPRESSION.,REMOVED CYL #1. REMOVED PISTON. INSTALLED NEW PISTON. I
101935,#1 CYL HAS LOW COMPRESSION.,"REMOVED AIR INTAKE PIPE. REMOVED EXHAUST, REMOVED #1 RO"
101936,CYL #1 & 3 SIDE BAFFLE IS CRACKED.,"FABRICATED PATCH OF LIKE MATERIAL, INSTALLED USING EXIS"
101937,CYL #2 EXHAUST TUBE ELBOW TOP BOLT NEEDS TO BE RECOTTER PINN,REMOVED & REPLACED LOOSE COTTER PIN.
101938,CYL #1 ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.
101939,"ROCKER COVER GASKETS, CYL #2 & 4, LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101940,AFT BAFFLE SUPPORT CYL #3 HAS SHEARED RIVET.,"REMOVED BAFFLE, INSTALLED NEW RIVETS, REINSTALLED BAFFL"
101941,"BAFFLING CRACKED, R/H ENG BY #4 CYLINDER.",STOP DRILLED CRACKED BAFFLE.
101942,CYL #3 ROCKER COVER GASKET LEAKING.,INSTALLED NEW GASKET.
101943,L/H COOLING BAFFLE CONNECTING ROD BROKEN.,INSTALLED NEW CONNECTING ROD ON COOLING BAFFLE.
101944,R/H CYL COOLING BAFFLE CONTACTING OIL RETURN LINE.,"TIGHTENED BAFFLE CONNECTING ROD, NO DAMAGE TO OIL RETUR"
101945,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101946,"CYL #2, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101947,FWD CENTER ENG BAFFLE CRACKED.,"REMOVED DAMAGED BAFFLE SECTION, FABRICATED NEW SECTION"
101948,"CYL #2, 3 & 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101949,#2 ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.
101950,HARDWARE MISSING ON R/H REAR BAFFLE.,INSTALLED NEW HARDWARE.
101951,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.
101952,R/H BAFFLE SEAL BY PROP GOVERNOR LOOSE.,RIVETED BAFFLE SEAL BACK ONTO BAFFLE.
101953,#2 & 4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101954,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101955,INTAKE GASKETS CYL #1 & 3 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
101956,"ROCKER COVER GASKETS CYL #3, 4, 1 LEAKING.",REPLACED ROCKER COVER GASKETS.
101957,R/H AFT BAFFLING RIVETS SHEARED.,"REMOVED BAFFLING, DRILLED OUT BROKEN RIVETS. REPLACED B"
101958,#3 CYL LOWER SPARK PLUG BOSS THREADS DAMAGED.,"CLEANED THREADS W/ 18MM TAP, INSPECTED THREADS, THREADS"
101959,R/H BAFFLE PLUG WORN.,REMOVED & REPLACED R/H BAFFLE PLUG.
101960,L/H FWD BAFFLE IS CRACKED.,REMOVED & REPLACED BAFFLE.
101961,L/H FWD ENG BAFFLE CRACKED AT CORNER.,STOP DRILLED END OF CRACK.
101962,#2 INTAKE GASKET LEAKING.,REPLACED #2 INTAKE GASKET W/ NEW.
101963,#4 BOTTOM ROCKER COVER SCREW WON'T TIGHTEN.,CLEANED THREADS IN CYLINDER HEAD & TIGHTENED SCREW.
101964,#2 & 3 INTAKES LEAKING ON L/H ENGINE.,REPLACED BOTH #2 & 3 INTAKE GASKETS.
101965,#1 INTAKE TUBE DAMAGED.,CANNED CYL #1 INTAKE PIPE FROM INVENTORY ITEM. REMOVED
101966,#4 INTAKE LEAKING ON L/H ENGINE.,REMOVED & REPLACED #4 INTAKE GASKET ON L/H ENG.
101967,"#3 INTAKE LEAKING ON L/H ENGINE, ALONG W/ #2.",REMOVED & REPLACED #2 & 3 INTAKE GASKETS.
101968,"INTAKES 2, 3 & 4 LEAKING.",REMOVED & REPLACED INTAKE GASKETS.
101969,#2 INTAKE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.
101970,ROCKER COVER GASKET #1 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101971,FWD LOWER ENGINE BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL ON FWD ENGINE BAFFLE.
101972,#2 & 4 INTAKES ON R/H ENGINE LEAKING.,REPLACED INTAKE GASKETS.
101973,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
101974,R/H BAFFLE PLUG IS MISSING.,"INSTALLED NEW PLUG, UNABLE TO LOCATE EXISTING PLUG."
101975,LEFT & RIGHT BAFFLE PLUGS HAVE SEVERAL BROKEN FINGERS.,REPLACED BAFFLE PLUGS.
101976,BAFFLE PLUG WORN.,INSTALLED NEW BAFFLE PLUG.
101977,ROCKER COVER GASKETS #2 & 3 LEAKING.,REMOVED & REPLACED ROCKER GASKETS.
101978,L/H ENG BAFFLE SCREW MISSING.,INSTALLED NEW SCREW.
101979,R/H ENG BAFFLE #2 & 4 CROSSTIE BROKEN.,INSTALLED NEW BAFFLE CROSSTIE.
101980,"R/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS ON R/H ENGINE.
101981,CYL #3 ROCKER COVER GASKET LEAKING.,INSTALLED NEW GASKET.
101982,R/H AFT COOLING BAFFLING RIVETS SHEARED.,"REMOVED AFT BAFFLE, INSTALLED NEW RIVETS. REATTACHED AF"
101983,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.
101984,BAFFLE PLUGS HAVE BROKEN FINGERS.,REPLACED PLUGS.
101985,"CYL #2, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
101986,#4 BAFFLE CRACKED IN FRONT OF OIL COOLER.,UPON FURTHER INSPECTION DETERMINED TO BE A SCRATCH.
101987,CYL #2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101988,#4 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKET.
101989,#2 & 4 INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.
101990,#2 ROCKER COVER LEAKING ON R/H ENGINE.,INSTALLED NEW ROCKER BOX COVER GASKET.
101991,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKET.
101992,R/H PROP SHAFT SEAL SEEPING.,"RAN, LEAK CK'ED OK."
101993,R/H PROP SHAFT SEAL SEEPING.,INSTALLED NEW SEAL & GASKET. TORQUED & SAFETIED REATINE
101994,CYL #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101995,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
101996,L/H BAFFLE PLUG MISSING TEETH.,INSTALLED NEW PLUG.
101997,#2 & 4 INTAKE GASKETS ARE LEAKING.,REPLACED GASKETS.
101998,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
101999,CYL #1 INTAKE GASKET IS ELAKING.,REMOVED & REPLACED GASKET W/ NEW.
102000,L/H I/B BAFFLE SPRING IS BROKEN.,REMOVED & REPLACED SPRING W/ NEW.
102001,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.
