c5_id,c119_input,entities,labels
19820502025009I,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. ",PILOT FLEW CROSS COUNTRY,ORG
19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,COWLING,PERSON
19820320018339I,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,COWLING,PERSON
19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,COWLING,PERSON
19820523020949A,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,COWLING,PERSON
19820519017529A,"BELIEVED COWLING LOOSE,CLOSED THROTTLE, CRASH LANDED SHORT OF RUNWAY RETURNING. HAD FAILED TO REMOVE ENGINE PLUGS. ",THROTTLE,ORG
19820602025369I,"ENGINE QUIT ON VECTORS TO ILS APPROACH. LANDED OFF AIRPORT. FUEL CAP IMPROPERLY INSTALLED, SIPHONED, COLLAPSED CELL",SIPHONED,ORG
19820528025609I,VAPOR FROM RIGHT ENGINE. RETURNED. FOUND LOOSE OIL CAP HAD SIPHONED EIGHT QUARTS OF OIL.                           ,VAPOR,ORG
19820528025609I,VAPOR FROM RIGHT ENGINE. RETURNED. FOUND LOOSE OIL CAP HAD SIPHONED EIGHT QUARTS OF OIL.                           ,CAP,ORG
19820528025609I,VAPOR FROM RIGHT ENGINE. RETURNED. FOUND LOOSE OIL CAP HAD SIPHONED EIGHT QUARTS OF OIL.                           ,SIPHONED,ORG
19820529032659I,LOST RPM ON LIFT OFF FROM TRUCK PAD. TAIL ROTOR HIT GRAPEVINE WIRES ON LANDING. WATER IN FUEL.                     ,ON LIFT,ORG
19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,RAN,ORG
19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,ONE,CARDINAL
19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,ON A ROAD,ORG
19820529032519I,RAN ONE TANK DRY EN ROUTE. FUEL SELECTOR WOULD NOT MOVE TO OTHER TANK. LANDED ON A ROAD. FUEL SELECTOR LACKED LUBE.,LACKED LUBE,PERSON
19820415009459A,MAINTENANCE PUT AIRCRAFT ON FLIGHT LINE WITH GEAR DOORS OPEN. PILOT FAILED TO REMEMDY PRIOR TO TAXI FOR TAKEOFF.   ,MAINTENANCE PUT AIRCRAFT ON FLIGHT LINE WITH,ORG
19820317004239A,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF CAUSING CRASH.                                      ,SEAT,ORG
19820317004239A,SEAT WAS NOT PROPERLY SECURED AND SLID FULL AFT DURING TAKEOFF CAUSING CRASH.                                      ,SLID,ORG
19820529042539A,REAR OF SKID CAUGHT UNDER BOARDWALK ON ATTEMPTED TAKEOFF. HELICOPTER CRASHED AND TURNED. PILOTS STORY DIFFERS.     ,BOARDWALK ON ATTEMPTED TAKEOFF,ORG
19820529042539A,REAR OF SKID CAUGHT UNDER BOARDWALK ON ATTEMPTED TAKEOFF. HELICOPTER CRASHED AND TURNED. PILOTS STORY DIFFERS.     ,TURNED,ORG
19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",ON REMAINING RUNWAY,PRODUCT
19820415010389A,"ENGINE QUIT ON TAKEOFF, LANDED ON REMAINING RUNWAY, RAN OFF INTO A DITCH FOUND CARBURETOR FULL OF WATER.           ",RAN,ORG
19820407008349A,"VIBRATION AFTER LIFTOFF. UNABLE TO CLIMB. LANDED ON GRASS NEAR RUNWAY, STRUCK FENCE. ICE & SNOW ON AIRCRAFT.       ",CLIMB,GPE
19820407008349A,"VIBRATION AFTER LIFTOFF. UNABLE TO CLIMB. LANDED ON GRASS NEAR RUNWAY, STRUCK FENCE. ICE & SNOW ON AIRCRAFT.       ",RUNWAY,ORG
19820407008349A,"VIBRATION AFTER LIFTOFF. UNABLE TO CLIMB. LANDED ON GRASS NEAR RUNWAY, STRUCK FENCE. ICE & SNOW ON AIRCRAFT.       ",ICE & SNOW ON AIRCRAFT,ORG
19820310017029I,ENGINE OVERHEATED ON CLIMBOUT. PILOT REMEMBERED HE FORGOT TO REMOVE ENGINE COWLING BIRD PLUGS.                     ,CLIMBOUT,ORG
19820310017029I,ENGINE OVERHEATED ON CLIMBOUT. PILOT REMEMBERED HE FORGOT TO REMOVE ENGINE COWLING BIRD PLUGS.                     ,COWLING,PERSON
19820311007049I,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,MEMPHIS,ORG
19820311007049I,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,315510704,CARDINAL
19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",CLIMB,GPE
19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",BOUNCED OFF END,ORG
19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",RUNWAY,ORG
19820415009889A,"FAILED TO CLIMB ON LIFTOFF. ABORTED, BOUNCED OFF END OF RUNWAY. PILOT HAD ELEVATOR TRIM IN NOSE DOWN RANGE.        ",NOSE,ORG
19820526019239A,PILOT ATTEMPTED TO ADJUST RUDDER PEDALS DURING CLIMB AND RELEASED GLIDER TOW ROPE. CRASHED DURING EMERGENCY LANDING,RELEASED GLIDER TOW ROPE,ORG
19820520017479A,"ENGINE MISSED ON TAKEOFF ROLL, ABORTED, RAN OFF END OF RUNWAY. HIT DITCH IN OVERRUN. OUTSIDE STORAGE, WATER IN FUEL",ABORTED,ORG
19820520017479A,"ENGINE MISSED ON TAKEOFF ROLL, ABORTED, RAN OFF END OF RUNWAY. HIT DITCH IN OVERRUN. OUTSIDE STORAGE, WATER IN FUEL",RAN,ORG
19820520017479A,"ENGINE MISSED ON TAKEOFF ROLL, ABORTED, RAN OFF END OF RUNWAY. HIT DITCH IN OVERRUN. OUTSIDE STORAGE, WATER IN FUEL",RUNWAY,ORG
19820418009679A,LOST BOTH ENGINES ON AN IFR CLIMBOUT. CRASHED INTO TREES AND BURNED TRYING TO RETURN. WAS SERVICED WITH JET FUEL.  ,CRASHED INTO TREES,ORG
19820418009679A,LOST BOTH ENGINES ON AN IFR CLIMBOUT. CRASHED INTO TREES AND BURNED TRYING TO RETURN. WAS SERVICED WITH JET FUEL.  ,FUEL,PRODUCT
19820405009239A,PILOT FORGOT TO REMOVE CONTROL LOCK ON AILERON AND COULN'T CONTROL AIRCRAFT DURING LANDING.                        ,COULN'T CONTROL AIRCRAFT DURING,ORG
19820503013499A,LOST CONTROL ON LANDING ROLL. STOPPED UPSIDE DOWN IN A DITCH. PARKING BRAKE ON AND OR AIR IN BRAKE SYSTEM FACTORS. ,LOST CONTROL ON LANDING ROLL.,ORG
19820503013499A,LOST CONTROL ON LANDING ROLL. STOPPED UPSIDE DOWN IN A DITCH. PARKING BRAKE ON AND OR AIR IN BRAKE SYSTEM FACTORS. ,BRAKE ON AND OR,ORG
19820503013499A,LOST CONTROL ON LANDING ROLL. STOPPED UPSIDE DOWN IN A DITCH. PARKING BRAKE ON AND OR AIR IN BRAKE SYSTEM FACTORS. ,BRAKE,ORG
19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,CLIMB,GPE
19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,SPUN,PERSON
19820602020269A,STALLED ON NOSE HIGH CLIMB AFTER TAKEOFF. SPUN INTO TREES. FOUND ELEVATOR TRIM IN FULL NOSE UP POSITION.           ,NOSE,ORG
19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ",ABORTED,ORG
19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ",RAN OFF END,ORG
19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ",RUNWAY,ORG
19820602020319A,"PILOT FOUND CONTROLS LOCKED ON TAKEOFF. ABORTED, RAN OFF END OF RUNWAY HAD A 172 TYPE GUST LOCK IN CONTROL COLUMN. ",172,CARDINAL
19820704028269A,"PILOT ACCIDENTLY RELEASED TOW AT 50 FOOT ALTITUDE, GLIDER HIT HARD DURING EMERGENCY LANDING.                       ",GLIDER HIT HARD DURING EMERGENCY,ORG
19820821042789A,NOSE GEAR FORK ASSEMBLY BROKE WHEN IT HIT BERM OF CROSSING RUNWAY DURING LANDING.                                  ,NOSE GEAR FORK ASSEMBLY,ORG
19820616022519A,"MADE TAKEOFF, FORGOT SLING LINE WAS ATTACHED TO DOG HOUSE. STOPPED CLIMBING AT END OF LINE. CRASHED ON DOG HOUSE.  ",HOUSE,ORG
19820813038159A,"PILOT WAS MAKING SINGLE ENGINE APPROACH FOR LANDING, AIRCRAFT PULLED ON RUNWAY AND CRASH OCCURRED DURING GOAROUND. ",RUNWAY,ORG
19820618024699A,STUDENT GLIDER PILOT FAILED TO LATCH SPOILERS PRIOR TO TAKEOFF. MISUNDERSTOOD TOW PILOT SIGNAL. RELEASED TOW.      ,MISUNDERSTOOD TOW PILOT,ORG
19820618024699A,STUDENT GLIDER PILOT FAILED TO LATCH SPOILERS PRIOR TO TAKEOFF. MISUNDERSTOOD TOW PILOT SIGNAL. RELEASED TOW.      ,RELEASED TOW,ORG
19820730059869I,"MISUSED AUTOPILOT.. CAUSED FULL PITCH UP. FAILED TO PULL CIRCUIT BREAKER. MISUSED GEAR HANDLE, LANDED GEAR UP.     ",AUTOPILOT,PERSON
19820829052799I,RIGHT ENGINE OIL QUANITY DECREASED. DIVERTED TO HOUSTON. FOUND OIL CAP OFF ON RIGHT ENGINE.                        ,HOUSTON,GPE
19820829052799I,RIGHT ENGINE OIL QUANITY DECREASED. DIVERTED TO HOUSTON. FOUND OIL CAP OFF ON RIGHT ENGINE.                        ,CAP,ORG
19820809038749A,CLIMB PERFORMANCE DIMINISHED BY WATER DROPLETS ON LAMINA FLOW WING. STRUCK TREES OFF END OF RUNWAY ON TAKEOFF CLIMB,CLIMB,GPE
19820809038749A,CLIMB PERFORMANCE DIMINISHED BY WATER DROPLETS ON LAMINA FLOW WING. STRUCK TREES OFF END OF RUNWAY ON TAKEOFF CLIMB,STRUCK TREES OFF END,ORG
19820809038749A,CLIMB PERFORMANCE DIMINISHED BY WATER DROPLETS ON LAMINA FLOW WING. STRUCK TREES OFF END OF RUNWAY ON TAKEOFF CLIMB,RUNWAY ON TAKEOFF CLIMB,ORG
19820818039269A,REPORT INDICATES FUEL TANK CAP NOT SECURED. POSSIBLE FUEL LEAK DURING INVERTED FLIGHT. FIRE ERUPTED. LOST CONTROL. ,FIRE ERUPTED,ORG
19820724035499A,GLIDER CRASHED DURING TAKEOFF. ELEVATORS HAD NOT BEEN CONNECTED DURING ASSEMBLY.                                   ,GLIDER CRASHED DURING,ORG
19820724035499A,GLIDER CRASHED DURING TAKEOFF. ELEVATORS HAD NOT BEEN CONNECTED DURING ASSEMBLY.                                   ,ELEVATORS,ORG
19820822040209A,LOST CONTROL ON LANDING. AIRPLANE TURNED SIDEWAYS AND COLLAPSED LEFT GEAR RUDDER JAMMED BY UNSTOWED STARTER CRANK. ,LOST CONTROL ON LANDING,ORG
19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",TWO,CARDINAL
19820704036229I,"TOOK OFF WITH FORWARD BAGGAGE DOOR OPEN. TWO PIECES OF BAGGAGE FELL OUT,CARGO DOOR WARNING LIGHT INOPERATIVE.      ",BAGGAGE FELL OUT,ORG
19820702036129I,RAN OUT OF FUEL EN ROUTE. SUCCESSFULL FORCED LANDING. FOUND FUEL CAP MISSING.                                      ,RAN OUT,ORG
19820809038619A,PILOT MADE EMERGENCY TRANSMISSION STATING ENGINE COWLING LOST. CRASH OCCURRED DURING ATTEMPTED LANDING IN FIELD.   ,COWLING,PERSON
19820620036089I,"NOISE IN AIRCRAFT, PREPARED TO LAND IN A FIELD, FOUND POP CAN UNDER PEDALS. FLEW THRU POWERLINE. LANDED AT BASE.   ",NOISE IN AIRCRAFT,LAW
19820708037199I,"COWLING CAME OPEN IN FLIGHT, STRUCK AND LOOSENED OTHER SIDE. COWLING CAME OFF, CRACKED WINDSHIELD, REAR WINDOW.    ",COWLING,PERSON
19820708037199I,"COWLING CAME OPEN IN FLIGHT, STRUCK AND LOOSENED OTHER SIDE. COWLING CAME OFF, CRACKED WINDSHIELD, REAR WINDOW.    ",LOOSENED,ORG
19820708037199I,"COWLING CAME OPEN IN FLIGHT, STRUCK AND LOOSENED OTHER SIDE. COWLING CAME OFF, CRACKED WINDSHIELD, REAR WINDOW.    ",COWLING,PERSON
19820702028239A,LONG LINE CAUGHT ON A TREE ON TAKEOFF CAUSING HELICOPTER TO CRASH OUT OF CONTROL. FAILED TO DISCONNECT LINE.       ,ON A,ORG
19820613024279A,TOW ROPE BROKE DURING CLIMB OUT AT 200 FEET. SAILPLANE CRASHED DURING ATTEMPTED LANDING ON RIVER LEVEE.            ,TOW ROPE BROKE DURING CLIMB OUT,ORG
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",COWLING,PERSON
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",COWLING,PERSON
19820609021159A,STALLED ON EMERGENCY LANDING WHEN ENGINE QUIT ON TAKEOFF. BAD MAG AND WATER IN FUEL. CORRODED UNUSED SUMP DRAIN.   ,CORRODED UNUSED SUMP,ORG
19820806034979A,PILOT NEGLECTED TO CONNECT ELEVATOR CONTROL DURING GLIDER ASSEMBLY. CRASH OCCURRED DURING TAKEOFF.                 ,GLIDER ASSEMBLY,ORG
19820924054129I,RAN OUT OF FUEL EN ROUTE. LANDED ON A BEACH. HAD FAILED TO SECURE SUMP DRAIN ON PREFLIGHT. FUEL LEAKED OUT         ,RAN OUT,ORG
19820924054129I,RAN OUT OF FUEL EN ROUTE. LANDED ON A BEACH. HAD FAILED TO SECURE SUMP DRAIN ON PREFLIGHT. FUEL LEAKED OUT         ,ON A BEACH,ORG
19820924054129I,RAN OUT OF FUEL EN ROUTE. LANDED ON A BEACH. HAD FAILED TO SECURE SUMP DRAIN ON PREFLIGHT. FUEL LEAKED OUT         ,FUEL LEAKED,ORG
19820924056119I,FORWARD CARGO DOOR OPENED ON TAKEOFF. BAGGAGE HIT PROP. LANDED SAFELY. DOOR NOT PROPERLY SECURED.                  ,BAGGAGE,PERSON
19820926054109I,NOSE GEAR JAMMED ON GEAR RETRACTION AFTER TAKEOFF. LANDED NOSE GEAR UP. HOMEMADE TOW BAR HAD BEEN LEFT IN WHEEL HUB,NOSE,ORG
19820926054109I,NOSE GEAR JAMMED ON GEAR RETRACTION AFTER TAKEOFF. LANDED NOSE GEAR UP. HOMEMADE TOW BAR HAD BEEN LEFT IN WHEEL HUB,NOSE GEAR,ORG
19821025065459I,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,SWERVED,PERSON
19821025065459I,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,RUNWAY ON TAKEOFF ROLL,ORG
19821025065459I,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,SEAT,ORG
19821025065459I,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,DROPPED,PRODUCT
19821121070559I,PARACHUTIST WAS UNABLE TO OPEN MAIN CHUTE DUE TO BRIDLE LINE UNDER BREAST STRAP. RESERVE NOT DEPLOYED.             ,DEPLOYED,ORG
19821224070489I,NOSE WHEEL WOULD NOT RETRACT AFTER TAKEOFF. RETURNED. FOUND NOSE WHEEL GROUND PIN STILL IN PLACE.                  ,NOSE,ORG
19821224070489I,NOSE WHEEL WOULD NOT RETRACT AFTER TAKEOFF. RETURNED. FOUND NOSE WHEEL GROUND PIN STILL IN PLACE.                  ,NOSE WHEEL GROUND PIN,ORG
19821015055799A,GROUND CREW FAILED TO UNFASTEN A SKID TIEDOWN. PILOT LOST  CONTROL ON LIFT OFF FROM A TRAILER AS THE CHAIN FAILED  ,ON LIFT,ORG
19821120062429A,DOUBLE FLAMEOUT EN ROUTE DUE TO FUEL STARVATION. WORN FUEL TANK CAP FELL OFF SIPHONED FUEL. OVERSHOT FORCED LANDING,FUEL,PRODUCT
19820907053779I,LEFT MAIN GEAR WENT OFF THE TAXIWAY WHILE TAXING TO RAMP. LIGHTS WERE NOT OPERATIVE IN THAT AREA.                  ,RAMP,ORG
19821217068499I,NOSE GEAR COLLAPSED ON TOUCHDOWN. FOUND NOSE GEAR PINS WERE NOT HOOKED TO THE GEAR DOOR HINGE ASSEMBLY. JAMMED GEAR,NOSE GEAR,ORG
19821217068499I,NOSE GEAR COLLAPSED ON TOUCHDOWN. FOUND NOSE GEAR PINS WERE NOT HOOKED TO THE GEAR DOOR HINGE ASSEMBLY. JAMMED GEAR,TOUCHDOWN,GPE
19821217068499I,NOSE GEAR COLLAPSED ON TOUCHDOWN. FOUND NOSE GEAR PINS WERE NOT HOOKED TO THE GEAR DOOR HINGE ASSEMBLY. JAMMED GEAR,HINGE ASSEMBLY,ORG
19821009063279I,PILOT HIT A POST ON LANDING ROLLOUT. POST LOCATED 27 FEET FROM CENTERLINE. POST HIDDEN BY SAGEBRUSH.               ,27 FEET,QUANTITY
19821009063279I,PILOT HIT A POST ON LANDING ROLLOUT. POST LOCATED 27 FEET FROM CENTERLINE. POST HIDDEN BY SAGEBRUSH.               ,CENTERLINE,NORP
19821212068789I,ENGINE QUIT ON CLIMB OUT. FOUND WATER IN FUEL SUMP. NO MALFUNCTION FOUND WHEN ENGINE TESTED.                       ,SUMP,PRODUCT
19821119059299A,ENGINE QUIT ON TAKEOFF. STRUCK TREES ON TURNBACK TO RUNWAY.AIRPLANE SAT OUT FOR SIX MONTHS.TWO THIRDS WATER IN FUEL,RUNWAY.AIRPLANE,ORG
19821209069039I,LEFT FUEL TANK SUMP DID NOT SEAT PROPERLY ON PREFLIGHT. LEAKED EXCESSIVELY DURING FLIGHT. RAN OUT OF FUEL.         ,SUMP,ORG
19821209069039I,LEFT FUEL TANK SUMP DID NOT SEAT PROPERLY ON PREFLIGHT. LEAKED EXCESSIVELY DURING FLIGHT. RAN OUT OF FUEL.         ,SEAT,ORG
19821209069039I,LEFT FUEL TANK SUMP DID NOT SEAT PROPERLY ON PREFLIGHT. LEAKED EXCESSIVELY DURING FLIGHT. RAN OUT OF FUEL.         ,LEAKED EXCESSIVELY DURING,ORG
19821209069039I,LEFT FUEL TANK SUMP DID NOT SEAT PROPERLY ON PREFLIGHT. LEAKED EXCESSIVELY DURING FLIGHT. RAN OUT OF FUEL.         ,RAN OUT,ORG
19821209069039I,LEFT FUEL TANK SUMP DID NOT SEAT PROPERLY ON PREFLIGHT. LEAKED EXCESSIVELY DURING FLIGHT. RAN OUT OF FUEL.         ,FUEL,PRODUCT
19821117066069I,"RIGHT ENGINE LOST OIL PRESSURE, SHUT DOWN AND RETURNED. PILOT FAILED TO SECURE TIGHT FITTING OIL CAP ON PREFLIGHT. ",CAP ON PREFLIGHT,ORG
19820905043969A,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD,ORG
19820905043969A,TOW PLANE RELEASED GLIDER AFTER LIFT OFF BECAUSE IT WOULD NOT CLIMB. GLIDER HAD SPOILERS EXTENDED.                 ,CLIMB,GPE
19830408015939A,"ENGINE COWLING NOT PROPERLY SECURED, OPENED ON TAKEOFF.  DRAGGED A WING AND CARTWHEELED TRYING TO RETURN TO LAND.  ",COWLING,PERSON
19830116001029A,LOST CONTROL ON TAKEOFF. LEFT WHEEL SHEARED ON A SNOW BERM. AIRCRAFT THEN SLID INTO PARKED AIRCRAFT. FROST ON WINGS,SLID,ORG
19830404013119A,ENGINE QUIT ON CLIMBOUT. CRASHED TWO MILES FROM AIRPORT. FOUND WATER IN FUEL AND FUEL SOURCE AT AIRPORT.           ,CLIMBOUT,ORG
19830212072579I,HAD A BANGING NOISE OUTSIDE AIRCRAFT EN ROUTE. ON LANDING FOUND A SEAT BELT WAS PROTRUDING UNDER THE DOOR.         ,SEAT,ORG
19830506025439A,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ",CARLIGHTS DIRECTED WRONG,ORG
19830110002039A,DEPARTED WITH NOSE GEAR SCISSORS NOT CONNECTED. AIRCRAFT VEERED OFF RUNWAY ON LANDING. NOSE GEAR COLLAPSED.        ,RUNWAY ON LANDING,ORG
19830120014919I,LEFT OIL PRESSURE DROPPED. SECURED ENGINE. LANDED AT NEAREST AIRPORT. LOST OIL THRU A UNSECURED OIL CAP.           ,CAP,ORG
19830607032229I,AFTER LIFT OFF NOSE WHEEL HIT THE RUNWAY DUE TO EXCESSIVE FORWARD TRIM. IMPACT BROKE NOSEWHEEL FORK. ENGINE DAMAGED,NOSEWHEEL,ORG
19830618035419I,TOOK OFF WITH TOW BAR STILL ATTACHED TO NOSE GEAR. TOWER ALERTED PILOT. KEPT GEAR DOWN. RETURNED.                  ,TOWER ALERTED PILOT,ORG
19830618035419I,TOOK OFF WITH TOW BAR STILL ATTACHED TO NOSE GEAR. TOWER ALERTED PILOT. KEPT GEAR DOWN. RETURNED.                  ,KEPT GEAR,PERSON
19830618035419I,TOOK OFF WITH TOW BAR STILL ATTACHED TO NOSE GEAR. TOWER ALERTED PILOT. KEPT GEAR DOWN. RETURNED.                  ,RETURNED,PERSON
19830618040089I,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED.,COWLING,PERSON
19830618040089I,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED.,COWLING STRUCK WINDSHIELD,PERSON
19830618040089I,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED.,RETURNED,PERSON
19830618040089I,ENGINE COWLING CAME LOOSE AFTER TAKEOFF. COWLING STRUCK WINDSHIELD. RETURNED. SUSPECT COWLING NOT PROPERLY SECURED.,COWLING,PERSON
19830715043429I,ON TAKEOFF HEARD A NOISE FOLLOWED BY A VIBRATION. RETURNED. FOUND COWLING MISSING. COWLING WAS NOT PROPERLY SECURED,ON TAKEOFF HEARD A NOISE,ORG
19830715043429I,ON TAKEOFF HEARD A NOISE FOLLOWED BY A VIBRATION. RETURNED. FOUND COWLING MISSING. COWLING WAS NOT PROPERLY SECURED,COWLING,PERSON
19830715043429I,ON TAKEOFF HEARD A NOISE FOLLOWED BY A VIBRATION. RETURNED. FOUND COWLING MISSING. COWLING WAS NOT PROPERLY SECURED,COWLING,PERSON
19830617038439I,ENGINE QUIT ON TAKEOFF. LANDED STRAIGHT AHEAD OFF END OF RUNWAY. FUEL FILTER DRAIN PARTLY OPEN. LEAKING.           ,RUNWAY,ORG
19830805039289A,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,RUNWAY,ORG
19830805039289A,PILOT ABORTED TAKEOFF BUT AIRCRAFT RAN OFF THE END OF RUNWAY. WITNESS STATED TRIM SET FULL NOSE DOWN.              ,NOSE,ORG
19830623026739A,UNABLE TO USE FORWARD CYCLIC ON TAKEOFF. LOWERED COLLECTIVE. CRASH LANDED. CYCLIC RETENTION CAP BLOCKED BY LITTER. ,LOWERED COLLECTIVE,ORG
19830623026739A,UNABLE TO USE FORWARD CYCLIC ON TAKEOFF. LOWERED COLLECTIVE. CRASH LANDED. CYCLIC RETENTION CAP BLOCKED BY LITTER. ,CYCLIC,ORG
19830803044649I,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     ,AIRSPEED,PERSON
19830803044649I,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     ,RAMP,ORG
19830803044649I,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     ,SHOWED PITOT PLUGGED,ORG
19830803044649I,NO AIRSPEED ON DEPARTURE. CONTINUED TO DESTINATION. FAA RAMP CHECK SHOWED PITOT PLUGGED WITH MUD. NO BIENNIAL.     ,MUD,ORG
19830530059049A,TOW BAR ATTACHED ON TAKEOFF. BEGAN 23 LANDING WITH FRONT ENGINE FEATHERED THEN TRIED TO GO AROUND DUE TO TAILWIND. ,TOW BAR ATTACHED ON TAKEOFF,ORG
19830530059049A,TOW BAR ATTACHED ON TAKEOFF. BEGAN 23 LANDING WITH FRONT ENGINE FEATHERED THEN TRIED TO GO AROUND DUE TO TAILWIND. ,BEGAN 23,LAW
19830530059049A,TOW BAR ATTACHED ON TAKEOFF. BEGAN 23 LANDING WITH FRONT ENGINE FEATHERED THEN TRIED TO GO AROUND DUE TO TAILWIND. ,TAILWIND,ORG
