c5,c119,c119_output
19840113000789A,LOST BOTH ENGINES ON TAKEOFF DUE TO ICE INGESTION. CREW IGNORED AIRFRAME PRIOR ICING. FAILED TO CHECK ENGINE INLETS,[[]]
19831231073549I,ENGINE MALFUNCTION ON INITIAL CLIMBOUT. FOUND WATER AND FINE DIRT PARTICLES IN STRAINER AND FUSELAGE BELLY DRAIN.  ,[[]]
19840322008519A,TAXIWAY GAVE WAY ALLOWING WHEEL OF AIRCRAFT TO DROP IN HOLE CAUSING SUBSTANTIAL DAMAGE TO AIRCRAFT.                ,[[]]
19840219004299A,"FAILED TO CLEAN MUD FROM BRAKES ON PREFLIGHT. RIGHT BRAKE FROZE IN FLIGHT. SWERVED ON LANDING, DAMAGED LEFT WING.  ",[[]]
19840129002899A,CRASHED SHORTLY AFTER LIFTOFF. FOUND REAR CONTROL STICK SECURED IN FULL AFT POSITION BY THE SEAT BELT.             ,[[]]
19840324033049A,PILOT DID NOT REMOVE REAR SEAT BELT WHICH HELD REAR CONTROL STICK FROM MOVING WHILE AIRCRAFT WAS PARKED.           ,[[]]
19840406014179A,LOADED NEAR GROSS AND ICE ON AIRFRAME STRUCK TREES OFF DEPARTURE END OF RUNWAY. DARK NIGHT FOG AND SNOW SHOWERS.   ,[[]]
19840212003519A,CRASH OCCURRED DURING PRECAUTIONARY LANDING WHEN PILOT ATTEMPTED TO LAND ON ROAD TO SECURE OIL ACCESS COVER.       ,[[]]
19840326009059A,INDICATES HEATER CORD NOT DISCONNECTED PRIOR TO LIFTOFF. ATTACHED CORD DRAG WHICH BROKE AND WHITEOUT WERE FACTORS  ,[[]]
19840107019539I,CABIN DOOR OPENED. BLEW OFF AS PILOT TRIED TO CLOSE IT. HIS HAND BLEW INTO PROP INJURING A FINGER. DOOR NOT SECURED,[[]]
19831223063429A,AIRCRAFT STALLED AND CRASHED DURING TAKEOFF. SEVERAL WITNESSES NOTICED FROST ON WINGS.                             ,"[[('WINGS', '/location/location/contains', 'WINGS')]]"
19840401007889A,PILOT USING FLAPS FOR TAKEOFF HIT WIRES WHEN ADDITIONAL FLAPS WERE APPLIED AND REDUCED PERFORMANCE.                ,[[]]
19840224004629A,"UNABLE TO CLIMB OR SUSTAIN SPEED AFTER TAKEOFF. CRASH LANDED OFF AIRPORT.SNOW, ICE AND SLUSH ON AIRCRAFT AND RUNWAY",[[]]
19831231073579I,LOST ENGINE POWER AT CRUISE ALTITUDE. CARBURETOR HEAT APPLIED. WATER DRAINED FROM FUEL SYSTEM.                     ,[[]]
19831228064919A,DURING PREFLIGHT PILOT GOT A FAULTY GEAR INDICATION; DECIDED TO ATTEMPT FLIGHT RESULTING IN NOSE GEAR COLLAPSE.    ,[[]]
19831220062219A,CRASH OCCURRED DURING EMERGENCY LANDING ON AIRPORT AFTER LOSS OF OIL PRESSURE ON LEFT ENGINE.OIL LOW IN LEFT ENGINE,[[]]
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,[[]]
19840116011589I,RAN OUT OF FUEL APPROACHING DESTINATION. LANDED ON THE RUNWAY. FUEL SIPHONED FROM LOOSE FUEL CAP.                  ,[[]]
19840310015799I,NOSE WHEEL SANK INTO A HOLE FILLED WITH CEMENT WHILE TAXIING FOR TAKEOFF.NIGHT TIME AND HOLES NOT MARKED OR LIGHTED,[[]]
19831201059529A,PILOT FORGOT TO REMOVE AILERON CONTROL LOCK AND COULD NOT CONTROL AIRCRAFT AFTER TAKEOFF.                          ,[[]]
19840221011989I,RIGHT ENGINE COWL HALVES SPLIT OPEN ON LEVELING FOR CRUISE. FRONT ATTACH POINTS CAME LOOSE. NOT FASTENED PROPERLY. ,[[]]
19840315006369A,CFI GAVE ENGINE OUT ON TAKEOFF. STUDENT USED WRONG RUDDER. FAILED CUT POWER CFI FAILED TO ACT. STRUCK DIRT BANK.   ,[[]]
19840321006879A,AIRCRAFT LANDED HARD AFTER FLIGHT THROUGH ICING CONDITIONS. DEICE EQUIPMENT WORKED WHEN TESTED AFTER CRASH.        ,[[]]
19840323042509A,ENGINE MALFUNCTION DURING TAKEOFF CAUSED CRASH ALONG EXTENDED RUNWAY CENTERLINE. WATER FOUND IN RIGHT FUEL TANK.   ,[[]]
19840515036809I,ENGINE FAILED ON CLIMBOUT. RETURNED. LANDED SHORT OF RUNWAY. RIGHT FUEL GAUGE READ FULL. RIGHT FUEL TANK EMPTY.    ,[[]]
19840717046169I,ROTORS BLADES STRUCK ROTORS OF A PARKED HELICOPTER AFTER START UP. PILOT OF PARKED CRAFT FAILED TO SECURE ROTORS.  ,[[]]
19840620037239I,UPPER ENGINE COWLING SEPARATED FROM THE AIRCRAFT EN ROUTE. PILOT HAD NEGLECTED TO SECURE COWLING AFTER REPLACING IT,[[]]
19840620032119I,NOSE GEAR COLLAPSED ON TAKEOFF ROLL. MAINTENANCE HAD PLACED SWITCH IN UP POSITION. DID NOT USE CHECK LIST.         ,[[]]
19840618035239I,LOW OIL PRESSURE. WARNING LIGHT ON. FOUND LOOSE OIL CAP AND LARGE AMOUNTS OF OIL ON ENGINE COWLING.                ,[[]]
19840620039129I,TOOK OFF WITH A TOW BAR ATTACHED TO THE NOSE GEAR UNKNOWN UNTIL THE GEAR WAS RETRACTED. DIVERTED TO NEAREST AIRPORT,[[]]
19840616024409A,DURING CLIMBING TURN TO DOWNWIND CANOPY CAME OPEN. BOTH HANDS SEEN TRYING TO CLOSE CANOPY. SPUN IN.                ,[[]]
19840423015179A,PILOT FORGOT TO RAISE FLAPS ON TAKEOFF DURING TOUCH AND GO LANDING. DIRECTIONAL CONTROL WAS LOST DURING TAKEOFF.   ,[[]]
19840708030709A,FRONT BAGGAGE DOOR CAME OPEN ON THE TAKEOFF ROLL. ABORTED LATE AND RAN OFF END OF THE RUNWAY.                      ,[[]]
19840708030569A,RAN OUT OF FUEL NEAR DESTINATION. DEPARTED WITH MINIMUM FUEL AND FAILED TO CLOSE STRAINER DRAIN FULLY.             ,[[]]
19840530038939A,"UNUSUAL ATTITUDE, LOSS OF CONTROL AND AIRFRAME FAILURE. CREW UNABLE TO ANALYZE COMPONENT. FAILURE IN GYRO SYSTEM.  ",[[]]
19840612026399A,FORGOT TO REPLACE OIL FILLER CAP. OIL ON WINDSHIELD ON TAKEOFF. LANDED ON A ROAD AND RAN OFF INTO A DITCH.         ,[[]]
19840625033629A,"FORWARD WINDSCREEN BECAME OBSCURED BY ENGINE OIL. STRUCK MAILBOX, VEERED OFF ROAD INTO DITCH. OIL FILLER CAP LOOSE.",[[]]
19840712064689A,BOTH ENGINES QUIT EN ROUTE. HIT TREES ON FORCED LANDING. FUEL INLET SCREENS FOULED. AIRCRAFT NOT FLOWN FOR 2 YEARS.,[[]]
19840414013499A,INDICATES CABIN DOOR OPEN. STALLED TRYING TO RETURN TO THE AIRPORT. CRASHED INTO A RESIDENCE. AIRCRAFT BURNED.     ,[[]]
19840609045639I,DEPARTED WITH TOW BAR ATTACHED TO NOSE WHEEL. RETURNED. GEAR COLLAPSED ON ROLLOUT.                                 ,[[]]
19840604044809I,AIRCRAFT PULLED TO LEFT AND RAN OFF THE RUNWAY WHEN BRAKES APPLIED ON LANDING. BRAKES AND DISC WORN OUT.           ,[[]]
19840805042689A,STUDENT PILOT CARRYING PASSENGER ATTEMPTED TAKEOFF WITH FULL FLAPS EXTENDED. ARICRAFT STALLED AFTER LIFT OFF.      ,[[]]
19840917055159I,FOLLOWING NR2 HYDRAULIC FAILURE PILOT PULLED FLOATATION T HANDLE INSTEAD OF EMERGENCY GEAR EXTENSION HANDLE.       ,[[]]
19840913048139A,"LEFT WHEEL SITTING IN DEPRESSION DURING SUMP DRAINAGE. DURING FLIGHT, WATER MIGRATED INTO FUEL SYSTEM. ENGINE QUIT.",[[]]
19840821050849A,ENGINE QUIT ON TAKEOFF DUE TO SELECTED TANK GOING DRY. FAILED TO RESTART ON OTHER. LEAKING FUEL LINE DEPLETED FUEL.,[[]]
19841005071859I,LOST RIGHT ENGINE COMPARTMENT DOOR IN FLIGHT. STRUCK TAIL ROTOR. LATCH MAY NOT HAVE BEEN SECURED.                  ,[[]]
19841020061099A,THE AMPHIBIAM AIRCRAFT MADE A LAKE LANDING WITH THE WHEELS EXTENDED. THE AIRCRAFT NOSED OVER IN THE WATER.         ,[[]]
19840723044799I,OIL ON LEFT ENGINE COWL AND LOW OIL PRESSURE. AFTER LANDING FOUND OIL CAP NOT SECURED.                             ,[[]]
19840730069569I,NOTIFIED BY OTHER AIRCRAFT NR 2 ENGINE COWLING WAS OPEN. ABORTED TAKEOFF. CENTER AND FORWARD LATCHES NOT LATCHED.  ,[[]]
19840728059279A,LOOSE FRONT SEAT BELT BLOCKED RUDDER DURING A PRACTICE SPIN. PILOT WAS UNABLE TO STOP SPIN PRIOR TO GROUND IMPACT. ,[[]]
19840903045589A,ENGINE QUIT SHORTLY AFTER TAKEOFF CAUSING AN OFF AIRPORT LANDING. FUEL SELECTOR ON A NEAR EMPTY TANK.              ,[[]]
19841025061039A,ENGINE FAILED DUE TO WATER IN FUEL SYSTEM. AIRCRAFT OUT OF ANNUAL. USING AUTO FUEL WITHOUT SUPPLEMENTAL.           ,[[]]
19840722034119A,"PILOTS SEAT SLID BACK ON TAKEOFF ROLL. AIRCRAFT LEFT SIDE OF RUNWAY, HIT DITCH, NOSED OVER. SEAT LOCK OKAY.        ",[[]]
19840822042839A,DURING TAXI PILOTS SEAT SKID REARWARD. STRUCK 6650L AND 6530M. WRONG SEAT BACK WITH WRONG LOCKING MECHANISM.       ,[[]]
19840904072969I,PILOT NEGLECTED TO CHECK IF SEAT WAS LOCKED IN TRACK. SEAT SLID BACK ON TAKEOFF ROLL. AIRCRAFT LEFT THE RUNWAY.    ,[[]]
19840824053069I,DOOR CAME OFF DURING CLIMB TO CRUISE. APPARENTLY DOOR WAS NOT PROPERLY LATCHED. NO INDICATION OF PROBLEM WITH DOOR.,[[]]
19840720046129I,FAILED TO REMOVE WOODEN AILERON GUST LOCKS PRIOR TO TAKEOFF. WAS ABLE TO CIRCLE AND LAND USING THE RUDDER.         ,[[]]
19841011055379A,ATTEMPTED GO AROUND WITH CARB HEAT ON AND FLAPS DOWN. TWO CYLINDERS HAD LOW COMPRESSION. STRUCK TREE AND GROUND.   ,[[]]
19840818041549A,ENGINE QUIT ON CLIMBOUT. UNABLE TO REACH AIRPORT STALLED DURING FORCED LANDING. FOUND WATER IN THE FUEL.           ,[[]]
19840722036269A,UNEVEN FUEL BURN DUE TO MUD DAUBER BLOCKAGE IN FUEL VENT. ENGINE QUIT. AIRCRAFT NOSED OVER IN OPEN FIELD.          ,[[]]
19840914055239A,UNABLE TO GLIDE TO AIRPORT AFTER ENGINE QUIT. FUEL EXHAUSTION. FUEL STRAINER DRAIN VALVE FOUND TO BE HALF OPEN.    ,[[]]
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,[[]]
19840923060889I,STALLED DURING CLIMBOUT BUT RECOVERED AND LANDED. HAD NEGLECTED TO REMOVE A WEIGHTED TAIL TIEDOWN.                 ,"[[('TIEDOWN', '/location/location/contains', 'TIEDOWN')]]"
19840903045109A,NEGLECTED TO REMOVE HOMEMADE RIGHT CONTROL WHEEL LOCK DURING HASTY DEPARTURE. STALLED ON CLIMBOUT. BURNED ON IMPACT,[[]]
19840907076829A,BOTH ENGINES LOST POWER AFTER TAKEOFF. LANDED GEAR UP IN FIELD AND FIRE ERUPTED. IMPROPERLY FUELED WITH JET FUEL.  ,[[]]
19841006058959I,ENGINE COWLING NOT PROPERLY SECURED CAME LOOSE ON THE TAKEOFF ROLL. ABORTED AND OVERRAN THE RUNWAY CAUSING DAMAGE. ,[[]]
19840922050589A,UNABLE TO CLIMB AFTER TAKEOFF DUE TO ICE ON THE AIRCRAFT. SETTLED INTO TREES.                                      ,[[]]
19841017057559A,"STARTED ENGINE WITH MAIN ROTORS TIEDOWN. BLADE SLIPPED OUT OF SOCK, STRUCK TAIL BOOM AND TURTLE BACK.              ",[[]]
19840911047989A,STRUCK TREE AND NOSED OVER DURING EMERGENCY LANDING DUE TO LACK OF ENGINE RESPONSE. PRIMER IN OPEN POSITION.       ,[[]]
19841023066839I,DURING PREFLIGHT PILOT FAILED TO ENSURE NOSE BAGGAGE DOOR WAS LOCKED. SUITCASE FELL FROM AIRCRAFT ON CLIMB.        ,[[]]
19840728035989A,NO AIRSPEED ON TAKEOFF ROLL. ABORTED BUT OVERRAN THE RUNWAY. COPILOT HAD NEGLECTED TO REMOVE PITOT STATIC COVERS.  ,[[]]
19840829044519A,A WING STRUCK CONSTRUCTION BARRICADES DURING THE LANDING ROLL. RUNWAY WAS OPENED WITHOUT CHECKING ON BARRIERS.     ,[[]]
19840905049679A,LOOSE GLOVE BOX RESTRICTED REAR MOVEMENT OF CONTROL WHEEL. HIT TREE AFTER LIFTOFF. SUBSEQUENTLY MADE HARD LANDING. ,[[]]
19840828044039A,AIRCRAFT SANK IN BAY BECAUSE OF LEAKING FLOAT. TWO PASSENGERS DID NOT MAKE SHORE BECAUSE OF COLD WATER.            ,[[]]
19841022059769A,ENGINE LACKED FULL POWER TO GO AROUND FROM LOW PASS. LOWER PLUGS WERE FOULED. PILOT IGNORED ROUGH MAGS ON TAKEOFF. ,[[]]
19840917049329A,"STRONG GUSTY WINDS EXCEEDED MAX X WIND COMPONENT, LANDED LONG, GO AROUND, HIT TREE AND POLE. FLAPS, GEAR EXTENDED. ",[[]]
19840920049879A,"AIRCRAFT LOST POWER ON TAKEOFF, DITCHED IN OCEAN. AIRCRAFT HAD BEEN SERVICED WITH 147 GALLONS OF JET A FUEL.       ",[[]]
19841112062819A,STUDENT PILOT FAILED TO CONTROL AIRCRAFT DURING GO AROUND FROM A BOUNCED LANDING. FLAPS WERE RETRACTED EARLY.      ,[[]]
19841209073469I,"BRAKE FAILED WHEN APPLIED FOR TURN OFF RUNWAY.RAN DOWN EMBANKMENT. BRAKE PAD BADLY WORN, LOST BRAKE FLUID.         ",[[]]
19841113071509I,"NOSE GEAR COLLAPSED ON ROLLOUT. TURN STOP ON STRUT COLLAR SHEARED, TRUNION SPREAD. PROBABLY FROM TOWING AIRCRAFT.  ",[[]]
19841031065119I,PART OF ENGINE COWLING SEPARATED DUE TO IMPROPER LATCHING. PILOT RETURNED TO AIRPORT FOR EMERGENCY LANDING.        ,[[]]
19841108073989I,RETURNED THINKING HYDRAULIC PUMP FOR NOSE GEAR FAILED. FOUND NOSE GEAR PIN HAD NOT BEEN REMOVED.                   ,[[]]
19841121073629I,"ENGINE QUIT AFTER TAKEOFF. LANDED IN FIELD. 2 QUARTS OF WATER IN LEFT FUEL TANK, WATER IN CARBURETOR, GASCOLATOR.  ",[[]]
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,[[]]
19841117062449A,"PILOT LEFT FUEL STRAINER VALVE IN THE OPEN POSITION. FUEL STARVATION, BOTH ENGINES QUIT, EMERGENCY LANDING.        ",[[]]
19841201065849A,AIRCRAFT COLLIDED WITH TREES AND TERRAIN IN BOTTOM OF A CANYON. SUSPECT WATER IN FUEL SYSTEM CAUSE THE POWER LOSS. ,[[]]
19841121064409A,"AUTOPILOT INADVERTENTLY LEFT ON. COULD NOT ROTATE, ABORTED TAKEOFF, SLID OFF END OF ICY RUNWAY, HIT TREE, GROUND.  ",[[]]
19841109067329A,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ",[[]]
19841108074379A,"TRIED TAKEOFF, NO CLEARANCE WITH CONTROL ZONE IFR. WOULD NOT FLY. WATER IN FLOATS. ABORTED, HIT BRIDGE PILING, SANK",[[]]
19841124066129I,PILOT DID NOT PERFORM PROPER PREFLIGHT INSPECTION. POWER LOSS IN LEFT ENGINE. FOUND WATER IN FUEL SYSTEM.          ,[[]]
19841231071989I,ENGINE COWLING CAME LOOSE ON INBOARD SIDE. NORMAL LANDING MADE. COWLING FASTNERS WERE UNLOCKED.                    ,[[]]
19841214066989A,"ENGINE QUIT ON APPROACH. FUEL HAD BEEN SIPHONING FROM FUEL TANK VENT. VENT HAD BEEN CUT OFF, FUEL STAIN ON WING.   ",[[]]
19841110063299A,"ENGINE QUIT AFTER TAKEOFF, CARBURETOR ICE SUSPECTED. FUEL LEAK IGNORED BY PLILOT. AIRCRAFT BURNED AFTER IMPACT.    ",[[]]
19841122063039A,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,[[]]
19841107064049I,OPEN CREW DOOR SEPARATED FROM AIRCRAFT DUE TO JET BLAST FROM ANOTHER AIRCRAFT.                                     ,[[]]
19841201072309I,WHILE DEADHEADING TO BASE REAR CARGO DOOR CAME OPEN.                                                               ,[[]]
19841105073069I,LANDED IMMEDIATELY AFTER TAKEOFF ON SAME RUNWAY. OVER ONE PINT OF WATER WAS IN TANKS AND SYSTEM.                   ,[[]]
19841116062419A,AFTER STARTING ENGINE AN EXPLOSION OCCURRED FOLLOWED BY FIRE. AD 721101 HAD NOT BEEN COMPLIED WITH.                ,[[]]
19841220069339A,"DID NOT SET IN ALTIMETER SETTING, READ 300 FEET HIGH. LOW AT MINIMUM DESCENT ALTITUDE, IMPACTED TREES.             ",[[]]
19850103004479I,"AFTER TAKEOFF, PILOT HAD FLUCTUATING OIL PRESSURE. RETURNED TO AIRPORT. FOUND ENGINE OIL LOW. SERVICED, CHECKED OK.",[[]]
19850105026449I,ENGINE LOST POWER DURING CLIMB. LANDED ON ROAD. WATER FOUND IN FUEL TANKS.                                         ,[[]]
19850103007209I,"NOTAM SAID 50 FT WIDTH SNOW CLEARED. AREA CLEARED WAS 30 FT WITH CURVE. WHEEL STRUCK SNOWBANK, ENGINES INTO SNOW.  ",[[]]
19850105019239A,"ENGINE QUIT AFTER TAKEOFF. HIT TREE, POWERLINES, GROUND. FUEL LINE TO CARBURETOR FULL OF WATER.                    ","[[('GROUND', '/location/location/contains', 'TAKEOFF. HIT TREE, POWERLINES')]]"
19850110015469I,"ENGINE QUIT, RESTART SEVERAL TIMES WITH PARTIAL POWER. SAFE LANDING. WATER IN TANKS. LOW FUEL. STC FOR AUTO GAS.   ",[[]]
19850118004909I,"ON TAKEOFF, NOSE TIRE FLIPPED FLUSH TAXIWAY CENTERLINE LIGHT COVER HOUSING INTO LANDING GEAR. CUT HYDRAULIC LINE.  ",[[]]
19850212008889I,LOST POWER LANDED SHORT OF RUNWAY AND FLIPPED OVER. WATER IN FUEL SYSTEM AND CARBURETOR.                           ,[[]]
19850204009479I,AFTER LANDING RIGHT PROPELLER REVERSE INEFFECTIVE. UNDERSPEED GOVERNOR LINKAGE DISCONNECTED.                       ,[[]]
19850215009039I,"GROUND PERSONNEL POSITIONED LARGE FIRE EXTINGUISHER NEAR AIRCRAFT. STRUCK EXTINGUISHER, DAMAGE TO BOTH PROPELLERS. ",[[]]
19850217003409A,LOSS OF POWER ON TAKEOFF. AIRCRAFT TURNED OVER IN SNOW COVERED FIELD. MOISTURE FOUND IN FUEL SYSTEM.               ,[[]]
19850131002779A,LOST CONTROL AFTER ABORTING TAKEOFF DUE TO FAILURE TO REMOVE A RUDDER GUST LOCK.RAN OFF THE RUNWAY AND OVERTURNED. ,[[]]
19850204013039I,AFTER STARTING ENGINE AIRCRAFT MOVED FORWARD STRIKING 5560G. PILOT COULD NOT ADEQUATELY REACH BRAKE PEDALS.        ,[[]]
19850211030649I,TURNED ON ENGINE ANTI ICE BUT NOT IGNITORS IN ICING CONDITIONS. DOUBLE FLAMEOUT AND RESTARTS.                      ,[[]]
19850204001939A,LANDED BESIDE RUNWAY WITH GEAR PARTIALLY EXTENDED. GEAR MOTOR CIRCUIT BREAKER POPPED. MANUAL GEAR RELEASE UNENGAGED,[[]]
19850208002969A,BATTERY TOO LOW TO EXCITE ALTERNATORS.UNABLE TO UNSTOW MANUAL EXTENSION HANDLE. LANDED GEAR UP BESIDE RUNWAY.      ,[[]]
19850211002549A,"RETURNING WITH OPEN NOSE BAGGAGE DOOR, LEFT PROP FEATHERED, GEAR DOWN. BANKED LEFT AND NOSED INTO TREES AND GROUND.",[[]]
19850211005389I,NOSE WHEEL FELL INTO UNCOVERED MANHOLE DURING TAXI. MANHOLE COVER NEARBY. DAMAGE TO NOSE GEAR DOORS AND SKIN.      ,[[]]
19850216004149A,OIL TEMPERATURE REACHED RED LINE AND DURING TURN BACK TO AIRPORT ENGINE SEIZED. LANDED IN TREES. OIL STARVATION.   ,[[]]
19850323011529A,EMERGENCY LANDING AFTER POWER LOSS DURING TAKEOFF. FUEL PRIMER FOUND SLIGHTLY PULLED OUT. WATER FOUND IN FUEL.     ,[[]]
19850225004389A,AIRCRAFT MUSHED DURING TAKEOFF WITH FULL FLAPS. ABORTED AS WING DROPPED. CONTACTED GRASS AND SLID INTO DEEP MUD.   ,[[]]
19850326017619I,DURING TAKEOFF FROM SNOW COVERED AREA CUFF OF JACKET INADVERTANTLY SHUT OFF BOTH TOGGLE SWITCH MAGS. HIT SMALL TREE,[[]]
19850217008829I,DURING CLIMB OBSERVED DOOR AJAR LIGHT. DOOR CAME OPEN AS PILOT APPROACHED. CLOSED DOOR IN FLIGHT. NO MALFUNCTION.  ,[[]]
19850323010759A,WING STRUCK SMALL TREE DURING LANDING AFTER ENGINE QUIT. WATER FOUND IN FUEL LINES AND TANK.                       ,[[]]
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,[[]]
19850304024949I,LEFT FORWARD BAGGAGE DOOR REPORTED OPEN IN FLIGHT. RETURNED TO LAND. DOOR LATCH FOUND TO BE UNDAMAGED.             ,[[]]
19850222009139I,LOUD NOISE WITH GEAR RETRACTION. UNABLE TO EXTEND. SHIMMY DAMPER ROD END BROKE. GROUND TUG EXCEEDED NOSE TURN LIMIT,[[]]
19850320011479A,LOST CONTROL AND GROUND LOOPED ON INITIAL TAKEOFF ROLL. TAIL WHEEL NOT LOCKED AND HAD QUARTERING TAILWIND.         ,[[]]
19850228011799I,ON TAKEOFF PILOT NOTICED OIL ON WINDSHIELD. RETURNED FOR LANDING. OIL FILLER CAP WAS NOT PROPERLY SEATED.          ,[[]]
19850309024109I,LOUD BANG WITH GEAR RETRACTION. NOSE PARTIALLY EXTENDED FOR LANDING. COMPRESSED NOSE STRUT JAMMED RETRACT SYSTEM.  ,[[]]
19850329017489I,PILOT ELECTED TO LAND ON DIRT ROAD AFTER FUEL EXHAUSTION  . NO INJURIES OR DAMAGE.                                 ,[[]]
19850227004599A,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ",[[]]
19850325011949A,AIRCRAFT NOSED INTO GROUND ON FINAL APPROACH IN GUSTY WIND CONDITIONS. SOLID ICE AROUND ELEVATOR IDLE ARM ASSEMBLY.,[[]]
19850304021269I,RAN OFF SIDE OF RUNWAY DURING TAKEOFF. MAINTENANCE PERSONNEL HAD PLACED RUDDER TRIM FULL LEFT.                     ,[[]]
19850608023819A,DURING TAKEOFF UNSECURED TACKLE BOX SLID FORWARD AND JAMMED CYCLIC. SKID MISSED PAD AND AIRCRAFT ROLLED OVER.      ,[[]]
19850510016649A,NOSE GEAR COLLAPSED WHILE TAXIING BACK ON THE RUNWAY AFTER LANDING. CLAIMED SOFT ASPHALT ON RUNWAY CAUSED COLLAPSE.,[[]]
19850407020019I,PILOT BUMPED TRIM WHEEL AS HE RAISED GEAR. AIRCRAFT NOSED DOWN AND STRUCK RUNWAY.                                  ,[[]]
19850517067579A,"OPERATOR DISPATCHED AIRPLANE WITH HSI SLAVE INOP. SHOT APPROACH OFF COURSE AND PAST AIRPORT, STRUCK TREES.         ",[[]]
19850503024529I,"STRUCK JETWAY WITH ENGINE WHILE FOLLOWING GREEN LIGHT AND ALIGNMENT PANELS. LIGHT FAULTY, PANELS MISALIGNED.       ",[[]]
19850501015179A,ENGINES BEGAN TO BACKFIRE AND LOST POWER AFTER LIFTOFF. GEAR UP LANDING IN DESERT. SUPERCHARGERS IN HIGH POSITION. ,[[]]
19850602035529I,WENT OFF SIDE OF RUNWAY ON ROLLOUT. NO DAMAGE. NOSE STRUT WAS HIGH. PILOT UNCONCERNED DUE TO GRAVEL SHOULDER.      ,[[]]
19850413022499I,APPLIED BRAKES ON ROLLOUT AND AIRCRAFT WENT OFF SIDE OF RUNWAY. LACK OF BRAKE FLUID IN RESERVOIR.                  ,[[]]
19850524020679A,"TURNED FUEL OFF ON SIMULATED APPROACH. COULD NOT MAINTAIN ALTITUDE. NO ENGINE RESTART, LANDED GEAR UP.             ",[[]]
19850607023489A,ENGINE QUIT AFTER LEVEL OFF. STRUCK FENCE POSTS DURING LANDING. PROBABLE VAPOR LOCK. UNAPPROVED UNLEADED FUEL USED.,[[]]
19850425014369A,ATTEMPTED GO AROUND AT HIGH DENSITY ALTITUDE WITH FULL FLAPS. IMPACTED GROUND OFF SIDE OF RUNWAY.                  ,[[]]
19850604058709I,PILOT DID NOT LOCK RUDDER PEDAL IN PLACE. PEDAL COLLAPSED ON ROLLOUT AND AIRCRAFT GROUND LOOPED.                   ,"[[('IN', '/location/location/contains', 'PLACE')]]"
19850506015649A,"LOST POWER DURING TAKEOFF FROM FARM STRIP. LANDED IN FIELD,FLIPPED INVERTED. WATER FOUND IN CARBURETOR BOWL.       ","[[('IN', '/location/location/contains', 'FOUND'), ('IN', '/location/location/contains', 'WATER FOUND')]]"
19850506022799A,"ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. ABORTED TAKEOFF, NOSE GEAR COLLAPSED. PILOT TRAINING INADEQUATE.   ",[[]]
19850511024129I,LOST POWER ON DOWNWIND LEG. LANDED EXTREMELY HARD ON ROAD. PROBABLE INDUCTION ICING. DID NOT USE ALTERNATE AIR.    ,[[]]
19850503015639A,"LOST POWER (.4)THE INSTRUCTOR PLT (CFI) REPORTED THAT WHILE HE WAS INSTRUCTING THE STUDENT ON TAKEOFFS & LANDING, T",[[]]
19850409022169I,ENGINE DID NOT DEVELOP FULL POWER AFTER TAKEOFF. RETURNED AND FOUND BIRDS NEST IN INDUCTION SYSTEM.                ,[[]]
19850527026669I,PRECAUTIONARY LANDING DUE TO ROUGH RUNNING ENGINE. REMAINING FUEL DRAINED. REFUELED AND PROCEEDED TO DESTINATION.  ,[[]]
19850512020139A,"ENGINE QUIT AFTER TAKEOFF, FORCED LANDING IN FIELD. FUEL SELECTOR ON EMPTY TANK, FUEL QUANTITY GAUGE SHOWED FULL.  ","[[('LANDING IN FIELD. FUEL SELECTOR ON EMPTY TANK', '/location/location/contains', 'TANK')]]"
19850523019889A,"OIL SPRAY ON WINDSHIELD, ABORTED TAKEOFF. RAN OFF END OF RUNWAY AND FLIPPED OVER. OIL FILLER CAP NOT SECURED.      ",[[]]
19850511016369A,"CANOPY CAME OPEN AFTER LIFTOFF. UNSUCCESSFUL ATTEMPT TO CLOSE CANOPY, TOW RELEASE. WING STRUCK GROUND ON TURNBACK. ",[[]]
19850522037539I,"POWER LOSS ON ENGINES DUE TO WATER IN FUEL, GEAR PARTIALLY EXTENDED, LOW HYDRAULIC FLUID. AIRCRAFT SAT FOR 5 MONTHS",[[]]
