c5_id,c119_input,entities,labels_raw,labels,confidence
19851119064779I,ALL FOUR MAIN TIRES BLEW ON LANDING. PREVIOUS TAKEOFF WAS MADE FROM ICY RUNWAY WITH PARKING BRAKE ON.              ,ICY RUNWAY,"[{'value': 'FAC', 'confidence': 0.9999810457229614}]",FAC,0.9999810457229614
19851130064919I,NUMBER 3 AND 4 MAIN TIRES WENT FLAT ON LANDING. ABORTED PREVIOUS TAKEOFF. BLOW OUT PLUGS MISSING.                  ,3,"[{'value': 'CARDINAL', 'confidence': 0.9999905824661255}]",CARDINAL,0.9999905824661255
19851130064919I,NUMBER 3 AND 4 MAIN TIRES WENT FLAT ON LANDING. ABORTED PREVIOUS TAKEOFF. BLOW OUT PLUGS MISSING.                  ,4,"[{'value': 'CARDINAL', 'confidence': 0.9999942779541016}]",CARDINAL,0.9999942779541016
19851016052529A,ICE IN FUEL SYSTEM CAUSED ENGINE FAILURE. LANDED ON A GRAVEL BAR AND AIRCRAFT SLIPPED OVER ONTO ITS BACK.          ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.7507056593894958}]",PRODUCT,0.7507056593894958
19860118000879A,AIRCRAFT CRASHED DURING TAKEOFF AFTER ENGINE STARTED LOSING POWER. PILOT HAD NO LICENSE. AIRCRAFT OVERDUE ANNUAL.  ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999769926071167}]",PRODUCT,0.9999769926071167
19860118000879A,AIRCRAFT CRASHED DURING TAKEOFF AFTER ENGINE STARTED LOSING POWER. PILOT HAD NO LICENSE. AIRCRAFT OVERDUE ANNUAL.  ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9999852180480957}]",ORG,0.9999852180480957
19860118000879A,AIRCRAFT CRASHED DURING TAKEOFF AFTER ENGINE STARTED LOSING POWER. PILOT HAD NO LICENSE. AIRCRAFT OVERDUE ANNUAL.  ,ANNUAL,"[{'value': 'DATE', 'confidence': 0.9999949932098389}]",DATE,0.9999949932098389
19860506076999A,MAIN ROTOR BLADES STRUCK THE SHIP AS AIRCRAFT LIFTED OFF WITH A SKID TIEDOWN ROPE ATTACHED. AIRCRAFT SANK IN OCEAN.,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9958975315093994}]",ORG,0.9958975315093994
19860506076999A,MAIN ROTOR BLADES STRUCK THE SHIP AS AIRCRAFT LIFTED OFF WITH A SKID TIEDOWN ROPE ATTACHED. AIRCRAFT SANK IN OCEAN.,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9995136260986328}]",ORG,0.9995136260986328
19860506076999A,MAIN ROTOR BLADES STRUCK THE SHIP AS AIRCRAFT LIFTED OFF WITH A SKID TIEDOWN ROPE ATTACHED. AIRCRAFT SANK IN OCEAN.,OCEAN,"[{'value': 'LOC', 'confidence': 0.9999616146087646}]",LOC,0.9999616146087646
19860319033029I,LACK OF ATTENTION TO INERTIAL NAVIGATION PROCEDURES CAUSED AIRCRAFT TO BE OFF COURSE 190 NM. AUTOPILOT IN MANUAL.  ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9761367440223694}]",PRODUCT,0.9761367440223694
19860319033029I,LACK OF ATTENTION TO INERTIAL NAVIGATION PROCEDURES CAUSED AIRCRAFT TO BE OFF COURSE 190 NM. AUTOPILOT IN MANUAL.  ,190 NM,"[{'value': 'QUANTITY', 'confidence': 0.9999825358390808}]",QUANTITY,0.9999825358390808
19860327013679I,ATTEMPTED TAKEOFF WITH TIE DOWN STILL ATTACHED. TIE DOWN POINT BROKE AND AIRCRAFT LANDED BACK ON THE RIG.          ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9970746040344238}]",ORG,0.9970746040344238
19860427042939A,"DURING TAKEOFF, THE CANOPY BLEW OPEN. CUT AWAY FROM THE TOWPLANE AT 10 FEET AGL. GLIDER THEN NOSED INTO THE RUNWAY.",10 FEET,"[{'value': 'QUANTITY', 'confidence': 0.9999875426292419}]",QUANTITY,0.9999875426292419
19860306018449I,SWITCHED TO MAINS WITH ZERO FUEL PRESSURE. DISENGAGED AUTO PILOT AND FOUND RIGHT ENGINE HAD QUIT. LANDED IN A FIELD,ZERO,"[{'value': 'CARDINAL', 'confidence': 0.9999887943267822}]",CARDINAL,0.9999887943267822
19860712032489A,PILOT ATTEMPTED A GO AROUND WITH FULL FLAPS. AIRCRAFT LANDED ON DIRT ROAD. DENSITY ALTITUDE WAS A FACTOR.          ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9996448755264282}]",PRODUCT,0.9996448755264282
19860712032489A,PILOT ATTEMPTED A GO AROUND WITH FULL FLAPS. AIRCRAFT LANDED ON DIRT ROAD. DENSITY ALTITUDE WAS A FACTOR.          ,DIRT ROAD,"[{'value': 'FAC', 'confidence': 0.9999746680259705}]",FAC,0.9999746680259705
19860707052839A,"STRUCK SHIP, FELL INTO WATER AFTER ATTEMPTED TAKEOFF WITH FRONT TIEDOWN STRAP SECURED. AIRCRAFT AND PILOT SANK.    ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.6748602390289307}]",PRODUCT,0.6748602390289307
19860803085219A,THE ENGINE FAILED ON TAKEOFF. THE AIRCRAFT HIT TREES ON LANDING. WATER FOUND IN GASCOLATOR.                        ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999819993972778}]",PRODUCT,0.9999819993972778
19860725035229A,AIRCRAFT IMPACTED THE GROUND AFTER TAKEOFF. PILOT USED INAPPROPRIATE RUNWAY AND MISUSED FLAPS. DENSITY ALTITUDE.   ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9844304919242859}]",ORG,0.9844304919242859
19860801062349I,DOOR POPPED OPEN DURING CLIMB. PILOT RETURNED TO AIRPORT TO CLOSE DOOR. IFR FLIGHT PLAN NOT CLOSED.                ,IFR,"[{'value': 'ORG', 'confidence': 0.8656003475189209}]",ORG,0.8656003475189209
19860614034889I,BOTH ENGINES CEASED TO RUN AS FUEL PRESSURE DROPPED. LANDED IN A FIELD. FOUND ALL 4 FUEL TANK VENTS CLOGGED.       ,4,"[{'value': 'CARDINAL', 'confidence': 0.9999885559082031}]",CARDINAL,0.9999885559082031
19860618026709A,"WHILE TURNING, AIRCRAFT STARTED TO SETTLE. PILOT DUMPED LOAD BUT WAS UNABLE TO RECOVER. HIGH DENSITY ALTITUDE.     ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.999914288520813}]",PRODUCT,0.999914288520813
19860523030059I,TAKEOFF MADE WITH 2 NOTCHES FLAPS. AIRCRAFT CLIMBED OVER TREES AT THE END OF RUNWAY BUT SETTLED TO THE GROUND.     ,2,"[{'value': 'CARDINAL', 'confidence': 0.9999963045120239}]",CARDINAL,0.9999963045120239
19860702029869A,PILOT REDUCED POWER DURING TAKEOFF TO SECURE AN OPEN DOOR. AIRCRAFT STRUCK A FENCE AT THE END OF THE TAKEOFF AREA. ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9999924898147583}]",ORG,0.9999924898147583
19860603021539A,BRAKES RELEASED DURING TAKEOFF ROLL ON A SHORT RUNWAY. AIRCRAFT WOULD NOT CLIMB AND WAS DITCHED IN THE WATER.      ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9884504079818726}]",PRODUCT,0.9884504079818726
19860702029819A,THE AIRCRAFT FLEW INTO THE GROUND AFTER LIFTOFF. THE PILOT FAILED TO UNLOCK THE CONTROLS BEFORE TAKEOFF.           ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999898672103882}]",PRODUCT,0.9999898672103882
19860703082489A,THE ENGINE FAILED FROM FUEL CONTAMINATION.THE AIRCRAFT HAD JUST BEEN WASHED. WATER AND SOAP FOUND IN FUEL SAMPLE.  ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9998044371604919}]",PRODUCT,0.9998044371604919
19860718034199A,AIRCRAFT CRASHED OFF TAKEOFF END OF RUNWAY. ENGINE DID NOT PRODUCE RATED POWER BECAUSE OF PILOT PREFLIGHT.         ,AIRCRAFT,"[{'value': 'FAC', 'confidence': 0.9807507991790771}]",FAC,0.9807507991790771
19860718034199A,AIRCRAFT CRASHED OFF TAKEOFF END OF RUNWAY. ENGINE DID NOT PRODUCE RATED POWER BECAUSE OF PILOT PREFLIGHT.         ,RUNWAY,"[{'value': 'FAC', 'confidence': 0.9993934631347656}]",FAC,0.9993934631347656
19860625027879A,THE STUDENT INADVERTENTLY RAISED THE FLAPS FULLY DURING GO AROUND. THE AIRCRAFT BOUNCED AND DEPARTED SIDE OF RUNWAY,RUNWAY,"[{'value': 'FAC', 'confidence': 0.9972569346427917}]",FAC,0.9972569346427917
19860619026849A,ENGINE FAILED WHILE STUDENT WAS FLYING A PASSENGER. ONE FUEL TANK WAS EMPTY DUE TO A LOOSE CAP.WATER IN OTHER TANK.,ONE,"[{'value': 'CARDINAL', 'confidence': 0.9979448914527893}]",CARDINAL,0.9979448914527893
19861006062359I,AIRCRAFT DEPARTED TAXIWAY AFTER NOSE WHEEL STEERING BECAME INOPERATIVE. PILOT FAILED TO ACTIVATE HYDRAULIC SYSTEM. ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9994124174118042}]",ORG,0.9994124174118042
19861006062359I,AIRCRAFT DEPARTED TAXIWAY AFTER NOSE WHEEL STEERING BECAME INOPERATIVE. PILOT FAILED TO ACTIVATE HYDRAULIC SYSTEM. ,TAXIWAY,"[{'value': 'ORG', 'confidence': 0.9035438895225525}]",ORG,0.9035438895225525
19860924062869I,"DURING CLIMB, PILOTS EMERGENCY ACCESS WINDOW DOOR SEPARATED AIRCRAFT. RETURNED FOR A SAFE LANDING.                 ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9949799180030823}]",PRODUCT,0.9949799180030823
19860925060429I,FORCED LANDING ON A GRAVEL BAR AFTER ENGINE QUIT. FOUND WATER IN LEFT FUEL TANK. REFUELED FROM 55 GALLON DRUM.     ,55 GALLON,"[{'value': 'QUANTITY', 'confidence': 0.9999911189079285}]",QUANTITY,0.9999911189079285
19861012048639I,"ENGINES FAILED DURING RAPID DESCENT. AIRCRAFT FORCE LANDED. PILOT DID NOT HAVE LICENSE, MEDICAL OR REGISTRATION.   ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.5340288281440735}]",PRODUCT,0.5340288281440735
19860909055929I,"FLOAT PLANE ABORTED TAKEOFF DUE TO IMPROPER FLAP SETTING. INSUFFICIENT WATER REMAINED, RAN ONTO SHORELINE.         ",FLOAT PLANE,"[{'value': 'FAC', 'confidence': 0.6624867022037506}]",FAC,0.6624867022037506
19861019065659I,DEPARTED TAXIWAY AT NIGHT AND STRUCK AN UNLIGHTED RUNWAY DIRECTION SIGN. AIRCRAFT LANDING LIGHTS BURNED OUT.       ,TAXIWAY,"[{'value': 'ORG', 'confidence': 0.9980879426002502}]",ORG,0.9980879426002502
19861019065659I,DEPARTED TAXIWAY AT NIGHT AND STRUCK AN UNLIGHTED RUNWAY DIRECTION SIGN. AIRCRAFT LANDING LIGHTS BURNED OUT.       ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9999499320983887}]",ORG,0.9999499320983887
19861005047609A,THE ENGINE LOST POWER ON TAKEOFF. THE AIRCRAFT LANDED GEAR UP.A BALL OF PAINT MASKING MATERIAL BLOCKED AIR INTAKE. ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999700784683228}]",PRODUCT,0.9999700784683228
19861114070459I,"LANDED AT AIR FORCE BASE BY MISTAKE, LORAN INDICATED DESTINATION WAS REACHED.                                      ",LORAN,"[{'value': 'PERSON', 'confidence': 0.9999957084655762}]",PERSON,0.9999957084655762
19861129077679I,"ATTEMPTED FORCED LANDING AFTER VIBRATION, LANDED SHORT AND STRUCK FENCE. AILERON QUICK ACTION FITTING DISCONNECTED.",AILERON,"[{'value': 'ORG', 'confidence': 0.9989815354347229}]",ORG,0.9989815354347229
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,TCA,"[{'value': 'PRODUCT', 'confidence': 0.9956529140472412}]",PRODUCT,0.9956529140472412
19860916045319A,THE ENGINE FAILED. THE AIRCRAFT HIT TREES DURING LANDING. LESS THAN 2 GALLONS OF FUEL ON BOARD. ENGINE OIL LOW.    ,LESS THAN 2 GALLONS,"[{'value': 'QUANTITY', 'confidence': 0.9999833405017853}]",QUANTITY,0.9999833405017853
19860912051699I,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.6988728046417236}]",PRODUCT,0.6988728046417236
19860912051699I,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,TAXIWAY,"[{'value': 'FAC', 'confidence': 0.9991074204444885}]",FAC,0.9991074204444885
19860912051699I,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,NIGHT,"[{'value': 'TIME', 'confidence': 0.9634743332862854}]",TIME,0.9634743332862854
19860912051699I,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,SEVEN,"[{'value': 'CARDINAL', 'confidence': 0.99997878074646}]",CARDINAL,0.99997878074646
19860912051699I,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,TAXIWAY,"[{'value': 'ORG', 'confidence': 0.9992697834968567}]",ORG,0.9992697834968567
19861002048929A,(.4)THE FLIGHT SUFFERED AN ENGINE POWER LOSS WHILE IN CRUISE FLIGHT DUE TO FUEL STARVATION. THE PILOT STATED THAT A,4,"[{'value': 'CARDINAL', 'confidence': 0.9999960660934448}]",CARDINAL,0.9999960660934448
19860831043359A,ENGINE LOST POWER ON TAKEOFF. AIRCRAFT COLLIDED WITH WIRES AND CRASHED INVERTED. FOUND WATER IN FUEL.              ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9835167527198792}]",ORG,0.9835167527198792
19870126000969A,THE ENGINES FAILED WHEN FUEL TANKS WERE SWITCHED. THE PILOT WAS AWARE OF THE PROBLEM. AIRCRAFT WAS DITCHED IN OCEAN,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999620914459229}]",PRODUCT,0.9999620914459229
19861206086419A,THE PILOT REPORTED HE LOST CONTROL OF THE AIRCRAFT ON TAKEOFF DUE TO ENGAGED AUTOPILOT. NO MALFUNCTIONS NOTED.     ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999302625656128}]",PRODUCT,0.9999302625656128
19870325029379I,AIRCRAFT VEERED AT THE START OF THE TAKEOFF ROLL.  ABORTED.                                                        ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9999517202377319}]",ORG,0.9999517202377319
19870328007599A,LOST DIRECTIONAL CONTROL ON BALLOONED LANDING. RETRACTED FLAPS FOR 60 AROUND. STRUCK TREES BESIDE RUNWAY.          ,60,"[{'value': 'CARDINAL', 'confidence': 0.9999889135360718}]",CARDINAL,0.9999889135360718
19870112000369A,THE AIRCRAFT WAS DITCHED WHEN FUEL WAS EXHAUSTED. PILOT REPORTED A LOOSE FUEL CAP AND AN OVERHEATED ENGINE.        ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999382495880127}]",PRODUCT,0.9999382495880127
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999566078186035}]",PRODUCT,0.9999566078186035
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",N106DA,"[{'value': 'PRODUCT', 'confidence': 0.9999831914901733}]",PRODUCT,0.9999831914901733
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999567270278931}]",PRODUCT,0.9999567270278931
19870202017739I,THE AIRCRAFT WAS FORCED TO LAND IN A FARM FIELD.INSTRUCTOR FAILED TO RESTORE POWER AFTER SIMULATED ENGINE FAILURE. ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999837875366211}]",PRODUCT,0.9999837875366211
19870328007669A,THE AIRCRAFT IMPACTED IN A PARKING LOT DURING GO AROUND. FLAPS RETRACTED EARLY. STUDENT PILOT ACTED AS INSTRUCTOR. ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9592688083648682}]",PRODUCT,0.9592688083648682
19870410009159A,THE AIRCRAFT GROUND LOOPED ON TAKEOFF ROLL. THE PILOT FAILED TO CHECK THE SEAT LATCH AND IT SLID FULL AFT.         ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.8187082409858704}]",ORG,0.8187082409858704
19870401031839A,THE PILOT LOST CONTROL OF THE AIRCRAFT AT ROTATION.  THE CONTROL COLUMN GUST LOCK HAD NOT BEEN REMOVED.            ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.999970555305481}]",PRODUCT,0.999970555305481
19870321007189A,THE ENGINE FAILED SHORTLY AFTER TAKEOFF.  THE AIRCRAFT HIT TREES ON LANDING.  WATER AND DEBRIS IN FUEL SYSTEM.     ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999732971191406}]",PRODUCT,0.9999732971191406
19870411033269I,ENGINE FAILED ON TAKEOFF AND AIRCRAFT WAS UNABLE TO MAKE THE RUNWAY. WATER AND ALGAE FOUND IN SERVO INDUCTION PUMP.,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9978733062744141}]",ORG,0.9978733062744141
19870305005389A,THE ENGINE FAILED ON TAKEOFF AND THE AIRCRAFT IMPACTED THE FROZEN LAKE. PILOT SUSPECTS INADEQUATE PREHEATING.      ,THE FROZEN LAKE,"[{'value': 'LOC', 'confidence': 0.9999898672103882}]",LOC,0.9999898672103882
19870408025949I,A CARGO DOOR WARNING LIGHT CAME ON DURING CLIMB.  THE AIRCRAFT RETURNED TO THE AIRPORT.  DOOR IMPROPERLY LATCHED.  ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9994909763336182}]",PRODUCT,0.9994909763336182
19870404008339A,THE AIRCRAFT IMPACTED THE GROUND DURING AN ATTEMPTED GO AROUND IN GUSTY WINDS. THE PILOT FAILED TO RETRACT FLAPS.  ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999756813049316}]",PRODUCT,0.9999756813049316
19870228015259I,"DURING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.                                              ",TAXI,"[{'value': 'ORG', 'confidence': 0.71827232837677}]",ORG,0.71827232837677
19870228015259I,"DURING TAXI ON YELLOW LINE, THE WINGTIP STRUCK A MISPLACED BARRICADE.                                              ",YELLOW LINE,"[{'value': 'FAC', 'confidence': 0.9999482035636902}]",FAC,0.9999482035636902
19870412049129A,THE FLOAT EQUIPPED AIRCRAFT MADE A WATER LANDING WITH THE WHEELS DOWN. THE AIRCRAFT NOSED OVER.                    ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999336004257202}]",PRODUCT,0.9999336004257202
19870412049129A,THE FLOAT EQUIPPED AIRCRAFT MADE A WATER LANDING WITH THE WHEELS DOWN. THE AIRCRAFT NOSED OVER.                    ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999204874038696}]",PRODUCT,0.9999204874038696
19861205064889A,"THE AIRCRAFT DITCHED WHEN THE ENGINES QUIT. PILOT HAD BEEN LOST DUE TO WEATHER, OPERATING WITHOUT NAVIGATION AIDS. ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999796152114868}]",PRODUCT,0.9999796152114868
19870224017669I,RADIOS BECAME INOPERATIVE EN ROUTE. AIRCRAFT RETURNED TO DEPARTURE CITY. FOUND CIRCUIT BREAKER OPEN. CAUSE UNKNOWN.,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.998078465461731}]",ORG,0.998078465461731
19870401035709I,PILOT UNFAMILIAR WITH RADIO EQUIPMENT IN THE AIRCRAFT REQUIRED SPECIAL HANDLING.                                   ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999282360076904}]",PRODUCT,0.9999282360076904
19870401039749I,FRONT BAGGAGE DOOR CAME OPEN. A SUITCASE FLEW OUT AND BENT THE RIGHT PROPELLER.  PILOT DITCHED AIRCRAFT IN OCEAN.  ,OCEAN,"[{'value': 'LOC', 'confidence': 0.9994978904724121}]",LOC,0.9994978904724121
19870531023049I,NOSE BAGGAGE DOOR POPPED OPEN AT LIFTOFF.  ABORTED ON REMAINING RUNWAY.  SECURED DOOR AND DEPARTED.                ,LIFTOFF,"[{'value': 'ORG', 'confidence': 0.98822021484375}]",ORG,0.98822021484375
19870425011419A,THE ENGINE FAILED AND THE AIRCRAFT LANDED IN SWAMP. WATER FOUND IN AUTO FUEL. PILOT NOT RATED. AIRCRAFT STOLEN.    ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9998257756233215}]",PRODUCT,0.9998257756233215
19870607082499A,"FAILED TO HOOK UP ELEVATORS PRIOR TO TAKEOFF. GLIDER PITCHED UP ON THE TOW,HIT GROUND BOUNCED UP 150FT AND CRASHED ",150FT,"[{'value': 'QUANTITY', 'confidence': 0.9996589422225952}]",QUANTITY,0.9996589422225952
19870427011679A,"THE DOOR CAME OPEN ON TAKEOFF. WHILE ATTEMPTING TO LAND, AIRCRAFT HIT TERRAIN. PILOT FAILED TO PROPERLY LATCH DOOR.",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999839067459106}]",PRODUCT,0.9999839067459106
19870511033439I,"LOW OIL PRESSURE LIGHT CAME ON AFTER FLUCTUATION. ENGINE SHUTDOWN, AIRCRAFT RETURNED. OIL CAP WAS OFF.             ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.6507721543312073}]",PRODUCT,0.6507721543312073
19870624041889I,NOSE CARGO COMPARTMENT DOOR CAME OPEN ON TAKEOFF ROLL.  A PACKAGE STRUCK THE PROPELLER DAMAGING 3 BLADES.          ,3,"[{'value': 'CARDINAL', 'confidence': 0.9999947547912598}]",CARDINAL,0.9999947547912598
19870621062679A,PILOT APPLIED 30 DEGREES OF FLAPS TO LIFT OFF SHORT RUNWAY. FLAPS WERE RETRACTED AND AIRCRAFT MUSHED INTO A SWAMP. ,30 DEGREES,"[{'value': 'QUANTITY', 'confidence': 0.9999855160713196}]",QUANTITY,0.9999855160713196
19870425026649I,THE AIRCRAFT RAN OFF THE END OF THE RUNWAY DURING ABORT.  THE PILOT FAILED TO USE FLAPS FOR TAKEOFF.               ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.999962329864502}]",PRODUCT,0.999962329864502
19870616020729A,UPPER COWLING BECAME LOOSE ON CLIMBOUT. RETURNING TO AIRPORT AIRCRAFT STALLED. IMPACTED TERRAIN NEXT TO THE RUNWAY.,RUNWAY,"[{'value': 'FAC', 'confidence': 0.7288951277732849}]",FAC,0.7288951277732849
19870430022259I,THE AIRCRAFT WOULD NOT PRESSURIZE AND THE AIRCRAFT RETURNED TO AIRPORT.  CARGO DOOR UNLATCHED.  WARNING LIGHT INOP.,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9870904088020325}]",ORG,0.9870904088020325
19870430022259I,THE AIRCRAFT WOULD NOT PRESSURIZE AND THE AIRCRAFT RETURNED TO AIRPORT.  CARGO DOOR UNLATCHED.  WARNING LIGHT INOP.,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.7372498512268066}]",PRODUCT,0.7372498512268066
19870625027029A,THE AIRCRAFT DESCENDED INTO TREES DURING AN ATTEMPTED GO AROUND. THE PILOT RETRACTED THE FLAPS TOO EARLY.          ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9711048007011414}]",PRODUCT,0.9711048007011414
19870606050749I,"THE AIRCRAFT LANDED WITH THE PARKING BRAKE ENGAGED, BLOWING MAIN TIRES. PILOT USED UNAUTHOURIZED PROCEDURE.        ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9997455477714539}]",PRODUCT,0.9997455477714539
19870623069389I,APU CAUGHT FIRE DURING START. APU PLACARDED EXCEPT FOR START SWITCH. APU WAS INOPERATIVE DEFERRED IN LOGS.         ,APU,"[{'value': 'ORG', 'confidence': 0.9844093918800354}]",ORG,0.9844093918800354
19870623069389I,APU CAUGHT FIRE DURING START. APU PLACARDED EXCEPT FOR START SWITCH. APU WAS INOPERATIVE DEFERRED IN LOGS.         ,APU,"[{'value': 'ORG', 'confidence': 0.9833461046218872}]",ORG,0.9833461046218872
19870619020899A,THE ENGINE FAILED.  THE AIRCRAFT FLIPPED OVER ON LANDING.  WATER WAS FOUND IN ONE CYLINDER.                        ,ONE,"[{'value': 'CARDINAL', 'confidence': 0.9999959468841553}]",CARDINAL,0.9999959468841553
19870622055261A,MECHANIC TAXIING 747 WITHOUT BRAKE HYDRAULIC POWER STRUCK A HOLDING 737 N184AW. HAD FAILED TO USE BACKUP SYSTEM.   ,747,"[{'value': 'PRODUCT', 'confidence': 0.9965428709983826}]",PRODUCT,0.9965428709983826
19870622055261A,MECHANIC TAXIING 747 WITHOUT BRAKE HYDRAULIC POWER STRUCK A HOLDING 737 N184AW. HAD FAILED TO USE BACKUP SYSTEM.   ,N184AW,"[{'value': 'PRODUCT', 'confidence': 0.6602405905723572}]",PRODUCT,0.6602405905723572
19870507025679I,"OVERSHOT NIGHT LANDING, VEERED OFF RUNWAY TO AVOID A FENCE. OVER ONE HALF OF RUNWAY LIGHTS INOPERATIVE.            ",ONE HALF,"[{'value': 'CARDINAL', 'confidence': 0.9999554753303528}]",CARDINAL,0.9999554753303528
19870922059019A,LEFT ON OVER WATER FLIGHT WITH FUEL PUMP INOPERATIVE AND USING THE ELECTRIC AUX PUMP WHICH FAILED. DITCHED IN OCEAN,OCEAN,"[{'value': 'LOC', 'confidence': 0.6739312410354614}]",LOC,0.6739312410354614
19870927068249I,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.                               ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999839067459106}]",PRODUCT,0.9999839067459106
19870919066179I,"THE AIRCRAFT OVERRAN THE RUNWAY AFTER A FAST, NO FLAP LANDING. LANDING LIGHT FAILED. PILOT SHUT OFF BATTERY.       ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999350309371948}]",PRODUCT,0.9999350309371948
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",IFR DUAL FLIGHT,"[{'value': 'PRODUCT', 'confidence': 0.9955533544222513}]",PRODUCT,0.9955533544222513
