,doc_idx,sent_idx,original_sentence,input,mention,biencoder_predicted_entity,crossencoder_predicted_entity
317,1553,1,ENGINE LOST POWER ON CLIMBOUT WITH FOUR JUMPERS ON BOARD. OVERSHOT OPEN FIELD. SERVERE CARBURETOR ICING CONDITIONS., overshot open field.,open,Open Country,Open access
318,1558,2,LOST OIL PRESSURE. OVERSHOT RUNWAY. OVERTURNED INTUNDRA. OIL FILLER CAP NOT SECURED. BALL TYPE CHECK VALVE NOT USED, overturned intundra.,intundra,Honda Integra,Honda Integra
319,1571,3,ON LIFT OFF AIRCRAFT MADE TIGHT LEFT TURN. IMPACTED BETWEEN RUNWAYS. AUTOPILOT ON. CFI UNFAMILIAR WITH DISCONNECT. , cfi unfamiliar with disconnect.,cfi,Conversational user interfaces,Electronic data interchange
320,1573,2,ENGINES LOST POWER ON CLIMBOUT. CRASH LANDED OFF END RUNWAY. LINEMAN HAD FUELED CONVAIR WITH JET FUEL INSTEAD AVGAS, lineman had fueled convair with jet fuel instead avgas.,lineman,Line technician (aviation),Lineworker
321,1575,1,NOSE GEAR FOLDED ON LANDING ROLLOUT. RETRACTION ROD WAS BENT. PRIOR HARD LANDINGS.                                 , retraction rod was bent.,rod,Fishing rod,Fishing rod
322,1577,2,AIRCRAFT DEPARTED WITHOUT THE EMERGENCY ESCAPE HATCH PROPERLY LATCHED. RETURNED. HATCH SECURED AFTER LANDING.      , hatch secured after landing.,hatch,Trapdoor,Trapdoor
323,1585,1,STUDENT ON FIRST SOLO. WINDOW POPPED OPEN. LOST CONTROL AND RAN OFF RUNWAY TRYING TO CLOSE WINDOW.                 , window popped open.,open,2012 TEAN International,Open secret
324,1601,2,CAPTAIN DECLARED EMERGENCY FOR RAPID FUEL LOSS. VECTORED TO NEAREST AIRPORT. DEPARTED TALLAHASSEE WITHOUT REFUELING, departed tallahassee without refueling.,tallahassee,"Tallahassee, Florida","Tallahassee, Florida"
325,1605,0,RIGHT AILERON BECAME DISCONNECTED IN FLIGHT. UNCONTROLLED SPIRAL. BAILED OUT. SLIDE LOCK FITTING LUBED IN ERROR.   ,right aileron became disconnected in flight.,aileron,Aileron,Aileron
326,1609,2,"HURRIED BOARDING HELICOPTER DUE TO RAIN. NEGLECTED TO REMOVE TIE DOWN STRAP,NOSED DOWN LIFTING. ROTORS HIT GROUND. ", rotors hit ground.,rotors,Turbine,Rotorcraft
327,1612,1,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","gusty north wind,hit trees off end of strip crashed.",gusty north,Wind gust,North wind
328,1613,6,SLUGGISH CLIMBOUT. ABORTED. LANDED ON RUNWAY. BRAKES WEAK. VEERED OFF TO STOP. NOSED OVER. WORN PADS. LOW FLUID.   , worn pads.,worn pads,Paragliding at the 2018 Asian Games – Women's individual accuracy,Graduate
329,1625,2,VEERED OFF RUNWAY AND OVERTURNED ON TAKEOFF ROLL. TEST FLIGHT AFTER REBUILD. AILERONS CABLES WERE REVERSED.        , ailerons cables were reversed.,ailerons,Aileron,Aileron
330,1627,0,CREW LEARNED AFT CARGO DOOR OPEN AFTER DEPARTURE. RETURNED. CREW FAILED TO NOTICE WARNING LIGHT.                   ,crew learned aft cargo door open after departure.,cargo door open,Disembarkation,Disembarkation
331,1628,0,AMPHIBIOUS BEAVER HAD SPOOL DOWN EN ROUTE WHEN PILOT TURNED FUEL OFF INSTEAD OF HEAT ON. LANDED ON MUD FLATS.      ,amphibious beaver had spool down en route when pilot turned fuel off instead of heat on.,beaver,Beaver,Beaver
332,1630,0,AVIONICS COMPARTMENT EXIT DOOR LIGHT ON AFTER ROTATION. RETURNED. DOOR WAS FULLY OPEN AND LOCKED IN PLACE.         ,avionics compartment exit door light on after rotation.,avionics,Avionics,Avionics
333,1633,0,SEAT SLID BACK ON INITIAL TAKEOFF ROLL. LOST CONTROL. AIRCRAFT GROUND LOOPED. UNABLE VERIFY SEAT CONDITION. BURNED.,seat slid back on initial takeoff roll.,seat,Seat,Seat
334,1634,3,LEFT COCKPIT DOOR DEPARTED AIRCRAFT ON CLIMB. HIT NR1 PROPELLER. SHUT ENGINE DOWN. CONTINUED TO BETHAL. LANDED.    , continued to bethal.,bethal,Bethal,Bethal
335,1637,1,LOST POWER BOTH ENGINES ON IFR APPROACH.DITCHED IN LAKE SHORT OF PONTIAC.ALL TANKS BUT ONE EMPTY.SHORT IFR FLIGHT. ,ditched in lake short of pontiac.,pontiac,"Pontiac, Michigan","Pontiac, Michigan"
336,1641,4,OBSERVED TO HAVE ROUGH ENGINE ON RUNUP. DEPARTED CONTINUED ROUGH. TRIED RETURN. CRASHED. EXHAUST VALVE STUCK OPEN. , exhaust valve stuck open.,open,Air-operated valve,Valve
337,1644,2,ON TAKEOFF ROLL REALIZED CONTROL LOCK IN PLACE. UNABLE TO REMOVE OR STOP. RAN OFF END OF RUNWAY INTO BAY.          , ran off end of runway into bay.,bay,Bay,Bay
338,1645,3,LOST LEFT ENGINE. FEATHERED. APACH NOT GOOD ONE ENGINE. CFI AWARE IMPROPER CRANKSHAFT INSTALLATION. IGNORED SAME.  , cfi aware improper crankshaft installation.,cfi,Community Forestry International,Control-flow integrity
339,1660,0,ON CLIMBOUT THE LEFT SIDE OF ENGINE COWLING CAME LOOSE. RETURNED TO AIRPORT. LANDED GEAR UP.                       ,on climbout the left side of engine cowling came loose.,cowling,Cowling,Cowling
340,1668,0,DOOR POPPED OPEN ON TAKEOFF ROLL. ABORTED. USED EXCESSIVE BRAKE PRESSURE TO STOP. DAMAGED TIRES. MEDICAL EXPIRED.  ,door popped open on takeoff roll.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Open secret
341,1672,3,ENGINE QUIT ON CLIMB. AIRCRAFT LANDED. CROSSED A DITCH. FOUND WATER IN CARBURETOR. AIRCRAFT HAD NOT FLOWN IN MONTHS, found water in carburetor.,carburetor,Carburetor,Carburetor
342,1677,2,NO AIRSPEED ON TAKEOFF ROLL. ABORTED LATE. RAN OFF END RUNWAY INTO DITCH. FAILED TO REMOVE PITOT COVER.            , ran off end runway into ditch.,ran,Running,Running
343,1680,0,DURING TAKEOFF DOOR CAME OPEN. TRIED TO CLOSE SAME INFLIGHT. IMPACTED STEEP TURN. FLY FIRST CLOSE DOOR ON GROUND.  ,during takeoff door came open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Open secret
344,1686,2,SEVERE VIBRATION LANDING. RIGHT MAIN GEAR COLLAPSED. APEX BOLT FAILED. CASTERED GEAR. NON EXTENSION GROUND SPOILERS, apex bolt failed.,apex,2011 PSA World Series Finals,Ski jumping at the 2018 Winter Olympics – Men's large hill team
345,1690,2,"PITCHED UP ON INITIAL CLIMBOUT. ROLLED, CRASHED AND BURNED. FOUND AFT UTILITY DOOR OPEN. LATCH WAS IN OPEN POSITION", found aft utility door open.,door open,Door,Door
346,1690,3,"PITCHED UP ON INITIAL CLIMBOUT. ROLLED, CRASHED AND BURNED. FOUND AFT UTILITY DOOR OPEN. LATCH WAS IN OPEN POSITION", latch was in open position.,open,2012 PSA World Series Finals,2012 PSA World Series Finals
347,1707,3,TIED DOWN ON OIL RIG. HURRIED DEPARTURE. FAILED UNTIE LEFT FRONT SKID. SPUN. ROTORS FLEXED CHOPPED TAIL. HIT DECK. , spun.,spun,Spun,Spun
348,1707,4,TIED DOWN ON OIL RIG. HURRIED DEPARTURE. FAILED UNTIE LEFT FRONT SKID. SPUN. ROTORS FLEXED CHOPPED TAIL. HIT DECK. , rotors flexed chopped tail.,rotors,Helicopter rotor,Rotorcraft
349,1711,2,ENGINE QUIT ON CLIMBOUT. STRUCK FENCE LANDING. GASCOLATOR DRAIN WAS OPEN. PILOT UNAWARE DRAIN COULD REMAIN OPEN.   , gascolator drain was open.,gascolator,Gascolator,Gascolator
350,1711,2,ENGINE QUIT ON CLIMBOUT. STRUCK FENCE LANDING. GASCOLATOR DRAIN WAS OPEN. PILOT UNAWARE DRAIN COULD REMAIN OPEN.   , gascolator drain was open.,open,2018 Sopot Open,Open secret
351,1711,3,ENGINE QUIT ON CLIMBOUT. STRUCK FENCE LANDING. GASCOLATOR DRAIN WAS OPEN. PILOT UNAWARE DRAIN COULD REMAIN OPEN.   , pilot unaware drain could remain open.,open,Open secret,Open secret
352,1713,3,GEAR FAILED TO EXTEND. USED MANUAL BUT NO LOCKDOWN SHOWN. MAIN GEAR COLLAPSED USING BRAKES. SLIDE TUBES LACKED LUBE, slide tubes lacked lube.,lube,Personal lubricant,Personal lubricant
353,1714,1,LOUD BANG PARTS TAILROTOR AND DEBRIS FELL. CHOPPER SPUN TO GROUND . LEFT DOOR REMOVED. EVIDENCE KNEE PAT HIT ROTORS, chopper spun to ground .,chopper,Helicopter,Helicopter
354,1719,1,ON TAKEOFF FROM OFFSHORE PLATFORM BEGAN TO SPIN UNCONTROLLABY. IMPACTED GULF. LEFT FRONT TIEDOWN NOT REMOVED.      , impacted gulf.,gulf,Gulf,Gulf
355,1720,0,PILOT NOTICED OIL COMING OUT OF COWLING. PRECAUTIONARY LANDING ON ROAD. PILOT HAD LEFT OIL CAP OFF.                ,pilot noticed oil coming out of cowling.,cowling,Cowling,Cowling
356,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",ryan,Ryan Aeronautical,Ryan International Airlines
357,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",nashville,"Nashville, Tennessee","Nashville, Tennessee"
358,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",dayton,"Dayton, Ohio","Dayton, Ohio"
359,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94, ryan 205, a b-727-21, n356qs, departed nashville, tn (bna), for dayton, oh.",oh,Ohio,Ohio
360,1728,0,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,aircraft popped open on descent.,open,2017 European Diving Championships – Men's 3 metre synchro springboard,Open secret
361,1732,0,CFI FEATHERED LEFT PROP INSTEAD THROTTLE FOR DEMO ENGINE OUT. UNABLE RAISE GEAR DUE PUMP ON SAME. WONT FLY DIRTY.  ,cfi feathered left prop instead throttle for demo engine out.,cfi,Calculated Ignition Index,Iodotrifluoroethylene
362,1732,2,CFI FEATHERED LEFT PROP INSTEAD THROTTLE FOR DEMO ENGINE OUT. UNABLE RAISE GEAR DUE PUMP ON SAME. WONT FLY DIRTY.  , wont fly dirty.,wont,Shiranai Aizu Shiraseru Ko,Shiranai Aizu Shiraseru Ko
363,1733,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative: airman/air agency competence: prior to departure of flight 381, from neward, new jersey, the aircraft wa",neward,"Newfield, New Jersey",New Jersey
364,1733,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative: airman/air agency competence: prior to departure of flight 381, from neward, new jersey, the aircraft wa",new jersey,New Jersey,New Jersey
365,1734,0,"NARRATIVE: N814AA TOOK OFF ON RUNWAY 1L AT KMCI. JUST AFTER LANDING GEAR WAS RETRACTED A LOUD ""BANG"" WAS HEARD BY B",narrative: n814aa took off on runway 1l at kmci.,kmci,KMCI-TV,KMCI-TV
366,1736,2,DEPARTED WITH INOPERATIVE COMPASS. BECAME LOST. LANDED IN OPEN FIELD. TRIED TO DEPART BUT STRUCK TREES ON CLIMBOUT., landed in open field.,open,Open terrain,Open-field system
367,1738,1,CHECK OUT NEW AIRMAN SHUT DOWN AND FEATHERED LEFT ENGING FOR ENGINE LANDING. HYDRO PUMP LEFT ENGINE. CRASHED.      , hydro pump left engine.,hydro,Hydropower,Hydropower
368,1743,0,"NARRATIVE: N8011Z, AC-206, PILOTED BY EDGAR C. MC GEE, A PRIVATE PILOT HOLDING CERTIFICATE #248744006, DEPARTED RUN","narrative: n8011z, ac-206, piloted by edgar c.",edgar c,Edgar Culbertson,Edgar Mitchell
369,1745,4,POST MAINTENANCE TEST FLIGHT. FLIGHT CONTROL FLUTTER AT 190MPH. SLOWED AND LANDED. FRACTURED SPAR. AILERON BUCKLED., aileron buckled.,aileron,Aileron,Aileron
370,1746,0,ON APPROACH TO OLV ADDED POWER TO LEVEL OFF. ENGINE FAILED RESPOND. STRUCK TREES LANDING. CARB ICE. WATER IN FUEL. ,on approach to olv added power to level off.,olv,Olinger Strip,Olomouc
371,1746,3,ON APPROACH TO OLV ADDED POWER TO LEVEL OFF. ENGINE FAILED RESPOND. STRUCK TREES LANDING. CARB ICE. WATER IN FUEL. , carb ice.,carb ice,Water ice,Dry ice
372,1750,0,"NARRATIVE: THE PILOT-IN-COMMAND, A CERTIFIED FLIGHT INSTRUCTOR (CFI) WROTE, ""THE STUDENT PILOT IS A QUALIFIED SOLO ","narrative: the pilot-in-command, a certified flight instructor (cfi) wrote, ""the student pilot is a qualified solo ",cfi,Flight instructor,Corporate Finance Institute
373,1753,0,TOW LINE RELEASED BY LINEMAN NOT BY PILOT. BLEW BACK AND CAUGHT GUY WIRE. PULLED LEFT. PILOT RELEASED LINE TO LATE.,tow line released by lineman not by pilot.,tow line,Tow hitch,Tugboat
374,1754,0,"NARRATIVE: ON JANUARY 1, 1994, CONVAIR 440/580, N5123, OPERATED BY GENERAL MOTORS AIR TRANSPORTATION, PILOTED BY CA","narrative: on january 1, 1994, convair 440/580, n5123, operated by general motors air transportation, piloted by ca",convair,Convair,Convair
375,1754,0,"NARRATIVE: ON JANUARY 1, 1994, CONVAIR 440/580, N5123, OPERATED BY GENERAL MOTORS AIR TRANSPORTATION, PILOTED BY CA","narrative: on january 1, 1994, convair 440/580, n5123, operated by general motors air transportation, piloted by ca",ca,CAE Inc.,CA Technologies
376,1756,4,NIGHT APPROACH. LOST LEFT ENGINE DUE FUEL STARVATION. NOT FEATHERED. GEAR DOWN. BELOW VMC. HIT TREES. BAD GAUGES.  , below vmc.,vmc,VMC,VMCA
377,1757,1,"PILOT FAILED TO ENSURE SEAT WAS LOCKED IN POSITION.SEAT SLID BACK ON TAKEOFF.LOST CONTROL.LEFT RUNWAY,HIT SNOWBANK.",seat slid back on takeoff.,seat,Seat,Seat
378,1760,0,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,lost left wheel assembly landing on grass strip.,grass strip,Runway,Runway
379,1760,2,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  , mechanic failed to install cotter pin on retain nut.,cotter,Cotter (pin),Cotter (pin)
380,1761,2,SLOW ACCELERATION ON TAKEOFF. AND LONG ROLL. TIRE HIT RUT. VEERED. HIT HANGAR ROOF AND POLE. PROP NOT FULL FORWARD., tire hit rut.,tire,Tire,Tire
381,1762,2,"LOST LEFT ENGINE. SHUTDOWN THEN RIGHT LOST POWER. CRASHED NEAR COUNTY ROAD, NO MECHANICAL. FUEL TANKS EMPTY.       "," crashed near county road, no mechanical.",county road,County highway,County highway
382,1763,2,FUEL PRESSURE DECREASED. LOST PART POWER. MUSHED INTO CORNFIELD. NOSED DOWN RUSTY FUEL SCREEN. DIRTY FUEL CAN USED., mushed into cornfield.,cornfield,Maize,Maize
383,1764,2,ENGINE FAILED ON TAKEOFF. AIRCRAFT OUT OF ANNUAL MANY YEARS. ADS NOT COMPLIED. NO STC FOR AUTO FUEL.               , ads not complied.,ads,Advertising,Advertising
384,1767,4,LOST POWER LANDED I75. BELIEVED FUEL CONTAMINATION. NOT ALLOWED. DEPART UNLESS CAUSE FOUND. CLEARED BY FAA.        , cleared by faa.,faa,Federal Aviation Administration,Federal Aviation Administration
385,1768,0,ATR CONDITION PACK TRIPPED OVER HEAT. SELECT MANUAL PSI. CABIN CLIMBED. MASK DEPLOYED. DESCENT.NO MECHANICAL DEFECT,atr condition pack tripped over heat.,atr,Advanced Test Reactor,Advanced Test Reactor
386,1769,0,NEGLECTED TO LOCK CAGO DOOR. ON CLIMB ARTILES IN CARGO POD FELL OUT.                                               ,neglected to lock cago door.,lock cago,Lock and key,Lock and key
387,1770,0,DURING GLIDER TOW REAR OF CANOPY CAME OPEN. RELEASED TOW. LANDED ON RUNWAY AND GROUND LOOPED.                      ,during glider tow rear of canopy came open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Aircraft canopy
388,1772,3,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE., began go around below vmc.,vmc,Vector measuring current meter,VMCA
389,1773,0,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,battery compartment door came open.,open,2014 Dubai 24 Hour,Automatic door
390,1773,1,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    , antenna cracked windshield.,antenna,Antenna (radio),Antenna (radio)
391,1775,0,"NARRATIVE: ON JULY 21, 1994, BELL HELICOPTER, MODEL 206, N2750F, PREPARED TO DEPART GILLESPIE AIRPORT (SEE), EL CAJ","narrative: on july 21, 1994, bell helicopter, model 206, n2750f, prepared to depart gillespie airport (see), el caj",gillespie airport,Gillespie Field,Gillespie Field
392,1775,0,"NARRATIVE: ON JULY 21, 1994, BELL HELICOPTER, MODEL 206, N2750F, PREPARED TO DEPART GILLESPIE AIRPORT (SEE), EL CAJ","narrative: on july 21, 1994, bell helicopter, model 206, n2750f, prepared to depart gillespie airport (see), el caj",el caj,"El Cajon, California","El Cajon, California"
393,1780,2,UNABLE TO GET ON STEP. NOTICED NO FLAPS BEGAN PUMP DOWN. RAN OUT OF LAKE. STRUCK TREES ON SHORE.                   , ran out of lake.,lake,Lake,Lake
394,1782,0,"NARRATIVE: THE PILOT STATED THAT, WHILE IN CRUISE FLIGHT OVER THE GULF OF MEXICO, HE FELT A SLIGHT YAW IN THE AIRCR","narrative: the pilot stated that, while in cruise flight over the gulf of mexico, he felt a slight yaw in the aircr",gulf of mexico,Gulf of Mexico,Gulf of Mexico
395,1783,3,RUSHED TAKEOFF. NO RUNUP. LEFT ENGINE QUIT ON ROTATION. WING HIT. CARTWHEELED. BOOST PUMP NOT ON FOR 100 DEGREES.  , wing hit.,wing,Wing,Wing
396,1784,1,STUDENT LOST DIRECTIONAL CONTROL ON TAKEOFF. CFI UNABLE TO CORRECT. RUDDER PEDALS WERE STOWED. WING STRUCK GROUND. , cfi unable to correct.,cfi,Iodotrifluoroethylene,Control-flow integrity
397,1785,3,NO AILERON CONTROL ON TOW CLIMBOUT. RELEASED TOW. WING HIT GROUND. ANC3 BOLT AILERON TORQUE TUBE IMPROPER INSTALLED, anc3 bolt aileron torque tube improper installed.,anc3,American National Carbide,American National Carbide
398,1786,1,UNABLE TO OBTAIN FLYING SPEED. ABORTED LATE RAN OFF RUNWAY INTO CORNFIELD. PARKING BRAKE WAS ON.                   , aborted late ran off runway into cornfield.,cornfield,Field (agriculture),Maize
399,1790,2,STRUCK TREES AND RESIDENCE ON MISSED APPROACH. WINDSHEAR AND FAILURE PROPER POWER.AWS NOT WORKING.NO WEATHER UPDATE,aws not working.,aws,Automatic weather station,Automatic Warning System
400,1791,3,DOOR CAME OPEN ON TAKEOFF. ABORTED VEERED OFF RUNWAY. STRUCK DIRT BERM COLLAPSING THE GEAR. CAN FLY DOOR OPEN.     , can fly door open.,door open,Paragliding at the 2018 Asian Games – Women's individual accuracy,The Doors Open
401,1797,0,IDLE FOR TWO YRS. FUEL LEAKING INTO WINGS. OBSERVED GOIND DOWN SMOKE AND FLAMES. FUEL CAUGHT FIRE.                 ,idle for two yrs.,idle,Idleness,Idle speed
402,1798,5,UNCONTROLLED LEFT ROLL ON LIFTOFF. ABORTED. LEFT WING HIT. CARTWHEELED. USED 20 DEGREES FLAPS. LIMITING AILERONS.  , limiting ailerons.,ailerons,Aileron,Aileron
403,1799,2,ENGINE QUIT ON CLIMBOUT. NOSED OVER ON LANDING. CARB VENTURI CLOGGED WITH MUD DAUBER NEST MATERIAL.                , carb venturi clogged with mud dauber nest material.,venturi,Venturi,Venturi scrubber
404,1799,2,ENGINE QUIT ON CLIMBOUT. NOSED OVER ON LANDING. CARB VENTURI CLOGGED WITH MUD DAUBER NEST MATERIAL.                , carb venturi clogged with mud dauber nest material.,mud dauber,Mud dauber,Mud dauber
405,1805,3,ENGINE QUIT ON CLIMBOUT. TURNED BACK. LANDED OK BUT GROUND LOOPED AVOIDING DITCH. BELEIVE HIT IGNITION WITH KNEE.  , beleive hit ignition with knee.,beleive,BeLeave,BeLeave
406,1806,3,INBOARD TRAILING EDGE FLAPS FATLED FULLY RETRACT ON CLIMBOUT. RETURNED. MAINTENANCE RESET CIRCUIT BREAKERS.OPS OK. ,ops ok.,ops,On-base plus slugging,On-base plus slugging
407,1807,1,REPORTED LOOSE ENGINE COWLING. TRIED TO LAND AT X17. COWLING HIT BY PROP. COWLING PUNCTURED OIL COOLER. LOST OIL.  , tried to land at x17.,x17,Lockheed X-17,Lockheed X-17
408,1807,2,REPORTED LOOSE ENGINE COWLING. TRIED TO LAND AT X17. COWLING HIT BY PROP. COWLING PUNCTURED OIL COOLER. LOST OIL.  , cowling hit by prop.,cowling,Cowling,Cowling
409,1807,3,REPORTED LOOSE ENGINE COWLING. TRIED TO LAND AT X17. COWLING HIT BY PROP. COWLING PUNCTURED OIL COOLER. LOST OIL.  , cowling punctured oil cooler.,cowling,Cowling,Cowling
410,1808,5,TEST FLIGHT. LOST POWER. HAD HISTORY COMPRESSOR STALLS. DEFERRED INSPECTION. ENGINE STALLED. STATOR VANES ERRODED. , stator vanes erroded.,stator,Stator,Stator
411,1809,0,FAA ASI GIVING BIENNIAL NOT CURRENT IN TYPE WAS FLYING UNAWARE RIGHT THROTTLE COLLECTIVE REMOVED. MADE HARD LANDING,faa asi giving biennial not current in type was flying unaware right throttle collective removed.,faa asi,Airspeed indicator,Airspeed indicator
412,1815,0,HEARD LOUD BANG ENROUTE DIVERTED TO PITTSBURGH.CARGO DOORS SEPARATED.INDICATES DOOR NOT SECURED PRIOR TO FLIGHT.   ,heard loud bang enroute diverted to pittsburgh.,pittsburgh,Pittsburgh,Pittsburgh
413,1820,0,VFR NOT ADVISED. LOW IFR TIME AND KNOWN INOP VACUMM PUMP PROCEEDED INTO IMC. LOST CONTROL. CRASHED.                ,vfr not advised.,vfr,Visual flight rules,Visual flight rules
414,1820,1,VFR NOT ADVISED. LOW IFR TIME AND KNOWN INOP VACUMM PUMP PROCEEDED INTO IMC. LOST CONTROL. CRASHED.                , low ifr time and known inop vacumm pump proceeded into imc.,imc,Ion-mobility spectrometry,Instrument meteorological conditions
415,1823,0,TAXIED FOR TAKEOFF WITH TOWBAR ATTACHED. WARNED BY TOWER TOO LATE. TOWBAR HIT PROP. ADDED REMOVE TOWBAR TO CK LIST.,taxied for takeoff with towbar attached.,towbar,Tow hitch,Tow hitch
416,1823,2,TAXIED FOR TAKEOFF WITH TOWBAR ATTACHED. WARNED BY TOWER TOO LATE. TOWBAR HIT PROP. ADDED REMOVE TOWBAR TO CK LIST., towbar hit prop.,towbar,Tow hitch,Tow hitch
417,1823,3,TAXIED FOR TAKEOFF WITH TOWBAR ATTACHED. WARNED BY TOWER TOO LATE. TOWBAR HIT PROP. ADDED REMOVE TOWBAR TO CK LIST., added remove towbar to ck list.,towbar,Bullbar,Tow hitch
418,1824,2,ENGINE QUIT. MADE EMERGENCY LANDING ON AIRPORT. ICE PARTICLES IN FUEL CAUSED CARBURETOR NEEDLE VALVE TO STICK OPEN., ice particles in fuel caused carburetor needle valve to stick open.,open,Valve,Valve
419,1825,1,NARRATIVE: DEPARTED AIRPORT AT 0530 IN DARKNESS. AT 1000' AGL ATTEMPTED TO TURN OFF LANDING LIGHT BUT SWITCHED OFF , at 1000' agl attempted to turn off landing light but switched off .,agl,Height above ground level,Height above ground level
420,1826,0,"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT (ISN), ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRI","narrative: during descent into williston airport (isn), nd the flight crew experienced the loss of the elevator tri",williston,"Williston, North Dakota","Williston, North Dakota"
421,1828,0,NEWLY PURCHASED DEPARTING TO FERRY HOME. PASS SIDE SEAT BELT PREVENTED GEAR BAR LOCK. TRYING TO CLEAR LOST CONTROL.,newly purchased departing to ferry home.,ferry,Ferry,Ferry
422,1830,0,"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID (FANNING","narrative: on january 18, 1995, delta airlines flight #1691, after landing on runway 20 at idaho falls, id (fanning",delta airlines,Delta Air Lines,Delta Air Lines
423,1830,0,"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID (FANNING","narrative: on january 18, 1995, delta airlines flight #1691, after landing on runway 20 at idaho falls, id (fanning",idaho,Idaho,Idaho
424,1833,0,"NARRATIVE: AFTER LANDING RUNWAY 01 AT TEB AIRPORT AND DECELERATING, THE LEFT MAIN LANDING GEAR COLLAPSED AND THE AI","narrative: after landing runway 01 at teb airport and decelerating, the left main landing gear collapsed and the ai",teb airport,Teterboro Airport,Berlin Tempelhof Airport
425,1834,0,LOST POWER TRIED FOR OPEN FIELD. STRUCK TREES. WATER AND ICE IN FUEL SYSTEM. PRIOR PROBLEM. MAG SWITCH ON ONE MAG. ,lost power tried for open field.,open,2012 TEAN International,2014–15 Maltese First Division
426,1835,4,VIBRATION ON SLOW SPRAY RUN. FELL TO GROUND. ROLLED OVER. LOST A ROTOR BLADE. WAS ADVISED OF CRACK AT ROTOR HUB.   , was advised of crack at rotor hub.,rotor hub,ROTOR,Rotorhead
427,1839,2,"NARRATIVE: PILOT DEPARTED RWY 28L, VFR, REPORTED ENGINE FAILURE APPROX. 1 MILE WEST OF AIRPORT. ATC CLEARED PILOT T", atc cleared pilot t.,atc,Air traffic control,Air traffic control
428,1841,1,STATE POLICE FLIGHT. CLIMBING OVER RIVER. LOST POWER. ROTORS STOPPED. FUEL HAD RUSTY WATER. INJECTORS CLOGGED.     , climbing over river.,river,River,River
429,1842,2,LOST POWER AFTER NOTING LOW FUEL. LANDED GEAR UP IN FIELD. BELEIVE QUICK DRAIN LEAKED 12 GALLONS FUEL EN ROUTE.    , beleive quick drain leaked 12 gallons fuel en route.,beleive,"Belvidere, North Carolina","Belpre, Ohio"
