,index,c5_id,input,head,relation,tail
869,488,19801212087479I,EMERGENCY LANDING AFTER POWER LOSS FOUND WATER IN FUEL TANK.                                                       ,FUEL TANK,instance of,EMERGENCY
870,489,19801207087339I,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,LANDING,has part,PILOT
871,489,19801207087339I,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,PILOT,part of,LANDING
872,490,19810209014479I,DURING TAXI INTO POSITION PROP DAMAGE DUE TO UNKNOWN DEBRIS LEFT FROM RUNWAY MAINTENANCE.                          ,UNKNOWN DEBRIS,subclass of,TAXI
873,491,19801207087329I,RAN OFF END OF ICY RUNWAY AFTER ABORTING TAKEOFF. FOUND FROST ON AIRCRAFT.                                         ,TAKEOFF,located in the administrative territorial entity,ICY
874,492,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",LANDING IN SLUSH,has part,TAIL SKID
875,492,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",LANDING IN SLUSH,has part,INBOARD FLAP
876,492,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",TAIL SKID,part of,LANDING IN SLUSH
877,492,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",INBOARD FLAP,part of,LANDING IN SLUSH
878,493,19810207003009A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.             ,FUEL VENT CAPS,part of,TAKEOFF
879,494,19810130002279A,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.                        ,TAKEOFF,located in or next to body of water,LAKE
880,495,19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",AIRPLANE,has part,BELLCRANK
881,495,19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",BELLCRANK,part of,AIRPLANE
882,496,19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,AIRCRAFT CRASHED,has cause,EMERGENCY LANDing
883,496,19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,EMERGENCY LANDing,has effect,AIRCRAFT CRASHED
884,497,19810111000979A,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,PILOT PROPELLER REVERSING ERROR,subclass of,DEFECTS
885,498,19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,ZE NOSE WHEEL,part of,LAID RUNWAY
886,498,19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,LAID RUNway,has part,ZE NOSE WHEEL
887,499,19810126001829A,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.    ,TAKEOFF,subclass of,AIRPLANE
888,500,19810210011689I,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,LANDING GEAR,subclass of,GEAR
889,501,19810213004059A,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.                           ,TAKEOFF,subclass of,ELEVATOR
890,502,19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.     ",CIRCLED,different from,DEICE
891,502,19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.     ",DEICE,different from,CIRCLED
892,503,19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,AFT FUEL CAP,part of,CABIN
893,503,19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,CABIN,has part,AFT FUEL CAP
894,504,19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,TOWBAR,part of,HELICOPTER
895,504,19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,HELICOPTER,has part,TOWBAR
896,504,19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,HELICOPTER,has part,TOWBAR
897,504,19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,TOWBAR,part of,HELICOPTER
898,505,19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ",REAR SEAT FELL FORWARD,followed by,JAMMED REAR STICK FORWARD
899,505,19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ",JAMMED REAR STICK FORWARD,follows,REAR SEAT FELL FORWARD
900,506,19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,FUEL EXHAUSTION,has cause,BOOST PUMP
901,506,19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,BOOST PUMP,has effect,FUEL EXHAUSTION
902,507,19810308035069I,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,ATC,product or material produced,MEDICAL CERTIFICATE
903,508,19810315025039I,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,AFT,subclass of,AIRCRAFT
904,509,19810422034239I,RETURNED AFTER TAKEOFF DUE TO OIL ON WINDSHIELD. OIL FILLER CAP HAD COME OFF.                                      ,TAKEOFF,located in the administrative territorial entity,WINDSHIELD
905,510,19810518044989I,DURING TAXI AIRCRAFT HAD NO STEERING OR BRAKES. HYDRAULIC SWITCH FOUND IN OFF POSITION.                            ,HYDRAULIC SWITCH,operator,TAXI
906,511,19810503034279I,STARTED HELICOPTER WITH MAIN ROTOR STILL TIED DOWN. LEAD WEIGHT ON TIEDOWN STRUCK VERT FIN AND ROTOR BLADE.        ,ROTOR BLADE,part of,HELICOPTER
907,512,19810309010619A,FORGOT TO ENRICH MIXTURE FOR LANDING. ENGINE QUIT DUE TO LEAN MIXTURE. LANDED SHORT OF AIRPORT IN A SWAMP.         ,LANDED SHORT OF AIRPORT IN A SWAMP,facet of,ENRICH MIXTURE FOR LANDING
908,513,19810329019909I,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.                                          ,TAKEOFF,different from,STRUT
909,513,19810329019909I,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.                                          ,STRUT,different from,TAKEOFF
910,514,19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,RUDDER PEDAL,subclass of,AIRPLANE
911,515,19810414020139A,FORGOT TO REMOVE ENGINE NACELLE COVERS. ENGINE OVERHEATED. STRUCK DITCH ON EMERGENCY LANDING IN A PASTURE.         ,NACELLE,subclass of,ENGINE
912,516,19810516026109A,"FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.         ",TAKEOFF,sport,MUDDY
913,517,19810315009829A,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ",FLAPS,different from,GO-AROUND
914,517,19810315009829A,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ",GO-AROUND,different from,FLAPS
915,518,19810424018779A,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,GLIDER,manufacturer,TOW PILOT
916,518,19810424018779A,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,GLIDER,manufacturer,TOW PILOT
917,519,19810521027239A,TOOK OFF WITH NOSE WHEEL DISCONNECTED. AIRPLANE RAN OFF RUNWAY ON LANDING.                                         ,NOSE WHEEL,subclass of,AIRPLANE
918,520,19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ",RUDDER PEDAL,has part,LOOSE CONTROL LOCK
919,520,19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ",LOOSE CONTROL LOCK,part of,RUDDER PEDAL
920,521,19810514025209A,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.   ,TAKEOFF,located in or next to body of water,TUNDRA
921,522,19810519026869A,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.         ,HELICOPTER,different from,HELIPAD
922,522,19810519026869A,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.         ,HELIPAD,different from,HELICOPTER
923,523,19810507022549A,"FAILED TO ASSURE DOOR SECURED PRIOR TO TAKEOFF. DOOR OPEN ON CLIMBOUT. LOST CONTROL, CRASH-LANDED OFF END OF RUNWAY",TAKEOFF,instance of,CLIMBOUT
924,524,19810312009169A,UNABLE TO LIFT-OFF DURING TAKEOFF FROM A FARM ROAD DUE TO FROST ON AIRPLANE. RIGHT WING STRUCK A TREE.             ,LIFT-OFF,facet of,AIRPLANE
925,525,19810718058739I,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,DRAINAGE AREA,has part,NEW AIRPORT
926,525,19810718058739I,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,New AIRport,part of,DRAINAGE AREA
927,526,19810616042779I,"PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                                    ",LIFTOFF,different from,PRE-FLIGHT
928,526,19810616042779I,"PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                                    ",PRE-FLIGHT,different from,LIFTOFF
929,527,19810710059589I,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,TAKEOFF PIECE,operator,COWLING
930,527,19810710059589I,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,COWLING,item operated,TAKEOFF PIECE
931,528,19810729046009A,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.                            ,FUEL HOSE,subclass of,HELICOPTER
932,529,19810729048869A,LEFT BRAKE INOPERATIVE ON LANDING.  RAN OFF ROAD INTO TREES.  FOUND BRAKE RESERVOIR EMPTY.                         ,LEFT BRAKE,instance of,RESERVOIR
933,530,19810801064069I,"ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR WALKING BEAM FAILED. WALKING BEAM PN 1-261.           ",ZA FUEL LEAKING IN FLIGHT,has effect,WALKING BEAM
934,530,19810801064069I,"ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR WALKING BEAM FAILED. WALKING BEAM PN 1-261.           ",WALKING BEAM,has cause,ZA FUEL LEAKING IN FLIGHT
935,531,19810720043449A,RAN OUT OF FUEL EN ROUTE. CRASHED ON FORCED LANDING. REPORTED FUEL STOLEN AT LAST STOP. FAILED TO CHECK FUEL.      ,FUEL EN ROUTE,product or material produced,FUEL
936,532,19810624044319I,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF FUEL. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT ,2008 Summer Olympics,point in time,2008
937,533,19810719064149I,NOSE GEAR INDICATED UNSAFE. COLLAPSED ON LANDING. LOW NOSE STRUT BINDING ON DRAG BRACE. DRAG BRACE PULLED LOOSE.   ,NOSE STRUT,subclass of,DRAG BRACE
938,534,19810622037779A,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,LOST EXCESS ALTITUDE,facet of,RETRACTING ENGINE
939,535,19810627056699I,"DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.                          ",TAXI,has part,DAMAGING 2 BLADES
940,535,19810627056699I,"DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.                          ",DAMAGING 2 BLADES,part of,TAXI
941,536,19810802046809A,ENGINES QUIT DUE TO FUEL VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.                           ,FUEL,has part,ENGINES
942,536,19810802046809A,ENGINES QUIT DUE TO FUEL VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.                           ,ENGINES,part of,FUEL
943,537,19810731058459A,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.                          ,PILOT TOOK OFF,has part,CONTROL LOCK ON AND CRASHED
944,537,19810731058459A,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.                          ,CONTROL LOCK ON AND CRASHED,part of,PILOT TOOK OFF
945,538,19810723053069I,NOSE BAGGAGE DOOR OPENED ON TAKEOFF AS LUGGAGE SHIFTED AGAINST DOOR. LUGGAGE FELL OUT. ABORTED. ADDED EXTRA LATCH. ,TAKEOFF,subclass of,BAGGAGE
946,539,19810615044999I,ABORTED TAKEOFF DUE TO WARNING HORN. RECYCLED FLAPS HORN STOPPED.                                                  ,ABORTED TAKEOFF DUE TO WARNING HORN,followed by,RECYCLED FLAPS HORN STOPPED
947,539,19810615044999I,ABORTED TAKEOFF DUE TO WARNING HORN. RECYCLED FLAPS HORN STOPPED.                                                  ,RECYCLED FLAPS HORN STOPPED,follows,ABORTED TAKEOFF DUE TO WARNING Horn
948,540,19810623052439I,ZA UNLATCHED ACCESS DOOR TORE OFF IN FLIGHT. MECHANIC FAILED TO FASTEN. PILOT FAILED TO CHECK.                     ,ZA,has part,ACCESS DOOR
949,540,19810623052439I,ZA UNLATCHED ACCESS DOOR TORE OFF IN FLIGHT. MECHANIC FAILED TO FASTEN. PILOT FAILED TO CHECK.                     ,ACCESS DOOR,part of,ZA
950,541,19810719042119A,UNABLE TO STOP RIGHT DRIFT ON TAKEOFF CLIMB WITH CAMERA MOUNTED ON WING STRUT. TRIP LINE ON WING REDUCED LIFT.     ,TAKEOFF CLIMB,has part,WING STRUT
951,541,19810719042119A,UNABLE TO STOP RIGHT DRIFT ON TAKEOFF CLIMB WITH CAMERA MOUNTED ON WING STRUT. TRIP LINE ON WING REDUCED LIFT.     ,WING STRUT,part of,TAKEOFF CLIMB
952,542,19810727060849A,TRIED TO TAKE OFF WITH TIEDOWN ROPE ATTACHED TO SKID. LOST CONTROL. HELICOPTER ROLLED OFF TOP OF BUILDING.         ,TIEDOWN ROPE,part of,HELICOPTER
953,542,19810727060849A,TRIED TO TAKE OFF WITH TIEDOWN ROPE ATTACHED TO SKID. LOST CONTROL. HELICOPTER ROLLED OFF TOP OF BUILDING.         ,HELICOPTER,has part,TIEDOWN ROPE
954,543,19810630037449A,TRIED TO TAKE OFF WITH UNDER INFLATED TIRE. TIRE WENT FLAT. LOST CONTROL. RAN OFF RUNWAY AND OVERTURNED.           ,INFLATED,subclass of,TIRE
955,544,19810625036259A,"TRIED TO TAKEOFF FROM TRAILER-BED WITH ONE SKID TIE-DOWN STILL FASTENED. HELICOPTER TOPPLED OVER, HIT GROUND CREW. ",TRAILER-BED,has part,HELICOPTER
956,544,19810625036259A,"TRIED TO TAKEOFF FROM TRAILER-BED WITH ONE SKID TIE-DOWN STILL FASTENED. HELICOPTER TOPPLED OVER, HIT GROUND CREW. ",HELICOPTER,part of,TRAILER-BED
957,545,19810710045939A,"UNABLE TO ROTATE. ABORTED TOO LATE. HIT AUTO OFF END OF RUNWAY. FACTORS; PARK BRAKE ON, TRIM NOSE DOWN, AIR DENSITY",TRIM NOSE DOWN,facet of,AIR DENSITY
958,546,19810528031229A,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,LANDED GEAR UP,subclass of,EMERGENCY GEAR
959,547,19810706038519A,LANDING GEAR OLEO STRUT CAME APART DURING TAKEOFF. AIRCRAFT GEAR COLLAPSED AND AIRPLANE NOSED OVER DURING LANDING. ,OLEO STRUT,subclass of,AIRPLANE
960,548,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",AIRSPEED,has part,VSI
961,548,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",VSI,part of,AIRSPEED
962,549,19810814063719I,ZA ZG ZH ZK HEAVY RAIN WITH OIL ON WINDSHIELD. LANDED OK. NO OIL LEAKS. ALSO NON COMPLIANCE WITH 91.27 AND 91.31.  ,ZA ZG ZH ZK,instance of,WINDSHIELD
963,550,19810816052469I,"GEAR SWITCH LEFT IN UP POSITION BY MAINTENANCE, UNOTICED BY PILOT. GEAR COLLAPSED ON TAKEOFF ROLL.                 ",MAINTENANCE,product or material produced,GEAR
964,550,19810816052469I,"GEAR SWITCH LEFT IN UP POSITION BY MAINTENANCE, UNOTICED BY PILOT. GEAR COLLAPSED ON TAKEOFF ROLL.                 ",PILOT,product or material produced,GEAR
965,551,19810914071419I,"JACK PAD FELL FROM WING DURING TAKEOFF, STRUCK AND DAMAGED REAR PROPELLER. PILOT COULD NOT SYNCRONIZE PROPELLERS.  ",TAKEOFF,instance of,WING
966,552,19811026083619I,RIGHT MAIN GEAR COLLAPSED ON TAKEOFF ROLL. PILOT AWARE OF GEAR PROBLEM. NO CORRECTIVE ACTION OR SIGN OFF.          ,TAKEOFF ROLL,facet of,GEAR PROBLEM
967,553,19811030085939I,LOUD NOISES ON GEAR RETRACTION ON TAKEOFF. UNSCHEDULED SAFE LANDING MADE. FOUND TOWBAR PIN IN NOSEWHEEL AXLE.      ,TOWBAR PIN,part of,AXLE
968,553,19811030085939I,LOUD NOISES ON GEAR RETRACTION ON TAKEOFF. UNSCHEDULED SAFE LANDING MADE. FOUND TOWBAR PIN IN NOSEWHEEL AXLE.      ,AXLE,has part,TOWBAR PIN
969,554,19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",2008 Summer Olympics,point in time,2008
970,554,19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",2008 Summer Olympics,location,Beijing
971,554,19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",2008 Summer Olympics,country,China
972,554,19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",Beijing,country,China
973,554,19810901054009A,"TOOK OFF WITH SPOILERS UNLOCKED. EFFORT TO CLOSE,LOST TOWPLANE, RELEASED. TURNED BACK HIT RUNWAY. HIGH SINK RATE.  ",China,capital,Beijing
974,555,19810831064689I,DURING TAXI PILOT MISUNDERSTOOD INSTRUCTIONS. TAXXIED ON ROAD STRUCK SIGN. THIS IS FIFTH OCCURRENCE ON THIS AIRPORT,FIFTH OCCURRENCE ON THIS AIRPORT,facet of,TAXI PILOT MISUNDERSTOOD INSTRUCTIONS
975,556,19810913072109I,"ZA ZG SUSPECTED FUEL LEAK, RETURNED, NO FUEL LEAK. CORK TYPE VISUAL INDICATOR STUCK, THEN DROPPED SUDDENLY.        ",VISUAL INDICATOR,manufacturer,ZA ZG
976,557,19811028076149I,"GOT OUT OF AIRCRAFT TO TURN PROP THRU. ENGINE STARTED, AIRPLANE COLLIDED WITH PARKED AIRCRAFT. MAGS CHECKED NORMAL.",AIRCRAFT,different from,AIRPLANE
977,557,19811028076149I,"GOT OUT OF AIRCRAFT TO TURN PROP THRU. ENGINE STARTED, AIRPLANE COLLIDED WITH PARKED AIRCRAFT. MAGS CHECKED NORMAL.",AIRPLANE,different from,AIRCRAFT
978,558,19811017077579I,ENGINE COWLING INSPECTION DOOR CAME OFF ON TAKEOFF BECAUSE IT WAS NOT PROPERLY FASTENED. PILOT RETURNED TO PAD.    ,COWLING,has part,INSPECTION DOOR
979,558,19811017077579I,ENGINE COWLING INSPECTION DOOR CAME OFF ON TAKEOFF BECAUSE IT WAS NOT PROPERLY FASTENED. PILOT RETURNED TO PAD.    ,INSPECTION DOOR,part of,COWLING
980,559,19810906078699I,AIRCRAFT FORCED TO LAND DUE TO FUEL EXHAUSTION. FLIGHT AND GROUND CREWS FAILED TO DETERMINE FUEL ON BOARD.         ,FUEL EXHAUSTION,has cause,DETERMINE FUEL ON BOARD
981,559,19810906078699I,AIRCRAFT FORCED TO LAND DUE TO FUEL EXHAUSTION. FLIGHT AND GROUND CREWS FAILED TO DETERMINE FUEL ON BOARD.         ,DETERMINE FUEL ON BOARD,has effect,FUEL EXHAUSTION
982,560,19810912066689I,DURING TAXI RIGHT WHEEL WENT OFF CONCRETE INTO HIDDEN DITCH. DAMAGED PROPELLER.                                    ,DAMAGED PROPELLER,located in or next to body of water,CONCRETE
983,561,19810925065659A,PILOT ATTEMPTED ILS APPROACH WHEN AIRCRAFT DID NOT HAVE GLIDE SLOPE RECEIVER CAPABILITIES.                         ,GLIDE SLOPE RECEIVER,subclass of,AIRCRAFT
984,562,19810915059859I,"ZA ENGINE QUIT, LANDED OK. FOUND WATER IN FUEL TANK.                                                               ",FUEL TANK,country,Zambia
985,563,19810818050309A,"DURING PRECAUTIONARY LANDING, WING STRUCK HIGH VEGETATION ON SIDE OF RUNWAY CAUSING LOSS OF DIRECTIONAL CONTROL.   ",LANDING,has effect,VEGETATION
986,563,19810818050309A,"DURING PRECAUTIONARY LANDING, WING STRUCK HIGH VEGETATION ON SIDE OF RUNWAY CAUSING LOSS OF DIRECTIONAL CONTROL.   ",VEGETATION,has cause,LANDING
987,564,19811021083749I,LOUD POP AND VIBRATION IN FLIGHT. STRUCK WING ON A TREE LANDING ON A ROAD. FUEL TANK COVER OPEN. NOT SECURED.      ,FUEL TANK,use,FLIGHT
988,565,19810923070769A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN CLEARING OFF END OF RUNWAY. FOUND FUEL TANK VENTS CLOGGED BY MUD-DAUBERS.  ,TAKEOFF,operator,MUD-DAUBERS
989,566,19810831053449A,AIRCRAFT NOSE WHEEL BROKE OFF AFTER PILOT ABORTED TAKEOFF. ELEVATOR TRIM POSITION WAS FACTOR.                      ,PILOT ABORTED TAKEOFF,instance of,AIRCRAFT
990,567,19810906055409A,BAGGAGE DOOR CAME OPEN ON TAKEOFF ROLL. ABORTED LATE. RAN OFF END OF RUNWAY. HAD FAILED TO SECURE DOOR PROPERLY.   ,BAGGAGE,connects with,TAKEOFF ROLL
991,567,19810906055409A,BAGGAGE DOOR CAME OPEN ON TAKEOFF ROLL. ABORTED LATE. RAN OFF END OF RUNWAY. HAD FAILED TO SECURE DOOR PROPERLY.   ,TAKEOFF ROLL,connects with,BAGGAGE
992,568,19810912058779A,AIRCRAFT WHEEL HIT HOLE IN RUNWAY SHEARING OFF GEAR AND CAUSING AIRCRAFT TO VEER OFF RUNWAY.                       ,AIRCRAFT WHEEL HIT HOLE,has effect,AIRCRAFT TO VEER OFF RUNWAY
993,568,19810912058779A,AIRCRAFT WHEEL HIT HOLE IN RUNWAY SHEARING OFF GEAR AND CAUSING AIRCRAFT TO VEER OFF RUNWAY.                       ,AIRCRAFT TO VEER OFF RUNWAY,has cause,AIRCRAFT WHEEL HIT HOLE
994,569,19810910058419A,"AFTER ENGINE STARTED RUNNING ROUGH ON APPROACH, PILOT LANDED SHORT OF RUNWAY. ENGINE WAS NOT FEATHERED.            ",PILOT,has part,ENGINE
995,569,19810910058419A,"AFTER ENGINE STARTED RUNNING ROUGH ON APPROACH, PILOT LANDED SHORT OF RUNWAY. ENGINE WAS NOT FEATHERED.            ",ENGINE,part of,PILOT
996,570,19810907057119A,TRIED TO TAKE OFF WITH LONG LINE AND BUCKET ATTACHED. CAUGHT ON TRUCK. SLAMMED HELICOPTER INTO GROUND.             ,BUCKET,part of,HELICOPTER
