,index,input,sentence,head,relation,tail
1007,614,pilot attempted to adjust rudder pedals during climb and released glider tow rope. crashed during emergency landing,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,pilot,item operated,glider
1008,614,pilot attempted to adjust rudder pedals during climb and released glider tow rope. crashed during emergency landing,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,glider,operator,pilot
1009,615,"engine missed on takeoff roll, aborted, ran off end of runway. hit ditch in overrun. outside storage, water in fuel",<triplet> overrun <subj> aborted <obj> subclass of,overrun,subclass of,aborted
1010,616,lost both engines on an ifr climbout. crashed into trees and burned trying to return. was serviced with jet fuel.  ,<triplet> ifr <subj> jet fuel <obj> subclass of,ifr,subclass of,jet fuel
1011,617,pilot forgot to remove control lock on aileron and couln't control aircraft during landing.                        ,<triplet> aileron <subj> pilot <obj> used by,aileron,used by,pilot
1012,618,lost control on landing roll. stopped upside down in a ditch. parking brake on and or air in brake system factors. ,<triplet> parking brake <subj> brake system <obj> part of <triplet> brake system <subj> parking brake <obj> has part,parking brake,part of,brake system
1013,618,lost control on landing roll. stopped upside down in a ditch. parking brake on and or air in brake system factors. ,<triplet> parking brake <subj> brake system <obj> part of <triplet> brake system <subj> parking brake <obj> has part,brake system,has part,parking brake
1014,619,stalled on nose high climb after takeoff. spun into trees. found elevator trim in full nose up position.           ,<triplet> elevator <subj> climb <obj> use,elevator,use,climb
1015,620,crash occurred during emergency landing atttemp engine quit due to water in fuel.                                  ,<triplet> 2000 Summer Olympics <subj> 2000 <obj> point in time,2000 Summer Olympics,point in time,2000
1016,621,"pilot found controls locked on takeoff. aborted, ran off end of runway had a 172 type gust lock in control column. ",<triplet> 172 <subj> 172 <obj> subclass of,172,subclass of,172
1017,622,pair of pliers slid into elevator bell crank during stalls. jammed elevator in full up position. struck trees.     ,<triplet> elevator bell <subj> elevator <obj> part of <triplet> elevator <subj> elevator bell <obj> has part,elevator bell,part of,elevator
1018,622,pair of pliers slid into elevator bell crank during stalls. jammed elevator in full up position. struck trees.     ,<triplet> elevator bell <subj> elevator <obj> part of <triplet> elevator <subj> elevator bell <obj> has part,elevator,has part,elevator bell
1019,623,"pilot accidently released tow at 50 foot altitude, glider hit hard during emergency landing.                       ",<triplet> pilot accidently released tow <subj> emergency landing <obj> has effect <triplet> emergency landing <subj> pilot accidently released tow <obj> has cause,pilot accidently released tow,has effect,emergency landing
1020,623,"pilot accidently released tow at 50 foot altitude, glider hit hard during emergency landing.                       ",<triplet> pilot accidently released tow <subj> emergency landing <obj> has effect <triplet> emergency landing <subj> pilot accidently released tow <obj> has cause,emergency landing,has cause,pilot accidently released tow
1021,624,nose gear fork assembly broke when it hit berm of crossing runway during landing.                                  ,<triplet> landing <subj> runway <obj> part of,landing,part of,runway
1022,625,"made takeoff, forgot sling line was attached to dog house. stopped climbing at end of line. crashed on dog house.  ",<triplet> St. Louis <subj> Missouri <obj> located in the administrative territorial entity <triplet> Missouri <subj> St. Louis <obj> contains administrative territorial entity,St. Louis,located in the administrative territorial entity,Missouri
1023,625,"made takeoff, forgot sling line was attached to dog house. stopped climbing at end of line. crashed on dog house.  ",<triplet> St. Louis <subj> Missouri <obj> located in the administrative territorial entity <triplet> Missouri <subj> St. Louis <obj> contains administrative territorial entity,Missouri,contains administrative territorial entity,St. Louis
1024,626,"pilot was making single engine approach for landing, aircraft pulled on runway and crash occurred during goaround. ",<triplet> runway <subj> landing <obj> use,runway,use,landing
1025,627,crash occurred during external load practice lift off. load release did not function.                              ,<triplet> load release <subj> external load <obj> facet of,load release,facet of,external load
1026,628,student glider pilot failed to latch spoilers prior to takeoff. misunderstood tow pilot signal. released tow.      ,<triplet> student glider pilot <subj> takeoff <obj> field of this occupation <triplet> takeoff <subj> student glider pilot <obj> practiced by,student glider pilot,field of this occupation,takeoff
1027,628,student glider pilot failed to latch spoilers prior to takeoff. misunderstood tow pilot signal. released tow.      ,<triplet> student glider pilot <subj> takeoff <obj> field of this occupation <triplet> takeoff <subj> student glider pilot <obj> practiced by,takeoff,practiced by,student glider pilot
1028,629,"misused autopilot.. caused full pitch up. failed to pull circuit breaker. misused gear handle, landed gear up.     ",<triplet> gear handle <subj> gear <obj> part of <triplet> gear <subj> gear handle <obj> has part,gear handle,part of,gear
1029,629,"misused autopilot.. caused full pitch up. failed to pull circuit breaker. misused gear handle, landed gear up.     ",<triplet> gear handle <subj> gear <obj> part of <triplet> gear <subj> gear handle <obj> has part,gear,has part,gear handle
1030,630,right engine oil quanity decreased. diverted to houston. found oil cap off on right engine.                        ,<triplet> oil cap <subj> engine <obj> part of <triplet> engine <subj> oil cap <obj> has part,oil cap,part of,engine
1031,630,right engine oil quanity decreased. diverted to houston. found oil cap off on right engine.                        ,<triplet> oil cap <subj> engine <obj> part of <triplet> engine <subj> oil cap <obj> has part,engine,has part,oil cap
1032,631,climb performance diminished by water droplets on lamina flow wing. struck trees off end of runway on takeoff climb,<triplet> runway <subj> takeoff <obj> use,runway,use,takeoff
1033,632,report indicates fuel tank cap not secured. possible fuel leak during inverted flight. fire erupted. lost control. ,<triplet> fuel tank <subj> inverted flight <obj> part of <triplet> inverted flight <subj> fuel tank <obj> has part,fuel tank,part of,inverted flight
1034,632,report indicates fuel tank cap not secured. possible fuel leak during inverted flight. fire erupted. lost control. ,<triplet> fuel tank <subj> inverted flight <obj> part of <triplet> inverted flight <subj> fuel tank <obj> has part,inverted flight,has part,fuel tank
1035,633,glider crashed during takeoff. elevators had not been connected during assembly.                                   ,<triplet> 1928 Summer Olympics <subj> 1928 <obj> point in time,1928 Summer Olympics,point in time,1928
1036,634,lost control on landing. airplane turned sideways and collapsed left gear rudder jammed by unstowed starter crank. ,<triplet> left gear <subj> rudder <obj> has part <triplet> rudder <subj> left gear <obj> part of,left gear,has part,rudder
1037,634,lost control on landing. airplane turned sideways and collapsed left gear rudder jammed by unstowed starter crank. ,<triplet> left gear <subj> rudder <obj> has part <triplet> rudder <subj> left gear <obj> part of,rudder,part of,left gear
1038,635,"took off with forward baggage door open. two pieces of baggage fell out,cargo door warning light inoperative.      ",<triplet> cargo door warning light <subj> forward baggage door <obj> part of,cargo door warning light,part of,forward baggage door
1039,636,ran out of fuel en route. successfull forced landing. found fuel cap missing.                                      ,<triplet> forced <subj> fuel <obj> subclass of,forced,subclass of,fuel
1040,637,pilot made emergency transmission stating engine cowling lost. crash occurred during attempted landing in field.   ,<triplet> crash <subj> attempted landing <obj> has cause <triplet> attempted landing <subj> crash <obj> has effect,crash,has cause,attempted landing
1041,637,pilot made emergency transmission stating engine cowling lost. crash occurred during attempted landing in field.   ,<triplet> crash <subj> attempted landing <obj> has cause <triplet> attempted landing <subj> crash <obj> has effect,attempted landing,has effect,crash
1042,638,"noise in aircraft, prepared to land in a field, found pop can under pedals. flew thru powerline. landed at base.   ",<triplet> John F. Kennedy School of Government <subj> Harvard University <obj> part of <triplet> Harvard University <subj> John F. Kennedy School of Government <obj> subsidiary,John F. Kennedy School of Government,part of,Harvard University
1043,638,"noise in aircraft, prepared to land in a field, found pop can under pedals. flew thru powerline. landed at base.   ",<triplet> John F. Kennedy School of Government <subj> Harvard University <obj> part of <triplet> Harvard University <subj> John F. Kennedy School of Government <obj> subsidiary,Harvard University,subsidiary,John F. Kennedy School of Government
1044,639,"cowling came open in flight, struck and loosened other side. cowling came off, cracked windshield, rear window.    ",<triplet> windshield <subj> rear window <obj> connects with <triplet> rear window <subj> windshield <obj> connects with,windshield,connects with,rear window
1045,639,"cowling came open in flight, struck and loosened other side. cowling came off, cracked windshield, rear window.    ",<triplet> windshield <subj> rear window <obj> connects with <triplet> rear window <subj> windshield <obj> connects with,rear window,connects with,windshield
1046,640,long line caught on a tree on takeoff causing helicopter to crash out of control. failed to disconnect line.       ,<triplet> crash out of control <subj> helicopter <obj> item operated,crash out of control,item operated,helicopter
1047,641,tow rope broke during climb out at 200 feet. sailplane crashed during attempted landing on river levee.            ,<triplet> Cape Town <subj> South Africa <obj> country <triplet> South Africa <subj> Cape Town <obj> capital,Cape Town,country,South Africa
1048,641,tow rope broke during climb out at 200 feet. sailplane crashed during attempted landing on river levee.            ,<triplet> Cape Town <subj> South Africa <obj> country <triplet> South Africa <subj> Cape Town <obj> capital,South Africa,capital,Cape Town
1049,642,"loose cowling on takeoff. cowling came off on returning to land. cracked windshield, dented stabilizer.            ",<triplet> cowling <subj> windshield <obj> connects with <triplet> windshield <subj> cowling <obj> connects with,cowling,connects with,windshield
1050,642,"loose cowling on takeoff. cowling came off on returning to land. cracked windshield, dented stabilizer.            ",<triplet> cowling <subj> windshield <obj> connects with <triplet> windshield <subj> cowling <obj> connects with,windshield,connects with,cowling
1051,643,stalled on emergency landing when engine quit on takeoff. bad mag and water in fuel. corroded unused sump drain.   ,<triplet> emergency landing <subj> takeoff <obj> different from <triplet> takeoff <subj> emergency landing <obj> different from,emergency landing,different from,takeoff
1052,643,stalled on emergency landing when engine quit on takeoff. bad mag and water in fuel. corroded unused sump drain.   ,<triplet> emergency landing <subj> takeoff <obj> different from <triplet> takeoff <subj> emergency landing <obj> different from,takeoff,different from,emergency landing
1053,644,pilot neglected to connect elevator control during glider assembly. crash occurred during takeoff.                 ,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,pilot,item operated,glider
1054,644,pilot neglected to connect elevator control during glider assembly. crash occurred during takeoff.                 ,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,glider,operator,pilot
1055,645,"unable to obtain liftoff speed, rejected takeoff. brakes caught fire. passenger on brake or parking brake on.      ",<triplet> parking brake <subj> brake <obj> subclass of,parking brake,subclass of,brake
1056,646,ran out of fuel en route. landed on a beach. had failed to secure sump drain on preflight. fuel leaked out         ,<triplet> 1969 Atlantic hurricane season <subj> 1969 <obj> point in time,1969 Atlantic hurricane season,point in time,1969
1057,647,forward cargo door opened on takeoff. baggage hit prop. landed safely. door not properly secured.                  ,<triplet> cargo <subj> door <obj> has part <triplet> door <subj> cargo <obj> part of,cargo,has part,door
1058,647,forward cargo door opened on takeoff. baggage hit prop. landed safely. door not properly secured.                  ,<triplet> cargo <subj> door <obj> has part <triplet> door <subj> cargo <obj> part of,door,part of,cargo
1059,648,nose gear jammed on gear retraction after takeoff. landed nose gear up. homemade tow bar had been left in wheel hub,<triplet> nose gear <subj> gear retraction <obj> has part <triplet> gear retraction <subj> nose gear <obj> part of,nose gear,has part,gear retraction
1060,648,nose gear jammed on gear retraction after takeoff. landed nose gear up. homemade tow bar had been left in wheel hub,<triplet> nose gear <subj> gear retraction <obj> has part <triplet> gear retraction <subj> nose gear <obj> part of,gear retraction,part of,nose gear
1061,649,lost oil pressure en route. landed in an active restricted area. indicates oil cap was not secured.                ,<triplet> oil cap <subj> oil <obj> product or material produced,oil cap,product or material produced,oil
1062,650,pilot swerved off runway on takeoff roll when seat height retaining pin slipped from retaining hole. seat dropped. ,<triplet> seat height retaining pin <subj> retaining hole <obj> part of <triplet> retaining hole <subj> seat height retaining pin <obj> has part,seat height retaining pin,part of,retaining hole
1063,650,pilot swerved off runway on takeoff roll when seat height retaining pin slipped from retaining hole. seat dropped. ,<triplet> seat height retaining pin <subj> retaining hole <obj> part of <triplet> retaining hole <subj> seat height retaining pin <obj> has part,retaining hole,has part,seat height retaining pin
1064,651,parachutist was unable to open main chute due to bridle line under breast strap. reserve not deployed.             ,<triplet> main chute <subj> breast strap <obj> connects with <triplet> breast strap <subj> main chute <obj> connects with,main chute,connects with,breast strap
1065,651,parachutist was unable to open main chute due to bridle line under breast strap. reserve not deployed.             ,<triplet> main chute <subj> breast strap <obj> connects with <triplet> breast strap <subj> main chute <obj> connects with,breast strap,connects with,main chute
1066,652,nose wheel would not retract after takeoff. returned. found nose wheel ground pin still in place.                  ,<triplet> nose wheel <subj> ground pin <obj> connects with <triplet> ground pin <subj> nose wheel <obj> connects with,nose wheel,connects with,ground pin
1067,652,nose wheel would not retract after takeoff. returned. found nose wheel ground pin still in place.                  ,<triplet> nose wheel <subj> ground pin <obj> connects with <triplet> ground pin <subj> nose wheel <obj> connects with,ground pin,connects with,nose wheel
1068,653,ground crew failed to unfasten a skid tiedown. pilot lost  control on lift off from a trailer as the chain failed  ,<triplet> lift off <subj> pilot <obj> practiced by <triplet> pilot <subj> lift off <obj> field of this occupation,lift off,practiced by,pilot
1069,653,ground crew failed to unfasten a skid tiedown. pilot lost  control on lift off from a trailer as the chain failed  ,<triplet> lift off <subj> pilot <obj> practiced by <triplet> pilot <subj> lift off <obj> field of this occupation,pilot,field of this occupation,lift off
1070,654,double flameout en route due to fuel starvation. worn fuel tank cap fell off siphoned fuel. overshot forced landing,<triplet> fuel starvation <subj> fuel tank cap <obj> has cause <triplet> fuel tank cap <subj> fuel starvation <obj> has effect,fuel starvation,has cause,fuel tank cap
1071,654,double flameout en route due to fuel starvation. worn fuel tank cap fell off siphoned fuel. overshot forced landing,<triplet> fuel starvation <subj> fuel tank cap <obj> has cause <triplet> fuel tank cap <subj> fuel starvation <obj> has effect,fuel tank cap,has effect,fuel starvation
1072,655,left main gear went off the taxiway while taxing to ramp. lights were not operative in that area.                  ,<triplet> main gear <subj> taxiway <obj> part of <triplet> taxiway <subj> main gear <obj> has part,main gear,part of,taxiway
1073,655,left main gear went off the taxiway while taxing to ramp. lights were not operative in that area.                  ,<triplet> main gear <subj> taxiway <obj> part of <triplet> taxiway <subj> main gear <obj> has part,taxiway,has part,main gear
1074,656,pilot unable to pressurize. found access door slightly open. depressurized. door opened fully. stopped by fuselage.,<triplet> cockpit <subj> fuselage <obj> connects with <triplet> fuselage <subj> cockpit <obj> connects with,cockpit,connects with,fuselage
1075,656,pilot unable to pressurize. found access door slightly open. depressurized. door opened fully. stopped by fuselage.,<triplet> cockpit <subj> fuselage <obj> connects with <triplet> fuselage <subj> cockpit <obj> connects with,fuselage,connects with,cockpit
1076,657,nose gear collapsed on touchdown. found nose gear pins were not hooked to the gear door hinge assembly. jammed gear,<triplet> nose gear <subj> gear <obj> part of <triplet> gear <subj> nose gear <obj> has part,nose gear,part of,gear
1077,657,nose gear collapsed on touchdown. found nose gear pins were not hooked to the gear door hinge assembly. jammed gear,<triplet> nose gear <subj> gear <obj> part of <triplet> gear <subj> nose gear <obj> has part,gear,has part,nose gear
1078,658,pilot hit a post on landing rollout. post located 27 feet from centerline. post hidden by sagebrush.               ,<triplet> landing rollout <subj> post <obj> subclass of,landing rollout,subclass of,post
1079,659,engine quit on climb out. found water in fuel sump. no malfunction found when engine tested.                       ,<triplet> engine <subj> fuel <obj> has part <triplet> fuel <subj> engine <obj> part of,engine,has part,fuel
1080,659,engine quit on climb out. found water in fuel sump. no malfunction found when engine tested.                       ,<triplet> engine <subj> fuel <obj> has part <triplet> fuel <subj> engine <obj> part of,fuel,part of,engine
1081,660,engine quit on takeoff. struck trees on turnback to runway.airplane sat out for six months.two thirds water in fuel,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,airport,has part,runway
1082,660,engine quit on takeoff. struck trees on turnback to runway.airplane sat out for six months.two thirds water in fuel,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,runway,part of,airport
1083,661,"after unloading passengers, pilot departed with a steel meter box on a float. box fell and went through a roof.    ",<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War I,followed by,World War II
1084,661,"after unloading passengers, pilot departed with a steel meter box on a float. box fell and went through a roof.    ",<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War II,follows,World War I
1085,662,left fuel tank sump did not seat properly on preflight. leaked excessively during flight. ran out of fuel.         ,<triplet> seat <subj> flight <obj> part of <triplet> flight <subj> seat <obj> has part,seat,part of,flight
1086,662,left fuel tank sump did not seat properly on preflight. leaked excessively during flight. ran out of fuel.         ,<triplet> seat <subj> flight <obj> part of <triplet> flight <subj> seat <obj> has part,flight,has part,seat
1087,663,"right engine lost oil pressure, shut down and returned. pilot failed to secure tight fitting oil cap on preflight. ",<triplet> oil cap <subj> engine <obj> part of,oil cap,part of,engine
1088,664,tow plane released glider after lift off because it would not climb. glider had spoilers extended.                 ,<triplet> spoilers <subj> glider <obj> part of,spoilers,part of,glider
1089,665,baggage door came open in flight. a film canister fell out and went through a roof. door not properly secured.     ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,George Orwell,notable work,Nineteen Eighty-Four
1090,665,baggage door came open in flight. a film canister fell out and went through a roof. door not properly secured.     ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,Nineteen Eighty-Four,author,George Orwell
1091,666,pilot noticed bright glow from engine. believed on fire. secured and landed. oil cap not secured.                  ,<triplet> oil cap <subj> engine <obj> part of,oil cap,part of,engine
1092,667,pilot forgot to connect elevator controls when he assembled glider for the flight. crash occurred during takeoff.  ,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,pilot,item operated,glider
1093,667,pilot forgot to connect elevator controls when he assembled glider for the flight. crash occurred during takeoff.  ,<triplet> pilot <subj> glider <obj> item operated <triplet> glider <subj> pilot <obj> operator,glider,operator,pilot
1094,668,taxing for takeoff aircraft slid off taxiway. passengers deplaned by portable stairs. taxiway not sanded.          ,<triplet> takeoff <subj> deplaned <obj> different from <triplet> deplaned <subj> takeoff <obj> different from,takeoff,different from,deplaned
1095,668,taxing for takeoff aircraft slid off taxiway. passengers deplaned by portable stairs. taxiway not sanded.          ,<triplet> takeoff <subj> deplaned <obj> different from <triplet> deplaned <subj> takeoff <obj> different from,deplaned,different from,takeoff
1096,669,"engine cowling not properly secured, opened on takeoff.  dragged a wing and cartwheeled trying to return to land.  ",<triplet> cowling <subj> wing <obj> part of <triplet> wing <subj> cowling <obj> has part,cowling,part of,wing
1097,669,"engine cowling not properly secured, opened on takeoff.  dragged a wing and cartwheeled trying to return to land.  ",<triplet> cowling <subj> wing <obj> part of <triplet> wing <subj> cowling <obj> has part,wing,has part,cowling
1098,670,lost control on takeoff. left wheel sheared on a snow berm. aircraft then slid into parked aircraft. frost on wings,<triplet> snow berm <subj> aircraft <obj> subclass of,snow berm,subclass of,aircraft
1099,671,pilot experienced an unwanted opening of the main cargo door. door was not locked properly. warning system defect. ,<triplet> door <subj> main cargo door <obj> connects with <triplet> main cargo door <subj> door <obj> connects with,door,connects with,main cargo door
1100,671,pilot experienced an unwanted opening of the main cargo door. door was not locked properly. warning system defect. ,<triplet> door <subj> main cargo door <obj> connects with <triplet> main cargo door <subj> door <obj> connects with,main cargo door,connects with,door
1101,672,engine quit on climbout. crashed two miles from airport. found water in fuel and fuel source at airport.           ,<triplet> airport <subj> airport <obj> place served by transport hub,airport,place served by transport hub,airport
1102,673,had a banging noise outside aircraft en route. on landing found a seat belt was protruding under the door.         ,<triplet> seat belt <subj> aircraft <obj> part of,seat belt,part of,aircraft
1103,674,long ground run. jet wash damaged approach lights at runway departure end. engine anti ice not used.               ,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,airport,has part,runway
1104,674,long ground run. jet wash damaged approach lights at runway departure end. engine anti ice not used.               ,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,runway,part of,airport
1105,675,pilot did not connect ailerons during reassembling folding wings. no aileron control during takeoff.               ,<triplet> aileron <subj> takeoff <obj> use <triplet> takeoff <subj> aileron <obj> uses,aileron,use,takeoff
1106,675,pilot did not connect ailerons during reassembling folding wings. no aileron control during takeoff.               ,<triplet> aileron <subj> takeoff <obj> use <triplet> takeoff <subj> aileron <obj> uses,takeoff,uses,aileron
1107,676,"pilot was attempting night landing on unlighted strip. carlights directed wrong way, aircraft landed short.        ",<triplet> pilot <subj> aircraft <obj> item operated <triplet> aircraft <subj> pilot <obj> operator,pilot,item operated,aircraft
1108,676,"pilot was attempting night landing on unlighted strip. carlights directed wrong way, aircraft landed short.        ",<triplet> pilot <subj> aircraft <obj> item operated <triplet> aircraft <subj> pilot <obj> operator,aircraft,operator,pilot
1109,677,lost power at cruise altitude. landed on lake. broke through ice. found rags in carburetor air intake box.         ,<triplet> carburetor <subj> air intake <obj> has part <triplet> air intake <subj> carburetor <obj> part of,carburetor,has part,air intake
1110,677,lost power at cruise altitude. landed on lake. broke through ice. found rags in carburetor air intake box.         ,<triplet> carburetor <subj> air intake <obj> has part <triplet> air intake <subj> carburetor <obj> part of,air intake,part of,carburetor
1111,678,departed with nose gear scissors not connected. aircraft veered off runway on landing. nose gear collapsed.        ,<triplet> nose gear <subj> runway <obj> part of,nose gear,part of,runway
1112,679,left oil pressure dropped. secured engine. landed at nearest airport. lost oil thru a unsecured oil cap.           ,<triplet> oil cap <subj> engine <obj> part of,oil cap,part of,engine
1113,680,smoke and fumes in cockpit after takeoff. returned. ram air inlet cover not removed. caused overheated pressure air,<triplet> cockpit <subj> ram air inlet <obj> has part <triplet> ram air inlet <subj> cockpit <obj> part of,cockpit,has part,ram air inlet
1114,680,smoke and fumes in cockpit after takeoff. returned. ram air inlet cover not removed. caused overheated pressure air,<triplet> cockpit <subj> ram air inlet <obj> has part <triplet> ram air inlet <subj> cockpit <obj> part of,ram air inlet,part of,cockpit
1115,681,after lift off nose wheel hit the runway due to excessive forward trim. impact broke nosewheel fork. engine damaged,<triplet> nose wheel <subj> nosewheel fork <obj> has part <triplet> nosewheel fork <subj> nose wheel <obj> part of,nose wheel,has part,nosewheel fork
1116,681,after lift off nose wheel hit the runway due to excessive forward trim. impact broke nosewheel fork. engine damaged,<triplet> nose wheel <subj> nosewheel fork <obj> has part <triplet> nosewheel fork <subj> nose wheel <obj> part of,nosewheel fork,part of,nose wheel
1117,682,took off with tow bar still attached to nose gear. tower alerted pilot. kept gear down. returned.                  ,<triplet> tower <subj> nose gear <obj> has part <triplet> nose gear <subj> tower <obj> part of,tower,has part,nose gear
1118,682,took off with tow bar still attached to nose gear. tower alerted pilot. kept gear down. returned.                  ,<triplet> tower <subj> nose gear <obj> has part <triplet> nose gear <subj> tower <obj> part of,nose gear,part of,tower
1119,683,engine cowling came loose after takeoff. cowling struck windshield. returned. suspect cowling not properly secured.,<triplet> engine <subj> cowling <obj> has part <triplet> cowling <subj> engine <obj> part of,engine,has part,cowling
1120,683,engine cowling came loose after takeoff. cowling struck windshield. returned. suspect cowling not properly secured.,<triplet> engine <subj> cowling <obj> has part <triplet> cowling <subj> engine <obj> part of,cowling,part of,engine
1121,684,took off without the required amount of fuel to reach destination. returned for more fuel.                         ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time <subj> Beijing <obj> location <subj> China <obj> country <triplet> Beijing <subj> China <obj> country <triplet> China <subj> Beijing <obj> capital,2008 Summer Olympics,point in time,2008
1122,684,took off without the required amount of fuel to reach destination. returned for more fuel.                         ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time <subj> Beijing <obj> location <subj> China <obj> country <triplet> Beijing <subj> China <obj> country <triplet> China <subj> Beijing <obj> capital,2008 Summer Olympics,location,Beijing
1123,684,took off without the required amount of fuel to reach destination. returned for more fuel.                         ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time <subj> Beijing <obj> location <subj> China <obj> country <triplet> Beijing <subj> China <obj> country <triplet> China <subj> Beijing <obj> capital,2008 Summer Olympics,country,China
1124,684,took off without the required amount of fuel to reach destination. returned for more fuel.                         ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time <subj> Beijing <obj> location <subj> China <obj> country <triplet> Beijing <subj> China <obj> country <triplet> China <subj> Beijing <obj> capital,Beijing,country,China
1125,684,took off without the required amount of fuel to reach destination. returned for more fuel.                         ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time <subj> Beijing <obj> location <subj> China <obj> country <triplet> Beijing <subj> China <obj> country <triplet> China <subj> Beijing <obj> capital,China,capital,Beijing
1126,685,on takeoff heard a noise followed by a vibration. returned. found cowling missing. cowling was not properly secured,<triplet> noise <subj> vibration <obj> followed by <triplet> vibration <subj> noise <obj> follows,noise,followed by,vibration
1127,685,on takeoff heard a noise followed by a vibration. returned. found cowling missing. cowling was not properly secured,<triplet> noise <subj> vibration <obj> followed by <triplet> vibration <subj> noise <obj> follows,vibration,follows,noise
1128,686,engine quit on takeoff. landed straight ahead off end of runway. fuel filter drain partly open. leaking.           ,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,airport,has part,runway
1129,686,engine quit on takeoff. landed straight ahead off end of runway. fuel filter drain partly open. leaking.           ,<triplet> airport <subj> runway <obj> has part <triplet> runway <subj> airport <obj> part of,runway,part of,airport
1130,687,pilot aborted takeoff but aircraft ran off the end of runway. witness stated trim set full nose down.              ,<triplet> runway <subj> aircraft <obj> part of,runway,part of,aircraft
1131,688,unable to use forward cyclic on takeoff. lowered collective. crash landed. cyclic retention cap blocked by litter. ,<triplet> forward cyclic <subj> collective <obj> opposite of <triplet> collective <subj> forward cyclic <obj> opposite of,forward cyclic,opposite of,collective
1132,688,unable to use forward cyclic on takeoff. lowered collective. crash landed. cyclic retention cap blocked by litter. ,<triplet> forward cyclic <subj> collective <obj> opposite of <triplet> collective <subj> forward cyclic <obj> opposite of,collective,opposite of,forward cyclic
1133,689,no airspeed on departure. continued to destination. faa ramp check showed pitot plugged with mud. no biennial.     ,<triplet> faa <subj> ramp <obj> has part <triplet> ramp <subj> faa <obj> part of,faa,has part,ramp
1134,689,no airspeed on departure. continued to destination. faa ramp check showed pitot plugged with mud. no biennial.     ,<triplet> faa <subj> ramp <obj> has part <triplet> ramp <subj> faa <obj> part of,ramp,part of,faa
1135,690,departed loading platform with a loading hose still attached. caused tail rotor then main rotors to strike ground. ,<triplet> tail rotor <subj> main rotor <obj> followed by <triplet> main rotor <subj> tail rotor <obj> follows,tail rotor,followed by,main rotor
1136,690,departed loading platform with a loading hose still attached. caused tail rotor then main rotors to strike ground. ,<triplet> tail rotor <subj> main rotor <obj> followed by <triplet> main rotor <subj> tail rotor <obj> follows,main rotor,follows,tail rotor
1137,691,tow bar attached on takeoff. began 23 landing with front engine feathered then tried to go around due to tailwind. ,<triplet> landing <subj> takeoff <obj> opposite of,landing,opposite of,takeoff
1138,692,crash occurred immediately after takeoff when engine stopped due to water in fuel.                                 ,<triplet> crash <subj> water in fuel <obj> has cause <triplet> water in fuel <subj> crash <obj> has effect,crash,has cause,water in fuel
1139,692,crash occurred immediately after takeoff when engine stopped due to water in fuel.                                 ,<triplet> crash <subj> water in fuel <obj> has cause <triplet> water in fuel <subj> crash <obj> has effect,water in fuel,has effect,crash
1140,693,aircraft collided with unmarked pile of dirt off the approach end of runway during night approach for landing.     ,<triplet> night approach <subj> landing <obj> subclass of,night approach,subclass of,landing
1141,694,took off after an oil leak was corrected. engine siezed for lack of oil. no other oil leaks found.                 ,<triplet> oil leak <subj> lack of oil <obj> has cause <triplet> lack of oil <subj> oil leak <obj> has effect,oil leak,has cause,lack of oil
1142,694,took off after an oil leak was corrected. engine siezed for lack of oil. no other oil leaks found.                 ,<triplet> oil leak <subj> lack of oil <obj> has cause <triplet> lack of oil <subj> oil leak <obj> has effect,lack of oil,has effect,oil leak
1143,695,returned to airport when pilot noticed that he did not meet minimum fuel requirements. failed to check fuel load.  ,<triplet> airport <subj> airport <obj> different from <triplet> airport <subj> airport <obj> different from,airport,different from,airport
1144,695,returned to airport when pilot noticed that he did not meet minimum fuel requirements. failed to check fuel load.  ,<triplet> airport <subj> airport <obj> different from <triplet> airport <subj> airport <obj> different from,airport,different from,airport
