Unnamed: 0,index,input,head,relation,tail,Syntactic Accuracy,Semantic Accuracy,Consistency,Hallucination,Note,Kate's Notes
3476,1967,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,PILOT,has part,TRAILER,1.0,0.0,1.0,0.0,,
3477,1967,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,TRAILER,part of,PILOT,1.0,0.0,1.0,0.0,,
3482,1970,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,TAKEOFF,connects with,SEA ICE,1.0,0.0,1.0,0.0,,
3483,1970,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,SEA ICE,connects with,TAKEOFF,1.0,0.0,1.0,0.0,,
3585,2030,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,TAKEOFF,location,STEVEN'S VILLAGE,1.0,1.0,1.0,0.0,,Good!
3609,2045,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,TAKEOFF ROLL,part of,CORNFIELD,1.0,0.0,1.0,0.0,,
3610,2045,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,CORNFIELD,has part,TAKEOFF ROLL,1.0,0.0,1.0,0.0,,
3620,2051,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,TIRED TAXI,has effect,ATTACHE,,,,,difficult to tell due to partial word,"I think it's ""Tried taxi with tiedown chains attached."""
3621,2051,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,ATTACHE,has cause,TIRED TAXI,,,,,,
3641,2064,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,FUEL LEVER,subclass of,ENGINE,1.0,0.0,1.0,0.0,,
3695,2099,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA",SUNMER,located in the administrative territorial entity,IOWA,1.0,1.0,1.0,0.0,,
3792,2160,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,SHUDDER,subclass of,ENGINE,1.0,0.0,1.0,0.0,,
3876,2210,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,FRONT RANGE AIRPORT,place served by transport hub,HOURS OF DARKNESS,1.0,0.0,1.0,0.0,,
3877,2210,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,HOURS OF DARKNESS,place served by transport hub,FRONT RANGE AIRPORT,1.0,0.0,1.0,0.0,,
3879,2212,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,LIT.,facet of,TAXIWAY,1.0,1.0,1.0,0.0,abbreviation?,"Potentially ""continued to lift"" as in liftoff? In which case liftoff is not really a facet of a taxiway but a purpose of it."
3889,2218,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN",CIERNIA GLASAIR III,date of official opening,"SEPTEMBER 23, 1999",1.0,0.0,1.0,0.0,,
3929,2243,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,AIRCRAFT,has part,GEAR BLOCK,1.0,1.0,1.0,0.0,,
3930,2243,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,AIRCRAFT,has part,NOSE BLOCK,1.0,1.0,1.0,0.0,,
3931,2243,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,GEAR BLOCK,part of,AIRCRAFT,1.0,1.0,1.0,0.0,,
3932,2243,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,NOSE BLOCK,part of,AIRCRAFT,1.0,1.0,1.0,0.0,,
3935,2245,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,A GRASS RUNWAY,part of,ALTITU,1.0,0.0,1.0,0.0,,
3936,2245,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,ALTITU,has part,A GRASS RUNWAY,1.0,0.0,1.0,0.0,,
3964,2264,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,BROKE PORP SHAFT,has part,HYDRO LOCK,0.0,0.0,0.0,0.0,,I think it's syntactically correct.
4011,2296,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,(5)NOSE BAGGAGE CARGO,different from,(5)NOSE BAGGAGE CARGO,0.0,0.0,0.0,0.0,,I agree this doesn't work
4012,2296,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,(5)NOSE BAGGAGE CARGO,different from,(5)NOSE BAGGAGE CARGO,0.0,0.0,0.0,0.0,,""""
4016,2299,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,FUEL,has effect,NO EVIDENCE OF FUEL,1.0,0.0,0.0,0.0,,
4017,2299,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,NO EVIDENCE OF FUEL,has cause,FUEL,1.0,0.0,0.0,0.0,,
4018,2299,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,FUEL,has cause,NO EVIDENCE OF FUEL,1.0,0.0,0.0,0.0,,
4047,2318,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",TAXIING,has part,TAKE OFF,0.0,0.0,1.0,0.0,,
4048,2318,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",TAKE OFF,part of,TAXIING,0.0,0.0,1.0,0.0,,
4079,2331,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ",TAKEOFF,operator,PILOT,1.0,1.0,1.0,0.0,,
4083,2334,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ",SKYWAY,inception,1900,1.0,0.0,1.0,0.0,,
4084,2335,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ",BHT-47-G5,subclass of,BELL HELICOPTER,1.0,1.0,1.0,0.0,,
4115,2352,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,NORTHWEST AIRLINES,item operated,DC-10 BOEING,1.0,1.0,1.0,0.0,,
4116,2352,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,DC-10 BOEING,operator,NORTHWEST AIRLINES,1.0,1.0,1.0,0.0,,
4213,2403,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.",HELICOPTER,has part,HELIPAD,1.0,0.0,1.0,0.0,,
4214,2403,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.",HELIPAD,part of,HELICOPTER,1.0,0.0,1.0,0.0,,
4217,2406,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",CRUISE,subclass of,AIRCRAFT,0.0,0.0,1.0,0.0,,
4252,2429,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",2003,point in time,2003,0.0,0.0,1.0,1.0,,"I agree, since the example on propbrowse is 2016 Presidential Election, point in time, November 6, 2012, and this 2003, point in time, 2003 is not nearly as meaningful"
4253,2429,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",2003,point in time,2003,,,,,,
4296,2458,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q",FAYETTEVILLE,located in the administrative territorial entity,TENNESSEE,1.0,1.0,1.0,,,
4346,2488,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,PILOT,uses,ENGINE,1.0,1.0,1.0,,,
4347,2488,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,ENGINE,used by,PILOT,1.0,1.0,1.0,,,
4355,2494,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL",BARTLESville MUNICIPAL AIRPORT,place served by transport hub,"BARTLESville, OK",1.0,1.0,1.0,,,
4428,2544,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU",AIRCRAFT,has part,AIRCRAFT STRU,,,,,Assuming partial word is a correct interpretation?,I think it's going to say that the aircraft struck something. It's not really Rebel's fault but I'd say this is still wrong
4429,2544,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU",AIRCRAFT STRU,part of,AIRCRAFT,,,,,Or not?,
4460,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,AIRFRAME,has part,FUEL FILTER,1.0,1.0,1.0,,,
4461,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,AIRFRAME,has part,FUEL FILTER,1.0,1.0,1.0,,,
4462,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,AIRFRAME,has part,FUEL PUMP FILTER,1.0,1.0,1.0,,,
4463,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,FUEL FILTER,part of,AIRFRAME,1.0,1.0,1.0,,,
4464,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,FUEL FILTER,part of,AIRFRAME,1.0,1.0,1.0,,,
4465,2566,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,FUEL PUMP FILTER,part of,AIRFRAME,1.0,1.0,1.0,,,
4503,2592,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ",S-70A,manufacturer,SIKORSKY,1.0,1.0,1.0,,,
4516,2598,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,PILOT,uses,AIRCRAFT,1.0,1.0,1.0,,,
4517,2598,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,AIRCRAFT,used by,PILOT,1.0,1.0,1.0,,,
4519,2600,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","B36TC (BONANZA), N3042V",operator,RAYTHEON AIRCRAFT CO.,1.0,1.0,1.0,,"Not operated by Raytheon, manufactured by would be correct but I think this is wrong",
4570,2630,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,PILOT,has part,CREWMEMBER,1.0,0.0,1.0,,,
4571,2630,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,CREWMEMBER,part of,PILOT,1.0,0.0,1.0,,,
4588,2642,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,FUEL TANK,has part,CAPS,1.0,1.0,1.0,,,
4589,2642,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,CAPS,part of,FUEL TANK,1.0,1.0,1.0,,,
4600,2650,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE",ROTATION,has part,OVERROTATE,0.0,0.0,1.0,,,
4601,2650,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE",OVERROTATE,part of,ROTATION,0.0,0.0,1.0,,,
4639,2676,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL",GRINNELL,located in the administrative territorial entity,"IOWA CITY, IA",1.0,1.0,1.0,,"Not semantically correct, those are two different cities in Iowa",
4656,2685,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,(23)AIRCRAFT,item operated,CLIMB AIRCRAFT ENGINE,0.0,0.0,1.0,,Issues due to the lack of comma,
4657,2685,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,CLIMB AIRCRAFT ENGINE,operator,(23)AIRCRAFT,0.0,0.0,1.0,,,
