c5,c119,c119_output,c119_score
19800921081689I,ENGINE QUIT MOMENTARILY AFTER TAKEOFF CAUSING WING TO STRIKE A TREE. FOUND WATER IN THE FUEL.                      ,ENGINE QUIT MOMENTARILY AFTER TAKEOFF CAUSING WING TO STRIKE A TREE. FOUND WATER IN THE FUEL.                      ,-0.1930895447731018
19801005048649A,"LIFTED OFF WITH EFFORT, AIRPLANE NOSE HEAVY, ABORTED, SLAMMED INTO RUNWAY NOSE DOWN. FOUND ELEVATOR TRIM FULL DOWN.","LIFTED OFF WITH { EFFORT } [ Effort (newspaper) ], { AIRPLANE } [ Airplane ] NOSE { HEAVY } [ Atmosphere of Earth ], ABORTED, SLAMMED INTO RUNWAY NOSE DOWN. FOUND { ELEVATOR } [ ELEVATOR (newspaper) ] TRIM FULL DOWN.",-0.8669159412384033
19800901081639I,FORCED LANDING AFTER ENGINE QUIT. FOUND WATER IN FUEL.                                                             ,FORCED LANDING AFTER ENGINE QUIT. FOUND WATER IN { FUEL } [ Fiji ].                                                             ,-0.4840497672557831
19801015057189A,"NOT SATISFIED WITH PERFORMANCE. ABORTED TAKEOFF. LANDED, RAN OFF END OF RUNWAY. SUSPECT FRONT ON WINGS.            ","NOT SATISFIED WITH PERFORMANCE. ABORTED TAKEOFF. LANDED, RAN OFF END OF RUNWAY. SUSPECT FRONT ON WINGS.            ",-0.18692615628242493
19800901067929I,"OIL PRESSURE BEGAN TO RISE. PILOT NOTIFIED CENTER. DIP STICK LOOSE, LOW OIL QUANTITY.                              ","OIL PRESSURE BEGAN TO RISE. PILOT NOTIFIED CENTER. DIP STICK LOOSE, LOW OIL QUANTITY.                              ",-0.28624820709228516
19801020075389I,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,-0.3046419620513916
19800907069679I,"DOWNLOCK PINS IMPROPERLY INSTALLED AFTER LANDING, NOT FLAGGED, NOT REMOVED BEFORE TAKEOFF.                         ","DOWNLOCK PINS IMPROPERLY INSTALLED AFTER LANDING, NOT FLAGGED, NOT REMOVED BEFORE TAKEOFF.                         ",-0.5992497205734253
19801114074879I,"ZE ZW NOSE BAGGAGE DOOR CAME OPEN AT ROTATION, TAKE OFF ABORTED. SLID SIDEWAYS ON ICE AND SNOW, GEAR COLLAPSED.    ","ZE ZW NOSE BAGGAGE DOOR CAME OPEN AT { ROTATION } [ Rotation (military) ], TAKE OFF ABORTED. SLID SIDEWAYS ON ICE AND SNOW, GEAR COLLAPSED.    ",-0.6061567664146423
19801024077939I,"ZA ZG ZR NOSE GEAR COULD NOT BE EXTENDED, STUCK BY LOOSE GEAR DOOR. AIRCRAFT NOT RELEASED BY MAINTENANCE.          ","ZA ZG ZR NOSE GEAR COULD NOT BE EXTENDED, STUCK BY LOOSE GEAR DOOR. AIRCRAFT NOT RELEASED BY MAINTENANCE.          ",-0.5233141183853149
19800911070199I,PILOT ENTERED CONTROL AREA IMPROPERLY. IGNORED TOWER LIGHTS. STATED HE HAD ELECTRICAL FAILURE.                     ,PILOT ENTERED CONTROL AREA IMPROPERLY. IGNORED TOWER LIGHTS. STATED HE HAD ELECTRICAL FAILURE.                     ,-0.3148730397224426
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,-0.3852778375148773
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,-0.3126979172229767
19801031066869A,PILOT FAILED TO REPLACE OIL FILLER CAP BEFORE TAKEOFF. ENGINE SIEZED OUT OF OIL. CRASH LANDED ON PRIVATE STRIP.    ,PILOT FAILED TO REPLACE OIL FILLER CAP BEFORE TAKEOFF. ENGINE SIEZED OUT OF OIL. CRASH LANDED ON PRIVATE STRIP.    ,-0.2578365206718445
19800920042639A,HAD CARB FIRE ON STARTING. ENGINE QUIT EN ROUTE. FOUND STARTING FIRE HAD WARPED CARB DIAPHRAM.                     ,HAD CARB FIRE ON STARTING. ENGINE QUIT EN ROUTE. FOUND STARTING FIRE HAD WARPED CARB DIAPHRAM.                     ,-0.25168195366859436
19801130080689I,PILOT STARTED ENGINE AND TAXIED OUT WITH TOW BAR STILL ATTACHED. PROPELLER WAS DAMAGED.                            ,PILOT STARTED ENGINE AND TAXIED OUT WITH TOW BAR STILL ATTACHED. PROPELLER WAS DAMAGED.                            ,-0.2750724256038666
19801208085609I,ENGINE LOST POWER AT CRUISE. LANDED ON HIGHWAY. CAUSE OF WATER CONTAMINATION UNKNOWN.                              ,ENGINE LOST POWER AT CRUISE. LANDED ON HIGHWAY. CAUSE OF WATER CONTAMINATION UNKNOWN.                              ,-0.32112014293670654
19801219084719I,"ZG PILOT COULD NOT KEEP RIGHT ENGINE RUNNING.  ON INSPECTION, WATER FOUND IN FUEL.                                 ","ZG PILOT COULD NOT KEEP RIGHT ENGINE RUNNING.  ON INSPECTION, WATER FOUND IN FUEL.                                 ",-0.4947253167629242
19801223085169I,AIRCRAFT TAXIING ONTO RUNWAY FOR TAKEOFF HIT A LARGE UNMARKED HOLE ON EDGE OF RUNWAY AND RUNWAY INTERSECTION.      ,AIRCRAFT TAXIING ONTO { RUNWAY } [ Run (gridiron football) ] FOR TAKEOFF HIT A LARGE UNMARKED HOLE ON EDGE OF { RUNWAY } [ Run (gridiron football) ] AND { RUNWAY } [ Run (gridiron football) ] INTERSECTION.      ,-0.17319096624851227
19801223087189I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN { FUEL } [ Fiji ].                                                              ,-0.4899958074092865
19801223087949I,"ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY. FOUND ICE BUILDUP ON WINGS.                                             ","ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY. FOUND ICE BUILDUP ON WINGS. {                                              } [ ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, RUN OFF END OF RUNWAY, FOUND ICE BUILDUP ON WINGS.                           ",-0.3473144471645355
19801227088119I,"ZD ZW UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR STRUT WAS FLAT, HUNG UP WHEN RETRACTED.                      ","ZD ZW UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR STRUT WAS FLAT, HUNG UP WHEN RETRACTED.                      ",-0.5052778124809265
19801227089509I,ZA ZG ZK NOSE WHEEL AND LOWER STRUT SEPARATED FROM THE AIRCRAFT AFTER LIFT OFF DUE TO A BROKEN AND MISSING BOLT.   ,ZA ZG ZK NOSE WHEEL AND LOWER STRUT SEPARATED FROM THE AIRCRAFT AFTER LIFT OFF DUE TO A BROKEN AND MISSING BOLT.   ,-0.23034891486167908
19810121012239I,ENGINE STOPPED DURING TAKEOFF. PILOT FEELS CAUSE WAS DUE TO ICE IN T FITTING DRAIN.                                ,ENGINE STOPPED DURING TAKEOFF. PILOT FEELS CAUSE WAS DUE TO ICE IN T FITTING DRAIN.                                ,-0.2582772970199585
19810216012039I,ZG CABIN FILLED WITH SMOKE. AIRCRAFT RETURNED. FOUND PIECE OF CHARREL CLOTH FROM ENGINE PLUG LAYING ON EXHAUST.    ,ZG CABIN FILLED WITH SMOKE. AIRCRAFT RETURNED. FOUND PIECE OF CHARREL CLOTH FROM ENGINE PLUG LAYING ON EXHAUST.    ,-0.12908905744552612
19801205085559I,ABORTED TAKEOFF DUE TO TAKEOFF WARNING HORN. SPEED BRAKE LEVER NOT SEATED PROPERLY.                                ,ABORTED TAKEOFF DUE TO TAKEOFF WARNING HORN. SPEED BRAKE LEVER NOT SEATED PROPERLY.                                ,-0.3305557668209076
19801130083579I,RAN OFF END OF RUNWAY AFTER ATTEMPTING TAKEOFF WITH PARK BRAKE PARTIALLY SET.                                      ,RAN OFF END OF RUNWAY AFTER ATTEMPTING TAKEOFF WITH PARK BRAKE PARTIALLY SET.                                      ,-0.34661155939102173
19810223013719I,AFTER TAKEOFF SECOND OFFICER OBSERVED AFT BIN LIGHT CAME ON. AIRCRAFT LANDED AND GROUND PERSONNEL FOUND DOOR AJAR. ,AFTER TAKEOFF SECOND OFFICER OBSERVED AFT BIN LIGHT CAME ON. AIRCRAFT LANDED AND GROUND PERSONNEL FOUND DOOR AJAR. ,-0.14266438782215118
19801119080409I,"REAR CARGO DOOR CAME OPEN AT V1, FLIGHT RETURNED. REASON FOR DOOR OPENING IS UNDER INVESTIGATION.                  ","REAR CARGO DOOR CAME OPEN AT V1, FLIGHT RETURNED. REASON FOR DOOR OPENING IS UNDER INVESTIGATION.                  ",-0.30414047837257385
19801213084659I,"ZA ENGINE LOST POWER, EMERGENCY LANDING IN FIELD.  TEE FITTING AT LOWEST POINT SOLIDE ICE RESTRICTING FUEL FLOW.   ","ZA ENGINE LOST POWER, { EMERGENCY } [ Emergency ] LANDING IN FIELD.  TEE FITTING AT LOWEST POINT SOLIDE ICE RESTRICTING FUEL FLOW. {    } [ Internet ]",-0.4366852045059204
19801121087109I,"LANDED SHORT OF RUNWAY AFTER ENGINES QUIT. CAUSE WAS FUEL EXHAUSTION, GAUGES WERE INACCURATE.                      ","LANDED SHORT OF RUNWAY AFTER ENGINES QUIT. CAUSE WAS { FUEL } [ Fiji ] EXHAUSTION, { GAUGES } [ Georgia (U.S. state) ] WERE INACCURATE.                      ",-0.3542664647102356
19810131013859I,ZA ENGINE MALFUNCTION AND EMERGENCY LANDING. SUSPECTED WATER IN FUEL SYSTEM.                                       ,ZA ENGINE MALFUNCTION AND EMERGENCY LANDING. SUSPECTED WATER IN FUEL SYSTEM.                                       ,-0.2896077036857605
19801207076399A,PILOT LOST CONTROL & AIRCRAFT CRASHED DURING TAKEOFF DUE TO BOLT COMING OUT OF RUDDER HORN.                        ,PILOT LOST CONTROL & AIRCRAFT CRASHED DURING TAKEOFF DUE TO BOLT COMING OUT OF RUDDER HORN.                        ,-0.2747437059879303
19801212087479I,EMERGENCY LANDING AFTER POWER LOSS FOUND WATER IN FUEL TANK.                                                       ,EMERGENCY LANDING AFTER POWER LOSS FOUND WATER IN { FUEL TANK } [ FUEL TANK ].                                                       ,-0.4529360234737396
19801207087339I,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,-0.36365780234336853
19810209014479I,DURING TAXI INTO POSITION PROP DAMAGE DUE TO UNKNOWN DEBRIS LEFT FROM RUNWAY MAINTENANCE.                          ,DURING TAXI INTO POSITION PROP DAMAGE DUE TO UNKNOWN DEBRIS LEFT FROM RUNWAY MAINTENANCE.                          ,-0.23708155751228333
19801207087329I,RAN OFF END OF ICY RUNWAY AFTER ABORTING TAKEOFF. FOUND FROST ON AIRCRAFT.                                         ,RAN OFF END OF ICY RUNWAY AFTER ABORTING TAKEOFF. FOUND FROST ON AIRCRAFT.                                         ,-0.34402596950531006
19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ","LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",-0.5782487392425537
19810207003009A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.             ,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.             ,-0.13276568055152893
19810130002279A,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.                        ,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.                        ,-0.2945970594882965
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE { STRUCTURE } [ Structural analysis ], BROKE THE BELLCRANK. COLLAPSED",-0.48244574666023254
19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,-0.10865218192338943
19810111000979A,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,-0.18628595769405365
19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,-0.08349199593067169
19810126001829A,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.    ,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.    ,-0.14253832399845123
19810210011689I,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,-0.27445048093795776
19810213004059A,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.                           ,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.                           ,-0.288910835981369
19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.     ","ICED-UP, NEAR { GROSS } [ Glossary of computer programming terms ]. CIRCLED TO { LAND } [ Computer-generated imagery ], FAILED TO SET { PROPS } [ Glossary of computer programming terms ] OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY. {      } [ Glossary of computer programming terms ]",-0.6958373785018921
19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,-0.1393836885690689
19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,-0.14966872334480286
19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ","REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ",-0.44808319211006165
19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,ENGINE QUIT DUE TO { FUEL } [ Puerto Rico ] EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,-0.1925809532403946
19810308035069I,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,-0.20782314240932465
19810315025039I,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,-0.08505062013864517
19810422034239I,RETURNED AFTER TAKEOFF DUE TO OIL ON WINDSHIELD. OIL FILLER CAP HAD COME OFF.                                      ,RETURNED AFTER TAKEOFF DUE TO OIL ON WINDSHIELD. OIL FILLER CAP HAD COME OFF.                                      ,-0.3087168037891388
19810518044989I,DURING TAXI AIRCRAFT HAD NO STEERING OR BRAKES. HYDRAULIC SWITCH FOUND IN OFF POSITION.                            ,DURING TAXI AIRCRAFT HAD NO STEERING OR BRAKES. HYDRAULIC SWITCH FOUND IN OFF POSITION.                            ,-0.2866939604282379
19810503034279I,STARTED HELICOPTER WITH MAIN ROTOR STILL TIED DOWN. LEAD WEIGHT ON TIEDOWN STRUCK VERT FIN AND ROTOR BLADE.        ,STARTED HELICOPTER WITH MAIN ROTOR STILL TIED DOWN. LEAD WEIGHT ON TIEDOWN STRUCK VERT FIN AND ROTOR BLADE.        ,-0.09195300936698914
19810309010619A,FORGOT TO ENRICH MIXTURE FOR LANDING. ENGINE QUIT DUE TO LEAN MIXTURE. LANDED SHORT OF AIRPORT IN A SWAMP.         ,FORGOT TO ENRICH MIXTURE FOR LANDING. ENGINE QUIT DUE TO LEAN MIXTURE. LANDED SHORT OF AIRPORT IN A SWAMP.         ,-0.1010972186923027
19810329019909I,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.                                          ,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.                                          ,-0.3309890925884247
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,-0.3084034323692322
19810414020139A,FORGOT TO REMOVE ENGINE NACELLE COVERS. ENGINE OVERHEATED. STRUCK DITCH ON EMERGENCY LANDING IN A PASTURE.         ,FORGOT TO REMOVE ENGINE NACELLE COVERS. ENGINE OVERHEATED. STRUCK DITCH ON EMERGENCY LANDING IN A PASTURE.         ,-0.0871228352189064
19810516026109A,"FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.         ","FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.         ",-0.3113401532173157
19810315009829A,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ","USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ",-0.2043437659740448
19810424018779A,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,SPOILERS WERE DEPLOYED ON CLIMBOUT ON { GLIDER } [ Gravity ]. TOW PILOT RELEASED { GLIDER } [ Gravity ] TO CLEAR WIRES. { GLIDER } [ Gravity ] CRASHED.            ,-0.245489239692688
19810521027239A,TOOK OFF WITH NOSE WHEEL DISCONNECTED. AIRPLANE RAN OFF RUNWAY ON LANDING.                                         ,TOOK OFF WITH NOSE WHEEL DISCONNECTED. AIRPLANE RAN OFF RUNWAY ON LANDING.                                         ,-0.3573218584060669
19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ","VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ",-0.35253453254699707
19810514025209A,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.   ,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.   ,-0.18630047142505646
19810519026869A,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.         ,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.         ,-0.1267235279083252
19810507022549A,"FAILED TO ASSURE DOOR SECURED PRIOR TO TAKEOFF. DOOR OPEN ON CLIMBOUT. LOST CONTROL, CRASH-LANDED OFF END OF RUNWAY","FAILED TO ASSURE { DOOR } [ Door ] SECURED PRIOR TO TAKEOFF. { DOOR } [ Door ] OPEN ON CLIMBOUT. LOST { CONTROL } [ Control (management) ], CRASH-LANDED OFF END OF RUNWAY",-0.509060263633728
19810312009169A,UNABLE TO LIFT-OFF DURING TAKEOFF FROM A FARM ROAD DUE TO FROST ON AIRPLANE. RIGHT WING STRUCK A TREE.             ,UNABLE TO LIFT-OFF DURING TAKEOFF FROM A FARM ROAD DUE TO FROST ON AIRPLANE. RIGHT WING STRUCK A TREE.             ,-0.15325431525707245
19810718058739I,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,-0.10714974254369736
19810616042779I,"PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                                    ","PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT. {                                                     } [ PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                        TOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                 ",-0.4234916865825653
19810710059589I,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,-0.14319871366024017
19810729046009A,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.                            ,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.                            ,-0.33873775601387024
19810729048869A,LEFT BRAKE INOPERATIVE ON LANDING.  RAN OFF ROAD INTO TREES.  FOUND BRAKE RESERVOIR EMPTY.                         ,LEFT BRAKE INOPERATIVE ON LANDING.  RAN OFF ROAD INTO TREES.  FOUND BRAKE RESERVOIR EMPTY.                         ,-0.2728275954723358
19810801064069I,"ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR WALKING BEAM FAILED. WALKING BEAM PN 1-261.           ","ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR { WALKING BEAM } [ WALKING BEAM ] FAILED. { WALKING BEAM } [ WALKING BEAM ] PN 1-261.           ",-0.3107365369796753
19810720043449A,RAN OUT OF FUEL EN ROUTE. CRASHED ON FORCED LANDING. REPORTED FUEL STOLEN AT LAST STOP. FAILED TO CHECK FUEL.      ,RAN OUT OF { FUEL } [ El Salvador ] EN ROUTE. CRASHED ON FORCED LANDING. REPORTED { FUEL } [ El Salvador ] STOLEN AT LAST STOP. FAILED TO CHECK { FUEL } [ El Salvador ].      ,-0.29302823543548584
19810624044319I,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF FUEL. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT ,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF { FUEL } [ Puerto Rico ]. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT ,-0.4933837056159973
19810719064149I,NOSE GEAR INDICATED UNSAFE. COLLAPSED ON LANDING. LOW NOSE STRUT BINDING ON DRAG BRACE. DRAG BRACE PULLED LOOSE.   ,NOSE GEAR INDICATED UNSAFE. COLLAPSED ON LANDING. LOW NOSE STRUT BINDING ON { DRAG BRACE } [ Grindbristle ] {. } [ Grindbristle ] { DRAG BRACE } [ Grindbristle ] PULLED LOOSE.   ,-0.47739434242248535
19810622037779A,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,-0.12727826833724976
19810627056699I,"DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.                          ","DURING TAXI AT NIGHT STRUCK UNLIGHTED RUNWAY LIGHT, DAMAGING 2 BLADES ON RIGHT PROPELLER.                          ",-0.39342817664146423
19810802046809A,ENGINES QUIT DUE TO FUEL VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.                           ,ENGINES QUIT DUE TO { FUEL } [ Fiji ] VENTS BEING PLUGGED. AIRCRAFT DAMAGED DURING EMERGENCY LANDING.                           ,-0.25749409198760986
19810731058459A,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.                          ,PILOT TOOK OFF WITH CONTROL LOCK ON AND CRASHED AFTER CLIMBING TO ALTITUDE OF FORTY FEET.                          ,-0.2745436728000641
