index,c5_unique_id,c119_text,Kate,Alyssa,Jonathan,Combined,,Notes,Priscila_GPT_Agent
1612,19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","TAKEOFF, SOD STRIP, WIND, TREES, STRIP","TAKEOFF, SOD STRIP, NORTH WIND, STRIP",,"TAKEOFF, SOD STRIP, NORTH WIND, TREES, STRIP",,,TAKEOFF; 2500 FT SOD STRIP; GUSTY NORTH WIND; HIT TREES; CRASHED
795,19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"CRASH, LANDING, ENGINE FAILURE, TAKEOFF, AIRCRAFT, INSPECTION","CRASH, LANDING, ENGINE FAILURE, TAKEOFF, AIRCRAFT, INSPECTION",,"CRASH, LANDING, ENGINE FAILURE, TAKEOFF, AIRCRAFT, INSPECTION",,,CRASH; FORCED LANDING; ENGINE FAILURE; TAKEOFF; ANNUAL INSPECTION
1887,19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","PILOT, CESSNA 207, N1549U, TAKEOFF, BETHEL AIRPORT, ENGINE","PILOT, CESSNA 207, TAKEOFF, BETHEL AIRPORT, ENGINE",,"PILOT, CESSNA 207, N1549U, TAKEOFF, BETHEL AIRPORT, ENGINE",,,"PILOT OF CESSNA 207, N1549U; TAKEOFF; BETHEL AIRPORT; ENGINE STOPPED RUNNING"
896,19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"TREE, 3, AIRPORT","FLAPS, TREE, AIRPORT",,"FLAPS, TREE, 3 MILES, AIRPORT",,,TOUCHED DOWN LONG; BOUNCED; DOWNWIND GO AROUND; FULL FLAPS; STRUCK TREE; 3 MILES FROM AIRPORT
1117,19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"TCA, ATC COMMUNICATION, PILOT, ALTIMETER","TCA, ATC COMMUNICATION, PILOT, ALTIMETER",,"TCA, ATC COMMUNICATION, PILOT, ALTIMETER",,,ENTERED TCA; WITHOUT ATC COMMUNICATION; MALFUNCTIONING ENCODING ALTIMETER
2406,20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","AIRCRAFT, CRUISE FLIGHT, RPM LOSS, PILOT, PILOT","AIRCRAFT, CRUISE FLIGHT, RPM LOSS, PILOT, ALTITUDE",,"AIRCRAFT, CRUISE FLIGHT, RPM LOSS, PILOT, PILOT, ALTITUDE",,,AIRCRAFT; CRUISE FLIGHT; RPM LOSS; COULD NOT MAINTAIN ALTITUDE; EMERGENCY LANDING
1970,19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"NOSE, BAGGAGE DOOR, TAKEOFF, BAGGAGE, PROP, SEA, ICE, DOOR","NOSE BAGGAGE DOOR, TAKEOFF, BAGGAGE, LEFT PROP, SEA ICE, FLY DOOR",,"NOSE BAGGAGE DOOR, TAKEOFF, BAGGAGE, LEFT PROP, SEA, ICE, DOOR",,*** Do we include nose as a seperate entity?,NOSE BAGGAGE DOOR OPENED; TAKEOFF; BAGGAGE HIT LEFT PROP; LANDED ON SEA ICE; FLY DOOR OPEN
1297,19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"ENGINE, CLIMBOUT, STREET, SPARK PLUGS, PRIMER","ENGINE, CLIMBOUT, CITY STREET, SPARK PLUGS, TOLERENCE, PRIMER",,"ENGINE, CLIMBOUT, STREET, SPARK PLUGS, TOLERENCE, PRIMER",,tolerance like vmc?,ROUGH ENGINE; CLIMBOUT; LANDED ON CITY STREET; SPARK PLUGS OUT OF TOLERANCE; PRIMER UNLOCKED
2429,20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","CFI, NOSE LANDING GEAR, LIGHT, LIGHTS","TAXI, CFI, NOSE LANDING GEAR, LIGHT, LIGHTS",,"TAXI OUT, CFI,LANDING GEAR, LIGHT, LIGHTS",,*** Do we include nose as a seperate entity? (see line 85 for another instance of this),TAXI OUT; CFI; NOSE LANDING GEAR GREEN LIGHT; SWAP LIGHTS
1240,19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","IFR DUAL FLIGHT, POLE, LANDING, CIRCUIT BREAKER, PILOT","POWER, IFR DUAL FLIGHT, POWER POLE, LANDING, CIRCUIT BREAKER, PILOT ERROR",,"POWER, IFR DUAL FLIGHT, POWER POLE, LANDING, CIRCUIT BREAKER, PILOT ERROR",,,ELECTRIC POWER LOST; IFR DUAL FLIGHT; STRUCK POWER POLE; FORCED LANDING; CIRCUIT BREAKER OFF; PILOT ERROR
2160,19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"SPARKS, ROTOR, COWLING, COWL","BANG, SHUDDER, SPARKS, ROTOR, COWLING, COWL",,"BANG, SHUDDER, SPARKS, ROTOR, COWLING, COWL",,bang and shudder?,LOUD BANG AND SHUDDER; ENROUTE; SPARKS AT ROTOR; RETURNED; ENGINE COWLING SEPARATED; COWL NOT FASTENED
1534,19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"CLIMBOUT, LOCKING PINS, SEAT TRACK, SEAT PIN, BELT","PROBLEM, CLIMBOUT, PINS, SEAT TRACK, SEAT PIN, BELT",,"PROBLEM, CLIMBOUT, LOCKING PINS, SEAT TRACK, SEAT PIN, BELT",,,PROBLEM ON CLIMBOUT; STALLED AND CRASHED; NO LOCKING PINS IN SEAT TRACK; SEAT PIN BENT; BELT NOT FASTENED
111,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"LANDING, POWER LOSS, WATER, FUEL","LANDING, POWER LOSS, WATER, FUEL",,"LANDING, POWER LOSS, WATER, FUEL",,,FORCED LANDING; POWER LOSS; WATER IN FUEL
384,19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"AIRPLANE, TAKEOFF ROLL, AILERON-ELEVATOR, LOCK PIN","AIRPLANE, TAKEOFF ROLL, AILERON-ELEVATOR LOCK PIN",,"AIRPLANE, TAKEOFF ROLL, AILERON-ELEVATOR LOCK PIN",,,LOST CONTROL; AIRPLANE; TAKEOFF ROLL; FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN
334,19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","PILOT, RAIN SHOWER, CLIMBOUT, ENGINE, PILOT, FIELD, WATER, FUEL","PILOT, RAIN SHOWER, CLIMBOUT, ENGINE, FIELD, WATER, FUEL",,"PILOT, RAIN SHOWER, CLIMBOUT, ENGINE, FIELD, WATER, FUEL",,,PILOT LANDED; RAIN SHOWER; CLIMBOUT; ENGINE RAN ROUGH; LANDED IN FIELD; WATER IN FUEL
2650,20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","PILOT, TAKEOFF, SEAT","PILOT, TAKEOFF, SEAT, HIM",,"PILOT, TAKEOFF, SEAT",,,PILOT; TAKEOFF; SEAT SLID BACK; OVERROTATE
1846,19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","MARCH 14, 1995, N7016M, AIRCRAFT, AIRPORT, LANDING","MARCH 14, AMATEUR, AIRCRAFT, EMERGENCY OFF AIRPORT LANDING",,"MARCH 14, 1995, N7016M, AIRCRAFT, EMERGENCY OFF AIRPORT LANDING",,,"MARCH 14, 1995, N7016M; AMATEUR BUILT AIRCRAFT; EMERGENCY OFF AIRPORT LANDING; BLO"
410,19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"FUEL EXHAUSTION, SIPHONING, VENT CAP, EMERGENCY LANDING AREA","FUEL EXHAUSTION, FUEL SIPHONING, VENT CAP, EMERGENCY LANDING AREA",,"FUEL EXHAUSTION, SIPHONING, VENT CAP, EMERGENCY LANDING AREA",,"* siphoning makes sense by itself but exhaustion does not, fuel exhaustion is a specific type of failure",EARLY FUEL EXHAUSTION; FUEL SIPHONING; IMPROPERLY SECURED VENT CAP; OVERSHOT EMERGENCY LANDING AREA
74,19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"AIRCRAFT, AIRCRAFT, BRAKES","AIRCRAFT, BRAKES",,"AIRCRAFT, AIRCRAFT, BRAKES",,,TAXIING AIRCRAFT; STRUCK PARKED AIRCRAFT; WORN OUT & INEFFECTIVE BRAKES
1406,19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"ENGINE START, PILOTS, SEAT, THROTTLE, AIRCRAFT, PLANE","ENGINE, PILOTS SEAT, THROTTLE, AIRCRAFT, PLANE",,"ENGINE START, PILOTS, SEAT, THROTTLE, AIRCRAFT, PLANE",,,ENGINE START; PILOT'S SEAT WENT TO FULL AFT POSITION; THROTTLE IN FULL; AIRCRAFT COLLIDED WITH PARKED PLANE
1583,19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"LIFTOFF, PILOT, FUEL CAP, RUNWAY, RUNWAY","LIFTOFF, PILOT, RIGHT FUEL CAP, RUNWAY",,"LIFTOFF, PILOT, RIGHT FUEL CAP, RUNWAY, RUNWAY",,,LIFTOFF; RIGHT FUEL CAP MISSING; ABORTED; LANDED ON SAME RUNWAY; RAN OFF SIDE OF RUNWAY
2494,20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","AIRCRAFT, BARTLESVILLE MUNICIPAL AIRPORT, BVO, BARTLESVILLE, OK, 1147 AM","AIRCRAFT, BARTLESVILLE MUNICIPAL AIRPORT, BRATLESVILLE, OK, 1147 AM, LOCAL TIME",,"AIRCRAFT, BARTLESVILLE MUNICIPAL AIRPORT, BVO, BARTLESVILLE, OK, 1147 AM LOCAL TIME",,,"AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO), BARTLESVILLE, OK; 1147 AM LOCAL TIME; LOCAL FLIGHT"
466,19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"PILOT, RUNWAY, BRAKE","PILOT, RUNWAY, BRAKE",,"PILOT, RUNWAY, BRAKE",,,PILOT RAN OFF END OF RUNWAY; REMAINING BRAKE FAILED
165,19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"WHEELS, LANDINGS, SNOW","WHEELS, LANDINGS, SNOW, WHEEL PANTS",,"WHEELS, LANDINGS, SNOW",,wheel pants probably wheel parts,WHEELS LOCKED UP; TOUCH AND GO LANDINGS; SNOW PACKED IN THE WHEEL PANTS
1882,19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"WATER, FLOATS, LONGERON, WATER, FUEL, WATER, SUMP, FUEL","POWER, WATER, FLOATS, LONGERON, WATER, FUEL, SUMP",,"POWER, WATER, FLOATS, LONGERON, WATER, FUEL, SUMP",,,LOST POWER; LANDED HARD IN ROUGH WATER; DAMAGED FLOATS AND LONGERON; WATER IN FUEL; MISREAD WATER IN SUMP TO BE FUEL
2544,20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","TOUCHDOWN, AIRCRAFT, RUNWAY, AIRCRAFT","TOUCHDOWN, AIRCRAFT, RUNWAY",,"TOUCHDOWN, AIRCRAFT, RUNWAY, AIRCRAFT",,,NORMAL TOUCHDOWN; SLIDING OR HYDROPLANING; LEFT SIDE OF RUNWAY; AIRCRAFT STRU
85,19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"COWLING, ENGINE, FLIGHT","COWLING, ENGINE, FLIGHT",,"COWLING, ENGINE, FLIGHT",,,ENGINE COWLING SEPARATED; ENGINE IN FLIGHT
2676,20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","FLIGHT, NOTH PLATTE, NE, IOWA CITY, IA, 487, AIRCRAFT, GRINNELL","FLIGHT, NOTH PLATTER, NE, IOWA CITY, IA, STATUTE MILES, AIRCRAFT, POWER, GRINNELL",,"FLIGHT, NOTH PLATTER, NE, IOWA CITY, IA, 487 STATUTE MILES, AIRCRAFT, POWER, GRINNELL",,,"FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA; AIRCRAFT LOST POWER; NEAR GRINNELL"
155,19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"TIE DOWN STRAP, SKID, TRAILER","TIE DOWN STRAP, LEFT SKID, TRAILER, HEPER",,"TIE DOWN STRAP, LEFT SKID, TRAILER",,heper?,TIE DOWN STRAP; LEFT SKID; CAUGHT ON TRAILER; TETHERED HEPER
2642,20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"PILOT IN COMMAND, PIC, FUEL TANK, CAPS, DEPARTURE","PILOT IN COMMAND, FUEL TANK CAPS, DEPARTURE",,"PILOT IN COMMAND, PIC, FUEL TANK, CAPS, DEPARTURE",,,PILOT IN COMMAND (PIC); FUEL TANK CAPS; SECURELY FASTENED; DEPARTURE
2566,20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"FUEL, AIRFRAME, FUEL FILTER, FUEL FILTER, ENGINE, FUEL PUMP FILTER","FUEL, AIRFRAME FUEL FILTER, ENGINE, FUEL PUMP FILTER",,"FUEL CONTAMINATION, AIRFRAME, FUEL FILTER, FUEL FILTER, ENGINE, FUEL PUMP FILTER",,,FUEL CONTAMINATION; AIRFRAME FUEL FILTER; FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER
2264,19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"DEMO FLIGHT, ROD, HYDRO LOCK, NR5, CYL, STARTUP, COUNTER WT, SHAFT","DEMO FLIGHT, RO, HYRDO LOCK, NT5 CYL, STARTUP, COUNTER, PORP SHAFT",,"DEMO FLIGHT, ROD, HYRDO LOCK, NR5 CYL, STARTUP, COUNTER WT, SHAFT",,,DEMO FLIGHT; CONNECTING ROD; HYDRO LOCK; NR5 CYL; STARTUP; BROKE PORP SHAFT
1151,19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","AIRCRAFT, N106DA, PILOT, AIRCRAFT","AIRCRAFT, N106DA, PILOT, BRAKE PROBLEMS, AIRCRAFT",,"AIRCRAFT, N106DA, PILOT, BRAKE PROBLEMS, AIRCRAFT",,,TAXIING; AIRCRAFT STRUCK N106DA; PARKED; BRAKE PROBLEMS
2458,20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","N759TY, CE-182, HOT SPRINGS, ARKANSAS, FAYETTEVILLE, TENNESSEE, AIRCRAFT, ENGINE","N759TY, CE-182, HOT SPRINGS, ARKANSAS, FAYETVILLE, TENNESSEE, AIRCRAFT ENGINE",,"N759TY, CE-182, HOT SPRINGS, ARKANSAS, FAYETTEVILLE, TENNESSEE, AIRCRAFT, ENGINE",,,"N759TY, CE-182; EN ROUTE; HOT SPRINGS, ARKANSAS; FAYETTEVILLE, TENNESSEE; AIRCRAFT ENGINE QUIT"
1940,19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"CLIMBOUT, NOSE, BAGGAGE DOOR, OCEAN, TEST FLIGHT, STORAGE","CLIMBOUT, NOSE BAGGAGE DOOR, POWER, OCEAN, TEST FLIGHT, STORAGE",,"CLIMBOUT, NOSE, BAGGAGE DOOR, POWER, OCEAN, TEST FLIGHT, STORAGE",,*** see cell H59,CLIMBOUT; NOSE BAGGAGE DOOR OPENED; REDUCED POWER; STALLED; ROLLED; DIVED INTO OCEAN; TEST FLIGHT FROM STORAGE
914,19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"ELEVATOR CONTROL, HARNESS, ELEVATOR CABLE, STICK BOOT, FLOOR, FIELD","ELEVATOR CONTROL, SHEN HARNESS, ELEVATOR CABLE, STICK BOOT, FLOOR, FIELD",,"ELEVATOR CONTROL, HARNESS, ELEVATOR CABLE, STICK BOOT, FLOOR, FIELD",,,ELEVATOR CONTROL JAMMED; HARNESS; ELEVATOR CABLE; STICK BOOT NOT FASTENED TO FLOOR; LANDED IN A FIELD
1724,19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"STRIP, FUEL CAP","POWER, STRIP, LEFT FUEL CAP, GRAVITY FUEL FLOW",,"POWER, STRIP,LEFT FUEL CAP, GRAVITY FUEL FLOW",,gravity fuel flow?,LOST POWER EN ROUTE; LANDED ON PRIVATE STRIP; NOSED OVER; LEFT FUEL CAP LEAKED; PREVENTED GRAVITY FUEL FLOW
50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"ACFT DISPATCHER, PILOT, PILOT","ACFT DISPATCHER, PILOT, TIEDROPE",,"ACFT DISPATCHER, PILOT, PILOT",,typo on tiedrope,ACFT DISPATCHER; HARRASSMENT OF PILOT; PILOT FORGOT TO REMOVE TIEDROPE
2403,20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","HELICOPTER, HELIPAD, RPM CONTROL, TAKEOFF","HELICOPTER, HELIPAD, RPM CONTROL, FLY POSITION, TAKEOFF",,"HELICOPTER, HELIPAD, RPM CONTROL, FLY POSITION, TAKEOFF",,,HELICOPTER; IDLING ON THE HELIPAD; RPM CONTROL; BROUGHT UP TO FLY POSITION; TAKEOFF
1263,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","TUBE, BANNERS, ROOF, HOUSE, OPERATOR","TUBE, AERIAL BANNERS, ROOF, HOUSE, OPERATOR",,"TUBE, AERIAL BANNERS, ROOF, HOUSE, OPERATOR",,,COPPER TUBE; AERIAL BANNERS; FELL THROUGH THE ROOF OF A HOUSE; LOCAL OPERATOR; BEING MONITORED
2099,19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","KADERA, FIELD, HIGHWAY 93, THREE, SUNMER, IOWA","MR.KADERA, FIELD, HIGHWAY 93, SUNMER, IOWA",,"MR.KADERA, FIELD, HIGHWAY 93, THREE, EAST, SUNMER, IOWA",,***THREE MILES EAST,"MR. KADERA; ATTEMPTED TO LAND IN A FIELD; FORCED TO LAND ON HIGHWAY 93; THREE MILES EAST OF SUNMER, IOWA"
2218,19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","SEPTEMBER 23,1999, 1900 HOURS PACIFIC DAYLIGHT TIME, CIERNIA GLASAIR III, N153JC","SEPTERMBER 23, 1999, 1900 HOURS, CIERNIA GLASAIR III, N153JC",,"SEPTEMBER 23,1999, 1900 HOURS PACIFIC DAYLIGHT TIME, CIERNIA GLASAIR III, N153JC",,,"SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME; HOMEBUILT CIERNIA GLASAIR III, N153JC; EXPERIENCED"
2296,19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"NOSE, BAGGAGE CARGO, WHEEL CHOCK, FLIGHT, NOSE, LANDING GEAR","NOSE BAGGAGE CARGO, WOODEN WHEEL CHOCK, FLIGHT, NOSE LANDING GEAR",,"NOSE, BAGGAGE, CARGO, WHEEL CHOCK, FLIGHT, NOSE LANDING GEAR",,,NOSE BAGGAGE CARGO; WOODEN WHEEL CHOCK; SHIFTED DURING FLIGHT; JAMMED THE NOSE LANDING GEAR MECHANISM
1920,19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","EXPLOSION, LOGS, COMPRESSOR STALL, NR1 ENGINE, LOGS, SE PROCEDURES","LOGS, COMPRESSOR, NR1 ENGINE, SE PROCEDURES",,"EXPLOSION, LOGS, COMPRESSOR STALL, NR1 ENGINE, LOGS, SE PROCEDURES",,,EXPLOSION LIFTING LOGS; PITCHED UP; ROLLED; COMPRESSOR STALL NR1 ENGINE; FAILED RELEASE LOGS; USE SE PROCEDURES
2334,20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","FEBRUARY 19, 2000, 1825 EASTERN STANDARD TIME, BEECH 1900D, N81SK, SKYWAY AIRLINE, FLIGHT","FEBURARY 19,2000, 1825, BEECH 1900D, N81SK, AIRLINE FLIGHT",,"FEBRUARY 19, 2000, 1825 EASTERN STANDARD TIME, BEECH 1900D, N81SK, SKYWAY AIRLINE, FLIGHT",,,"FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME; BEECH 1900D, N81SK; OPERATED AS SKYWAY AIRLINE FLIGHT"
1033,19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"LANDING, TAILWHEEL","GROUND, LANDING, TAILWHEEL",,"GROUND LOOPED, LANDING, TAILWHEEL, RIGHT",,,GROUND LOOPED ON LANDING; TAILWHEEL WAS FOUND JAMMED FAR RIGHT
1311,19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"ENGINE, CLIMOUT, TREES, FUEL TANK, TRIP, FUEL","ENGINE, CLIMBOUT, CRASH LANDED, TREES, FUEL TANK, TRIP, FUEL",,"ENGINE, CLIMBOUT, CRASH LANDED, TREES, FUEL TANK, TRIP, FUEL",,,ENGINE QUIT ON INITIAL CLIMBOUT; CRASH LANDED AVOIDING TREES; SELECTED FUEL TANK EMPTY; TRIP WAS TO GET FUEL
2245,19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"WITNESSES, DEPARTURE, RUNWAY, AIRPLANE","WINTNESSES, DEPARTURE, GRASS RUNWAY, AIRPLANE",,"WITNESSES, DEPARTURE, RUNWAY, AIRPLANE",,,CRASHED AND BURNED; AFTER DEPARTURE FROM A GRASS RUNWAY; AIRPLANE REACHED AN ALTITUDE
2045,19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"TAKEOFF ROLL, RWY, CORNFIELD, TAILWHEEL","POP, TAKEOFF ROLL, RUDDER CONTROL, RWY, CORNFIELD, TAILWHEEL",,"POP, TAKEOFF ROLL, LOST RUDDER CONTROL, RWY, CORNFIELD, TAILWHEEL",,,LOUD POP ON TAKEOFF ROLL; LOST RUDDER CONTROL; EXITED RWY INTO CORNFIELD; FAILED TO LOCK THE TAILWHEEL
1210,19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","CANOPY, CLIMBOUT, COLLISION","CANOPY, CLIMBOUT, GROUND COLLISION, DEFECTS, PILOT",,"CANOPY, CLIMBOUT, GROUND COLLISION, DEFECTS, PILOT ERROR",,,CANOPY CAME OPEN ON CLIMBOUT; UNCONTROLLED GROUND COLLISION; NO DEFECTS REPORTED; APPEARS PILOT ERROR
2488,20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,"PILOT, OIL FILLER CAP, OIL, ENGINE","PILOT, OIL FILLER CAP, OIL, ENGINE",,"PILOT, OIL FILLER CAP, OIL, ENGINE",,,PILOT; OIL FILLER CAP; SECURE; TOOK OFF; OIL COMING OUT OF THE ENGINE
