,index,input,sentence,head,relation,tail
282,241,"NOISE DURING GEAR RETRACTION, NOSE GEAR COULD NOT BE EXTENDED. DOOR PINS NOT ATTACHED AFTER MAINTENANCE.           ",<triplet> MAINTENANCE <subj> NOSE GEAR <obj> product or material produced,MAINTENANCE,product or material produced,NOSE GEAR
283,242,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.",<triplet> AGL <subj> BANK ACFT <obj> subsidiary <triplet> BANK ACFT <subj> AGL <obj> parent organization,AGL,subsidiary,BANK ACFT
284,242,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.",<triplet> AGL <subj> BANK ACFT <obj> subsidiary <triplet> BANK ACFT <subj> AGL <obj> parent organization,BANK ACFT,parent organization,AGL
285,243,ATTEMPTED TAKEOFF WITH FLIGHT CONTROLS IN LOCKED MODE. FACTOR INADEQUATE PRE-FLIGHT CHECK.                         ,<triplet> TAKEOFF <subj> FLIGHT CONTROL <obj> subclass of,TAKEOFF,subclass of,FLIGHT CONTROL
286,244,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,<triplet> PILOT <subj> ACFT <obj> different from <triplet> ACFT <subj> PILOT <obj> different from,PILOT,different from,ACFT
287,244,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,<triplet> PILOT <subj> ACFT <obj> different from <triplet> ACFT <subj> PILOT <obj> different from,ACFT,different from,PILOT
288,245,ENGINE WAS SPUTTERING ON TAKEOFF. ACFT CRASHED & BURNED. FOUND SOME WATER IN FUEL LINES.                           ,<triplet> TAKEOFF <subj> ENGINE <obj> instance of,TAKEOFF,instance of,ENGINE
289,246,ROPE BROKE DURING AERO TOW TAKE OFF WHEN GLIDER WAS 140 FEET ABOVE GROUND. CRASH OCCURRED DURING FORCED LANDING.   ,<triplet> AERO TOW TAKE OFF <subj> CRASH <obj> has effect,AERO TOW TAKE OFF,has effect,CRASH
290,247,ENGINE EQUIPPED WITH HYDRAULIC PUMP WAS SHUT DOWN. EMERGENCY PROCEDURES NOT FOLLOWED. NOSE GEAR COLLAPSED.         ,<triplet> HYDRAULIC PUMP <subj> ENGINE <obj> subclass of,HYDRAULIC PUMP,subclass of,ENGINE
291,248,ENGINE QUIT DUE TO FUEL CONTAMINATION. AIRCRAFT DAMAGED IN AUTOROTATION.                                           ,<triplet> AIRCRAFT DAMAGED IN AUTOROTATION <subj> FUEL <obj> product or material produced,AIRCRAFT DAMAGED IN AUTOROTATION,product or material produced,FUEL
292,249,FUMES NOTED IN PASSENGER CABIN. EMERGENCY LANDING MADE. AFT FUEL CAP DAMAGED BY IMPROPER INSTALLATION.             ,<triplet> FUMES <subj> CAP <obj> has part <triplet> CAP <subj> FUMES <obj> part of,FUMES,has part,CAP
293,249,FUMES NOTED IN PASSENGER CABIN. EMERGENCY LANDING MADE. AFT FUEL CAP DAMAGED BY IMPROPER INSTALLATION.             ,<triplet> FUMES <subj> CAP <obj> has part <triplet> CAP <subj> FUMES <obj> part of,CAP,part of,FUMES
294,250,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,<triplet> TAKEOFF <subj> RUNWAY <obj> instance of,TAKEOFF,instance of,RUNWAY
295,251,"PILOT ATTEMPTED TAKEOFF WITH FAULTY ENGINE, LANDED IN STREET, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD   ",<triplet> TAKEOFF <subj> TAXI <obj> has effect,TAKEOFF,has effect,TAXI
296,252,ACFT NOT FLOWN FOR 2 WKS. SEVERE RAIN. PILOT SAID THAT THERE WAS WATER IN FUEL                                     ,<triplet> ACFT <subj> 2 <obj> elevation above sea level,ACFT,elevation above sea level,2
297,253,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,<triplet> FOUND WATER IN FUEL <subj> POWER <obj> facet of,FOUND WATER IN FUEL,facet of,POWER
298,254,PILOT TOOK OFF WITH TANKS NEARLY EMPTY. ENGINE QUIT AFTER LIFT OFF.                                                ,<triplet> LIFT OFF <subj> TOOK OFF <obj> subclass of,LIFT OFF,subclass of,TOOK OFF
299,255,AFTER TAKEOFF LOST ELECT. POWER. LANDED ON AIRPORT. LANDING GEAR NOT LOCKED DOWN. GENERATORS NOT TURNED ON.        ,<triplet> TAKEOFF <subj> AIRPORT <obj> instance of,TAKEOFF,instance of,AIRPORT
300,256,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,<triplet> PILOT <subj> ENGINE <obj> uses <triplet> ENGINE <subj> PILOT <obj> used by,PILOT,uses,ENGINE
301,256,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,<triplet> PILOT <subj> ENGINE <obj> uses <triplet> ENGINE <subj> PILOT <obj> used by,ENGINE,used by,PILOT
302,257,ENGINE FAILED IN FLT. TWO & ONE HALF QUARTS OF WATER WERE DRAINED FROM THE GAS TANK AFTER THE ACCIDENT.            ,<triplet> GAS TANK <subj> FLT <obj> part of,GAS TANK,part of,FLT
303,258,"AFTER DEVELOPING ELECTRICAL PROBLEM, PILOT LANDED, HAD ALTERNATOR BELT TIGHTENED, TOOK OFF AGAIN. BELT FAILED.     ",<triplet> PILOT <subj> ALTERNATOR <obj> has part <triplet> ALTERNator <subj> PILOT <obj> part of,PILOT,has part,ALTERNATOR
304,258,"AFTER DEVELOPING ELECTRICAL PROBLEM, PILOT LANDED, HAD ALTERNATOR BELT TIGHTENED, TOOK OFF AGAIN. BELT FAILED.     ",<triplet> PILOT <subj> ALTERNATOR <obj> has part <triplet> ALTERNator <subj> PILOT <obj> part of,ALTERNator,part of,PILOT
305,259,"NOSE GEAR NOT LOCKED FOR LANDING,COLLAPSED. HAD BEEN RETRACTED WITH FLAT STRUT, CAUSING LINKAGE TO SEPERATE.       ",<triplet> FLAT STRUT <subj> NOSE GEAR <obj> has part,FLAT STRUT,has part,NOSE GEAR
306,260,"LOSS OF OIL PREESURE PRECEEDED ENGINE SHUTDOWN. VECTORS TO AIRPORT, 8 QUARTS OIL ADDED. ENGINE HAD MINOR OIL LEAK. ",<triplet> OIL LEAK <subj> OIL <obj> has part,OIL LEAK,has part,OIL
307,261,"ALTERNATOR BELT BROKE, ELECTRICAL SYSTEM FAILED. PILOT FAILED TO AVOID PREVENTABLE GEAR UP LANDING.                ",<triplet> PILOT <subj> ELECTRICAL <obj> facet of,PILOT,facet of,ELECTRICAL
308,262,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,<triplet> GROUND RUN UP <subj> STRUTS <obj> subclass of,GROUND RUN UP,subclass of,STRUTS
309,263,PILOT UNABLE TO MAINTAIN ALTITUDE DUE TO POWER LOSS.FOUND WATER IN THE FUEL.                                       ,<triplet> FUEL <subj> Pilot <obj> named after,FUEL,named after,Pilot
310,264,"ATTEMPTED TAKE OFF WITH ICE ON AIRFRAME. MADE PREMATURE LIFT OFF,SETTLED TO GROUND,STRUCK DITCH.                   ",<triplet> AIRFRAME <subj> PREMATURE <obj> subclass of,AIRFRAME,subclass of,PREMATURE
311,265,PILOT TOPPED TANKS AND LOST POWER DURING CLIMB. THE FUEL WAS CONTAMINATED WITH WATER                               ,<triplet> PILOT <subj> TOPPED <obj> instance of,PILOT,instance of,TOPPED
312,266,INSTRUMENT PANEL LIGHT SWITCH DEFECTIVE. PILOT UNABLE TO DIM LIGHTS. COULD NOT SEE OUT.ATTEMPTED FORCED LANDING.   ,<triplet> LIGHT SWITCH <subj> PANEL <obj> has part,LIGHT SWITCH,has part,PANEL
313,267,FUEL EXHAUSTION ONE TANK UNABLE TO RESTART ENGINE. USED BOOST PUMP AFTER PUSHING AND PULLING ENGINE CONTROLS.      ,<triplet> PUMP <subj> ENGINE <obj> part of,PUMP,part of,ENGINE
314,268,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,<triplet> PILOT <subj> ENGINE <obj> has part <triplet> ENGINE <subj> PILOT <obj> part of,PILOT,has part,ENGINE
315,268,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,<triplet> PILOT <subj> ENGINE <obj> has part <triplet> ENGINE <subj> PILOT <obj> part of,ENGINE,part of,PILOT
316,269,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,<triplet> TAKEOFF <subj> FUEL <obj> product or material produced,TAKEOFF,product or material produced,FUEL
317,270,PILOTS FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL.                                ,<triplet> TAKEOFF <subj> GEAR <obj> instance of,TAKEOFF,instance of,GEAR
318,271,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           ,<triplet> MANUEVERS <subj> ENGINE <obj> subclass of,MANUEVERS,subclass of,ENGINE
319,272,PILOT FAILED TO EXTEND GEAR BEFORE LANDING.                                                                        ,<triplet> TRAIL <subj> DEFAULT <obj> has part,TRAIL,has part,DEFAULT
320,273,LANDED WITH AIRPLANES NOSE NOT ALIGNED WITH RUNWAY. FOUND RUDDER PEDAL JAMMED WITH SMALL BOTTLE.                   ,<triplet> RUDDER <subj> PEDAL <obj> subclass of,RUDDER,subclass of,PEDAL
321,274,ENGINE ACCESS DOOR CAME LOSE AND ENGINE SPUTTERED AFTER TAKE OFF. INSTRUCTOR ATTEMPED 180 BACK TO RUNWAY. UNABLE.  ,<triplet> LOSE AND ENGINE SPUTTERED <subj> ENGINE <obj> facet of,LOSE AND ENGINE SPUTTERED,facet of,ENGINE
322,275,PILOT SEAT SLID BACK ON TAKEOFF.LOST CONTROL.VEERED OFF RUNWAY.FAILED TO ASCERTAIN SEAT LOCKED BEFORE TAKE OFF.    ,<triplet> TAKEOFF <subj> TAKE OFF <obj> different from <triplet> TAKE OFF <subj> TAKEOFF <obj> different from,TAKEOFF,different from,TAKE OFF
323,275,PILOT SEAT SLID BACK ON TAKEOFF.LOST CONTROL.VEERED OFF RUNWAY.FAILED TO ASCERTAIN SEAT LOCKED BEFORE TAKE OFF.    ,<triplet> TAKEOFF <subj> TAKE OFF <obj> different from <triplet> TAKE OFF <subj> TAKEOFF <obj> different from,TAKE OFF,different from,TAKEOFF
324,276,PILOT FAILED TO SECURE OIL CAP ON PREFLIGHT. OIL WAS STREAMING OVER COWL AT LIFTOFF.                               ,<triplet> LIFTOFF <subj> OIL <obj> operator,LIFTOFF,operator,OIL
325,277,PILOT ABORTED TAKEOFF & WHILE APPLYING BRAKES SEAT CAME LOOSE CAUSING PILOT'S FEET TO RELEASE BRAKES. ACFT CRASHED ,<triplet> ACFT <subj> PILOT <obj> operator,ACFT,operator,PILOT
326,278,PILOT FAILED TO SECURE OIL CAP PROPERLY AT PREVIOUS STOP. LANDED WITH LOW OIL PRESSURE.                            ,<triplet> COVID-19 pandemic <subj> COVID-19 pandemic <obj> has effect,COVID-19 pandemic,has effect,COVID-19 pandemic
327,279,ENGINE STOPPED SHORTLY AFTER TAKE-OFF. AIRCRAFT STRUCK RUNWAY GEAR UP. PILOT DRAINED 3 QUARTS OF WATER FROM TANKS. ,<triplet> PILOT <subj> AIRCRAFT <obj> part of,PILOT,part of,AIRCRAFT
328,280,AIRSPEED INDICATOR INOP DUE TO PLUG ON END OF PITOT TUBE. LOST DIRECTIONAL CONTROL ON LANDING. ILLEGAL SOLO.       ,<triplet> PITOT <subj> AIRSPEED INDICATOR <obj> instance of,PITOT,instance of,AIRSPEED INDICATOR
329,281,AIRCRAFT RAN OFF RUNWAY DURING LANDING ROLL. BRAKE DISC PADS TOTALLY WORN.                                         ,<triplet> AIRCRAFT <subj> TRAIL <obj> instance of,AIRCRAFT,instance of,TRAIL
330,282,ENGINE FAILED DUE TO WATER AND TRASH IN FUEL. AIRCRAFT REFUELED FROM A BARREL. NO FILTER USED.                     ,<triplet> WATER <subj> FUEL <obj> has part,WATER,has part,FUEL
331,283,"OIL FILLER CAP WAS LOOSE. NO OIL FOUND AT WRECK SIGHT, ALTHOUGH A HOLE WAS KNOCKED IN OIL PAN BY IMPACT FORCES.    ",<triplet> WRECK SIGHT <subj> IMPACT FORCES <obj> operator,WRECK SIGHT,operator,IMPACT FORCES
332,284,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,<triplet> SLING LOAD <subj> HELICOPTER <obj> subclass of,SLING LOAD,subclass of,HELICOPTER
333,285,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,<triplet> ZG <subj> GAS <obj> product or material produced,ZG,product or material produced,GAS
334,286,"ENGINE QUIT ON TAKEOFF DUE TO WATER IN FUEL. PILOT LANDED GEAR UP, HAD FAILED TO DRAIN WING SUMPS IN PREFLIGHT.    ",<triplet> TAKEOFF <subj> PILOT <obj> instance of,TAKEOFF,instance of,PILOT
335,287,FLUCTUATION AND GRADUAL LOSS OF OIL PRESSURE BEFORE SHUTTING ENGINE DOWN. LOOSE OIL FILLER CAP.                    ,<triplet> FLUCTUATION <subj> OIL PRESSURE <obj> has effect,FLUCTUATION,has effect,OIL PRESSURE
336,288,WHILE EN ROUTE OIL PRESSURE DROPPED TO 10 PSI. LANDED ON HIGHWAY AND FOUND OIL CAP HAD NOT BEEN PROPERLY SEATED.   ,<triplet> CO2 <subj> CO2 <obj> has part,CO2,has part,CO2
337,289,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,<triplet> BAGGAGE <subj> CART <obj> subclass of,BAGGAGE,subclass of,CART
338,290,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,<triplet> LANDING ROLL <subj> FLUID <obj> uses,LANDING ROLL,uses,FLUID
339,291,ENGINE STOPPED DURING SPRAY RUN. LANDED IN SOYBEAN FIELD. FLIPPED OVER. WATER IN FUEL.                             ,<triplet> SPRAY <subj> FUEL <obj> subclass of,SPRAY,subclass of,FUEL
340,292,ENGINE FAILURE DUE TO WATER IN FUEL.                                                                               ,<triplet> FUEL IN <subj> ENGINE <obj> main subject,FUEL IN,main subject,ENGINE
341,293,"CABIN DOOR OPENED ON TAKEOFF ROLL. PILOT ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY, RAN OFF END INTO ROCKS.        ",<triplet> TAKEOFF <subj> CABIN <obj> instance of,TAKEOFF,instance of,CABIN
342,294,"DURING TAKEOFF ROLL, GEAR COLLAPSED. GEAR SWITCH IN UP POSITION.                                                   ",<triplet> GEAR SWITCH <subj> TAKEOFF <obj> has part,GEAR SWITCH,has part,TAKEOFF
343,295,ENGINE FAILED DURING TAKEOFF. PILOT ATTEMPTED RETURN TO RUNWAY. INSUFFICIENT ALTITUDE. WATER IN FUEL.              ,<triplet> TAKEOFF <subj> ENGINE <obj> subclass of,TAKEOFF,subclass of,ENGINE
344,296,STOPPED ON RUNWAY AFTER LANDING. NOSE GEAR TORQUE LINK APEX PIN WAS NOT INSTALLED.                                 ,<triplet> NOSE GEAR <subj> APEX <obj> manufacturer,NOSE GEAR,manufacturer,APEX
345,297,AIRSTAIR DOOR CAME OPEN AFTER TAKEOFF. DURING LANDING DOOR DRUG ON RUNWAY TEARING LOOSE FROM AIRCRAFT.             ,<triplet> TAKEOFF <subj> RUNWAY TEARING LOOSE <obj> has cause <triplet> RUNWAY TEARING LOOSE <subj> TAKEOFF <obj> has effect,TAKEOFF,has cause,RUNWAY TEARING LOOSE
346,297,AIRSTAIR DOOR CAME OPEN AFTER TAKEOFF. DURING LANDING DOOR DRUG ON RUNWAY TEARING LOOSE FROM AIRCRAFT.             ,<triplet> TAKEOFF <subj> RUNWAY TEARING LOOSE <obj> has cause <triplet> RUNWAY TEARING LOOSE <subj> TAKEOFF <obj> has effect,RUNWAY TEARING LOOSE,has effect,TAKEOFF
347,298,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,<triplet> LOCK <subj> GEAR <obj> subclass of,LOCK,subclass of,GEAR
348,299,PILOT OWNER FORGOT TO RECONNECT NOSE GEAR DOOR RETRACT RODS WHICH RESULTED IN JAMMING THE NOSE GEAR.               ,<triplet> NOSE GEAR <subj> JAMMING <obj> subclass of,NOSE GEAR,subclass of,JAMMING
349,300,PILOT REPORTED UNSAFE GEAR INDICATION. LANDED WITHOUT INCIDENT. GEAR LIGHT WAS SELECTED TO THE DIM POSITION.       ,<triplet> DIM <subj> GEAR <obj> subclass of,DIM,subclass of,GEAR
350,301,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,<triplet> COWL <subj> ENGINE <obj> subclass of,COWL,subclass of,ENGINE
351,302,GEAR COLLAPSED 200 FEET AFTER START OF TAKEOFF RUN. SELECTOR SWITCH FOUND NOT IN THE FULL DOWN POSITION.           ,<triplet> TAKEOFF <subj> GEAR <obj> manufacturer,TAKEOFF,manufacturer,GEAR
352,303,ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE.                                                                   ,<triplet> FUEL VENT <subj> ENGINE <obj> instance of,FUEL VENT,instance of,ENGINE
353,304,ENGINE STOPPED DUE TO FUEL STARVATION. NEWLY INSTALLED FUEL CAP WAS NOT VENTED.                                    ,<triplet> FUEL STARVATION <subj> ENGINE <obj> facet of,FUEL STARVATION,facet of,ENGINE
354,305,ZA ZG ZH EMERGENCY LANDING DUE TO FUEL CONTAMINATED WITH WATER.                                                    ,<triplet> ZG ZH <subj> FUEL <obj> product or material produced,ZG ZH,product or material produced,FUEL
355,306,ENGINE STOPPED AFTER LIFTOFF ON A TOUCH AND GO LANDING. HIT TREES. FOUND WATER IN FUEL.                            ,<triplet> FUEL <subj> ENGINE <obj> subclass of,FUEL,subclass of,ENGINE
356,307,PILOT TOOK OFF AND CONTINUED NIGHT FLIGHT WITH BATTERY DISCHARING. MISUSED EMERGENCY GEAR SYSTEM.                  ,<triplet> FLIGHT <subj> MISUSED EMERGENCY GEAR SYSTEM <obj> has part <triplet> MISUSED EMERGENCY GEAR SYSTEM <subj> FLIGHT <obj> part of,FLIGHT,has part,MISUSED EMERGENCY GEAR SYSTEM
357,307,PILOT TOOK OFF AND CONTINUED NIGHT FLIGHT WITH BATTERY DISCHARING. MISUSED EMERGENCY GEAR SYSTEM.                  ,<triplet> FLIGHT <subj> MISUSED EMERGENCY GEAR SYSTEM <obj> has part <triplet> MISUSED EMERGENCY GEAR SYSTEM <subj> FLIGHT <obj> part of,MISUSED EMERGENCY GEAR SYSTEM,part of,FLIGHT
358,308,"COCKPIT DOOR PARTIALLY OPENED AT ROTATION. PILOT ABORTED, RAN OFF END OF RUNWAY. PROP AND ONE MAIN GEAR DAMAGED.   ",<triplet> COCKPIT <subj> ROTATION <obj> part of,COCKPIT,part of,ROTATION
359,309,ENGINE STOPPED ON TAKEOFF. LANDED OFF END RUNWAY. FOUND WATER IN FUEL SYSTEM.                                      ,<triplet> TAKEOFF <subj> FUEL <obj> product or material produced,TAKEOFF,product or material produced,FUEL
360,310,ENGINE FAILED DURING TAKEOFF DUE TO WATER IN FUEL. AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING.            ,<triplet> AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING <subj> TAKEOFF <obj> has cause,AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING,has cause,TAKEOFF
361,311,PILOT ATTEMPTED 180 DEGREE TURN WHEN ENGINE FAILED AFTER TAKEOFF. ENGINE FAILURE ATTRIBUTED TO WATR IN FUEL.       ,<triplet> WATR <subj> FUEL <obj> product or material produced,WATR,product or material produced,FUEL
362,312,"ENGINE QUIT FROM TOO RICH A MIXTURE, LANDED SHORT. PRIMER WAS UNLOCKED, MIXTURE FULL RICH, CARB HEAT ON.           ",<triplet> TOO RICH <subj> MIXTURE <obj> instance of,TOO RICH,instance of,MIXTURE
363,313,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,<triplet> FUEL CAP <subj> LEFT WING <obj> part of <triplet> LEFT WING <subj> FUEL CAP <obj> has part,FUEL CAP,part of,LEFT WING
364,313,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,<triplet> FUEL CAP <subj> LEFT WING <obj> part of <triplet> LEFT WING <subj> FUEL CAP <obj> has part,LEFT WING,has part,FUEL CAP
365,314,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,<triplet> STRAINER <subj> STREAM <obj> instance of,STRAINER,instance of,STREAM
366,315,PILOT RAN OUT OF FUEL DUE TO OPEN BOWL DRAIN ON THE FUEL STRAINER. HAD PREVIOUS PROBLEM IWTH STICKING DRAIN.       ,<triplet> BOWL DRAIN <subj> FUEL <obj> has part,BOWL DRAIN,has part,FUEL
367,316,PILOT FAILED TO PROPERLY SECURE SEAT. SEAT SLID BACK ON TAKEOFF.                                                   ,<triplet> TAKEOFF <subj> SEAT <obj> operator,TAKEOFF,operator,SEAT
368,317,PILOT NOTICED & DISREGARDED BROKEN EXHAUST PIPE. AIRLINE CAUGHT FIRE IN AIR. TRIED TO RETURN. EXPLODED ON FINAL.   ,<triplet> Airline <subj> PIPE <obj> item operated,Airline,item operated,PIPE
369,318,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,<triplet> AIRPLANES LANDING/TAXI LIGHT INOPERATIVE <subj> TAXIWAY <obj> facet of,AIRPLANES LANDING/TAXI LIGHT INOPERATIVE,facet of,TAXIWAY
370,319,ENGINE RAN ROUGH. STUDENT PILOT MISSED 1ST LANDING APPROCH. ENGINE QUIT ON BASE ON 2ND TRY. HIT TREES.             ,<triplet> HIT TREES <subj> ENGINE <obj> instance of,HIT TREES,instance of,ENGINE
371,320,"ENGINE BECAME ROUGH, PILOT CHECKED FOR CARB ICE. MADE PRECAUTIONARY LANDING IN A FIELD. PRIMER UNLOCKED AND OUT.   ",<triplet> CARB <subj> ICE <obj> has part <triplet> ICE <subj> CARB <obj> part of,CARB,has part,ICE
372,320,"ENGINE BECAME ROUGH, PILOT CHECKED FOR CARB ICE. MADE PRECAUTIONARY LANDING IN A FIELD. PRIMER UNLOCKED AND OUT.   ",<triplet> CARB <subj> ICE <obj> has part <triplet> ICE <subj> CARB <obj> part of,ICE,part of,CARB
373,321,ENGINE QUIT AND WAS SHUTDOWN. CAUSE FOUND TO BE FUEL STARVATION DUE TO MISSING FUEL CAP.                           ,<triplet> FUEL STARVATION <subj> ENGINE <obj> facet of,FUEL STARVATION,facet of,ENGINE
374,322,PILOT ELECTED TO LAND GEAR UP DUE TO UNSAFE NOSE GEAR INDICATION. NO MALFUNCTION FOUND.                            ,"<triplet> National Air and Space Museum <subj> Washington, D.C. <obj> located in the administrative territorial entity",National Air and Space Museum,located in the administrative territorial entity,"Washington, D.C."
375,323,FLIGHT DIVERTED FOR ADDITIONAL FUEL. AIRCRAFT WAS IMPROPERLY FUELED FOR DEPARTURE.                                 ,<triplet> FUEL <subj> AIRCRAFT <obj> used by,FUEL,used by,AIRCRAFT
376,324,TRIED TAKEOFF FROM TRAILER. SKID TIEDOWN FELL BACK IN PLACE. HELICOPTER ROLLED OVER OFF TRAILER.                   ,<triplet> TAKEOFF <subj> TRAILER <obj> subclass of,TAKEOFF,subclass of,TRAILER
377,325,WIND RAISED LIGHT SLING LOAD . CABLE HIT TAILROTOR. MADE HARD AUTOROTATE LANDING.                                  ,<triplet> LIGHT SLING LOAD <subj> TRAIL <obj> subclass of,LIGHT SLING LOAD,subclass of,TRAIL
378,326,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,<triplet> 2012 Winter Olympics <subj> 2012 <obj> point in time,2012 Winter Olympics,point in time,2012
379,327,PILOT DID NOT DRAIN FUEL TANKS. WATER IN TANKS CAUSED ENGINE TO STOP AFTER TAKEOFF. LANDED IN FIELD.               ,<triplet> TAKEOFF <subj> FUEL <obj> product or material produced,TAKEOFF,product or material produced,FUEL
380,328,"ENGINE FAILED ON TAKEOFF, FOUND WATER IN FUEL.                                                                     ",<triplet> FOUND WATER IN <subj> ENGINE <obj> main subject,FOUND WATER IN,main subject,ENGINE
381,329,TRIED TO TAKE OFF WITH SNOW & ICE ON ACFT. UNABLE TO CLIMB. RAN OFF END RWY INTO A BARN.                           ,<triplet> ACFT <subj> RWY <obj> located in the administrative territorial entity,ACFT,located in the administrative territorial entity,RWY
382,330,PILOT FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT. RETRACTED ON TAKEOFF ROLL.                           ,<triplet> TAKEOFF <subj> GEAR KNOB <obj> instance of,TAKEOFF,instance of,GEAR KNOB
383,331,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ",<triplet> FLAMEOUT <subj> AUTO THROTTLE <obj> facet of,FLAMEOUT,facet of,AUTO THROTTLE
384,332,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL. ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY. DROPPED OVER A CLIFF.     ,<triplet> TAKEOFF <subj> ENGINE COWLING <obj> instance of,TAKEOFF,instance of,ENGINE COWLING
385,333,ABORTED TAKEOFF WHEN ENGINE COWLING RAISED UP DUE TO BEING UNLATCHED ON ONE SIDE. RAN OFF END OF RUNWAY.           ,<triplet> TAKEOFF <subj> ENGINE COWLING <obj> subclass of,TAKEOFF,subclass of,ENGINE COWLING
386,334,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",<triplet> RAIN SHOWER <subj> FIELD <obj> subclass of,RAIN SHOWER,subclass of,FIELD
387,335,PILOT TOOK OFF WITH RIGHT GENERATOR INOPERATIVE. LEFT GENERATOR FAILED IN FLIGHT. PILOT LANDED GEAR UP.            ,<triplet> LEFT GENERATOR <subj> RIGHT GENERATOR <obj> opposite of,LEFT GENERATOR,opposite of,RIGHT GENERATOR
