,index,input,head,relation,tail
885,793,UNEVEN FUEL BURN DUE TO MUD DAUBER BLOCKAGE IN FUEL VENT. ENGINE QUIT. AIRCRAFT NOSED OVER IN OPEN FIELD.          ,2009 World Championships,point in time,2009
886,794,UNABLE TO GLIDE TO AIRPORT AFTER ENGINE QUIT. FUEL EXHAUSTION. FUEL STRAINER DRAIN VALVE FOUND TO BE HALF OPEN.    ,wheel lock,part of,control
887,795,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,jet fuel,has part,engine
888,796,STALLED DURING CLIMBOUT BUT RECOVERED AND LANDED. HAD NEGLECTED TO REMOVE A WEIGHTED TAIL TIEDOWN.                 ,aborted,subclass of,takeoff roll
889,797,NEGLECTED TO REMOVE HOMEMADE RIGHT CONTROL WHEEL LOCK DURING HASTY DEPARTURE. STALLED ON CLIMBOUT. BURNED ON IMPACT,aircraft,use,takeoff
890,798,BOTH ENGINES LOST POWER AFTER TAKEOFF. LANDED GEAR UP IN FIELD AND FIRE ERUPTED. IMPROPERLY FUELED WITH JET FUEL.  ,main rotor,subclass of,turbine
891,799,ENGINE COWLING NOT PROPERLY SECURED CAME LOOSE ON THE TAKEOFF ROLL. ABORTED AND OVERRAN THE RUNWAY CAUSING DAMAGE. ,emergency landing,subclass of,engine response
892,800,UNABLE TO CLIMB AFTER TAKEOFF DUE TO ICE ON THE AIRCRAFT. SETTLED INTO TREES.                                      ,preflight pilot,item operated,aircraft
893,800,UNABLE TO CLIMB AFTER TAKEOFF DUE TO ICE ON THE AIRCRAFT. SETTLED INTO TREES.                                      ,aircraft,operator,preflight pilot
894,801,"STARTED ENGINE WITH MAIN ROTORS TIEDOWN. BLADE SLIPPED OUT OF SOCK, STRUCK TAIL BOOM AND TURTLE BACK.              ",pitot,subclass of,static covers
895,802,STRUCK TREE AND NOSED OVER DURING EMERGENCY LANDING DUE TO LACK OF ENGINE RESPONSE. PRIMER IN OPEN POSITION.       ,runway,use,landing
896,803,DURING PREFLIGHT PILOT FAILED TO ENSURE NOSE BAGGAGE DOOR WAS LOCKED. SUITCASE FELL FROM AIRCRAFT ON CLIMB.        ,landing,follows,liftoff
897,804,NO AIRSPEED ON TAKEOFF ROLL. ABORTED BUT OVERRAN THE RUNWAY. COPILOT HAD NEGLECTED TO REMOVE PITOT STATIC COVERS.  ,crashed,located in the administrative territorial entity,North Carolina
898,805,A WING STRUCK CONSTRUCTION BARRICADES DURING THE LANDING ROLL. RUNWAY WAS OPENED WITHOUT CHECKING ON BARRIERS.     ,low pass,subclass of,takeoff
899,806,LOOSE GLOVE BOX RESTRICTED REAR MOVEMENT OF CONTROL WHEEL. HIT TREE AFTER LIFTOFF. SUBSEQUENTLY MADE HARD LANDING. ,pole,subclass of,tree
900,807,AIRCRAFT SANK IN BAY BECAUSE OF LEAKING FLOAT. TWO PASSENGERS DID NOT MAKE SHORE BECAUSE OF COLD WATER.            ,jet,has part,fuel
901,808,ENGINE LACKED FULL POWER TO GO AROUND FROM LOW PASS. LOWER PLUGS WERE FOULED. PILOT IGNORED ROUGH MAGS ON TAKEOFF. ,student pilot,field of this occupation,control aircraft
902,808,ENGINE LACKED FULL POWER TO GO AROUND FROM LOW PASS. LOWER PLUGS WERE FOULED. PILOT IGNORED ROUGH MAGS ON TAKEOFF. ,control aircraft,practiced by,student pilot
903,809,"STRONG GUSTY WINDS EXCEEDED MAX X WIND COMPONENT, LANDED LONG, GO AROUND, HIT TREE AND POLE. FLAPS, GEAR EXTENDED. ",brake pad,part of,brake
904,810,"AIRCRAFT LOST POWER ON TAKEOFF, DITCHED IN OCEAN. AIRCRAFT HAD BEEN SERVICED WITH 147 GALLONS OF JET A FUEL.       ",strut collar,connects with,trunion
905,810,"AIRCRAFT LOST POWER ON TAKEOFF, DITCHED IN OCEAN. AIRCRAFT HAD BEEN SERVICED WITH 147 GALLONS OF JET A FUEL.       ",trunion,connects with,strut collar
906,811,STUDENT PILOT FAILED TO CONTROL AIRCRAFT DURING GO AROUND FROM A BOUNCED LANDING. FLAPS WERE RETRACTED EARLY.      ,LCA,manufacturer,United Technologies Corporation
907,812,"BRAKE FAILED WHEN APPLIED FOR TURN OFF RUNWAY.RAN DOWN EMBANKMENT. BRAKE PAD BADLY WORN, LOST BRAKE FLUID.         ",1972,point in time,1972
908,813,"NOSE GEAR COLLAPSED ON ROLLOUT. TURN STOP ON STRUT COLLAR SHEARED, TRUNION SPREAD. PROBABLY FROM TOWING AIRCRAFT.  ",carburetor,connects with,gascolator
909,813,"NOSE GEAR COLLAPSED ON ROLLOUT. TURN STOP ON STRUT COLLAR SHEARED, TRUNION SPREAD. PROBABLY FROM TOWING AIRCRAFT.  ",gascolator,connects with,carburetor
910,814,PART OF ENGINE COWLING SEPARATED DUE TO IMPROPER LATCHING. PILOT RETURNED TO AIRPORT FOR EMERGENCY LANDING.        ,nosewheel,subclass of,steering
911,815,RETURNED THINKING HYDRAULIC PUMP FOR NOSE GEAR FAILED. FOUND NOSE GEAR PIN HAD NOT BEEN REMOVED.                   ,emergency landing,has cause,fuel starvation
912,816,"ENGINE QUIT AFTER TAKEOFF. LANDED IN FIELD. 2 QUARTS OF WATER IN LEFT FUEL TANK, WATER IN CARBURETOR, GASCOLATOR.  ",canyon,subclass of,terrain
913,817,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,aborted takeoff,location,runway
914,818,"PILOT LEFT FUEL STRAINER VALVE IN THE OPEN POSITION. FUEL STARVATION, BOTH ENGINES QUIT, EMERGENCY LANDING.        ",fuel pump,use,refueling
915,819,AIRCRAFT COLLIDED WITH TREES AND TERRAIN IN BOTTOM OF A CANYON. SUSPECT WATER IN FUEL SYSTEM CAUSE THE POWER LOSS. ,runway,use,takeoff
916,820,"AUTOPILOT INADVERTENTLY LEFT ON. COULD NOT ROTATE, ABORTED TAKEOFF, SLID OFF END OF ICY RUNWAY, HIT TREE, GROUND.  ",left engine,part of,fuel system
917,820,"AUTOPILOT INADVERTENTLY LEFT ON. COULD NOT ROTATE, ABORTED TAKEOFF, SLID OFF END OF ICY RUNWAY, HIT TREE, GROUND.  ",fuel system,has part,left engine
918,821,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ",cowling,part of,engine
919,822,"TRIED TAKEOFF, NO CLEARANCE WITH CONTROL ZONE IFR. WOULD NOT FLY. WATER IN FLOATS. ABORTED, HIT BRIDGE PILING, SANK",fuel tank,has part,vent
920,822,"TRIED TAKEOFF, NO CLEARANCE WITH CONTROL ZONE IFR. WOULD NOT FLY. WATER IN FLOATS. ABORTED, HIT BRIDGE PILING, SANK",vent,part of,fuel tank
921,823,PILOT DID NOT PERFORM PROPER PREFLIGHT INSPECTION. POWER LOSS IN LEFT ENGINE. FOUND WATER IN FUEL SYSTEM.          ,aircraft burned after impact,subclass of,fuel leak
922,824,ENGINE COWLING CAME LOOSE ON INBOARD SIDE. NORMAL LANDING MADE. COWLING FASTNERS WERE UNLOCKED.                    ,carb bowl,connects with,fuel bladder
923,824,ENGINE COWLING CAME LOOSE ON INBOARD SIDE. NORMAL LANDING MADE. COWLING FASTNERS WERE UNLOCKED.                    ,fuel bladder,connects with,carb bowl
924,825,"ENGINE QUIT ON APPROACH. FUEL HAD BEEN SIPHONING FROM FUEL TANK VENT. VENT HAD BEEN CUT OFF, FUEL STAIN ON WING.   ",jet,subclass of,aircraft
925,826,"ENGINE QUIT AFTER TAKEOFF, CARBURETOR ICE SUSPECTED. FUEL LEAK IGNORED BY PLILOT. AIRCRAFT BURNED AFTER IMPACT.    ",Deadbeat,cast member,John Wayne
926,827,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,airport,has part,runway
927,827,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,runway,part of,airport
928,828,OPEN CREW DOOR SEPARATED FROM AIRCRAFT DUE TO JET BLAST FROM ANOTHER AIRCRAFT.                                     ,explosion,has effect,fire
929,829,WHILE DEADHEADING TO BASE REAR CARGO DOOR CAME OPEN.                                                               ,low,subclass of,altitude
930,830,LANDED IMMEDIATELY AFTER TAKEOFF ON SAME RUNWAY. OVER ONE PINT OF WATER WAS IN TANKS AND SYSTEM.                   ,engine oil,subclass of,oil pressure
931,831,AFTER STARTING ENGINE AN EXPLOSION OCCURRED FOLLOWED BY FIRE. AD 721101 HAD NOT BEEN COMPLIED WITH.                ,fuel tank,part of,engine
932,832,"DID NOT SET IN ALTIMETER SETTING, READ 300 FEET HIGH. LOW AT MINIMUM DESCENT ALTITUDE, IMPACTED TREES.             ",snowbank,subclass of,snow
933,833,"AFTER TAKEOFF, PILOT HAD FLUCTUATING OIL PRESSURE. RETURNED TO AIRPORT. FOUND ENGINE OIL LOW. SERVICED, CHECKED OK.",carburetor,part of,engine
934,834,ENGINE LOST POWER DURING CLIMB. LANDED ON ROAD. WATER FOUND IN FUEL TANKS.                                         ,auto gas,subclass of,fuel
935,835,"NOTAM SAID 50 FT WIDTH SNOW CLEARED. AREA CLEARED WAS 30 FT WITH CURVE. WHEEL STRUCK SNOWBANK, ENGINES INTO SNOW.  ",landing gear,use,takeoff
936,836,"ENGINE QUIT AFTER TAKEOFF. HIT TREE, POWERLINES, GROUND. FUEL LINE TO CARBURETOR FULL OF WATER.                    ",fuel system,has part,runway
937,837,"ENGINE QUIT, RESTART SEVERAL TIMES WITH PARTIAL POWER. SAFE LANDING. WATER IN TANKS. LOW FUEL. STC FOR AUTO GAS.   ",reverse ineffective,subclass of,underspeed governor
938,838,"ON TAKEOFF, NOSE TIRE FLIPPED FLUSH TAXIWAY CENTERLINE LIGHT COVER HOUSING INTO LANDING GEAR. CUT HYDRAULIC LINE.  ",aircraft,has part,propellers
939,839,LOST POWER LANDED SHORT OF RUNWAY AND FLIPPED OVER. WATER IN FUEL SYSTEM AND CARBURETOR.                           ,snow covered,subclass of,moisture
940,840,AFTER LANDING RIGHT PROPELLER REVERSE INEFFECTIVE. UNDERSPEED GOVERNOR LINKAGE DISCONNECTED.                       ,aborting takeoff,location,runway
941,841,"GROUND PERSONNEL POSITIONED LARGE FIRE EXTINGUISHER NEAR AIRCRAFT. STRUCK EXTINGUISHER, DAMAGE TO BOTH PROPELLERS. ",engine,part of,aircraft
942,842,LOSS OF POWER ON TAKEOFF. AIRCRAFT TURNED OVER IN SNOW COVERED FIELD. MOISTURE FOUND IN FUEL SYSTEM.               ,anti ice,opposite of,ignitors
943,843,LOST CONTROL AFTER ABORTING TAKEOFF DUE TO FAILURE TO REMOVE A RUDDER GUST LOCK.RAN OFF THE RUNWAY AND OVERTURNED. ,motor,has part,gear
944,844,AFTER STARTING ENGINE AIRCRAFT MOVED FORWARD STRIKING 5560G. PILOT COULD NOT ADEQUATELY REACH BRAKE PEDALS.        ,battery,different from,alternator
945,844,AFTER STARTING ENGINE AIRCRAFT MOVED FORWARD STRIKING 5560G. PILOT COULD NOT ADEQUATELY REACH BRAKE PEDALS.        ,alternator,different from,battery
946,845,TURNED ON ENGINE ANTI ICE BUT NOT IGNITORS IN ICING CONDITIONS. DOUBLE FLAMEOUT AND RESTARTS.                      ,West Bengal,country,India
947,845,TURNED ON ENGINE ANTI ICE BUT NOT IGNITORS IN ICING CONDITIONS. DOUBLE FLAMEOUT AND RESTARTS.                      ,India,contains administrative territorial entity,West Bengal
948,846,LANDED BESIDE RUNWAY WITH GEAR PARTIALLY EXTENDED. GEAR MOTOR CIRCUIT BREAKER POPPED. MANUAL GEAR RELEASE UNENGAGED,covered,subclass of,manhole
949,847,BATTERY TOO LOW TO EXCITE ALTERNATORS.UNABLE TO UNSTOW MANUAL EXTENSION HANDLE. LANDED GEAR UP BESIDE RUNWAY.      ,oil starvation,subclass of,oil temperature
950,848,"RETURNING WITH OPEN NOSE BAGGAGE DOOR, LEFT PROP FEATHERED, GEAR DOWN. BANKED LEFT AND NOSED INTO TREES AND GROUND.",emergency landing,different from,takeoff
951,848,"RETURNING WITH OPEN NOSE BAGGAGE DOOR, LEFT PROP FEATHERED, GEAR DOWN. BANKED LEFT AND NOSED INTO TREES AND GROUND.",takeoff,different from,emergency landing
952,850,OIL TEMPERATURE REACHED RED LINE AND DURING TURN BACK TO AIRPORT ENGINE SEIZED. LANDED IN TREES. OIL STARVATION.   ,cuff,part of,jacket
953,851,EMERGENCY LANDING AFTER POWER LOSS DURING TAKEOFF. FUEL PRIMER FOUND SLIGHTLY PULLED OUT. WATER FOUND IN FUEL.     ,door,part of,flight
954,852,AIRCRAFT MUSHED DURING TAKEOFF WITH FULL FLAPS. ABORTED AS WING DROPPED. CONTACTED GRASS AND SLID INTO DEEP MUD.   ,fuel line,part of,engine
955,853,DURING TAKEOFF FROM SNOW COVERED AREA CUFF OF JACKET INADVERTANTLY SHUT OFF BOTH TOGGLE SWITCH MAGS. HIT SMALL TREE,icing,subclass of,descending
956,854,DURING CLIMB OBSERVED DOOR AJAR LIGHT. DOOR CAME OPEN AS PILOT APPROACHED. CLOSED DOOR IN FLIGHT. NO MALFUNCTION.  ,forward baggage door,subclass of,door
957,855,WING STRUCK SMALL TREE DURING LANDING AFTER ENGINE QUIT. WATER FOUND IN FUEL LINES AND TANK.                       ,damper,subclass of,rod
958,856,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,tailwind,subclass of,takeoff
959,857,LEFT FORWARD BAGGAGE DOOR REPORTED OPEN IN FLIGHT. RETURNED TO LAND. DOOR LATCH FOUND TO BE UNDAMAGED.             ,oil filler cap,part of,windshield
960,858,LOUD NOISE WITH GEAR RETRACTION. UNABLE TO EXTEND. SHIMMY DAMPER ROD END BROKE. GROUND TUG EXCEEDED NOSE TURN LIMIT,retract system,subclass of,gear retraction
961,859,LOST CONTROL AND GROUND LOOPED ON INITIAL TAKEOFF ROLL. TAIL WHEEL NOT LOCKED AND HAD QUARTERING TAILWIND.         ,1969,point in time,1969
962,860,ON TAKEOFF PILOT NOTICED OIL ON WINDSHIELD. RETURNED FOR LANDING. OIL FILLER CAP WAS NOT PROPERLY SEATED.          ,nosewheel,connects with,propeller
963,860,ON TAKEOFF PILOT NOTICED OIL ON WINDSHIELD. RETURNED FOR LANDING. OIL FILLER CAP WAS NOT PROPERLY SEATED.          ,propeller,connects with,nosewheel
964,861,LOUD BANG WITH GEAR RETRACTION. NOSE PARTIALLY EXTENDED FOR LANDING. COMPRESSED NOSE STRUT JAMMED RETRACT SYSTEM.  ,elevator,has part,idle arm
965,861,LOUD BANG WITH GEAR RETRACTION. NOSE PARTIALLY EXTENDED FOR LANDING. COMPRESSED NOSE STRUT JAMMED RETRACT SYSTEM.  ,idle arm,part of,elevator
966,862,PILOT ELECTED TO LAND ON DIRT ROAD AFTER FUEL EXHAUSTION  . NO INJURIES OR DAMAGE.                                 ,runway,use,takeoff
967,863,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ",pad,use,takeoff
968,864,AIRCRAFT NOSED INTO GROUND ON FINAL APPROACH IN GUSTY WIND CONDITIONS. SOLID ICE AROUND ELEVATOR IDLE ARM ASSEMBLY.,taxiing back on the runway,followed by,landing
969,865,RAN OFF SIDE OF RUNWAY DURING TAKEOFF. MAINTENANCE PERSONNEL HAD PLACED RUDDER TRIM FULL LEFT.                     ,trim wheel,part of,aircraft
970,866,DURING TAKEOFF UNSECURED TACKLE BOX SLID FORWARD AND JAMMED CYCLIC. SKID MISSED PAD AND AIRCRAFT ROLLED OVER.      ,airport,item operated,hsi
971,867,NOSE GEAR COLLAPSED WHILE TAXIING BACK ON THE RUNWAY AFTER LANDING. CLAIMED SOFT ASPHALT ON RUNWAY CAUSED COLLAPSE.,jetway,instance of,alignment
972,868,PILOT BUMPED TRIM WHEEL AS HE RAISED GEAR. AIRCRAFT NOSED DOWN AND STRUCK RUNWAY.                                  ,backfire,has effect,lost power
973,869,"OPERATOR DISPATCHED AIRPLANE WITH HSI SLAVE INOP. SHOT APPROACH OFF COURSE AND PAST AIRPORT, STRUCK TREES.         ",runway,has part,nose strut
974,870,"STRUCK JETWAY WITH ENGINE WHILE FOLLOWING GREEN LIGHT AND ALIGNMENT PANELS. LIGHT FAULTY, PANELS MISALIGNED.       ",1988,point in time,1988
975,871,ENGINES BEGAN TO BACKFIRE AND LOST POWER AFTER LIFTOFF. GEAR UP LANDING IN DESERT. SUPERCHARGERS IN HIGH POSITION. ,aircraft,has part,engine
976,871,ENGINES BEGAN TO BACKFIRE AND LOST POWER AFTER LIFTOFF. GEAR UP LANDING IN DESERT. SUPERCHARGERS IN HIGH POSITION. ,engine,part of,aircraft
977,872,WENT OFF SIDE OF RUNWAY ON ROLLOUT. NO DAMAGE. NOSE STRUT WAS HIGH. PILOT UNCONCERNED DUE TO GRAVEL SHOULDER.      ,unleaded,subclass of,fuel
978,873,APPLIED BRAKES ON ROLLOUT AND AIRCRAFT WENT OFF SIDE OF RUNWAY. LACK OF BRAKE FLUID IN RESERVOIR.                  ,full flaps,part of,runway
979,874,"TURNED FUEL OFF ON SIMULATED APPROACH. COULD NOT MAINTAIN ALTITUDE. NO ENGINE RESTART, LANDED GEAR UP.             ",aircraft,used by,pilot
980,875,ENGINE QUIT AFTER LEVEL OFF. STRUCK FENCE POSTS DURING LANDING. PROBABLE VAPOR LOCK. UNAPPROVED UNLEADED FUEL USED.,carburetor,use,takeoff
981,876,ATTEMPTED GO AROUND AT HIGH DENSITY ALTITUDE WITH FULL FLAPS. IMPACTED GROUND OFF SIDE OF RUNWAY.                  ,aborted takeoff,subclass of,liftoff
982,877,PILOT DID NOT LOCK RUDDER PEDAL IN PLACE. PEDAL COLLAPSED ON ROLLOUT AND AIRCRAFT GROUND LOOPED.                   ,induction icing,subclass of,downwind
983,878,"LOST POWER DURING TAKEOFF FROM FARM STRIP. LANDED IN FIELD,FLIPPED INVERTED. WATER FOUND IN CARBURETOR BOWL.       ",CFI,instance of,plt
984,879,"ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. ABORTED TAKEOFF, NOSE GEAR COLLAPSED. PILOT TRAINING INADEQUATE.   ",engine,has part,induction system
985,879,"ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. ABORTED TAKEOFF, NOSE GEAR COLLAPSED. PILOT TRAINING INADEQUATE.   ",induction system,part of,engine
986,880,LOST POWER ON DOWNWIND LEG. LANDED EXTREMELY HARD ON ROAD. PROBABLE INDUCTION ICING. DID NOT USE ALTERNATE AIR.    ,refueled,different from,landing
987,881,"LOST POWER (.4)THE INSTRUCTOR PLT (CFI) REPORTED THAT WHILE HE WAS INSTRUCTING THE STUDENT ON TAKEOFFS & LANDING, T",fuel selector,part of,fuel quantity gauge
988,882,ENGINE DID NOT DEVELOP FULL POWER AFTER TAKEOFF. RETURNED AND FOUND BIRDS NEST IN INDUCTION SYSTEM.                ,aborted takeoff,location,runway
989,883,PRECAUTIONARY LANDING DUE TO ROUGH RUNNING ENGINE. REMAINING FUEL DRAINED. REFUELED AND PROCEEDED TO DESTINATION.  ,2009 Atlantic hurricane season,point in time,2009
990,884,"ENGINE QUIT AFTER TAKEOFF, FORCED LANDING IN FIELD. FUEL SELECTOR ON EMPTY TANK, FUEL QUANTITY GAUGE SHOWED FULL.  ",gear,part of,engines
991,885,"OIL SPRAY ON WINDSHIELD, ABORTED TAKEOFF. RAN OFF END OF RUNWAY AND FLIPPED OVER. OIL FILLER CAP NOT SECURED.      ",carb ice,has effect,engine quit
992,886,"CANOPY CAME OPEN AFTER LIFTOFF. UNSUCCESSFUL ATTEMPT TO CLOSE CANOPY, TOW RELEASE. WING STRUCK GROUND ON TURNBACK. ",2003,point in time,2003
993,887,"POWER LOSS ON ENGINES DUE TO WATER IN FUEL, GEAR PARTIALLY EXTENDED, LOW HYDRAULIC FLUID. AIRCRAFT SAT FOR 5 MONTHS",alternator,instance of,gear
994,888,THE AIRCRAFT HIT WIRES DURING AN EMERGENCY LANDING. SUSPECT THE ENGINE QUIT DUE TO CARB ICE. STARTER INOPERATIVE.  ,aerobatics,practiced by,pilot
995,888,THE AIRCRAFT HIT WIRES DURING AN EMERGENCY LANDING. SUSPECT THE ENGINE QUIT DUE TO CARB ICE. STARTER INOPERATIVE.  ,pilot,field of this occupation,aerobatics
996,889,"SPOILERS INADVERTENTLY DEPLOYED AFTER TAKEOFF, WOULD NOT RETRACT. CUT AWAY, LANDED ON RACETRACK, WING HIT A FENCE. ",aborted,location,runway
997,890,GEAR COLLAPSED ON LANDING. PILOT UNSURE HE ACTIVATED ALTERNATOR SWITCH AND DID NOT VISUALLY CHECK GEAR POSITION.   ,oil dipstick,part of,engine compartment
998,891,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,power failure,has effect,emergency landing
999,892,"LOST POWER DURING TAKEOFF, ABORTED AND RAN OFF END OF RUNWAY. NO DAMAGE. GASCOLATOR DRAIN WAS DRAINING.            ",runway,has part,gear
1000,893,STRUCK TREES AND GROUND DURING EMERGENCY LANDING IN THE DARK. OIL DIPSTICK FOUND IN REAR OF ENGINE COMPARTMENT.    ,airport,different from,airport
1001,894,PARTIAL POWER FAILURE AT CRUISE. NO DAMAGE DURING EMERGENCY LANDING. WATER FOUND IN FUEL.                          ,right engine,has part,feather propeller
1002,894,PARTIAL POWER FAILURE AT CRUISE. NO DAMAGE DURING EMERGENCY LANDING. WATER FOUND IN FUEL.                          ,feather propeller,part of,right engine
1003,895,"ABORTED TAKEOFF WHEN NOSE BAGGAGE DOOR OPENED. RAN OFF RUNWAY END, GEAR COLLAPSED, FIRE ERUPTED. DOOR CHANNEL BENT.",landing,uses,gear extension
1004,896,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,left gear,opposite of,right gear
1005,896,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,right gear,opposite of,left gear
1006,897,LANDED GEAR UP ON BRUSH COVERED TERRAIN AFTER RIGHT ENGINE QUIT DUE TO EMPTY FUEL TANK.FAILED TO FEATHER PROPELLER.,steering,used by,pilot
1007,898,IMPROPER GEAR EXTENSION PROCEDURE AND NOSE GEAR COLLAPSED ON LANDING. OWNER DID NOT ADEQUATELY BRIEF PIC.          ,safety pin,part of,gear
1008,899,"BRAKE FAILED DURING ROLLOUT. AIRCRAFT STRUCK FENCE, RIGHT GEAR COLLAPSED. BRAKE LININGS WORN OUT, HYDRAULIC LEAK.  ",fuel lines,part of,engine
1009,900,ROLLED OFF SIDE OF TAXIWAY DUE TO LACK OF NOSE WHEEL STEERING. PILOT HAD INADVERTENTLY BUMPED SWITCH TO OFF.       ,aborted,subclass of,takeoff
1010,901,RETURNED TO AIRPORT DUE TO GEAR PROBLEM. NOSE GEAR SAFETY PIN OVERLOOKED DURING PREFLIGHT.                         ,runway,use,takeoff
1011,902,AFTER SWITCHING TANKS ENGINE QUIT. COLLIDED WITH DITCH ON LANDING. PROBABLY AIR IN FUEL LINES.                     ,runway,used by,pilot
1012,903,"INADVERTENTLY LEFT AUTO PILOT ON DURING TAKEOFF. UNABLE TO ROTATE, ABORTED TOO LATE, RAN OFF END OF RUNWAY.        ",oil cap,part of,engine
1013,904,"OUT OF FUEL ON TAKEOFF, RESTARTED ON OTHER TANK BUT ABORTED. LANDED, SWERVED OFF RUNWAY SIDE AND NOSED OVER.       ",runway,connects with,engine
1014,905,PILOT DISTRACTED BY SHIFTING BAGGAGE FORGOT TO UNLOCK BRAKES FOR LANDING. RAN THROUGH DITCH OFF SIDE OF RUNWAY.    ,fuel tank,part of,engine
1015,906,PRECAUTIONARY LANDING AFTER NOTING OIL COMING FROM LEFT ENGINE. OIL CAP NOT PROPERLY SECURED.                      ,priming,has effect,engine fire
1016,907,ENGINE QUIT AFTER TAKEOFF. LANDED SHORT GLIDING BACK TO RUNWAY. GEAR TORN OFF. FUEL BOWL FULL OF WATER.            ,wing,part of,aircraft
1017,907,ENGINE QUIT AFTER TAKEOFF. LANDED SHORT GLIDING BACK TO RUNWAY. GEAR TORN OFF. FUEL BOWL FULL OF WATER.            ,aircraft,has part,wing
1018,908,STRUCK TREES DURING NIGHT EMERGENCY LANDING AFTER ENGINE QUIT. WATER IN FUEL TANKS AND LINES.                      ,up position,subclass of,gear
1019,909,OVER PRIMING DURING STARTING PROCEDURES ON A HOT DAY RESULTED IN AN ENGINE FIRE WHICH CONSUMED THE AIRPLANE.       ,canopy,has part,stabilizer
1020,909,OVER PRIMING DURING STARTING PROCEDURES ON A HOT DAY RESULTED IN AN ENGINE FIRE WHICH CONSUMED THE AIRPLANE.       ,stabilizer,part of,canopy
1021,910,DURING ROLLOUT A GUST OF WIND PICKED UP WING AND AIRCRAFT GROUND LOOPED. STEERING SPRING HAD TEMPORARY REPAIR.     ,runway,use,takeoff
1022,911,GEAR RETRACTED ON TAKEOFF ROLL. SELECTOR HAD BEEN INADVERTENTLY PLACED IN UP POSITION BY PILOT PRIOR TO FLIGHT.    ,elevator control jammed shen harness,item operated,elevator cable
1023,912,CANOPY LATCH CAME LOOSE AND CANOPY BLEW OFF IN FLIGHT. DAMAGE TO STABILIZER BUT SAFE LANDING.                      ,fuel cap,has effect,fuel starvation
1024,913,BEGAN TAKEOFF WITH CONTROL LOCK IN PLACE. CONTINUED WHILE TRYING TO REMOVE LOCK. LIFTED OFF AND CRASHED ONTO RUNWAY,fuel primer,part of,cockpit
1025,914,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,water taxi,subclass of,float
1026,915,"MUD NESTS BLOCKED FUEL CAP VENTS, FUEL STARVATION. STALLED ON TURN TO FIELD 4 MILES WEST OF GREENBRIER VALLEY ARPT.",2009 World Championships,point in time,2009
1027,916,STRONG FUEL SMELL IN COCKPIT AT CRUISE. VECTORED TO AIRPORT. FUEL PRIMER UNLOCKED.                                 ,autorotated,practiced by,pilot
1028,916,STRONG FUEL SMELL IN COCKPIT AT CRUISE. VECTORED TO AIRPORT. FUEL PRIMER UNLOCKED.                                 ,pilot,field of this occupation,autorotated
1029,917,OVERTURNED DURING WATER TAXI WITH FLOATS PARTIALLY SUBMERGED. NUMEROUS LEAKS FOUND IN BOTH FLOATS.                 ,control lock,part of,elevator
1030,918,LANDED WITHOUT DAMAGE AFTER ATTEMPTING TAKEOFF WITH FLAPS DOWN AND CARBURETOR HEAT ON. SOLO STUDENT.               ,landing,facet of,directional control
1031,919,"THROTTLE CABLE BECAME LOOSE. AUTOROTATED, HIT NOSE FIRST, BLADES HIT GROUND. NO PILOT OR MEDICAL CERTIFICATE.      ",1972,point in time,1972
1032,920,ELEVATOR WOULD NOT MOVE ON TAKEOFF. RAN THROUGH FENCE AND HIT DIRT PILE. NON STANDARD CONTROL LOCK OVERLOOKED.     ,2008 Summer Olympics,point in time,2008
