c5,c119,c119_entity_linking
19800828088529I,PITOT TUBE OBSTRUCTED. STUDENT PILOT ABORTED TAKEOFF DUE TO PERCEIVED SLOW ACCELERATION. BLEW A TIRE OFF RUNWAY.   ,[]
19800920069229I,EMERGENCY LANDING AFTER ENGINE RAN ROUGH. FOUND AUTOMOTIVE GRADE FUEL IN TANKS AND RUSTED CARB HEAT MUFF.          ,"[['ENGINE R', Entity not linked to a knowledge base, None], ['CARB HE', Entity not linked to a knowledge base, None]]"
19800921069839I,UNSCHEDULED LANDING AFTER ENGINE ROUGHNESS. FOUND WATER IN FUEL TANKS.                                             ,"[['ENG', Entity(wikidata_entity_id=Q632025, wikipedia_entity_title=Engineering notation), None], ['FUEL TANKS', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19800924070749I,BAGGAGE DOOR WAS NOT PROPERLY LATCHED ALLOWING BRIEFCASE TO FALL OUT AND STRIKE PROPELLER.                         ,"[['BAGGAGE DO', Entity not linked to a knowledge base, None]]"
19800926071329I,NOSE BAGGAGE DOOR CAME OFF IN FLIGHT.                                                                              ,"[['NOSE BAGGAGE DOOR C', Entity not linked to a knowledge base, None]]"
19801001089029I,AIRCRAFT BEGAN TO POP AND SPUTTER AFTER LIFTOFF. LANDED IN FIELD.INLET FUEL SCREEN CHAMBER FULL OF WATER.          ,"[['EG', Entity not linked to a knowledge base, None]]"
19801002072409I,ZD ZE NOSE BAGGAGE DOOR CAME OPEN ON TAKEOFF RUN. ABORTED TAKEOFF AND RAN OFF END OF RUNWAY. AC OUT OF ANNUAL      ,"[['ZD ZE NOSE', Entity not linked to a knowledge base, 'PERSON']]"
19801002072439I,ZN PILOT DID NOT GET GREEN LIGHTS WITH GEAR EXTENSION AND DID NOT TRY TO EXTEND MANUALLY. GEAR COLLAPSED ON LANDING,"[['ZN PILOT', Entity not linked to a knowledge base, 'PERSON']]"
19801009081049I,PILOT STARTED TO TAXI FROM TIEDOWN SPOT WHEN RIGHT BRAKE FAILED. AIRCRAFT STRUCK PARKED AIRCRAFT.                  ,"[['TAXI', Entity(wikidata_entity_id=Q1421250, wikipedia_entity_title=Taxiing), None], ['OWN', Entity not linked to a knowledge base, None], ['PARK', Entity(wikidata_entity_id=Q22698, wikipedia_entity_title=Park), None]]"
19801013077609I,"EMERGENCY LANDING DUE TO LOSS OF OIL. AIRCRAFT JUST SERVICED, OIL CAP NOT SECURED, PILOT FAILED TO CHECK.          ",[]
19801014084349I,"ATTEMPTED SINGLE ENGINE FERRY AFTER PERMIT HAD BEEN DENIED.  LOST RPM, LANDED IN OCEAN.  FLOTATION GEAR WORKED OK. ","[['PERMIT', Entity not linked to a knowledge base, None], ['OCEAN', Entity(wikidata_entity_id=Q9430, wikipedia_entity_title=Ocean), None]]"
19801020083779I,UNSCHEDULED LANDING AFTER NOTICING OIL LEAK. OIL CAP NOT SECURED PROPERLY.                                         ,"[['IL CAP', Entity not linked to a knowledge base, None]]"
19801021077929I,NOSE GEAR STUCK ON RETRACTION AND COULD NOT BE EXTENDED. MECHANIC HAD FAILED TO CONNECT DOORS AFTER MAINTENANCE.   ,"[['MECHANIC', Entity(wikidata_entity_id=Q327029, wikipedia_entity_title=Mechanic), 'PERSON']]"
19801101078729I,"AIRCRAFT LOST BRAKE WHILE MAKING LEFT TURN. ON APPLICATION OF RIGHT BRAKE,AIRCRAFT LEFT RUNWAY AND STRUCK TREES.   ",[]
19801105078969I,PILOT TOOK OFF WITH THE ELEVATOR STUCK IN THE FULL NOSE UP POSITION. WAS ABLE TO BREAK IT LOOSE AND LAND.          ,[]
19800923070849I,"TOOK OFF WITH ONE GENERATOR INOPERATIVE, THE OTHER THEN FAILED, CAUSING INSUFFICIENT POWER TO LOCK LANDING GEAR.   ","[['ONE', None, 'CARDINAL']]"
19800922070659I,PROPELLER PICKED UP GROUNDING CABLE FROM RAMP AND DAMAGED AIRCRAFT.                                                ,"[['ER', Entity(wikidata_entity_id=Q1415781, wikipedia_entity_title=Engine room), None], ['P', Entity not linked to a knowledge base, None], ['AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), None]]"
19800922070309I,NOSE GEAR COLLAPSED AFTER LANDING WITH FLAT TIRE.                                                                  ,"[['NOSE GEAR', Entity(wikidata_entity_id=Q263421, wikipedia_entity_title=Landing gear), None], ['FLAT TIRE', Entity(wikidata_entity_id=Q1779337, wikipedia_entity_title=Flat tire), None]]"
19800903086869I,"FORCED LANDING AFTER FUEL WAS EXHAUSTED. FOUND LOOSE FUEL CAP ALLOWING FUEL TO SIPHON OVERBOARD,                   ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'PERSON'], ['FUEL CAP', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'PERSON'], ['SIPHON', Entity(wikidata_entity_id=Q426656, wikipedia_entity_title=Siphon), None]]"
19800920069449I,FORCED LANDING AFTER ENGINE QUIT SHORTLY AFTER TAKEOFF. FOUND WATER IN FUEL.                                       ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19800908069749I,FUEL ADDED FROM TANK ON LOADING TRUCK PRIOR TO DEPARTURE FOR SPRAYING. ENGINE STOPPED DUE TO WATER IN THE FUEL.    ,"[['ENGINE', Entity not linked to a knowledge base, 'PERSON']]"
19801026075989I,AIRCRAFT TOOK OFF WITH WING TIP MISSING.                                                                           ,"[['WING', Entity(wikidata_entity_id=Q4698744, wikipedia_entity_title=Airfoil), None], ['IP', Entity not linked to a knowledge base, None]]"
19800901067979I,POWER LOSS OCCURRED. MADE EMERGENCY LANDING. WATER IN SEDIMENT BOWL OF FUEL SYSTEM.                                ,[]
19800904089099I,AMATEUR BUILT PLANE WOULD NOT DEVELOP SUFFICIENT RPM BECAUSE OF INCORRECT PROP INSTALLATION.                       ,"[['AMATEUR BUILT PLANE', Entity not linked to a knowledge base, 'PERSON']]"
19801105083419I,ZA PILOT STOPPED FOR FUEL. ON TAKEOFF ENGINE QUIT. WTER FOUND IN FUEL TANKS STRAINER AND T FITTING.                ,"[['ZA', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19800917083909I,TEMPORARY LOSS OF ENGINE POWER AFTER PILOT KICKED FUEL SELECTOR.                                                   ,"[['ENGINE POWER', Entity(wikidata_entity_id=Q18206829, wikipedia_entity_title=Engine power), None], ['PILOT KICKED FUEL SELECTOR', Entity not linked to a knowledge base, None]]"
19800926071449I,UNSCHEDULED LANDING AFTER CABLE BLEW INTO TAIL ROTOR CAUSING IT TO SEPERATE AIRCRAFT.                              ,[]
19800921042509A,"NOSED UP NEAR STALL ON TAKEOFF. PILOT REMOVED CONTROL LOCK, RECOVERED TO HIGH SINK RATE AT GROUND IMPACT.          ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19800921081689I,ENGINE QUIT MOMENTARILY AFTER TAKEOFF CAUSING WING TO STRIKE A TREE. FOUND WATER IN THE FUEL.                      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'PERSON']]"
19801005048649A,"LIFTED OFF WITH EFFORT, AIRPLANE NOSE HEAVY, ABORTED, SLAMMED INTO RUNWAY NOSE DOWN. FOUND ELEVATOR TRIM FULL DOWN.",[]
19800901081639I,FORCED LANDING AFTER ENGINE QUIT. FOUND WATER IN FUEL.                                                             ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19801015057189A,"NOT SATISFIED WITH PERFORMANCE. ABORTED TAKEOFF. LANDED, RAN OFF END OF RUNWAY. SUSPECT FRONT ON WINGS.            ","[['AK', Entity(wikidata_entity_id=Q37116, wikipedia_entity_title=AK-47), None], ['WINGS', Entity not linked to a knowledge base, None]]"
19800901067929I,"OIL PRESSURE BEGAN TO RISE. PILOT NOTIFIED CENTER. DIP STICK LOOSE, LOW OIL QUANTITY.                              ",[]
19801020075389I,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]"
19800907069679I,"DOWNLOCK PINS IMPROPERLY INSTALLED AFTER LANDING, NOT FLAGGED, NOT REMOVED BEFORE TAKEOFF.                         ","[['LOCK', Entity not linked to a knowledge base, None]]"
19801114074879I,"ZE ZW NOSE BAGGAGE DOOR CAME OPEN AT ROTATION, TAKE OFF ABORTED. SLID SIDEWAYS ON ICE AND SNOW, GEAR COLLAPSED.    ","[['ZE', Entity not linked to a knowledge base, None]]"
19801024077939I,"ZA ZG ZR NOSE GEAR COULD NOT BE EXTENDED, STUCK BY LOOSE GEAR DOOR. AIRCRAFT NOT RELEASED BY MAINTENANCE.          ","[['ZA ZG ZR', Entity not linked to a knowledge base, None]]"
19800911070199I,PILOT ENTERED CONTROL AREA IMPROPERLY. IGNORED TOWER LIGHTS. STATED HE HAD ELECTRICAL FAILURE.                     ,[]
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"[['PILOT RAN', Entity not linked to a knowledge base, None]]"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"[['ONE', None, 'CARDINAL'], ['AUXILI', Entity not linked to a knowledge base, None]]"
19801031066869A,PILOT FAILED TO REPLACE OIL FILLER CAP BEFORE TAKEOFF. ENGINE SIEZED OUT OF OIL. CRASH LANDED ON PRIVATE STRIP.    ,"[['ENGINE', Entity not linked to a knowledge base, 'PERSON']]"
19800920042639A,HAD CARB FIRE ON STARTING. ENGINE QUIT EN ROUTE. FOUND STARTING FIRE HAD WARPED CARB DIAPHRAM.                     ,"[['HAD CARB', Entity not linked to a knowledge base, None], ['CARB DIAPHRAM', Entity not linked to a knowledge base, None]]"
19801130080689I,PILOT STARTED ENGINE AND TAXIED OUT WITH TOW BAR STILL ATTACHED. PROPELLER WAS DAMAGED.                            ,[]
19801208085609I,ENGINE LOST POWER AT CRUISE. LANDED ON HIGHWAY. CAUSE OF WATER CONTAMINATION UNKNOWN.                              ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['CRUISE', Entity(wikidata_entity_id=Q14690271, wikipedia_entity_title=Cruise, Kentucky), 'GPE']]"
19801219084719I,"ZG PILOT COULD NOT KEEP RIGHT ENGINE RUNNING.  ON INSPECTION, WATER FOUND IN FUEL.                                 ","[['ZG PILOT', Entity not linked to a knowledge base, None], ['EL', Entity(wikidata_entity_id=Q2633778, wikipedia_entity_title=Elevation), None]]"
19801223085169I,AIRCRAFT TAXIING ONTO RUNWAY FOR TAKEOFF HIT A LARGE UNMARKED HOLE ON EDGE OF RUNWAY AND RUNWAY INTERSECTION.      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19801223087189I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"[['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19801223087949I,"ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY. FOUND ICE BUILDUP ON WINGS.                                             ","[['ZE ABORTED TAKEOFF', Entity not linked to a knowledge base, 'GPE'], ['WINGS', Entity not linked to a knowledge base, 'GPE']]"
19801227088119I,"ZD ZW UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR STRUT WAS FLAT, HUNG UP WHEN RETRACTED.                      ","[['ZD ZW', Entity not linked to a knowledge base, None], ['UT', Entity not linked to a knowledge base, None]]"
19801227089509I,ZA ZG ZK NOSE WHEEL AND LOWER STRUT SEPARATED FROM THE AIRCRAFT AFTER LIFT OFF DUE TO A BROKEN AND MISSING BOLT.   ,[]
19810121012239I,ENGINE STOPPED DURING TAKEOFF. PILOT FEELS CAUSE WAS DUE TO ICE IN T FITTING DRAIN.                                ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FEELS CAUSE', Entity not linked to a knowledge base, None], ['RAIN', Entity(wikidata_entity_id=Q7925, wikipedia_entity_title=Rain), None]]"
19810216012039I,ZG CABIN FILLED WITH SMOKE. AIRCRAFT RETURNED. FOUND PIECE OF CHARREL CLOTH FROM ENGINE PLUG LAYING ON EXHAUST.    ,"[['ZG CABIN', Entity not linked to a knowledge base, None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['CHARREL', Entity not linked to a knowledge base, 'PERSON'], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]"
19801205085559I,ABORTED TAKEOFF DUE TO TAKEOFF WARNING HORN. SPEED BRAKE LEVER NOT SEATED PROPERLY.                                ,"[['FF', Entity not linked to a knowledge base, None], ['AKEOFF', Entity not linked to a knowledge base, None]]"
19801130083579I,RAN OFF END OF RUNWAY AFTER ATTEMPTING TAKEOFF WITH PARK BRAKE PARTIALLY SET.                                      ,"[['RAN', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['PARK BRAKE', Entity(wikidata_entity_id=Q605816, wikipedia_entity_title=Parking brake), 'PERSON']]"
19810223013719I,AFTER TAKEOFF SECOND OFFICER OBSERVED AFT BIN LIGHT CAME ON. AIRCRAFT LANDED AND GROUND PERSONNEL FOUND DOOR AJAR. ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SECOND', None, 'ORDINAL']]"
19801119080409I,"REAR CARGO DOOR CAME OPEN AT V1, FLIGHT RETURNED. REASON FOR DOOR OPENING IS UNDER INVESTIGATION.                  ","[['CARGO', Entity(wikidata_entity_id=Q319224, wikipedia_entity_title=Cargo), None]]"
19801213084659I,"ZA ENGINE LOST POWER, EMERGENCY LANDING IN FIELD.  TEE FITTING AT LOWEST POINT SOLIDE ICE RESTRICTING FUEL FLOW.   ","[['ZA', Entity not linked to a knowledge base, None]]"
19801121087109I,"LANDED SHORT OF RUNWAY AFTER ENGINES QUIT. CAUSE WAS FUEL EXHAUSTION, GAUGES WERE INACCURATE.                      ","[['ES', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'PERSON'], ['GAUGES', Entity not linked to a knowledge base, 'PERSON']]"
19810131013859I,ZA ENGINE MALFUNCTION AND EMERGENCY LANDING. SUSPECTED WATER IN FUEL SYSTEM.                                       ,"[['ZA', Entity not linked to a knowledge base, None], ['CTION', Entity not linked to a knowledge base, None], ['ERG', Entity(wikidata_entity_id=Q185153, wikipedia_entity_title=Erg), None], ['ING', Entity not linked to a knowledge base, None], ['FUEL SYSTEM', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19801207076399A,PILOT LOST CONTROL & AIRCRAFT CRASHED DURING TAKEOFF DUE TO BOLT COMING OUT OF RUDDER HORN.                        ,"[['RUDDER HORN', Entity not linked to a knowledge base, None]]"
19801212087479I,EMERGENCY LANDING AFTER POWER LOSS FOUND WATER IN FUEL TANK.                                                       ,"[['POWER', Entity not linked to a knowledge base, None], ['FUEL TANK', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19801207087339I,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,"[['Z', Entity not linked to a knowledge base, None]]"
19810209014479I,DURING TAXI INTO POSITION PROP DAMAGE DUE TO UNKNOWN DEBRIS LEFT FROM RUNWAY MAINTENANCE.                          ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), 'PERSON'], ['BRIS', Entity(wikidata_entity_id=Q4968521, wikipedia_entity_title=Bris Lord), 'PERSON']]"
19801207087329I,RAN OFF END OF ICY RUNWAY AFTER ABORTING TAKEOFF. FOUND FROST ON AIRCRAFT.                                         ,"[['RAN', Entity not linked to a knowledge base, None], ['ICY RUNWAY', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",[]
19810207003009A,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.             ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['EL', Entity not linked to a knowledge base, None]]"
19810130002279A,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.                        ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['LAKE', Entity(wikidata_entity_id=Q23397, wikipedia_entity_title=Lake), None]]"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",[]
19810203002549A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,[]
19810111000979A,LOST DIRECTIONAL CONTROL ON LANDING. HIT DITCH ON SIDE OF RUNWAY. NO DEFECTS FOUND. PILOT PROPELLER REVERSING ERROR,[]
19801209089649I,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,"[['3 INCH', None, 'QUANTITY'], ['139', None, 'CARDINAL']]"
19810126001829A,ENGINES QUIT ON TAKEOFF. CRASH-LANDED. AIRPLANE HAD BEEN SERVICED WITH JET A FUEL. PILOT FAILED TO  CHECK FUEL.    ,"[['ENGINES', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['AIRPLANE HAD', Entity not linked to a knowledge base, None], ['JET', Entity(wikidata_entity_id=Q127771, wikipedia_entity_title=Fighter aircraft), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['UEL', Entity not linked to a knowledge base, None]]"
19810210011689I,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED,[]
19810213004059A,HAD ELEVATOR TAB TRIMMED NOSE DOWN. PORPOISED ON ATTEMPTED TAKEOFF. COLLAPSED NOSE GEAR.                           ,"[['HAD', Entity not linked to a knowledge base, None]]"
19810121002899A,"ICED-UP, NEAR GROSS. CIRCLED TO LAND, FAILED TO SET PROPS OR USE DEICE SYSTEMS. GROUND IMPACT SHORT OF RUNWAY.     ",[]
19810109007849I,CREW MADE PRECATIONARY LANDING AFTER DETECTING FUEL FUMES IN CABIN. AFT FUEL CAP FOUND IMPROPERLY INSTALLED.       ,"[['CABIN', Entity not linked to a knowledge base, 'GPE']]"
19801225078089A,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,"[['FIRST', None, 'ORDINAL']]"
19801123080039A,"REAR SEAT FELL FORWARD, JAMMED REAR STICK FORWARD. FOUND RESTRAINT FOR SEAT BACK BROKEN.                           ","[['JAMMED REAR', Entity not linked to a knowledge base, 'PERSON']]"
19810319010689A,ENGINE QUIT DUE TO FUEL EXHAUSTION ON RIGHT TANK. SELECTED LEFT TANK. FAILED TO USE BOOST PUMP. NOSED OVER LANDING.,[]
19810308035069I,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,[]
19810315025039I,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,"[['EN', Entity(wikidata_entity_id=Q411362, wikipedia_entity_title=Ethylenediamine), None], ['TE', Entity(wikidata_entity_id=Q1100, wikipedia_entity_title=Tellurium), None]]"
19810422034239I,RETURNED AFTER TAKEOFF DUE TO OIL ON WINDSHIELD. OIL FILLER CAP HAD COME OFF.                                      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['WINDSHIELD', Entity(wikidata_entity_id=Q13693, wikipedia_entity_title=Windshield), None], ['OIL FILLER CAP HAD', Entity not linked to a knowledge base, 'PERSON']]"
19810518044989I,DURING TAXI AIRCRAFT HAD NO STEERING OR BRAKES. HYDRAULIC SWITCH FOUND IN OFF POSITION.                            ,"[['TAXI AIRCRAFT', Entity not linked to a knowledge base, None], ['RA', Entity(wikidata_entity_id=Q13442, wikipedia_entity_title=Right ascension), None]]"
19810503034279I,STARTED HELICOPTER WITH MAIN ROTOR STILL TIED DOWN. LEAD WEIGHT ON TIEDOWN STRUCK VERT FIN AND ROTOR BLADE.        ,"[['MAIN', Entity(wikidata_entity_id=Q1589441, wikipedia_entity_title=Main deck), None]]"
19810309010619A,FORGOT TO ENRICH MIXTURE FOR LANDING. ENGINE QUIT DUE TO LEAN MIXTURE. LANDED SHORT OF AIRPORT IN A SWAMP.         ,"[['ENRICH', Entity(wikidata_entity_id=Q473252, wikipedia_entity_title=Enriched uranium), None]]"
19810329019909I,DURING TAKEOFF NOSE GEAR AND STRUT FELL OFF.  SCISSORS PIN NOT INSTALLED.                                          ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'PERSON']]"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,[]
19810414020139A,FORGOT TO REMOVE ENGINE NACELLE COVERS. ENGINE OVERHEATED. STRUCK DITCH ON EMERGENCY LANDING IN A PASTURE.         ,[]
19810516026109A,"FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.         ","[['CANOPY', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['CANOPY', Entity not linked to a knowledge base, None], ['MUDDY FIELD', Entity not linked to a knowledge base, None]]"
19810315009829A,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ",[]
19810424018779A,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,"[['GLIDER', Entity(wikidata_entity_id=Q2396202, wikipedia_entity_title=Glider (Conway's Life)), None], ['GLIDER', Entity(wikidata_entity_id=Q2396202, wikipedia_entity_title=Glider (Conway's Life)), None], ['GLIDER', Entity not linked to a knowledge base, None]]"
19810521027239A,TOOK OFF WITH NOSE WHEEL DISCONNECTED. AIRPLANE RAN OFF RUNWAY ON LANDING.                                         ,"[['NOSE WHEEL', Entity(wikidata_entity_id=Q263421, wikipedia_entity_title=Landing gear), None], ['AIRPLANE RAN', Entity not linked to a knowledge base, None]]"
19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ",[]
19810514025209A,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.   ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SWAMPY TUNDRA', Entity not linked to a knowledge base, 'GPE'], ['ENGINE AIR', Entity not linked to a knowledge base, None]]"
19810519026869A,TRIED TO TAKE OFF WITH SKIDS TIED DOWN. HELICOPTER FELL OFF HELIPAD ONTO LOWER DECK. TIE-DOWN NOT FLAGGED.         ,[]
19810507022549A,"FAILED TO ASSURE DOOR SECURED PRIOR TO TAKEOFF. DOOR OPEN ON CLIMBOUT. LOST CONTROL, CRASH-LANDED OFF END OF RUNWAY",[]
19810312009169A,UNABLE TO LIFT-OFF DURING TAKEOFF FROM A FARM ROAD DUE TO FROST ON AIRPLANE. RIGHT WING STRUCK A TREE.             ,[]
19810718058739I,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,"[['NEW AIRPORT', Entity not linked to a knowledge base, 'GPE']]"
19810616042779I,"PILOT ATTEMPTED LIFTOFF WHILE STILL TIED DOWN, POOR PRE-FLIGHT.                                                    ","[['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'PERSON']]"
19810710059589I,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,"[['ZA', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19810729046009A,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.                            ,"[['OUND', Entity not linked to a knowledge base, None], ['UEL', Entity not linked to a knowledge base, None], ['FUEL HOSE', Entity(wikidata_entity_id=Q5507159, wikipedia_entity_title=Fuel line), None]]"
19810729048869A,LEFT BRAKE INOPERATIVE ON LANDING.  RAN OFF ROAD INTO TREES.  FOUND BRAKE RESERVOIR EMPTY.                         ,"[['BRAKE', Entity(wikidata_entity_id=Q1534839, wikipedia_entity_title=Brake), None], ['BRAKE', Entity(wikidata_entity_id=Q1534839, wikipedia_entity_title=Brake), None], ['IR', Entity(wikidata_entity_id=Q11388, wikipedia_entity_title=Infrared), None]]"
19810801064069I,"ZA FUEL LEAKING IN FLIGHT,RETURNED, DURING LANDING NOSE GEAR WALKING BEAM FAILED. WALKING BEAM PN 1-261.           ","[['ZA', Entity not linked to a knowledge base, 'PERSON'], ['ALKING BEAM', Entity not linked to a knowledge base, 'WORK_OF_ART'], ['1-261', None, 'CARDINAL']]"
