,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
94,19860824086549A,THE GLIDER LANDED HARD AFTER ABORTING A TOWED TAKEOFF. THE PILOT HAD FAILED TO CONNECT THE ELEVATOR PUSHROD.       ,"[['GLIDER', Entity not linked to a knowledge base, None], ['OT', Entity not linked to a knowledge base, None], ['ELE', Entity not linked to a knowledge base, 'ORG'], ['ATOR PUSHROD', Entity not linked to a knowledge base, None]]",OT,,,
95,19870405024579I,OFF AIRPORT LANDING AFTER FUEL WAS EXHAUSTED EN ROUTE. FUEL TANK FILLER CAP WAS NOT LOCKED IN PLACE.               ,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'ORG']]",FUEL,,,
96,19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","[['N106DA', Entity not linked to a knowledge base, None]]",N106DA,,,
97,19870321007189A,THE ENGINE FAILED SHORTLY AFTER TAKEOFF.  THE AIRCRAFT HIT TREES ON LANDING.  WATER AND DEBRIS IN FUEL SYSTEM.     ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
98,19870107035099A,THE ENGINE FAILED DURING TAKEOFF AND THE AIRCRAFT STRUCK WIRES.  THE PILOT FAILED TO DRAIN WATER FROM FUEL SYSTEM. ,"[['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
99,19870618066619I,CABIN DOOR CAME OPEN DURING CLIMB AFTER WIND NOISE WAS HEARD. RETURNED AND SHUT THE DOOR.                          ,"[['CABIN', Entity not linked to a knowledge base, None]]",CABIN,,,
100,19870425011419A,THE ENGINE FAILED AND THE AIRCRAFT LANDED IN SWAMP. WATER FOUND IN AUTO FUEL. PILOT NOT RATED. AIRCRAFT STOLEN.    ,"[['AUTO FUEL', Entity(wikidata_entity_id=Q337540, wikipedia_entity_title=Motor fuel), None]]",AUTO FUEL,,Motor fuel,Q337540
101,19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"[['MAG', Entity(wikidata_entity_id=Q842066, wikipedia_entity_title=FN MAG), None]]",MAG,,FN MAG,Q842066
102,19870418010159A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT NOSED OVER ON LANDING. SOME WATER WAS FOUND IN THE AUTO GAS.     ,"[['AUTO', Entity not linked to a knowledge base, None]]",AUTO,,,
103,19870927068249I,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.                               ,"[['OPY', Entity not linked to a knowledge base, None], ['CANOPY', Entity(wikidata_entity_id=Q4982224, wikipedia_entity_title=Bubble canopy), None]]",OPY,,,
104,19870927068249I,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.                               ,"[['OPY', Entity not linked to a knowledge base, None], ['CANOPY', Entity(wikidata_entity_id=Q4982224, wikipedia_entity_title=Bubble canopy), None]]",CANOPY,,Bubble canopy,Q4982224
105,19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","[['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), None]]",IFR,,Instrument flight rules,Q847919
106,19880113000529A,TRIED TO TAKE OFF FROM SHIPS HELIPAD WITH A UNDETECTED REAR TIEDOWN STRAP STILL FASTENED. ROLLED OVER AND BURNED.  ,"[['HELIPAD', Entity(wikidata_entity_id=Q534159, wikipedia_entity_title=Helipad), None]]",HELIPAD,,Helipad,Q534159
107,19871124073879I,PILOT ISSUED RADAR SURVEILLANCE APPROACH AFTER TWO ATTEMPTS. ILS SYSTEM HAD FLUCTUATING NEEDLES AND INOPERATIVE.   ,"[['ILS', Entity(wikidata_entity_id=Q464020, wikipedia_entity_title=Instrument landing system), None]]",ILS,,Instrument landing system,Q464020
108,19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
109,19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
110,19880520015489A,"AIRCRAFT MADE LEFT VERTICAL BANK ON INITIAL CLIMB IMPACTED AND BURNED. AILERON CONTROL JUST REWORKED, WERE BACKWARD","[['AILERON', Entity(wikidata_entity_id=Q509379, wikipedia_entity_title=Aileron), None]]",AILERON,,Aileron,Q509379
111,19880921056039I,HEARD LOUD BANG. NOSE BAGGAGE DOOR LIGHT CAME ON. PRECAUTIONARY LANDING. DOOR WAS AJAR. MINOR DAMAGE TO NOSE.      ,"[['AJ', Entity not linked to a knowledge base, None]]",AJ,,,
112,19880920059059I,"DISCARDED CARGO DOOR WAS PICKED UP BY ROTOR WASH OF UNKNOWN HELICOPTER.IT HIT PARKED S550 N#92QS, DAMAGING AILERON.","[['550', Entity(wikidata_entity_id=Q1134282, wikipedia_entity_title=Porsche 550), None]]",550,,Porsche 550,Q1134282
113,19880930042679A,FAILED TO SECURE OIL CAP. ENGINE RAN OUT OF OIL. FORCED LANDING IN TREES. MEDICAL HAD EXPIRED.                     ,"[['OIL', Entity not linked to a knowledge base, None]]",OIL,,,
114,19900214002219A,LOST POWER ON TAKEOFF. CFI TOOK OVER. LANDED IN MARSH. NOSED OVER. 5 GAL OF WATER IN FUEL SYSTEM. WATER AT SOURCE. ,"[['EL', Entity not linked to a knowledge base, None]]",EL,,,
115,19900423014219A,TURNING BASE LOST POWER. LANDED IN GRAVEL PIT. NOSED OVER. HAD PULLED MIXTURE CONTROL INSTEAD OF CARB HEAT CONTROL.,"[['GRA', Entity not linked to a knowledge base, None], ['CARB', Entity(wikidata_entity_id=Q11358, wikipedia_entity_title=Carbohydrate), 'ORG']]",GRA,,,
116,19900802033759A,"ROUGH ENGINE ON LIFTOFF,ABORTED SAFELY BUT ENGINES DAMAGED BY JET FUEL PUMPED BY MISTAKE. PILOT FAILED TO CHECK.   ","[['JET', Entity not linked to a knowledge base, None]]",JET,,,
117,19900706024509A,GEAR MOTOR RUNNING ON TAXI. NOSE GEAR BEGAN RETRACT ON TAKEOFF. ABORTED LANDED GEAR UP HAD GEAR LEVER UP AT START. ,"[['TAXI', Entity not linked to a knowledge base, None]]",TAXI,,,
118,19910102001329I,FUEL EXHAUSTION. SWITCHED TANKS BUT UNABLE TO RESTART. LANDED ON HIGHWAY. FUEL DRAIN TRAPPED OPEN AND LEAKING.     ,"[['FUEL D', Entity not linked to a knowledge base, None]]",FUEL D,,,
119,19910210005989I,TAKEOFF WARNING HORN SOUNDED ON TAKEOFF ROLL. ABORTED. SPEEDBRAKE HANDLE WAS FULLY STOWED IN DOWN DETENT.          ,"[['KE', Entity not linked to a knowledge base, None]]",KE,,,
120,19910325008089I,ENGINE STARTED WHEN PILOT ROTATED PROPELLER TO CHECK COMPRESSION. MAGNETOS WERE LEFT ON FROM PREVIOUS FLIGHT.      ,"[['MAGNETOS', Entity(wikidata_entity_id=Q3773501, wikipedia_entity_title=Ignition magneto), None]]",MAGNETOS,,Ignition magneto,Q3773501
121,19901218061989I,FORGOT TO REMOVE CONTROL LOCK ON PREFLIGHT. ON TAKEOFF AIRCRAFT PORPOISED DAMAGING GEAR AND PROPELLER.             ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
122,19910705026439A,ENGINE QUIT ON DOWNWIND. STRUCK DIRT BANK SHORT OF RUNWAY. FUEL TANKS HAD LARGE AMOUNTS WATER INCLUDING CARB BOWL. ,"[['FUEL', Entity not linked to a knowledge base, None], ['CARB BOWL', Entity not linked to a knowledge base, 'GPE']]",FUEL,,,
123,19910620023769A,ENGINE OVERHEATED. LANDED ON A ROAD TO CHECK. WIND STRUCK GAS METER PIPE. A RAG WAS COVERING THE OIL COOLER.       ,"[['OIL', Entity not linked to a knowledge base, None]]",OIL,,,
124,19910810038269I,NOTICED FUEL VENTING OVERBOARD. EMERGENCY LANDING AT CLOSED AIRPORT. FUEL CAPS PUT ON WRONG.                       ,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
125,19910810038269I,NOTICED FUEL VENTING OVERBOARD. EMERGENCY LANDING AT CLOSED AIRPORT. FUEL CAPS PUT ON WRONG.                       ,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
126,19911026048049A,ENCOUNTERED SPATIAL DISORIENTATION ON CLIMBING TURN AFTER TAKEOFF. DESCENDED INTO GROUND. PANEL LIGHTS INOPERATIVE.,"[['PAN', Entity not linked to a knowledge base, None]]",PAN,,,
127,19920426023369I,CYLINDER HEAD TEMPERATURE IN RED LINE ON CLIMB. FORCED LANDING ON ROAD. OIL TANK EMPTY. HAD OIL STARVATION.        ,"[['YLINDER', Entity not linked to a knowledge base, None]]",YLINDER,,,
128,19920829043799I,LEFT COCKPIT DOOR DEPARTED AIRCRAFT ON CLIMB. HIT NR1 PROPELLER. SHUT ENGINE DOWN. CONTINUED TO BETHAL. LANDED.    ,"[['CL', Entity not linked to a knowledge base, None], ['B', Entity not linked to a knowledge base, None]]",CL,,,
129,19920829043799I,LEFT COCKPIT DOOR DEPARTED AIRCRAFT ON CLIMB. HIT NR1 PROPELLER. SHUT ENGINE DOWN. CONTINUED TO BETHAL. LANDED.    ,"[['CL', Entity not linked to a knowledge base, None], ['B', Entity not linked to a knowledge base, None]]",B,,,
130,19921022043239A,ENGINE QUIT EN ROUTE. CRASH LANDED. NO FUEL ONBOARD. FUEL STAINS FROM RIGHT FUEL CAP. CAP FOUND SECURE NO LEAKS.   ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'ORG']]",FUEL,,Fuel,Q42501
131,19921022043239A,ENGINE QUIT EN ROUTE. CRASH LANDED. NO FUEL ONBOARD. FUEL STAINS FROM RIGHT FUEL CAP. CAP FOUND SECURE NO LEAKS.   ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'ORG']]",FUEL,,Fuel,Q42501
132,19930112003259I,ENGINE QUIT ON CLIMB. AIRCRAFT LANDED. CROSSED A DITCH. FOUND WATER IN CARBURETOR. AIRCRAFT HAD NOT FLOWN IN MONTHS,"[['CL', Entity not linked to a knowledge base, None], ['B', Entity not linked to a knowledge base, None], ['CARBURETOR', Entity(wikidata_entity_id=Q165435, wikipedia_entity_title=Carburetor), 'GPE']]",CL,,,
133,19930112003259I,ENGINE QUIT ON CLIMB. AIRCRAFT LANDED. CROSSED A DITCH. FOUND WATER IN CARBURETOR. AIRCRAFT HAD NOT FLOWN IN MONTHS,"[['CL', Entity not linked to a knowledge base, None], ['B', Entity not linked to a knowledge base, None], ['CARBURETOR', Entity(wikidata_entity_id=Q165435, wikipedia_entity_title=Carburetor), 'GPE']]",B,,,
134,19930527015439A,LOST POWER LEFT ENGINE. FEATHERED BUT UNABLE HOLD ALTITUDE DUE SAGGING LANDING GEAR. WATER DEBRIS IN FUEL SYSTEM.  ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
135,19930630021529A,LANDED DEEP GRASS. FIRE ERUPTED UNDER THE 206L3. CREW CHIEF ARMED AID FIRE UNIT. PILOT OR CREW CAUSED ACTIVATION.  ,"[['206L3', Entity not linked to a knowledge base, None]]",206L3,,,
136,19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"[['PILOT', Entity not linked to a knowledge base, None], ['PILOTS', Entity not linked to a knowledge base, None]]",PILOT,,,
137,19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"[['PILOT', Entity not linked to a knowledge base, None], ['PILOTS', Entity not linked to a knowledge base, None]]",PILOTS,,,
138,19940209004429I,"NARRATIVE: N814AA TOOK OFF ON RUNWAY 1L AT KMCI. JUST AFTER LANDING GEAR WAS RETRACTED A LOUD ""BANG"" WAS HEARD BY B","[['KMCI', Entity(wikidata_entity_id=Q1431674, wikipedia_entity_title=Kansas City International Airport), None]]",KMCI,,Kansas City International Airport,Q1431674
139,19940313004879A,CHECK OUT NEW AIRMAN SHUT DOWN AND FEATHERED LEFT ENGING FOR ENGINE LANDING. HYDRO PUMP LEFT ENGINE. CRASHED.      ,"[['HYDRO', Entity not linked to a knowledge base, None]]",HYDRO,,,
140,19931215047419A,POST MAINTENANCE TEST FLIGHT. FLIGHT CONTROL FLUTTER AT 190MPH. SLOWED AND LANDED. FRACTURED SPAR. AILERON BUCKLED.,"[['ILER', Entity not linked to a knowledge base, None]]",ILER,,,
141,19940122007719I,"NARRATIVE: THE PILOT-IN-COMMAND, A CERTIFIED FLIGHT INSTRUCTOR (CFI) WROTE, ""THE STUDENT PILOT IS A QUALIFIED SOLO ","[['IL', Entity not linked to a knowledge base, None], ['-IN-', Entity not linked to a knowledge base, None], ['AND', Entity not linked to a knowledge base, 'ORG'], ['CERTIFIED FLIGHT INSTRUCTOR', Entity not linked to a knowledge base, 'ORG'], ['CFI', Entity(wikidata_entity_id=Q5029366, wikipedia_entity_title=Canada Foundation for Innovation), 'ORG']]",IL,,,
142,19940122007719I,"NARRATIVE: THE PILOT-IN-COMMAND, A CERTIFIED FLIGHT INSTRUCTOR (CFI) WROTE, ""THE STUDENT PILOT IS A QUALIFIED SOLO ","[['IL', Entity not linked to a knowledge base, None], ['-IN-', Entity not linked to a knowledge base, None], ['AND', Entity not linked to a knowledge base, 'ORG'], ['CERTIFIED FLIGHT INSTRUCTOR', Entity not linked to a knowledge base, 'ORG'], ['CFI', Entity(wikidata_entity_id=Q5029366, wikipedia_entity_title=Canada Foundation for Innovation), 'ORG']]",-IN-,,,
143,19940301016609I,STATIC INSTRUMENTS GIVING ERRONEOUS INFORMATION ON CLIMB. RETURNED. FOUND A STATIC PORTS COVERED WITH TAPE.        ,"[['CLIMB', Entity not linked to a knowledge base, None]]",CLIMB,,,
144,19940903036459I,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,"[['MECHANIC', Entity not linked to a knowledge base, None]]",MECHANIC,,,
145,19940515010879A,"LOST LEFT ENGINE. SHUTDOWN THEN RIGHT LOST POWER. CRASHED NEAR COUNTY ROAD, NO MECHANICAL. FUEL TANKS EMPTY.       ","[['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
146,19940611015219A,NO AILERON CONTROL ON TOW CLIMBOUT. RELEASED TOW. WING HIT GROUND. ANC3 BOLT AILERON TORQUE TUBE IMPROPER INSTALLED,"[['ANC3', Entity not linked to a knowledge base, None]]",ANC3,,,
147,19940719020269A,ENGINE QUIT ON CLIMBOUT. LANDED IN TREES.  HAD DRAINED WATER IN FUEL. PREFLIGHT. WATER REMAINED EVEN IN OIL SYSTEM.,"[['UEL', Entity not linked to a knowledge base, None]]",UEL,,,
148,19940519011739A,IDLE FOR TWO YRS. FUEL LEAKING INTO WINGS. OBSERVED GOIND DOWN SMOKE AND FLAMES. FUEL CAUGHT FIRE.                 ,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
149,19940519011739A,IDLE FOR TWO YRS. FUEL LEAKING INTO WINGS. OBSERVED GOIND DOWN SMOKE AND FLAMES. FUEL CAUGHT FIRE.                 ,"[['FUEL', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
150,19950208003549A,LOST POWER TRIED FOR OPEN FIELD. STRUCK TREES. WATER AND ICE IN FUEL SYSTEM. PRIOR PROBLEM. MAG SWITCH ON ONE MAG. ,"[['EL', Entity not linked to a knowledge base, None]]",EL,,,
151,19950203001139A,VIBRATION ON SLOW SPRAY RUN. FELL TO GROUND. ROLLED OVER. LOST A ROTOR BLADE. WAS ADVISED OF CRACK AT ROTOR HUB.   ,"[['ROTOR H', Entity not linked to a knowledge base, None]]",ROTOR H,,,
152,19950303003139A,LANDED SHORT OF RUNWAY DARK SNOWY NIGHT. ICE ON AIRCRAFT. SPOILERS OUT. POOR COCKPIT MANAGEMENT. SPOILER LIGHT ON. ,"[['ICE', Entity not linked to a knowledge base, None]]",ICE,,,
153,19950321009089I,"NARRATIVE: AFTER TAKE-OFF FROM WAINWRIGHT AS, AK. WITH 2 PASSENGERS, THE REAR CARGO DOOR CAME OPEN AT APPROX. 70 FT","[['WAINWRIGHT', Entity(wikidata_entity_id=Q1185516, wikipedia_entity_title=Adam Wainwright), None], ['AK', Entity(wikidata_entity_id=Q797, wikipedia_entity_title=Alaska), 'ORG'], ['REAR CARGO DOOR', Entity not linked to a knowledge base, 'ORG'], ['APPROX', Entity(wikidata_entity_id=Q27058, wikipedia_entity_title=Approximation), 'ORG']]",WAINWRIGHT,,Adam Wainwright,Q1185516
154,19950420011449I,"NARRATIVE: ON MARCH 20, 1995, A PITTS, PIS-1, OWNED AND OPERATED BY ROBERT HIGBEE WHILE ON A PLEASURE FLIGHT, LANDE","[['PIS-1', Entity not linked to a knowledge base, None], ['ROBERT HIGBEE', Entity not linked to a knowledge base, 'PERSON'], ['LANDE', Entity(wikidata_entity_id=Q6484369, wikipedia_entity_title=Lande, Norway), 'ORG']]",PIS-1,,,
155,19950412011379I,"NARRATIVE: ON 04/12/95 A DC-6-B, N4390F OPERATED BY EVERTS AIR FUEL INC., DEPARTED THE RAMP AT FAIRBANKS INT'L AFTE","[['DC-6-B', Entity not linked to a knowledge base, None], ['EVERTS AIR FUEL INC', Entity not linked to a knowledge base, 'ORG'], [""FAIRBANKS INT'L AFTE"", Entity not linked to a knowledge base, 'ORG']]",DC-6-B,,,
156,19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"[['EL', Entity(wikidata_entity_id=Q2633778, wikipedia_entity_title=Elevation), None]]",EL,,Elevation,Q2633778
157,19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","[['CESSNA 207', Entity(wikidata_entity_id=Q1057183, wikipedia_entity_title=Cessna 206), None], ['BETHEL', Entity not linked to a knowledge base, 'GPE']]",CESSNA 207,,Cessna 206,Q1057183
158,19950826026079A,NOSE BAGGAGE DOOR CAME OPEN ON LIFTOFF. ADDED AND REDUCED POWER THREE TIMES THEN TRIED NOSE HIGH RETURN.HIT POLE.  ,"[['LIFTO', Entity not linked to a knowledge base, None]]",LIFTO,,,
159,19950903030819A,STRUCK POWER LINES ON APPROACH. CAME TO REST WING CAUGHT BY POWER LINE. PILOT REPORTED MISUSED SPOILERS. (-23) DURI,"[['DURI', Entity not linked to a knowledge base, None]]",DURI,,,
160,19950906035259I,CLIMB NR1 ENGINE FIRE LIGHT. SHUTDOWN. STILL ON. USED BOTTLES. LIGHT OUT. HAD FIRE NO LEAK CHK NOZZLE CHANGE PER AD,"[['CLIMB NR1', Entity not linked to a knowledge base, None]]",CLIMB NR1,,,
161,19950717033279I,CLIMBING THRU FL390 IN HEAVY RAIN. NR1 ENGINE FLAMED OUT. IGNITION SWITCH WAS NOT PUT IN AIR POSITION. RETURNED.   ,"[['390', Entity not linked to a knowledge base, None], ['NR1', Entity not linked to a knowledge base, None]]",390,,,
162,19950717033279I,CLIMBING THRU FL390 IN HEAVY RAIN. NR1 ENGINE FLAMED OUT. IGNITION SWITCH WAS NOT PUT IN AIR POSITION. RETURNED.   ,"[['390', Entity not linked to a knowledge base, None], ['NR1', Entity not linked to a knowledge base, None]]",NR1,,,
163,19950727025109I,LEFT HYDRAULICS LOST. SKYDROL FUMES IN CABIN. DISPATCHED GENERATOR INOP.APS WAS USED APU HYDRAULIC LINE BURST.     ,"[['HYDRAULICS', Entity(wikidata_entity_id=Q177784, wikipedia_entity_title=Hydraulics), None], ['IN', Entity(wikidata_entity_id=Q668, wikipedia_entity_title=India), 'ORG'], ['APU HYDRAULIC', Entity not linked to a knowledge base, None]]",HYDRAULICS,,Hydraulics,Q177784
164,19950802033319I,WHILE HOLDING HAD A RIGHT PROP BRAKE FIRE. BRAKE WAS PLACARDED PER MEL. USED PROP BRAKE IN VIOLATION OF MEL.       ,"[['MEL', Entity not linked to a knowledge base, None], ['MEL', Entity(wikidata_entity_id=Q55099608, wikipedia_entity_title=MEL Equipment), None]]",MEL,,,
165,19950802033319I,WHILE HOLDING HAD A RIGHT PROP BRAKE FIRE. BRAKE WAS PLACARDED PER MEL. USED PROP BRAKE IN VIOLATION OF MEL.       ,"[['MEL', Entity not linked to a knowledge base, None], ['MEL', Entity(wikidata_entity_id=Q55099608, wikipedia_entity_title=MEL Equipment), None]]",MEL,,MEL Equipment,Q55099608
166,19951114046609I,"NARRATIVE: DELTA FLIGHT 981 WAS BEING MARSHALLED INTO PARKING AT AVL WITH WING WALKERS. JUST PRIOR TO STOPPING, AN ","[['DELTA FLIGHT 981', Entity not linked to a knowledge base, None]]",DELTA FLIGHT 981,,,
167,19960209004139I,NARRATIVE: TWO KC FSDO INSPECTORS WERE ON THE EXECUTIVE BEECH FBO RAMP INSPECTING AN AIRPLANE WHEN N4517T WAS OBSER,"[['KC FSDO', Entity not linked to a knowledge base, None], ['N4517T', Entity not linked to a knowledge base, None]]",KC FSDO,,,
168,19960209004139I,NARRATIVE: TWO KC FSDO INSPECTORS WERE ON THE EXECUTIVE BEECH FBO RAMP INSPECTING AN AIRPLANE WHEN N4517T WAS OBSER,"[['KC FSDO', Entity not linked to a knowledge base, None], ['N4517T', Entity not linked to a knowledge base, None]]",N4517T,,,
169,19961101034759A,HELICOPTER LIFTED OFF HELIPAD WITH AN EXTERNAL LOAD WHEN CABLE BECAME ENTANGLED IN LANDING SKID. ROLLED OVER.      ,"[['HELIPAD', Entity(wikidata_entity_id=Q534159, wikipedia_entity_title=Helipad), None]]",HELIPAD,,Helipad,Q534159
170,19961217044949I,NARRATIVE: START VALVE STAYED OPEN AFTER #2 ENGINE WAS STARTED. MAINTENANCE CLOSED THE VALVE MANUALLY AS PER MEL 80,"[['MEL 80', Entity not linked to a knowledge base, None]]",MEL 80,,,
171,19961222039699A,FAILED TO STOW SPOILERS FOR GLIDER TOW. THEY DEPLOYED. GLIDER PILOT CUT LOSE FROM TOW BUT HIT TREES SHORT RUNWAY.  ,"[['IDER', Entity not linked to a knowledge base, None]]",IDER,,,
172,19970116005549I,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","[['BEECH 99', Entity(wikidata_entity_id=Q120323, wikipedia_entity_title=Beechcraft Model 99), None], ['ALPINE AIR', Entity(wikidata_entity_id=Q4735476, wikipedia_entity_title=Alpine Air Express), 'ORG'], ['PROVO', Entity(wikidata_entity_id=Q23443, wikipedia_entity_title=Provo, Utah), 'ORG'], ['UTAH', Entity(wikidata_entity_id=Q829, wikipedia_entity_title=Utah), 'ORG']]",BEECH 99,,Beechcraft Model 99,Q120323
173,19970313010659I,"NARRATIVE: ON MARCH 13, 1997, N956S, A CESSNA MODEL 500, WHILE ON A FUNCTIONAL TEST FLIGHT LANDED WITH THE NOSE GEA","[['CESSNA MODEL 500', Entity not linked to a knowledge base, None], ['NOSE GEA', Entity not linked to a knowledge base, None]]",CESSNA MODEL 500,,,
174,19970313010659I,"NARRATIVE: ON MARCH 13, 1997, N956S, A CESSNA MODEL 500, WHILE ON A FUNCTIONAL TEST FLIGHT LANDED WITH THE NOSE GEA","[['CESSNA MODEL 500', Entity not linked to a knowledge base, None], ['NOSE GEA', Entity not linked to a knowledge base, None]]",NOSE GEA,,,
175,19961030044759I,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ","[['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['VFR', Entity(wikidata_entity_id=Q907246, wikipedia_entity_title=Visual flight rules), None]]",CESSNA,,Cessna,Q308889
176,19961030044759I,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ","[['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None], ['VFR', Entity(wikidata_entity_id=Q907246, wikipedia_entity_title=Visual flight rules), None]]",VFR,,Visual flight rules,Q907246
177,19970506016499I,"NARRATIVE: THE LEAR 35, OPERATING UNDER FAR 135, DEPARTED SPIRIT OF ST. LOUIS AIRPORT ON AN IFR FLIGHT PLAN, PROPOS","[['THE LEAR 35', Entity(wikidata_entity_id=Q667988, wikipedia_entity_title=Learjet 35), None], ['FAR 135', Entity(wikidata_entity_id=Q464490, wikipedia_entity_title=Federal Aviation Regulations), None], ['ST', Entity(wikidata_entity_id=Q1039, wikipedia_entity_title=São Tomé and Príncipe), 'GPE'], ['LOUIS', Entity not linked to a knowledge base, 'GPE'], ['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), 'ORG']]",THE LEAR 35,,Learjet 35,Q667988
178,19970506016499I,"NARRATIVE: THE LEAR 35, OPERATING UNDER FAR 135, DEPARTED SPIRIT OF ST. LOUIS AIRPORT ON AN IFR FLIGHT PLAN, PROPOS","[['THE LEAR 35', Entity(wikidata_entity_id=Q667988, wikipedia_entity_title=Learjet 35), None], ['FAR 135', Entity(wikidata_entity_id=Q464490, wikipedia_entity_title=Federal Aviation Regulations), None], ['ST', Entity(wikidata_entity_id=Q1039, wikipedia_entity_title=São Tomé and Príncipe), 'GPE'], ['LOUIS', Entity not linked to a knowledge base, 'GPE'], ['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), 'ORG']]",FAR 135,,Federal Aviation Regulations,Q464490
179,19970430011489I,"NARRATIVE: ON APRIL 30, 1997, N83GA, BEECHCRAFT MODEL 200 MADE A LANDING EMERGENCY AFTER THE RIGHT ENGINE FIRE WARN","[['MODEL 200', Entity(wikidata_entity_id=Q1094597, wikipedia_entity_title=Beechcraft Super King Air), None]]",MODEL 200,,Beechcraft Super King Air,Q1094597
