,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
259,19790817031829I,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,"[['ZA ZG STUDENT', Entity not linked to a knowledge base, None], ['OT', Entity not linked to a knowledge base, 'PERSON'], ['GAS', Entity not linked to a knowledge base, 'GPE'], ['1 HOUR', None, 'TIME'], ['IGHT', None, 'TIME'], ['FUEL GAUGES', Entity not linked to a knowledge base, 'PERSON']]",ZA ZG STUDENT,,,
260,19790705018829I,"ENGINE QUIT ON TAKEOFF DUE TO WATER IN FUEL. PILOT LANDED GEAR UP, HAD FAILED TO DRAIN WING SUMPS IN PREFLIGHT.    ","[['EO', Entity(wikidata_entity_id=Q1348989, wikipedia_entity_title=Earth observation), None]]",EO,,Earth observation,Q1348989
261,19790829023019A,ENGINE STOPPED DURING SPRAY RUN. LANDED IN SOYBEAN FIELD. FLIPPED OVER. WATER IN FUEL.                             ,"[['SOYBEAN', Entity(wikidata_entity_id=Q11006, wikipedia_entity_title=Soybean), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]",SOYBEAN,,Soybean,Q11006
262,19790801021959A,ENGINE FAILURE DUE TO WATER IN FUEL.                                                                               ,"[['ENGINE FAILURE', Entity(wikidata_entity_id=Q3362188, wikipedia_entity_title=Turbine engine failure), None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]",ENGINE FAILURE,,Turbine engine failure,Q3362188
263,19790812030579I,"DURING TAKEOFF ROLL, GEAR COLLAPSED. GEAR SWITCH IN UP POSITION.                                                   ","[['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF ROLL,,Takeoff,Q854248
264,19790808027309A,ENGINE FAILED DURING TAKEOFF. PILOT ATTEMPTED RETURN TO RUNWAY. INSUFFICIENT ALTITUDE. WATER IN FUEL.              ,"[['ENG', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]",ENG,,,
265,19790712020439I,STOPPED ON RUNWAY AFTER LANDING. NOSE GEAR TORQUE LINK APEX PIN WAS NOT INSTALLED.                                 ,"[['NOSE GEAR', Entity(wikidata_entity_id=Q263421, wikipedia_entity_title=Landing gear), None], ['TORQUE', Entity(wikidata_entity_id=Q48103, wikipedia_entity_title=Torque), None]]",NOSE GEAR,,Landing gear,Q263421
266,19790712020439I,STOPPED ON RUNWAY AFTER LANDING. NOSE GEAR TORQUE LINK APEX PIN WAS NOT INSTALLED.                                 ,"[['NOSE GEAR', Entity(wikidata_entity_id=Q263421, wikipedia_entity_title=Landing gear), None], ['TORQUE', Entity(wikidata_entity_id=Q48103, wikipedia_entity_title=Torque), None]]",TORQUE,,Torque,Q48103
267,19790716019189I,AIRSTAIR DOOR CAME OPEN AFTER TAKEOFF. DURING LANDING DOOR DRUG ON RUNWAY TEARING LOOSE FROM AIRCRAFT.             ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
268,19790927050049I,PILOT REPORTED UNSAFE GEAR INDICATION. LANDED WITHOUT INCIDENT. GEAR LIGHT WAS SELECTED TO THE DIM POSITION.       ,"[['SA', Entity not linked to a knowledge base, None]]",SA,,,
269,19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None], ['ENGINE', Entity not linked to a knowledge base, None], ['COWL H', Entity not linked to a knowledge base, None]]",ENGINE,,,
270,19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None], ['ENGINE', Entity not linked to a knowledge base, None], ['COWL H', Entity not linked to a knowledge base, None]]",OWL,,Owl,Q25222
271,19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None], ['ENGINE', Entity not linked to a knowledge base, None], ['COWL H', Entity not linked to a knowledge base, None]]",ENGINE,,,
272,19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None], ['ENGINE', Entity not linked to a knowledge base, None], ['COWL H', Entity not linked to a knowledge base, None]]",COWL H,,,
273,19791017051209I,ENGINE STOPPED DUE TO OBSTRUCTED FUEL VENT LINE.                                                                   ,"[['FUEL VENT LINE', Entity not linked to a knowledge base, None]]",FUEL VENT LINE,,,
274,19790904034369I,ZA ZG ZH EMERGENCY LANDING DUE TO FUEL CONTAMINATED WITH WATER.                                                    ,"[['ZA ZG ZH', Entity not linked to a knowledge base, None]]",ZA ZG ZH,,,
275,19790916031359A,ENGINE STOPPED ON TAKEOFF. LANDED OFF END RUNWAY. FOUND WATER IN FUEL SYSTEM.                                      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
276,19790919027319A,ENGINE FAILED DURING TAKEOFF DUE TO WATER IN FUEL. AIRCRAFT CRASHED DURING ATTEMPTED EMERGENCY LANDING.            ,"[['AKEOFF', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]",AKEOFF,,,
277,19790928027659A,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,"[['EL', Entity not linked to a knowledge base, None], ['FUEL STAINS', Entity not linked to a knowledge base, None]]",EL,,,
278,19790928027659A,FOUND LEFT FUEL CAP IMPROPERLY INSTALLED. FUEL STAINS ON TOP OF LEFT WING.                                         ,"[['EL', Entity not linked to a knowledge base, None], ['FUEL STAINS', Entity not linked to a knowledge base, None]]",FUEL STAINS,,,
279,19791014005659A,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,"[['TAKEO', Entity not linked to a knowledge base, None]]",TAKEO,,,
280,19791029027649A,PILOT FAILED TO PROPERLY SECURE SEAT. SEAT SLID BACK ON TAKEOFF.                                                   ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
281,19790929042239I,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['PLANES', Entity not linked to a knowledge base, None], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]",TAXI,,Taxicab,Q82650
282,19790929042239I,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['PLANES', Entity not linked to a knowledge base, None], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]",PLANES,,,
283,19790929042239I,TAXIED INTO UNMARKED MANHOLE NEAR UNLIGHTED TAXIWAY. AIRPLANES LANDING/TAXI LIGHT INOPERATIVE.                     ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['PLANES', Entity not linked to a knowledge base, None], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]",TAXI,,Taxicab,Q82650
284,19791014052729I,"ENGINE BECAME ROUGH, PILOT CHECKED FOR CARB ICE. MADE PRECAUTIONARY LANDING IN A FIELD. PRIMER UNLOCKED AND OUT.   ","[['ENGINE', Entity not linked to a knowledge base, None], ['CARB ICE', Entity not linked to a knowledge base, 'PERSON']]",ENGINE,,,
285,19791015052549I,ENGINE QUIT AND WAS SHUTDOWN. CAUSE FOUND TO BE FUEL STARVATION DUE TO MISSING FUEL CAP.                           ,"[['UEL CAP', Entity not linked to a knowledge base, None]]",UEL CAP,,,
286,19791129033509A,TRIED TAKEOFF FROM TRAILER. SKID TIEDOWN FELL BACK IN PLACE. HELICOPTER ROLLED OVER OFF TRAILER.                   ,"[['SKID', Entity not linked to a knowledge base, None]]",SKID,,,
287,19791126034419A,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,"[['FI', Entity not linked to a knowledge base, None]]",FI,,,
288,19791218033279A,"ENGINE FAILED ON TAKEOFF, FOUND WATER IN FUEL.                                                                     ","[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]",ENGINE,,,
289,19791218033279A,"ENGINE FAILED ON TAKEOFF, FOUND WATER IN FUEL.                                                                     ","[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]",TAKEOFF,,Takeoff,Q854248
290,19791208047929I,PILOT FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT. RETRACTED ON TAKEOFF ROLL.                           ,"[['OB', Entity not linked to a knowledge base, None], ['TAKEOFF RO', Entity not linked to a knowledge base, None]]",OB,,,
291,19791208047929I,PILOT FAILED TO CHECK POSITION OF GEAR KNOB DURING PREFLIGHT. RETRACTED ON TAKEOFF ROLL.                           ,"[['OB', Entity not linked to a knowledge base, None], ['TAKEOFF RO', Entity not linked to a knowledge base, None]]",TAKEOFF RO,,,
292,19791210036229A,ABORTED TAKEOFF WHEN ENGINE COWLING RAISED UP DUE TO BEING UNLATCHED ON ONE SIDE. RAN OFF END OF RUNWAY.           ,"[['ENGINE', Entity not linked to a knowledge base, None], ['ONE', None, 'CARDINAL']]",ENGINE,,,
293,19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","[['ENGINE', Entity(wikidata_entity_id=Q12760, wikipedia_entity_title=Steam engine), None]]",ENGINE,,Steam engine,Q12760
294,19800114013749I,"DURING COPILOT LANDING, HE REVERSED ONE PROP MORE THAN OTHER.                                                      ","[['COPILOT L', Entity not linked to a knowledge base, None], ['ONE', None, 'CARDINAL']]",COPILOT L,,,
295,19800113000039A,DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.        ,"[['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), None], ['GYRO HORIZON', Entity(wikidata_entity_id=Q277694, wikipedia_entity_title=Attitude indicator), 'PERSON'], ['IFR', Entity(wikidata_entity_id=Q847919, wikipedia_entity_title=Instrument flight rules), None]]",IFR,,Instrument flight rules,Q847919
296,19800115013869I,UPPER LEFT ENGINE COWL PN41834-06 SEPARATED FROM THE AIRCRAFT.                                                     ,"[['UPPER LEFT ENGINE COWL', Entity not linked to a knowledge base, None], ['PN41834-06', Entity not linked to a knowledge base, None], ['PARATED', Entity not linked to a knowledge base, None], ['AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), None]]",UPPER LEFT ENGINE COWL,,,
297,19800115013869I,UPPER LEFT ENGINE COWL PN41834-06 SEPARATED FROM THE AIRCRAFT.                                                     ,"[['UPPER LEFT ENGINE COWL', Entity not linked to a knowledge base, None], ['PN41834-06', Entity not linked to a knowledge base, None], ['PARATED', Entity not linked to a knowledge base, None], ['AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), None]]",PN41834-06,,,
298,19800115013869I,UPPER LEFT ENGINE COWL PN41834-06 SEPARATED FROM THE AIRCRAFT.                                                     ,"[['UPPER LEFT ENGINE COWL', Entity not linked to a knowledge base, None], ['PN41834-06', Entity not linked to a knowledge base, None], ['PARATED', Entity not linked to a knowledge base, None], ['AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), None]]",PARATED,,,
299,19800115013869I,UPPER LEFT ENGINE COWL PN41834-06 SEPARATED FROM THE AIRCRAFT.                                                     ,"[['UPPER LEFT ENGINE COWL', Entity not linked to a knowledge base, None], ['PN41834-06', Entity not linked to a knowledge base, None], ['PARATED', Entity not linked to a knowledge base, None], ['AIRCRAFT', Entity(wikidata_entity_id=Q11436, wikipedia_entity_title=Aircraft), None]]",AIRCRAFT,,Aircraft,Q11436
300,19800119000759A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN THE FUEL.                                                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",ENGINE,,,
301,19800119000759A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN THE FUEL.                                                                 ,"[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
302,19800127019329I,FORCED LANDING FROM ENGINE FAILURE. DESCREPANCY HAD BEEN WRITTEN UP AND AERO CLUB CAUTIONED ABOUT NEEDED MAINT.    ,"[['ENGINE', Entity not linked to a knowledge base, None], ['ANC', Entity not linked to a knowledge base, 'PERSON']]",ENGINE,,,
303,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",MOKE,,,
304,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",COCKPIT,,Cockpit,Q194156
305,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",LIFTOFF,,Takeoff,Q854248
306,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",SMOKE,,Smoke,Q130768
307,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",ENGINE,,Aircraft engine,Q743004
308,19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"[['MOKE', Entity not linked to a knowledge base, None], ['COCKPIT', Entity(wikidata_entity_id=Q194156, wikipedia_entity_title=Cockpit), None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['SMOKE', Entity(wikidata_entity_id=Q130768, wikipedia_entity_title=Smoke), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['OWL', Entity(wikidata_entity_id=Q25222, wikipedia_entity_title=Owl), None]]",OWL,,Owl,Q25222
309,19800129020169I,PILOT STATED HE EXPERIENCED BOTH BRAKES FREEZING UP BEFORE TAKEOFF.                                                ,"[['KES', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",KES,,,
310,19800129020169I,PILOT STATED HE EXPERIENCED BOTH BRAKES FREEZING UP BEFORE TAKEOFF.                                                ,"[['KES', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
311,19800129020179I,FUEL CAP O RINGS WORN. DID NOT SEAL. LARGE QUANTITY WATER FOUND RIGHT TANK.                                        ,"[['FUEL CAP O RINGS WORN', Entity not linked to a knowledge base, None]]",FUEL CAP O RINGS WORN,,,
312,19800216026099I,"PILOT INDICATED ENGINE RUNNING ROUGH AFTER TAKEOFF, SO HE MADE EMERGENCY LANDING IN A FIELD.                       ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
313,19800219031689I,ENGINE QUIT IMMEDIATELY AFTER TAKEOFF. WATER WAS FOUND IN GASCOLATOR..                                             ,"[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['GASCOLATOR', Entity(wikidata_entity_id=Q5526394, wikipedia_entity_title=Gascolator), None]]",ENGINE,,,
314,19800219031689I,ENGINE QUIT IMMEDIATELY AFTER TAKEOFF. WATER WAS FOUND IN GASCOLATOR..                                             ,"[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['GASCOLATOR', Entity(wikidata_entity_id=Q5526394, wikipedia_entity_title=Gascolator), None]]",TAKEOFF,,Takeoff,Q854248
315,19800219031689I,ENGINE QUIT IMMEDIATELY AFTER TAKEOFF. WATER WAS FOUND IN GASCOLATOR..                                             ,"[['ENGINE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['GASCOLATOR', Entity(wikidata_entity_id=Q5526394, wikipedia_entity_title=Gascolator), None]]",GASCOLATOR,,Gascolator,Q5526394
316,19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['ENGINE QUIT', Entity not linked to a knowledge base, None]]",TAKEOFF,,Takeoff,Q854248
317,19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['ENGINE QUIT', Entity not linked to a knowledge base, None]]",ENGINE QUIT,,,
318,19800223029599I,"RIGHT ENGINE FAILED, THEN CENTER ENGINE. WATER FOUND IN FUEL TANKS.                                                ","[['FUEL TANKS', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]",FUEL TANKS,,Fuel tank,Q1411232
319,19800320047429I,TAKEOFF WARNING HORN SOUNDED. ABORTED TAKEOFF. SPEED BRAKE LEVER NOT SEATED.                                       ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
320,19800225005279A,SEAT SLID BACKWARDS DURING TAXI FOR TAKEOFF. PILOT UNABLE TO REACH CONTROLS. AIRPLANE RAN INTO A DITCH.            ,"[['TAXI', Entity(wikidata_entity_id=Q1421250, wikipedia_entity_title=Taxiing), None]]",TAXI,,Taxiing,Q1421250
321,19800229004169A,TURNED ON NOSE WHEEL STEERING TURNING FINAL. WHEEL WAS TURNED TO LEFT ON TOUCHDOWN. VEERED INTO SNOWBANK.          ,"[['WHEEL', Entity not linked to a knowledge base, None]]",WHEEL,,,
322,19800410050199I,WHEEL CAME OFF ON LANDING. OWNER HAD REMOVED BRAKE ASSEMBLY DAY PREVIOUS.                                          ,"[['WHEEL C', Entity not linked to a knowledge base, None], ['OWNER HAD', Entity not linked to a knowledge base, 'PERSON'], ['BRAKE ASSEMBLY DAY', Entity not linked to a knowledge base, None]]",WHEEL C,,,
323,19800415047829I,WATER IN FUEL CAUSED ENGINE STOPPAGE ON TAKEOFF.                                                                   ,"[['FUEL CAUS', Entity not linked to a knowledge base, None], ['ENGINE', Entity not linked to a knowledge base, None], ['GE', Entity(wikidata_entity_id=Q1204080, wikipedia_entity_title=Dagger-axe), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'GPE']]",FUEL CAUS,,,
324,19800415047829I,WATER IN FUEL CAUSED ENGINE STOPPAGE ON TAKEOFF.                                                                   ,"[['FUEL CAUS', Entity not linked to a knowledge base, None], ['ENGINE', Entity not linked to a knowledge base, None], ['GE', Entity(wikidata_entity_id=Q1204080, wikipedia_entity_title=Dagger-axe), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'GPE']]",ENGINE,,,
325,19800415047829I,WATER IN FUEL CAUSED ENGINE STOPPAGE ON TAKEOFF.                                                                   ,"[['FUEL CAUS', Entity not linked to a knowledge base, None], ['ENGINE', Entity not linked to a knowledge base, None], ['GE', Entity(wikidata_entity_id=Q1204080, wikipedia_entity_title=Dagger-axe), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'GPE']]",GE,,Dagger-axe,Q1204080
326,19800427044589I,"ALTERNATOR NOT OPERATING AT TAKEOFF, ELECTRICAL FAILURE SOON AFTER. LANDED WITH GEAR PARTIALLY DOWN, COLLAPSED.    ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
327,19800504044909I,ENGINE FAILED DUE TO FUEL CONTAMINATION. FORCED LANDING MADE IN FIELD.                                             ,"[['ENGINE', Entity not linked to a knowledge base, None], ['FIELD', Entity not linked to a knowledge base, 'ORG']]",ENGINE,,,
328,19800519054059I,FORCED LANDING MADE AFTER PILOT HEARD LOUD NOISES. SUSPECT WATER IN FUEL.                                          ,"[['NOIS', Entity(wikidata_entity_id=Q683439, wikipedia_entity_title=Louis Claude Noisette), None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]",NOIS,,Louis Claude Noisette,Q683439
329,19800611054319I,PILOT ACCUSTOMED TO USING PORTABLE FUEL CANS. USED CANS TO REFUEL HIS AIRPLANE FROM CANS. QUIT ON WATER TAKEOFF    ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
330,19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"[['AIRPLANE', Entity(wikidata_entity_id=Q197, wikipedia_entity_title=Airplane), None], ['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",AIRPLANE,,Airplane,Q197
331,19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"[['AIRPLANE', Entity(wikidata_entity_id=Q197, wikipedia_entity_title=Airplane), None], ['TAKEOFF ROLL', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF ROLL,,Takeoff,Q854248
332,19800530018349A,FERTILIZE BUCKET SUPPORT CABLE CAUGHT ON LOADING SYSTEM ON TAKEOFF. PULLED COPTER TO THE GROUND.                   ,"[['UCKET', Entity not linked to a knowledge base, None]]",UCKET,,,
333,19800615052619I,AIRCRAFT RAN OFF EDGE OF TAXIWAY AT NIGHT. AIRCRAFT TAXI LIGHT INOPERATIVE.                                        ,"[['CRAFT RAN', Entity not linked to a knowledge base, None], ['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), None], ['NIGHT', None, 'TIME'], ['TAXI LIGHT', Entity not linked to a knowledge base, None], ['ATIVE', Entity not linked to a knowledge base, None]]",CRAFT RAN,,,
334,19800615052619I,AIRCRAFT RAN OFF EDGE OF TAXIWAY AT NIGHT. AIRCRAFT TAXI LIGHT INOPERATIVE.                                        ,"[['CRAFT RAN', Entity not linked to a knowledge base, None], ['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), None], ['NIGHT', None, 'TIME'], ['TAXI LIGHT', Entity not linked to a knowledge base, None], ['ATIVE', Entity not linked to a knowledge base, None]]",TAXIWAY,,Taxiway,Q910386
